id,term,context,title,agency,classification,explanation
1,female,"drinking and heavy episodic drinking (hed; i.e., consum- ing 5+ drinks among people assigned male at birth, consuming 4+ drinks among people assigned female at birth in 2 hours) relative to monosexual college students. rates of trauma exposure and post-traumatic stress disorder (ptsd) symptoms are also of",NA,NIH,SCIENTIFIC,"The text uses ""female"" in a definition related to alcohol consumption thresholds, which is a quantifiable and biological-related factor, aligning with a scientific context.
"
2,female," stereotypes about men being better than women at math emerge early in childhood and persist through adulthood. these perceptions appear to influence female students’ interest and performance in math, as well as their pursuit of stem careers. given the potential motivational benefits of digital learning g",NA,NSF,SCIENTIFIC,"The term 'female' is used in the context of a study investigating the influence of gender stereotypes on mathematical performance and career choices, aligning with scientific inquiry.
"
3,female,"ation at stanford university, introducing genetics and genomics research experiences to underrepresented minority, first generation college students, female students, students with disabilities, and lgbtq+ students who would otherwise lack such opportunities. this will allow them to experience a broad spe",NA,NIH,POLITICAL,"The term 'female' is used in the context of identifying an underrepresented group in education, which is a social and political issue.
"
4,female,"eatment outcomes this proposal will undertake preclinical studies to address breast cancer (bc) risk and treatment concerns of transmasculine people (female-to-male transition). this proposal will also elucidate the interplay of mirnas and testosterone in mammary gland development, carcinogenesis, and res",NA,NIH,SCIENTIFIC,"The term ""female-to-male transition"" is used in the context of describing a specific population (transmasculine people) within a preclinical study addressing breast cancer risk. This is a scientific and medical context.
"
5,female,cross sex steroid therapy and cardiovascular risk in the transgender female 21+ years old; 4-o-beta-d-galactopyranosyl-d-glucose; active follow-up; active followup; acute; address; adult; adult human; adult youth; adulthood; ,Cross Sex Steroid Therapy And Cardiovascular Risk In The Transgender Female,NIH,SCIENTIFIC,"The term 'female' is used in a medical research context to describe a specific population group (transgender individuals) being studied for cardiovascular risk factors related to hormone therapy.
"
6,female,", age years, aging, area, attention, birth, black race, buffers, characteristics, cities, communities, country, data, disparity, ethnic origin, face, female, frequencies, future, gender, gender identity, gender relations, general population, geography, goals, health, individual, institutional racism, inte",NA,NIH,POLITICAL,"The term 'female' appears alongside terms like ""gender identity,"" ""gender relations,"" ""ethnic origin,"" ""institutional racism,"" and ""disparity,"" suggesting a focus on social and identity-related issues rather than purely biological or scientific contexts.
"
7,female,"ntity affect nociceptive expression (shine) sex, hormones and identity affect nociceptive expression (shine)project summary it is often reported that females demonstrate lower pain thresholds and higher sensitivity than males in experimental pain tests. however, “sex” and “gender” are often used interchan",NA,NIH,SCIENTIFIC,"The text discusses pain thresholds and sensitivity in the context of experimental pain tests, which is a scientific investigation. The comparison between 'females' and 'males' in this context is related to biological sex differences in pain perception.
"
8,female,"n in stem face continue to persist. this situation calls for a transformative approach to an institution's culture.     this project aims to increase female-identifying stem faculty recruitment, hiring, promotion, and retention. this project aims to focus on three goals directly addressing each area of re",NA,NSF,POLITICAL,"The term ""female-identifying"" is used in the context of addressing equity and inclusion within STEM faculty, which falls under social, political, and identity considerations.
"
9,female,"youth, allostatic load, arterial tonometry, arteriole, cardiometabolic risk, cardiometabolism, cardiovascular health, cardiovascular risk factor, cis-female, cis-male, cisgender, experience, gender affirmation, gender affirming care, gender affirming hormone therapy, gender diverse, health disparity, hear",NA,NIH,POLITICAL,"The presence of terms like ""cis-female,"" ""gender affirmation,"" and ""gender diverse"" strongly suggests the text is addressing gender identity and related social or political issues within the context of health disparities.
"
10,female,cross sex steroid therapy and cardiovascular risk in the transgender female transgender individuals comprise roughly 1% of the united states population and include those born one sex but identify as a gender that does not ali,NA,NIH,SCIENTIFIC,"The term 'female' is used in relation to transgender individuals and hormone therapy, which falls under a biological and medical context.
"
