id,term,context,title,agency,classification,explanation
1,females,"nts, mainly non-binary youth and tgd youth of color. these gaps in research limit the field's ability to provide culturally specific clinical care to a vulnerable group with unique health disparities associated with deb. to advance this care, we urgently need to extend deb research beyond cisgender females and recruit racially/ethnically diverse samples of tgd youth across the spectrum of age, gender identity, and access to gender-affirming support/resources. a novel approach to address these knowledge gaps is to implement community-engaged research methods to develop and evaluate a tailored measure ",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The text contrasts ""cisgender females"" with ""transgender and gender-diverse youth"" in the context of disordered eating behavior (deb) research, which is a scientific and clinical area.
"
2,females,"the role of testosterone on mediating sex and gender influences on chronic orofacial pain conditions abstract and project summary many chronic pain conditions that affect craniofacial regions, such as temporomandibular disorders (tmd), disproportionately affect females. a growing number of studies show strong evidence that sex-related differences in conditioned pain modulation (cpm), a psychophysical index of endogenous pain inhibition, is one mechanism that predisposes women to an increased risk of chronic pain conditions. however, the central mechanisms underly",The Role of Testosterone on Mediating Sex and Gender Influences on Chronic Orofacial Pain Conditions,NIH,SCIENTIFIC,"The text discusses biological sex differences in pain modulation and the prevalence of chronic pain conditions in females. This falls squarely within a scientific context.
"
3,females,"the role of testosterone on mediating sex and gender influences on chronic orofacial pain conditions abstract and project summary many chronic pain conditions that affect craniofacial regions, such as temporomandibular disorders (tmd), disproportionately affect females. a growing number of studies show strong evidence that sex-related differences in conditioned pain modulation (cpm), a psychophysical index of endogenous pain inhibition, is one mechanism that predisposes women to an increased risk of chronic pain conditions. however, the central mechanisms underly",The Role of Testosterone on Mediating Sex and Gender Influences on Chronic Orofacial Pain Conditions,NIH,SCIENTIFIC,"The term ""females"" is used in a biological context to describe a group experiencing a disproportionate prevalence of certain medical conditions, consistent with scientific research and data collection.
"
4,females," development in sex and gender translational science in alcohol use project abstract alcohol use among women has substantially and concerningly increased over the last decade, relative to smaller increases among men. while drinking is strongly associated with significant health risks in both sexes, females have exacerbated alcohol-related health consequences when compared to males. compounding this issue, treatment development for alcohol use has not considered, nor is responsive to known sex differences in alcohol use. for these reasons, the field requires an increased capacity to conduct translatio",Enhancing dissemination and career development in sex and gender translational science in alcohol use,NIH,SCIENTIFIC,"The text discusses biological sex differences in alcohol-related health consequences, a topic within the domain of scientific inquiry (specifically, sex and gender translational science). The term ""females"" is used to distinguish a biological group for comparison in a scientific study.
"
5,females,"the roles of genetics, hormones, and gender in sexually dimorphic immune response abstract sex and gender contribute to the immune system and how we as humans respond to foreign infections. males traditionally have an elevated risk of hospitalizations due to infections from birth to old age. females, however, have a more protective immune system, yet have an elevated risk of autoimmunity. thus, the balance between fighting infections and limiting immune response is stratified. animal models have allowed us to largely tease out the role of sex chromosomes and hormones (such as estrogen/testoste","The roles of genetics, hormones, and gender in sexually dimorphic immune response",NIH,SCIENTIFIC,"The text discusses biological differences in immune response between males and females, a topic within the realm of scientific inquiry.
"
6,females,"sex, hormones and identity affect nociceptive expression (shine) sex, hormones and identity affect nociceptive expression (shine)project summary it is often reported that females demonstrate lower pain thresholds and higher sensitivity than males in experimental pain tests. however, “sex” and “gender” are often used interchangeably to describe these differences, but genetic sex and gender identity are not always congruent. as a result, human subjects may be categorized as m","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The term 'females' is used to describe a biological category in relation to pain thresholds and sensitivity in experimental pain tests.
"
7,females,"sex, hormones and identity affect nociceptive expression (shine) sex, hormones and identity affect nociceptive expression (shine)project summary it is often reported that females demonstrate lower pain thresholds and higher sensitivity than males in experimental pain tests. however, “sex” and “gender” are often used interchangeably to describe these differences, but genetic sex and gender identity are not always congruent. as a result, human subjects may be categorized as m","Sex, Hormones and Identity affect Nociceptive Expression (SHINE)",NIH,SCIENTIFIC,"The text discusses pain thresholds and sensitivity in the context of biological sex differences observed in experimental pain tests.
"
8,females,"e innate and learned components of the neural circuitry underlying maternal responses to infant cues. for example, distress vocalizations emitted by mouse pups, termed pup calls, elicit maternal behavior and time-locked neural activity in left primary auditory cortex (a1) in both mothers and virgin females with prior pup exposure, but not pup-naïve virgin females. however, naïve virgins are primed with innate neuronal tuning to a narrow range of pup calls, which broadens with pup care experience to allow for more reliable caregiving and a1 responses. prior findings, including those of sponsor dr. bia",Brain-wide neural mechanisms enhancing maternal behavioral response to infant cues,NIH,SCIENTIFIC,"The term 'females' is used to describe a group of mice in a scientific study, specifically differentiating between mothers, virgin females with pup exposure, and pup-naïve virgin females. This aligns with a technical and scientific context focused on biological and behavioral observations.
"
9,females,"ncentrations and renal clearance) are altered in the presence and absence of female sex hormones. further, we have demonstrated that male and female sex hormones regulate monocarboxylate transporters in the kidney, and differences in ghb renal clearance over the estrous cycle, and between males and females are consistent with the changes in renal monocarboxylate transporter expression. despite the potential for sex hormones to regulate ghb renal clearance and tissue distribution, there is a paucity of information in the literature regarding the influence of sex and cross-sex hormone treatment on ghb ",GHB Toxicokinetics: Role of sex hormone dependent monocarboxylate transporter regulation and potential for altered overdose risk in transgender men and women,NIH,SCIENTIFIC,"The term 'females' is used in the context of a scientific study investigating biological differences (specifically, sex hormone levels and renal clearance) between sexes and their influence on GHB toxicokinetics.
"
10,females,"y 1% of the united states population and include those born one sex but identify as a gender that does not align with their biological sex. gender-affirming hormone therapy (gaht) is used to treat these individuals to match secondary sex characteristics to their gender identity. gaht in transgender females (tgf), individuals born male but who identify as female, involves administration of 17β- estradiol (e2) with an anti-androgen (aa) or castration (ctx). although long-term studies in this population are limited, recent studies suggest that cardiovascular (cv) risk may be elevated in gaht-treated tgf",Cross Sex Steroid Therapy and Cardiovascular Risk in the Transgender Female,NIH,SCIENTIFIC,"The text describes a scientific study on the effects of hormone therapy on transgender females (individuals born male but identifying as female) and their cardiovascular risk. The term is used in the context of defining a specific study population within a scientific investigation.
"
11,females,"ent paradigm for transgender adolescents, in which gnrha is initiated in the early peripubertal period to suppress further pubertal progression prior to transitioning directly to t therapy (gnrha-t). none of the existing animal models that address the effect of androgens on reproductive function in females are directly applicable to the clinical paradigm of cross-sex t therapy in transgender men or gnrha-t therapy in transgender adolescents. to address this knowledge gap, we have developed a mouse model to mimic t treatment for ftm gender transition. these mice manifest defects in ovarian architectur",Reproductive Consequences of Steroid Hormone Administration,NIH,SCIENTIFIC,"The term 'females' refers to biological females in the context of animal models and reproductive function.
"
