id,term,context,title,agency,classification,explanation
1,gender diversity,"sources, risk, sampling, services, shapes, source, stress, training, united states, united states national institutes of health, woman, work, acute care, beneficiary, cisgender, cohort, community barrier, community based research, community-level factor, comorbidity, experience, gender affirmation, gender diversity, gender minority group, health assessment, health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, sexual minority gr",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The term 'gender diversity' appears within a list of keywords and terms related to health disparities research, specifically in the context of studying transgender and cisgender adults. This suggests a scientific or research-oriented usage.
"
2,gender diversity," surveys, techniques, terminology, thinking, time, united states national institutes of health, voice, work, biobank, cisgender, community engagement, conflict resolution, design, diverse data, ethical  legal  and social implication, experience, gender affirmation, gender confusion, gender diverse, gender diversity, gender expression, gender fluid, gene editing technology, genetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision medici",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term is used alongside terms like ""gender affirmation,"" ""gender expression,"" ""nonbinary,"" and ""people of color,"" indicating a focus on social identity and inclusion, aligning with a political context.
"
3,gender diversity,"timization, violence, waist-hip ratio, acute stress, alcohol abuse therapy, alcohol use disorder, cisgender, community organizations, community-level factor, comorbidity, contextual factors, design, ethnic identity, evidence base, experience, follow-up, gender affirmation, gender affirming therapy, gender diversity, health care service utilization, health difference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The grant title and associated keywords clearly indicate a research study investigating health outcomes and disparities related to transgender and gender diverse adults. The term ""gender diversity"" is used within this framework, suggesting its usage is scientific, aiming to understand and analyze variations in gender identity and their relation to various health factors.
"
4,gender diversity,"ion, children of color, cisgender, clinical care, clinical practice, cognitive interview, community engaged research, community partners, design, direct application, ethnic diversity, ethnic minority, expectation, experience, gender affirmation, gender affirming care, gender affirming medical care, gender diversity, gender dysphoria, gender minority community, gender minority group, health disparity, high risk, improved, innovation, marginalization, marginalized population, member, nonbinary, novel strategies, peer, protective factors, puberty blocker, purge, racial diversity, racial minority, recruit, sex as",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The term 'gender diversity' appears within a list of terms related to research on transgender and gender-diverse youth, including clinical care, gender dysphoria, and health disparity. This indicates its usage in a scientific and medical research context.
"
5,gender diversity,"and feasibility, aged, alcohol abuse therapy, alcohol consequences, alcohol intervention, alcohol misuse, alcohol research, alcohol use disorder, binge drinking, cisgender, culturally appropriate intervention, design, distrust, diversity and inclusion, evidence base, experience, experimental study, gender diversity, health disparity, help-seeking behavior, improved, interest, marginalized population, meetings, member, minority stress, minority stressor, peer, people of color, physical conditioning, pre-doctoral, preference, prospective, recruit, resilience factor, service providers, skill acquisition, skills,",A Mixed Methods Study to Enhance Alcohol Treatment Help-seeking and Engagement Among Gender Diverse Adults,NIH,SCIENTIFIC,"The grant title and surrounding keywords (alcohol abuse therapy, alcohol use disorder, cisgender, health disparity, marginalized population, experimental study) indicate a research study focused on a specific population with a health condition. 'Gender diversity' is likely used to define the scope of the study's population.
"
6,gender diversity," findings from education research. first, we will strategically expand the pool of faculty mentors so that scholars can participate in research that more fully represents the disciplinary breadth of biomedical research on campus. this change has the added value of increasing the racial, ethnic, and gender diversity of prep@uga’s pool of quality research mentors. second, we will establish a cadre of career mentors who are diverse in terms of their biomedical research discipline, career path, and personal characteristics (e.g., race, ethnicity, gender, ability status) for additional support and advice for navig",PREP at University of Georgia,NIH,POLITICAL,"The term 'gender diversity' is used in the context of expanding the pool of faculty mentors to be more representative, suggesting a focus on social equity and representation. This aligns with a social and political understanding of diversity.
"
7,gender diversity," statistical data interpretation, structure, system, tail, testing, training, university resources, woman, writing, anal pap smear, antiretroviral therapy, cancer diagnosis, cancer prevention, cancer risk, career development, cisgender, data cleaning, demographics, editorial, experience, follow-up, gender diversity, health inequalities, high risk population, improved, men, mortality, peer support, population health, pre-doctoral, psychologic, role model, screening disparities, sex assigned at birth, skills, social, social health determinants, social relationships, social stigma, sociodemographics, statistics,","Exploring Stigma, Social Support, and Cancer Screenings among Sexual and Gender Diverse People Living with HIV in Georgia",NIH,POLITICAL,"The grant focuses on ""Sexual and Gender Diverse People Living with HIV,"" and the term ""gender diversity"" is listed alongside other terms like ""health inequalities,"" ""social health determinants,"" and ""social stigma,"" indicating a focus on social and identity aspects relevant to healthcare disparities and population health.
"
8,gender diversity,", procedures, process, recontacts, research, role, sampling, sampling studies, schools, social development, social environment, societies, stereotyping, testing, time, update, variant, work, youth, cisgender, cognitive development, cognitive process, cohort, experience, flexibility, gender diverse, gender diversity, gender fluid, health disparity, life span, nonbinary, recruit, social, social cognition, theories, transgender",Views of Gender in Adolescence,NIH,SCIENTIFIC,"The term 'gender diversity' appears alongside research-related terms like 'sampling', 'social development', 'cognitive development', and other gender-related terms like 'cisgender', 'gender fluid', 'nonbinary', and 'transgender'. This suggests its use in a scientific or research context related to the study of gender.
"
9,gender diversity,"autism center of excellence network: neurodevelopmental biomarkers of late diagnosis in female and gender diverse autism project summary many people with autism spectrum disorder (asd) are late- or never diagnosed (ldx). initial data links female sex to ldx. gender diversity is also overrepresented in asd and associated with ldx. autistic people assigned female at birth (asdaf) and those who are gender diverse (asdgd) experience increased psychiatric comorbidity, and, in the case of asdgd, suicidality. ldx is associated with increased depression, anxiety and self-harm ",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,SCIENTIFIC,"The term 'gender diversity' is used in the context of a scientific study investigating late autism diagnoses and associated comorbidities in individuals who are female or gender diverse. The text links gender diversity to overrepresentation in ASD, late diagnosis, psychiatric comorbidity, and suicidality, suggesting a scientific inquiry into these associations.
"
10,gender diversity,"ology, source, statutes and laws, stigmatization, structural racism, subgroup, surveys, testing, time, united states, united states national institutes of health, woman, adverse outcome, asexual, cohort, data sharing, database design, design, ethnic minority, ethnic minority population, experience, gender diversity, gender minority group, hate crimes, health care availability, health disparity, improved, innovation, interest, intersectionality, minority children, minority stress, obesity risk, population based, population health, psychosocial, racial minority, racial minority population, racism, response, sex",Contextual Determinants of Sexual Minority Health in the United States,NIH,POLITICAL,"The surrounding terms like ""sexual minority health,"" ""structural racism,"" ""hate crimes,"" ""intersectionality,"" ""gender minority group,"" and ""ethnic minority population"" strongly suggest a focus on social identity, discrimination, and related political/social issues, placing the term within a political context.
"
