id,term,context,title,agency,classification,explanation
1,gender diversity,"sources, risk, sampling, services, shapes, source, stress, training, united states, united states national institutes of health, woman, work, acute care, beneficiary, cisgender, cohort, community barrier, community based research, community-level factor, comorbidity, experience, gender affirmation, gender diversity, gender minority group, health assessment, health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, sexual minority gr",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The term 'gender diversity' is listed among other scientific and medical terms relevant to research on transgender and cisgender health, suggesting it is being used in a technical context to describe the spectrum of gender identities being studied.
"
2,gender diversity," surveys, techniques, terminology, thinking, time, united states national institutes of health, voice, work, biobank, cisgender, community engagement, conflict resolution, design, diverse data, ethical  legal  and social implication, experience, gender affirmation, gender confusion, gender diverse, gender diversity, gender expression, gender fluid, gene editing technology, genetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision medici",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term is listed alongside terms like ""community engagement,"" ""ethical legal and social implication,"" ""health equity,"" ""health disparity populations,"" and various gender identities, indicating a focus on social and political considerations related to gender.
"
3,gender diversity,"timization, violence, waist-hip ratio, acute stress, alcohol abuse therapy, alcohol use disorder, cisgender, community organizations, community-level factor, comorbidity, contextual factors, design, ethnic identity, evidence base, experience, follow-up, gender affirmation, gender affirming therapy, gender diversity, health care service utilization, health difference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The grant title and associated keywords indicate a scientific study investigating the relationship between minority stressors, substance use, mental and physical health outcomes in transgender and gender diverse adults. The term is being used in a research context related to health and social science.
"
4,gender diversity,"ion, children of color, cisgender, clinical care, clinical practice, cognitive interview, community engaged research, community partners, design, direct application, ethnic diversity, ethnic minority, expectation, experience, gender affirmation, gender affirming care, gender affirming medical care, gender diversity, gender dysphoria, gender minority community, gender minority group, health disparity, high risk, improved, innovation, marginalization, marginalized population, member, nonbinary, novel strategies, peer, protective factors, puberty blocker, purge, racial diversity, racial minority, recruit, sex as",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,SCIENTIFIC,"The term 'gender diversity' appears within the context of a scientific grant focused on research methodology, clinical care, and health disparities affecting transgender and gender-diverse youth. This points to a scientific investigation of a specific population group.
"
5,gender diversity,"and feasibility, aged, alcohol abuse therapy, alcohol consequences, alcohol intervention, alcohol misuse, alcohol research, alcohol use disorder, binge drinking, cisgender, culturally appropriate intervention, design, distrust, diversity and inclusion, evidence base, experience, experimental study, gender diversity, health disparity, help-seeking behavior, improved, interest, marginalized population, meetings, member, minority stress, minority stressor, peer, people of color, physical conditioning, pre-doctoral, preference, prospective, recruit, resilience factor, service providers, skill acquisition, skills,",A Mixed Methods Study to Enhance Alcohol Treatment Help-seeking and Engagement Among Gender Diverse Adults,NIH,SCIENTIFIC,"The grant focuses on alcohol treatment help-seeking among ""Gender Diverse Adults,"" suggesting a research context exploring the specific needs and experiences of this population within alcohol abuse therapy and intervention. The inclusion of related terms like ""cisgender,"" ""health disparity,"" and ""minority stress"" further supports its use in a scientific study.
"
6,gender diversity," findings from education research. first, we will strategically expand the pool of faculty mentors so that scholars can participate in research that more fully represents the disciplinary breadth of biomedical research on campus. this change has the added value of increasing the racial, ethnic, and gender diversity of prep@uga’s pool of quality research mentors. second, we will establish a cadre of career mentors who are diverse in terms of their biomedical research discipline, career path, and personal characteristics (e.g., race, ethnicity, gender, ability status) for additional support and advice for navig",PREP at University of Georgia,NIH,POLITICAL,"The term is used within the context of increasing representation and diversity among mentors, which aligns with broader social and political goals related to equity and inclusion.
"
7,gender diversity," statistical data interpretation, structure, system, tail, testing, training, university resources, woman, writing, anal pap smear, antiretroviral therapy, cancer diagnosis, cancer prevention, cancer risk, career development, cisgender, data cleaning, demographics, editorial, experience, follow-up, gender diversity, health inequalities, high risk population, improved, men, mortality, peer support, population health, pre-doctoral, psychologic, role model, screening disparities, sex assigned at birth, skills, social, social health determinants, social relationships, social stigma, sociodemographics, statistics,","Exploring Stigma, Social Support, and Cancer Screenings among Sexual and Gender Diverse People Living with HIV in Georgia",NIH,POLITICAL,"The presence of terms like ""health inequalities,"" ""social stigma,"" ""high risk population,"" ""cisgender,"" ""sexual and gender diverse people,"" ""screening disparities,"" and ""social health determinants"" strongly suggests a focus on social and political aspects related to gender and sexual identity within a health context.
"
8,gender diversity,", procedures, process, recontacts, research, role, sampling, sampling studies, schools, social development, social environment, societies, stereotyping, testing, time, update, variant, work, youth, cisgender, cognitive development, cognitive process, cohort, experience, flexibility, gender diverse, gender diversity, gender fluid, health disparity, life span, nonbinary, recruit, social, social cognition, theories, transgender",Views of Gender in Adolescence,NIH,SCIENTIFIC,"The surrounding terms (""cisgender,"" ""nonbinary,"" ""transgender,"" ""gender fluid,"" ""cognitive development,"" ""social cognition,"" ""health disparity,"" ""stereotyping"") suggest a scientific study of gender and related concepts in adolescence, making the usage of 'gender diversity' technical.
"
9,gender diversity,"autism center of excellence network: neurodevelopmental biomarkers of late diagnosis in female and gender diverse autism project summary many people with autism spectrum disorder (asd) are late- or never diagnosed (ldx). initial data links female sex to ldx. gender diversity is also overrepresented in asd and associated with ldx. autistic people assigned female at birth (asdaf) and those who are gender diverse (asdgd) experience increased psychiatric comorbidity, and, in the case of asdgd, suicidality. ldx is associated with increased depression, anxiety and self-harm ",Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,SCIENTIFIC,"The term 'gender diversity' is used in the context of a scientific study investigating the relationship between gender identity, autism spectrum disorder (ASD), late diagnosis, and associated mental health outcomes. The grant focuses on identifying neurodevelopmental biomarkers related to these factors, indicating a scientific rather than solely political usage.
"
10,gender diversity,"ology, source, statutes and laws, stigmatization, structural racism, subgroup, surveys, testing, time, united states, united states national institutes of health, woman, adverse outcome, asexual, cohort, data sharing, database design, design, ethnic minority, ethnic minority population, experience, gender diversity, gender minority group, hate crimes, health care availability, health disparity, improved, innovation, interest, intersectionality, minority children, minority stress, obesity risk, population based, population health, psychosocial, racial minority, racial minority population, racism, response, sex",Contextual Determinants of Sexual Minority Health in the United States,NIH,POLITICAL,"The term 'gender diversity' appears alongside terms like 'sexual minority health', 'structural racism', 'intersectionality', 'hate crimes', and 'health disparity', indicating a focus on social, political, and identity aspects related to marginalized groups.
"
