id,term,context,title,agency,classification,explanation
1,gender identity,"control groups, dedications, diabetes mellitus, diagnosis, diverse workforce, education, equity, ethnic origin, evidence based intervention, faculty, gender identity, goals, heart diseases, hypertension, inequity, institution, intervention, lead, leadership, medical, mentors, neurobiology, participant, persons, po",NA,NIH,POLITICAL,"The term ""gender identity"" appears alongside terms like ""diverse workforce,"" ""equity,"" ""ethnic origin,"" and ""inequity,"" suggesting a focus on social justice, diversity, and inclusion, which are political considerations.
"
2,gender identity,"project recognize: improving measurement of alcohol use and other disparities by sex, sexual orientation, and gender identity through community engagement project summary researchers and health practitioners use data from federal health surveys, electronic health records (eh",NA,NIH,SCIENTIFIC,"The term ""gender identity"" is used alongside ""sex"" and ""sexual orientation"" within the context of a research project aiming to improve measurement of disparities. This suggests a scientific interest in understanding how gender identity relates to health outcomes and data collection methods.
"
3,gender identity," research and practices to enhance diversity and inclusion of all underrepresented populations in the engineering and computing professions including gender identity and expression, race and ethnicity, disability, veterans, lgbtq+, 1st generation and socio-economic status. the conecd conference is dedicated to all",NA,NSF,POLITICAL,"The term 'gender identity' is used within a list of underrepresented populations (race and ethnicity, disability, LGBTQ+, etc.) and in the context of diversity and inclusion, indicating a social and political usage related to identity.
"
4,gender identity,"ided by current prediction models utilized to address and prevent atherosclerotic cardiovascular disease (cvd), the proposed project investigates how gender identity and hormone therapy are related to cardiovascular health in transgender adults. the projects three specific aims are to: 1) evaluate a robust method ",NA,NIH,SCIENTIFIC,"The grant text explicitly links ""gender identity"" to cardiovascular health and hormone therapy within a study of transgender adults, indicating a technical and scientific context.
"
5,gender identity,"tion, cell lineage, cells, characteristics, clinical, complex, data, estradiol, estrogen therapy, estrogens, female, female adolescents, frequencies, gender identity, gnotobiotic, gonadal steroid hormones, gonadotropin hormone releasing hormone, gut mucosa, health, human, immune, impairment, intestinal permeabilit",NA,NIH,SCIENTIFIC,"The term appears in a list of keywords associated with biological and medical research areas (estradiol, estrogen therapy, female adolescents, gonadotropin hormone releasing hormone, gut mucosa, immune). While 'gender identity' has social and political connotations, its inclusion in this list suggests it's being investigated as a factor related to the biological/medical context of the grant, possibly in relation to hormonal influences, health outcomes, or other biological factors.
"
6,gender identity,"ring, communities, coronavirus, couples, data, discrimination, disparity, economics, environment, exposure to, family, food, funding, future, gender, gender identity, hate, health, home, income, individual, intention, intervention, latinx, life cycle stages, link, measures, mediating, mediator, mental health, meth",NA,NIH,POLITICAL,"The surrounding terms such as ""discrimination,"" ""disparity,"" ""hate,"" and ""latinx"" suggest a focus on social inequalities and identity-based issues, indicating a political context.
"
7,gender identity,"approach to hiv prevention for transgender women and their male partners transgender (`trans') women (i.e., individuals with a feminine and/or female gender identity who were assigned male at birth) are among the populations at highest risk for hiv in the united states and worldwide. one of the most consistently r",NA,NIH,SCIENTIFIC,"The term is used in a technical definition of transgender women within the context of a scientific study on HIV prevention.
"
8,gender identity,"ng will be gender affirming while increasing one’s hiv preventive information, motivation, and behavioral skills. content will foster pride in girls’ gender identity and reduce internalized transphobia they may be experiencing. we will harness the reach and wide adoption of text messaging among youth to deliver in",NA,NIH,POLITICAL,"The text explicitly mentions ""gender affirming"" and reducing ""internalized transphobia,"" indicating a social and identity-focused usage.
"
9,gender identity,"seling, county, demographic factors, diagnostic, discrimination, eligibility determination, ethnic origin, exposure to, family, foundations, funding, gender identity, general population, health, health services, heavy drinking, heterosexuals, incentives, individual, intervention, intervention trial, interview, kno",NA,NIH,POLITICAL,"The term 'gender identity' is listed alongside demographic factors, discrimination, ethnic origin, and heterosexuals, suggesting its usage relates to social identity and potential areas of discrimination or disparities within the context of the grant.
"
10,gender identity,es: a digital intervention to increase workplace belonging communication; communities; cognitive discrimination; discrimination; faces; facial; face; gender identity; health; hostility; modern man; human; hybr...,Bridges: A Digital Intervention To Increase Workplace Belonging,NIH,POLITICAL,"The term 'gender identity' appears within a list of keywords associated with a grant focused on workplace belonging and addressing discrimination. This suggests a focus on social identity and potential inequities, indicating a political usage context related to diversity and inclusion.
"
11,gender identity,"onal process of instructing, effectiveness, equity, ethnic origin, evidence based intervention, face, family, feeling suicidal, focus groups, gender, gender identity, general population, health, health services accessibility, healthcare, heterogeneity, hispanic, hour, improve access, individual, inequity, interven",NA,NIH,POLITICAL,"The surrounding terms such as ""equity,"" ""ethnic origin,"" ""inequity,"" ""family,"" and ""general population"" suggest a focus on social issues and disparities, indicating a political rather than purely scientific usage of ""gender identity"" in this context.
"
12,gender identity,"demic, covid-19 pandemic effects, caring, communication, communities, development, discrimination, effectiveness, emotional, employee, face, feeling, gender identity, health, health behavior change, hostility, human, hybrids, individual, interpersonal relations, interpersonal violence, intervention, laws, learning",NA,NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""interpersonal violence,"" and ""laws"" alongside ""gender identity"" strongly suggests a focus on social, political, and identity-related issues concerning gender.
"
13,gender identity,"g with angle jungle.    this work will go beyond the traditional gender binary of male and female, analyzing multiple dimensions of gender, including gender identity (e.g., how much students feel like a boy, a girl, both, neither), gender typicality (e.g., how much students like to do the same things as other girl",NA,NSF,SCIENTIFIC,"The grant text describes a study analyzing ""multiple dimensions of gender"" including ""gender identity"" and provides examples related to student feelings and typicality. This indicates a scientific investigation into the concept of gender identity.
"
