id,term,context,title,agency,classification,explanation
1,gender,autism center of excellence network: neurodevelopmental biomarkers of late diagnosis in female and gender diverse autism project summary many people with autism spectrum disorder (asd) are late- or never diagnosed (ldx). initial data links female sex to ldx. gender diversity is also overrepresented in asd and associated with ldx. autistic people assigned female at birth (asdaf) and those who are gender,Autism Center of Excellence Network: Neurodevelopmental Biomarkers of Late Diagnosis in Female and Gender Diverse Autism,NIH,SCIENTIFIC,"The grant text focuses on the neurodevelopmental aspects of autism diagnosis in relation to both ""female sex"" (biological) and ""gender diverse"" individuals. This suggests an investigation into the potential biological or neurological underpinnings of late diagnosis, and the term ""gender"" is used in relation to observed differences in diagnosis rates, leaning towards a scientific exploration.
"
2,gender,"pportunities facing democratic governance and national welfare in the united states in a period of uncertain transformation. in addition to the proposed research, this project will also support a small conference of diverse scholars with areas of expertise related to citizens' country of origin and gender that will include presentations by undergraduate and graduate students. this project will therefore connect scholars from across the country who share research interests and provide students from underrepresented backgrounds with a unique opportunity to gain hands-on research experience.       the ",The Impact of Country of Origin on Group Consciousness in Political Behavior Research,NSF,POLITICAL,"The term 'gender' is used in the context of diversity and underrepresented backgrounds, suggesting a focus on social and political identities.
"
3,gender," however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals to keep their utilization of srh services private for fear of negative repercussions, partic",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term ""gender"" is used in the phrase ""transgender or gender-nonconforming (tgnc individuals)"" which refers to social identity and is associated with issues of power, oppression, and health inequities, all hallmarks of a political context.
"
4,gender,"the effects of exposure to mental health promoting (aim 1) and pejorative (aim 2) content encountered on social media on mental health status, and how this relationship operates via proposed mediators of mental illness stigma, self-perceptions, and help-seeking. moderation by individual (e.g., age, gender, race), family (e.g., cohesion), and peer (e.g., social support) factors will be assessed, and by mental health status to identify directionality (aim 3). achieved in two parts, part 1 is a prospective cohort design (n=1200) of three biweekly assessments of social media use and its mental health co","Leveraging Latinx Adolescents, Photovoice, and Longitudinal Data to Disentangle the Bidirectional Effects of Social Media and Mental Health",NIH,SCIENTIFIC,"In this context, 'gender' is listed alongside age and race as an individual factor to be assessed for moderation effects on the relationship between social media content and mental health. This aligns with a scientific or demographic usage of the term as a variable in research.
"
5,gender,"isparities. as one example, in the us criminal justice system nearly a third of wrongful convictions that later are overturned were based on errors made in cross-race identification. the cross-race effect would seem to be specific to faces: a glance at a face quickly reveals information about race, gender, age, and other social categories. yet many objects beyond a face, or even beyond a person, may signal group membership and cause a recognition bias. this research investigates the possibility that the ingroup recognition advantage exemplified by the cross-race effect is a general recognition bias.",A Model of Generalized Ingroup Recognition Advantage,NSF,SCIENTIFIC,"The text lists 'gender' alongside 'race' and 'age' as a social category quickly revealed by faces, relevant to visual recognition and potentially contributing to biases. This is a scientific context exploring cognitive processes and biases.
"
6,gender,"sissippi community. the findings and strategies aim to be applicable to multiple institutions and they will be shared with other higher education institutions—especially large flagship institutions and those located within the southern united states.    the nsf advance program is designed to foster gender equity through a focus on the identification and elimination of organizational barriers that impede the full participation and advancement of diverse faculty in academic institutions. organizational barriers that inhibit equity may exist in policies, processes, practices, and the organizational cul",ADVANCE Catalyst: Researching Equity Surrounding Hiring and Promotion Experiences (RESHAPE),NSF,POLITICAL,"The term ""gender equity"" in the context of the NSF ADVANCE program and the elimination of organizational barriers to faculty advancement clearly points to a social and political context, aiming to address systemic inequalities.
"
7,gender,"sex hormone effects on neurodevelopment: controlled puberty in transgender adolescents project summary/abstract sex represents a critical variable not only in typical neurodevelopment, but also neuropsychiatric disease. substantial sex differences have been identified in prevalence, course and outcome of psychiatric disorders, with prior evidence indicating this occurs in",Sex hormone effects on neurodevelopment: Controlled puberty in transgender adolescents,NIH,SCIENTIFIC,"The text discusses ""sex"" differences in neurodevelopment and psychiatric disorders, which is a biological and scientific area of study. While the title mentions ""transgender adolescents,"" the abstract focuses on sex as a variable in neurodevelopment and disease.
"
8,gender,"client and clinician priorities for same-day prep and doxypep awareness, uptake, and persistence in primary care. project summary/abstract approximately 70% of all new human immunodeficiency virus (hiv) infections are among populations of sexual and gender minorities (sgm) and are primarily attributable to sexual contact.1 currently only 26% of the u.s. population who would benefit from hiv preexposure prophylaxis (prep) are prescribed this effective biomedical hiv prevention strategy2 that would help achieve the “ending the hiv epidemic” (ehe) goals","Client and clinician priorities for same-day PrEP and DoxyPEP awareness, uptake, and persistence in primary care.",NIH,POLITICAL,"The term ""gender minorities"" is used within the established acronym ""SGM"" (sexual and gender minorities), which refers to populations defined by their sexual orientation and gender identity. This usage aligns with a social and identity context, making it political.
"
9,gender,"ype, dose, and latency on young adult smw's resilience to tobacco marketing, smoking and quitting intentions. we will conduct twice-yearly meetings, rapid cycle feedback, and key informant interviews with an expert advisory committee comprising lgbt organization leaders, investigators in sexual and gender minority health, community members, and national agencies (nci, cdc, and fda); message development and testing using qualitative research methods; and randomized survey experiments. impact: findings from this study will provide the foundation to develop an evidence-based and culturally tailored ino",Project RESIST: Increasing Resistance to Tobacco Marketing Among Young Adult Sexual Minority Women Using Inoculation Message Approaches,NIH,SCIENTIFIC,"The term 'gender' is used within the phrase ""sexual and gender minority health,"" which is a recognized area of scientific research focused on the health disparities and needs of specific populations.
"
10,gender,"rs such that half will self-identify as black/african american, latino, and/or of mixed race; and at least 20% will be living in a rural area or southern state. specifically, we aim to:  specific aim 1: finalize the growingupguy (#guy) intervention and protocol for sexually active, hiv negative, cisgender, sexual minority boys and men up to 20 years of age across the united states.  specific aim 1a. adapt previous intervention content to create growingupguy (#guy), a salient, technologically delivered hiv prevention program.  specific aim 1b: finalize the intervention protocol, including confirmatio",Harnessing the power of text messaging to reduce HIV incidence in adolescent males across the United States,NIH,SCIENTIFIC,"The term ""cisgender"" is used to specify the gender identity of the participants in the study, which is relevant to the scientific rigor and replicability of the research.
"
11,gender,"elivery of equitable syphilis prevention, doxycycline post-exposure prophylaxis (doxypep), in a clinic-based setting. innovative strategies for syphilis prevention are needed to address the growing national epidemic, with disproportionate burden of disease among black and hispanic/latinx sexual and gender minority persons (sgm) who have sex with men. in chicago specifically, syphilis rates have been rising steadily, syndemic with hiv transmission. existing public health responses – contact tracing, testing, and treatment – have not stemmed these rising rates. recent data show that doxycycline, taken",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term ""gender"" is used as part of the phrase ""sexual and gender minority persons (sgm),"" which refers to a social identity and is relevant to discussions of health equity and disparities. This usage is clearly situated within a social and identity-based context, making it political.
"
12,gender,"training program in translational science, hiv, and sexual and gender minority health project summary sexual and gender minorities (sgm) are heavily burdened by hiv in the u.s., including cisgender sexual minority men, transgender women and men, and non-binary people assigned male at birth. sgm also experience vast health inequities outside of hiv, including mental h","Training Program in Translational Science, HIV, and Sexual and Gender Minority Health",NIH,SCIENTIFIC,"The text refers to ""sexual and gender minorities (sgm)"" and specifies ""cisgender sexual minority men, transgender women and men, and non-binary people assigned male at birth,"" which are categories used in scientific and medical research regarding health disparities.
"
13,gender,"v oropharyngeal cancer, health, health professional, heavy drinking, high prevalence, human papilloma virus vaccination, human papillomavirus, human papilloma virus infection, human papillomavirus 16, incidence, infection, international, intervention, interview, knowledge, lesbian gay bisexual transgender, low income, malignant neoplasms, medical, mouth abnormalities, nurses, oral, oral examination, oral sex, oral cavity, oropharyngeal, patients, persons, pharyngeal structure, physician assistants, physicians, population, prevalence, prevention program, primary prevention, private practice, privatiz",HPV Oropharyngeal cancer and screening in Gay and Bisexual Men,NIH,POLITICAL,"The term ""gender"" is implied within the phrase ""lesbian gay bisexual transgender,"" which refers to social identity and political categories.
"
