id,term,context,title,agency,classification,explanation
1,genders,"h economic burden and numerous physical health consequences. one group at significantly increased risk for eating disorders is sexual minority (sm; e.g., gay, lesbian, bisexual, non-heterosexual) individuals. indeed, nationally representative data in the united states supports that sm adults of all genders have a 2-3-fold increased risk of developing an eating disorder compared to their non-sm peers. critically, these disparities have persisted during the past decade, with no signs of attenuating, making sm individuals one of the most high-risk groups for eating disorders. risk is elevated in sm indi",Targeting Minority Stressors to Improve Eating Disorder Symptoms in Sexual Minority Individuals with Eating Disorders,NIH,POLITICAL,"The term ""genders"" is used in the context of sexual minority individuals and their increased risk of eating disorders. This aligns with the understanding of gender as a social construct and the disparities faced by different gender identities within the sexual minority population, making it a political context.
"
2,genders,"bisexual adolescents' and young adults' risk for depression and suicidal ideation: developmental trajectories, risk and protective factors, and underlying mechanisms project summary  bisexual and other people attracted to multiple genders (bi+) are disproportionately affected by depression and suicidal ideation (si) relative to both heterosexual and gay/lesbian people. rates of depression and si are highest during adolescence and young adulthood, coinciding with peaks in discrimination. despite evidence that bi+ people outnumber gay","Bisexual adolescents' and young adults' risk for depression and suicidal ideation: Developmental trajectories, risk and protective factors, and underlying mechanisms",NIH,POLITICAL,"The term ""genders"" is used to describe a group of people (""attracted to multiple genders"") in a context of discussing disparities in mental health outcomes. This relates to the social and political realities of individuals with different sexual orientations and the discrimination they face, which influences their mental health.
"
3,genders,"evaluating hpv vaccination uptake barriers and its efficacy in plwh men-who-have-sex-with-men (msm), women, and transgenders who are people living with hiv (plwh) are faced with the health disparity of high anal cancer/dysplasia rates. despite the increased risk and incidence, personal barriers related perception, stigma, access to care, fear, and anxiety of anal disease result in a health disparity gap. it is known the ",Evaluating HPV Vaccination Uptake Barriers and its Efficacy in PLWH,NIH,SCIENTIFIC,"The term 'genders' (specifically referring to men, women, and transgenders) is used within the context of a health study investigating HPV vaccination uptake and anal cancer risk in people living with HIV. This aligns with a scientific investigation of health disparities across different gender identities.
"
4,genders,"ation to address confounding bias and investigate cross-level mentalhealth effects project summary/abstract sexual minorities (i.e., individuals who do not identify as heterosexual, or who are attracted to, have romantic relationships with, or have sexual contact with, people of the same or diverse genders) in the us are at a near three-fold increased odds for depression and a two to seven-fold increased risk for lifetime report of suicide attempts, compared with heterosexual individuals. structural sexual minority stigma exposure across various levels (e.g., macro and exo levels) has been purported ",The Socioecology of Sexual Minority Stigma: Data Harmonization to Address Confounding Bias and Investigate Cross-Level MentalHealth Effects,NIH,POLITICAL,"The term ""genders"" is used in the context of defining sexual minorities, which is related to social identity and how individuals are categorized within society. This connects to social and political issues surrounding LGBTQ+ individuals.
"
5,genders,"o preventative sexual health services. the overarching goal of this supplement is to understand social, cultural, and structural influences (social determinants) on sexual health among rural latine sgm aya, such as those who identify as lesbian, gay, bisexual, transgender, queer, intersex and other genders or sexualities (lgbtqi+) in emerging adulthood (ages 18–21). this study will be a 1- year research supplement to the a crecer cohort study (r01hd075787). the parent study follows a cohort of adolescents from age 13 into young adulthood at age 21 in salinas, california, to understand the social fact",Social influences on sexual health among Latinx adolescents and emerging adults who identify as LGBTQ+ in an agricultural community,NIH,POLITICAL,"The term 'genders' is used as part of the LGBTQI+ acronym, which is associated with social identities and political movements. It refers to gender identity, which is a key aspect of self-identification and social categorization.
"
6,genders," retention and career advancement at a science and engineering specialty school in an epscor state that serves a far region. planned activities will not only benefit women tenure-track faculty but will be made available to individuals in other career paths (instructional and research staff), to all genders, and to all ethnicities/races represented on campus. these efforts also will lead to improved educational opportunities for students to learn with a diverse faculty with members fully engaged in campus culture. best practices from sdm efforts will be made available to other institutions in the stat",Adaptation: Empower through Inclusivity: Developing Pathways to Success,NSF,POLITICAL,"The term 'genders' is used in the context of diversity, inclusion, and equity within a university setting, indicating a focus on social identity and representation rather than a purely scientific or biological definition.
"
7,genders,"tive play and structured tasks, with 4d robotic morphing materials, to investigate three research questions. (1) how to support their learning stem concepts and skills? (2) how to challenge their preconceived attitudes about their own abilities in stem, narrow the pre-existing knowledge gap between genders, and decrease stereotype threats? (3) how to contribute to girls gaining new confidence and stem career aspirations? the investigation will combine constructivist learning through doing with design-based approaches of ethnographic action research, open portfolio, and artifact-based interviews.    t","Fostering Aptitudes, Attitudes and Aspirations of Girls in STEM Through 4D Printing of Robotic Materials",NSF,POLITICAL,"The context refers to narrowing the ""pre-existing knowledge gap between genders,"" highlighting a social disparity and an identity-based comparison.
"
8,genders," physics experiments and to increase proficiency in related applications. asp program is based on a close interplay between theoretical, experimental and applied physics. the participating students are selected from the entire african continent to ensure benefits to diverse group of students in all genders.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.",Support for Biennial African School of Fundamental Physics 2024,NSF,POLITICAL,"The phrase ""diverse group of students in all genders"" suggests a focus on equitable representation, aligning with a social and political context rather than a strictly scientific one within the field of physics.
"
9,genders,"g the need for stem education for women. by providing a peer support network, the women of the test case program have automatic support from other women who have completed the same courses and found success with employment in the field of technology. this indicates that providing adequate support engenders success. mentors and peer networks can support students pursuing their stem education (powell, chang). this project will advocate for (1) mentorship, (2) targeted academic advising, (3) internship placement, (4) career advising, (5) alumni network, and (6) employment placement assistance. with wome",BPC-DP IvyWorks Expansion,NSF,POLITICAL,"The text focuses on the need for STEM education for women and support structures to help them succeed in technology, which directly relates to gender equity and social issues.
"
10,genders,"nome folding engender stem cell dysfunction and remodeling of the microenvironment as well as expose the relative susceptibility of each part of the genome to deleterious changes that occur in aging. the second objective is to establish that the aberrant extracellular matrix produced during aging engenders chromatin defects that regulate muscle stem cell expansion. envelope muscle stem cells on myofibers with engineered biomaterials that replicate aspects of an aging endomysium will be used to assess the effect on chromatin architecture and stem cell expansion. extracellular matrix density, elastic m",CAREER: Understanding the Interdependence of the Microenvironment and Nuclear Organization in Stem Cell Aging,NSF,AMBIGUOUS,"The word ""engenders"" is present in the text, not ""genders"". ""Engenders"" means ""causes"" or ""gives rise to"". The context is scientific, referring to biological processes. If the word were ""genders"" then I could classify it.
"
