id,term,context,title,agency,classification,explanation
1,health disparity,"e, gender diversity, gender expression, gender fluid, gene editing technology, genetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision med",NA,NIH,POLITICAL,"The phrase ""health disparity populations"" is listed alongside terms related to social identity categories like gender, race (""people of color""), and nonbinary gender identity. This indicates a focus on disparities experienced by specific population groups, aligning with the socio-political understanding of health disparities.
"
2,health disparity,"der affirmation, gender diversity, gender minority group, health assessment, health care quality, health care service utilization, health difference, health disparity, healthcare burden, high risk, improved, innovation, marginalization, member, novel, peer, poor health outcome, racial minority, routine care, sex, s",NA,NIH,SCIENTIFIC,"The term 'health disparity' is used in a context related to health assessment, healthcare quality, healthcare service utilization, and health outcomes, indicating a technical or scientific usage.
"
3,health disparity,"ohort, community building, community engagement, constructivism, design, digital, direct application, disability, experience, gender minority status, health disparity, health economics, health equity, health goals, high risk, implementation outcomes, improved, indexing, innovation, insight, intimate partner violenc",NA,NIH,SCIENTIFIC,"The term 'health disparity' appears alongside other scientific and research-related terms like 'health economics,' 'implementation outcomes,' 'high risk,' and 'health equity.' This suggests a scientific investigation into differences in health outcomes.
"
4,health disparity,"roviral therapy, assault, base, behavioral health, behavioral outcome, black men who have sex with men, comorbidity, depressive symptoms, experience, health disparity, heart rate variability, home test, hypothalamic-pituitary-adrenal axis, immune function, macrophage, medication compliance, men who have sex with me",NA,NIH,SCIENTIFIC,"The term ""health disparity"" appears alongside other scientific and medical terms, suggesting its usage relates to health inequalities within a specific population group being studied scientifically.
"
5,health disparity,"ign, design, ethnic minority, ethnic minority population, experience, gender diversity, gender minority group, hate crimes, health care availability, health disparity, improved, innovation, interest, intersectionality, minority children, minority stress, obesity risk, population based, population health, psychosoci",NA,NIH,SCIENTIFIC,"The presence of terms like ""population health,"" ""obesity risk,"" and ""health care availability"" alongside ""health disparity"" suggests a scientific investigation into health outcomes within specific populations.
"
6,health disparity,"irth, chemokine, cis-male, cisgender, cultural competence, cytokine, female reproductive tract, female sex hormone, gender affirming hormone therapy, health disparity, hormone therapy, interest, male sex hormones, marginalization, microbial, non-heterosexual, pathogen, response, screening, sex, sexual risk behavior",NA,NIH,POLITICAL,"The presence of terms like ""cis-male,"" ""cisgender,"" ""cultural competence,"" ""gender affirming hormone therapy,"" ""marginalization,"" and ""non-heterosexual"" alongside ""health disparity"" suggests a focus on social determinants of health and inequities experienced by specific populations, which aligns with a political context.
"
7,health disparity," values, depressive symptoms, design, disparity reduction, ethnic minority population, experience, family influence, gender minority, gender minority health disparity, gender minority youth, health inequalities, innovation, interest, knowledge base, member, nonbinary, novel, promote resilience, protective factors, ",NA,NIH,SCIENTIFIC,"The term 'health disparity' is used in the context of research focused on ethnic and gender minorities, health inequalities, and disparity reduction, indicating a scientific investigation of health outcomes in specific populations.
"
8,health disparity,"ners, critical period, depressive symptoms, design, economic disparity, education pathway, emerging adult, emerging adulthood, experience, follow-up, health disparity, health equity, health inequalities, help-seeking behavior, improved, innovation, insight, multidisciplinary, outcome disparities, payment, peer lear",NA,NIH,SCIENTIFIC,"The term 'health disparity' appears within a list of keywords associated with a scientific grant proposal. The presence of related terms like ""health equity,"" ""health inequalities,"" and ""outcome disparities,"" alongside research-oriented terms suggests a scientific investigation into differences in health outcomes.
"
9,health disparity,"on, assault, bullying, coping, cyberbullying, design, diaries, emotion dysregulation, emotion regulation, emotional distress, experience, harassment, health disparity, high risk, improved, insight, intervention program, life span, minority stress, minority subjects, negative affect, nicotine use, novel, peer, peer ",NA,NIH,SCIENTIFIC,"The term ""health disparity"" appears in a list of keywords associated with a scientific grant proposal. The surrounding terms (""high risk,"" ""intervention program,"" ""emotion dysregulation,"" ""minority stress"") suggest a focus on specific populations and health outcomes, aligning with the scientific investigation of health disparities.
"
10,health disparity,"ge, diversity and inclusion, early-career faculty, environmental change, equity  diversity  and inclusion, evidence base, experience, faculty mentor, health disparity, improved, innovation, instrument, peer, people of color, professor, programs, recruit, response, success, tenure track, working group",NA,NIH,POLITICAL,"The term 'health disparity' is listed alongside terms like ""diversity and inclusion,"" ""equity,"" and ""people of color,"" indicating a focus on social and political aspects related to health equity.
"
