id,term,context,title,agency,classification,explanation
1,health equity,"get populations, testing, text, training, translating, trust, twitter, urbanicity, vaccination, variant, caucasian american, combat, computer framework, computerized tools, current pandemic, design, disparities in morbidity, distrust, experience, flexibility, health communication, health disparity, health equity, individual response, infodemic, insight, lens, machine learning model, media use, mortality, novel, pandemic disease, patient oriented, population health, predictive modeling, preference, prospective, racial disparity, racial diversity, rapid technique, recruit, response, rural americans, rural ar",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,SCIENTIFIC,"The term 'health equity' appears alongside other scientific and public health terms like ""disparities in morbidity,"" ""racial disparity,"" ""population health,"" and within the context of a grant focused on addressing COVID-19 misinformation and its impact on specific communities. This suggests its usage is aligned with a scientific investigation of health disparities and efforts to achieve equitable health outcomes.
"
2,health equity,"ny community-hospital-academic maternal health equity partnerships (ny-champ) overall: project summary/abstract the broad goal of the new york community-hospital-academic maternal health equity partnerships (ny- champ) is to upend the maternal healthcare ecosystem in new york city (nyc) and new york state (nys) by establishing a sustainable, highly co",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term 'health equity' is used in the context of addressing systemic issues within the maternal healthcare ecosystem, implying a focus on social determinants of health and disparities, aligning with a political and social justice perspective.
"
3,health equity,"tiveness testing, effectiveness/implementation study, effectiveness/implementation trial, empowerment, evidence base, experience, experimental study, family support, gender affirming care, gender affirming therapy, gender diverse, health determinants, health disparity, health disparity populations, health equity, health inequalities, high risk, hormone therapy, implementation evaluation, improved, innovation, insight, minority stress, multiphase optimization strategy, peer, pilot test, primary outcome, programs, provider networks, psychological distress, racial diversity, racial minority, reducing suicide,",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The grant title and associated keywords such as ""gender-diverse,"" ""empowerment,"" ""health disparity populations,"" ""health inequalities,"" ""racial diversity,"" and ""minority stress"" strongly suggest a focus on social justice and addressing systemic inequalities related to identity and social factors, which aligns with the political context of health equity.
"
4,health equity,"ust, united states national institutes of health, victimization, work, active control, alcohol risk, arm, binge drinking, bullying, comparison group, demographics, design, dosage, effectiveness/implementation trial, efficacy testing, efficacy trial, evidence base, experience, gender minority youth, health equity, help-seeking behavior, implementation intervention, internalized stigma, intervention delivery, intervention participants, media use, minority stress, minority stressor, mortality, nonbinary, novel, pilot test, prevent, primary outcome, programs, recruit, reduced alcohol use, secondary outcome, se",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""health equity"" is used in relation to ""sexual and gender minority youth"" and concepts like ""minority stress"" and ""internalized stigma,"" which are inherently tied to social and political factors influencing health outcomes in marginalized populations.
"
5,health equity,"lic health, qualitative methods, research, self efficacy, sex behavior, sexual health, sexual and gender minorities, structure, surveys, syphilis, testing, united states, work, behavior change, burden of illness, community advisory board, effectiveness evaluation, experience, gender minority group, health equity, implementation barriers, implementation framework, implementation research, implementation science, implementation strategy, innovation, interest, men, men who have sex with men, novel, oral hiv, patient population, people of color, pre-exposure prophylaxis, pressure, prevent, provider-level barri",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,SCIENTIFIC,"The term 'health equity' is used in the context of implementation research and delivery of syphilis prevention, specifically aiming for equitable delivery. This aligns with a scientific approach to addressing disparities in health outcomes.
"
6,health equity,"increasing financial and health equity among low income black youth and young adults project summary black emerging adults (bea), ages 18-24, in the u.s. experience higher levels of poverty, illness, and discrimination than white youth. these exposures to harm, coupled with the lack of supportive services to address and mitigate poverty",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The term 'health equity' is used in the context of addressing disparities in health outcomes experienced by a specific demographic group (low income black youth and young adults) compared to another (white youth), linking it to social determinants of health like poverty and discrimination. This aligns with a political understanding of health equity as a matter of social justice and fairness.
"
7,health equity," and necessary skills in social and pharmacoepidemiology and transgender mental health. this plan will prepare him to successfully complete the proposed aims and to progress into a role as an independent, interdisciplinary researcher studying the intersection of pharmacoepidemiology and transgender health equity in the us. the applicant is extremely well supported by an interdisciplinary group of social, psychiatric, and pharmacoepidemiology faculty, health disparities researchers, and pharmaceutical researchers with the requisite expertise to support his doctoral research and prepare him for the next phas",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The phrase ""transgender health equity"" is used in the context of addressing disparities and promoting fairness in healthcare access and outcomes for transgender individuals, indicating a social and political dimension related to identity and justice.
"
8,health equity," for disease control and prevention. ultimately, the study will help move forward efforts to reduce racial/ethnic health inequities, one of the nation’s major public health priorities. this proposal is directly relevant to the rfa on transformative research to address health disparities and advance health equity at minority serving institutions. the project is led by sfsu – a hispanic serving institution-- in collaboration with two latinx community-based organizations: la familia and chicago queer latinx collaborative. we are a multidisciplinary research team with the depth and breadth of experience on hiv",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The term is used in the context of addressing racial/ethnic health inequities as a national public health priority and is linked to a grant focused on minority serving institutions and community-based organizations, indicating a focus on social and political factors influencing health.
"
9,health equity,"urveys, techniques, time, time trend, tobacco use, united states, unsafe sex, vulnerable populations, work, youth, aging population, alcohol consequences, alcohol risk, behavioral and social science, binge drinking, college, comparative, drug of abuse, ethnic minority, experience, health disparity, health equity, high school, individual variation, innovation, interdisciplinary collaboration, large datasets, lens, male, marginalization, minority stress, multilevel analysis, non-suicidal self injury, novel, outcome disparities, peer, physical conditioning, psychological distress, racial minority, risk minimi",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,SCIENTIFIC,"The term 'health equity' appears alongside other scientific and research-related keywords such as 'health disparity', 'vulnerable populations', 'outcome disparities', 'interdisciplinary collaboration', and specific health risk factors like 'alcohol risk', 'tobacco use', and 'mental health'. This suggests its use in the context of a scientific investigation of health outcomes across different population groups.
"
10,health equity,"ations (e.g., asexual, pansexual, queer), lack the ability to select multiple options, and fail to account for changes in identity over time. without comprehensive, validated measures to assess ssogi, the ability to understand the magnitude of sgm disparities or how best to intervene to promote sgm health equity is limited. therefore, it is vital to develop standardized, flexible measures for use across diverse demographics and regions. this project will address these gaps through iterative, community-engaged development of new ssogi measures, and will assess the effectiveness of new vs. prior measures to ","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,SCIENTIFIC,"The phrase ""promote SGM health equity"" is directly tied to the scientific goal of understanding and intervening to address disparities in health outcomes among sexual and gender minorities. The context emphasizes the development of standardized measures to assess these disparities, a key component of scientific research aimed at achieving health equity.
"
11,health equity,"stance use disorder, training, translating, translational research, underrepresented minority, universities, white women, woman, work, behavioral health, black women, community engagement, community organizations, community partners, community partnership, coral, effective intervention, experience, health equity, innovation, maternal morbidity, neglect, next generation, pregnant, programs, reproductive, technological innovation",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The term 'health equity' is used in the context of addressing disparities in reproductive justice and behavioral health among Black pregnant/postpartum women and birthing people. This explicitly connects to a social and political goal of fair and just health outcomes for a specific population, indicating a political usage.
"
