id,term,context,title,agency,classification,explanation
1,health equity,"ral determinants of health to alleviate disparities and promote sgd safety and well-being. the proposed research will fulfill the dissertation and degree requirements for ms. kennedy, phd student at the johns hopkins bloomberg school of public health. the training will be mentored by experts in sgd health equity, policy evaluation, social science methods, and translational science with one sponsor, one co-sponsor, and two collaborators. the training plan outlines didactic coursework, trainings, and workshops, experiential learning via research assistantships, mentored dissertation study, and other advanced",Characterizing Economic Determinants of Violence and Safety Disparities Among Sexual and Gender Diverse Populations,NIH,SCIENTIFIC,"The term ""health equity"" is used in connection with research, training, and expertise related to sexual and gender diverse (SGD) populations within the context of public health and scientific methods.
"
2,health equity,"bacco use, training, translating, united states, voice, work, behavior change, behavior influence, burden of chronic illness, clinical care, community partners, digital, digital health, disorder prevention, effective intervention, ethnic minority, evidence base, experimental study, gender minority, health equity, health inequalities, improved, industry involvement, industry partner, innovation, meetings, member, mid-career faculty, model design, mortality, nutrition, posters, prevent, psychosocial, public health relevance, racial minority, sedentary lifestyle, skills, success, theories, therapy design",Society of Behavioral Medicine 2024 Annual Meeting & Scientific Sessions,NIH,POLITICAL,"The presence of terms like ""ethnic minority,"" ""gender minority,"" ""racial minority,"" ""health inequalities,"" and ""public health relevance"" alongside ""health equity"" suggests a focus on disparities and social determinants of health, aligning with the political dimension of health equity.
"
3,health equity,"center for health equity research (cher) abstract the nimhd-funded center for health equity research (cher) was established in 2017 at the university of illinois at chicago (uic), as a groundbreaking and inclusive hub of research and community partnerships to advance health equity and eliminate health inequalities among mi",Center for Health Equity Research (CHER),NIH,SCIENTIFIC,"The term ""health equity"" is used in the context of a research center and its goal to advance health equity and eliminate health inequalities, indicating a focus on scientific investigation and outcomes related to health disparities.
"
4,health equity,"reporting, research, research project grants, resources, risk, schools, services, shelter facility, system, third pregnancy trimester, united states, work, barrier to care, community engaged research, community organizations, health care availability, health disparity, health disparity populations, health equity, health inequalities, high risk population, improved, innovation, longitudinal care, medical vulnerability, novel, participant enrollment, policy implication, programs, service providers, volunteer",Humanitarian Health Care Network: Bringing the Most Vulnerable to Care,NIH,SCIENTIFIC,"The grant text includes related scientific terms like ""health disparity,"" ""health inequalities,"" ""community engaged research,"" and mentions research-oriented activities like ""reporting,"" ""research,"" and ""research project grants."" This suggests 'health equity' is being used in the context of scientific inquiry into health disparities and inequalities.
"
5,health equity,"ral intersectionality approach to examine relationships between ssd and hiv prevention and treatment outcomes among latine sgm persons (aim 3). this study will advance the science of ssd by using community- engaged, rigorous, and reproducible approaches to develop ssd measures for latine and/or sgm health equity research across multiple domains of health. we will make the validated indices and their underlying datasets publicly available for the research community, alongside consensus-based guidelines for selection and application of ssd measures. a multipronged dissemination and policy translation strateg",Measures of structural stigmatization and discrimination for HIV research with Latine sexual and gender minorities,NIH,SCIENTIFIC,"The phrase ""Latine and/or sgm health equity research across multiple domains of health"" indicates that 'health equity' is being used in the context of scientific research aiming to address health disparities in specific populations.
"
6,health equity,"rces, respondent, risk, running, sampling, scientist, services, social environment, social support, source, spatial distribution, study of latinos, subgroup, time, training, training programs, trust, united states, built environment, caucasian american, cost, depressive symptoms, experience, falls, health equity, health inequalities, hispanic community, implementation research, improved, insight, interest, marginalized community, multilevel analysis, neighborhood association, population based, residential segregation, segregation, single episode major depressive disorder, skills, social cohesion, social cu","Neighborhood Social Environment, Composition and Depression in Latinx",NIH,POLITICAL,"The presence of terms like ""health inequalities,"" ""marginalized community,"" ""Hispanic community,"" ""residential segregation,"" and ""segregation"" strongly suggest that 'health equity' is being used in a context related to social determinants of health and disparities, which aligns with a political framing of the term.
"
7,health equity,"partners in research: building capacity for community-driven research to advance health equity abstract structural factors of health inequities are the systemic and societal conditions that contribute to disparities in health among different populations. these disparities often stem from racial and socioeconomic discrimination that are deeply intertwined in historical, social, economic, and ",Partners in Research: Building capacity for community-driven research to advance health equity,NIH,POLITICAL,"The text links health equity to structural factors of health inequities stemming from racial and socioeconomic discrimination, placing it within a social and political context of disparities and discrimination.
"
8,health equity,"o adapt girl2girl to address social and structural influences of sexual behavior of afab trans-identified youth, including significant social stressors, discrimination, dysphoria and rejection. in so doing, this proposal addresses the national institute of nursing research’s (ninr) research lens on health equity. it also speaks to ninr’s research lens on prevention and health promotion across the prevention continuum by including both sexually experienced and inexperienced youth. specifically, we aim to:  specific aim 1: with ongoing feedback from trans-identified youth assigned female at birth, adapt girl",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys,NIH,POLITICAL,"The term ""health equity"" is used in connection to addressing social stressors, discrimination, dysphoria, and rejection experienced by transgender boys, indicating a focus on social and identity-related factors that influence health outcomes. The reference to NINR's research lens further suggests alignment with broader policy goals related to addressing health disparities.
"
9,health equity,"civic-pg track b: advancing health equity in western kansas rural communities affected by gender-based violence: a survivor-centered advocacy approach gender-based violence is a pervasive public health issue, particularly in rural communities where access to support services is often limited. this project aims to address these gaps in heal",CIVIC-PG Track B: Advancing Health Equity in Western Kansas Rural Communities Affected by Gender-Based Violence: A Survivor-Centered Advocacy Approach,NSF,POLITICAL,"The term 'health equity' is used in the context of addressing disparities related to gender-based violence and limited access to support services in rural communities, which are inherently social and political issues.
"
10,health equity," and necessary skills in social and pharmacoepidemiology and transgender mental health. this plan will prepare him to successfully complete the proposed aims and to progress into a role as an independent, interdisciplinary researcher studying the intersection of pharmacoepidemiology and transgender health equity in the us. the applicant is extremely well supported by an interdisciplinary group of social, psychiatric, and pharmacoepidemiology faculty, health disparities researchers, and pharmaceutical researchers with the requisite expertise to support his doctoral research and prepare him for the next phas",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term ""transgender health equity"" is used to describe the applicant's future research focus, highlighting disparities and aiming for fairness in healthcare access and outcomes for transgender individuals. This aligns with the broader social and political goal of achieving equity for marginalized groups.
"
