id,term,context,title,agency,classification,explanation
1,historically,"r viral load testing during use, but the feasibility and impact of these strategies are unknown. robust evidence on early use and outcomes of lai prep is needed to design implementation strategies to minimize hiv infections, inequities in use, and drug resistance. large-scale oral prep studies have historically relied on prescription data, with limited ability to evaluate key determinants (e.g., race), barriers to use, or clinical outcomes. research in healthcare systems can combine the breadth of electronic health record (ehr) data with the depth of qualitative studies to guide efficient and equitable im",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"The text discusses research methodologies in large-scale oral PrEP studies. ""Historically"" refers to past research practices and their limitations in evaluating certain factors relevant to the study.
"
2,historically," region is rural, with many communities geographically isolated and lacking access to health care. this, in addition to poverty, low education and high levels of chronic disease, place this population at significant risk of complications and mortality due to covid-19 infection. in a population that historically has distrusted institutions, vaccination interventions must leverage culturally appropriate community partnerships and strategies. the purpose of this community-engaged study is to optimize sars-cov-2 vaccine uptake by this highly vulnerable appalachian kentucky population. we will achieve three sp",K-VAC: Kentucky Vaccinating Appalachian Communities,NIH,POLITICAL,"The term 'historically' refers to a long-standing pattern of distrust towards institutions, which is a social and political issue, especially in the context of vaccination uptake.
"
3,historically," are greatest during adolescence and persist into adulthood, and are generally attributed to the unique interpersonal stressors that they face (e.g., sexual orientation-related rejection). given that rejection is a robust risk factor for mental health problems, especially during adolescence, it has historically been the focus of research on sm individuals' mental health. however, in addition to experiences of rejection, expectations of rejection and the emotions that accompany them also play important roles in mental health. the rejection sensitivity (rs) theory proposes that early experiences of rejectio",A longitudinal and experience sampling investigation of rejection sensitivity and its role in sexual minority adolescents' mental health,NIH,SCIENTIFIC,"The term ""historically"" refers to the past focus of scientific research on sexual minority individuals' mental health, specifically on the role of rejection.
"
4,historically,"l prepared to mobilize to address these crises because of longstanding legacies of intersectional discrimination whereby behavioral health problems are neglected within the field of maternal health and the field of behavioral health neglects maternal health. black women in particular have suffered: historically and presently, approaches to address black maternal mortality and behavioral health have systematically failed to engage communities with lived experience. led by a partnership of morehouse school of medicine, emory, and a robust network of community-based organizations, and guided by principles of",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The term 'historically' references systemic failures rooted in discrimination and marginalization, impacting Black women's access to maternal and behavioral health services. This points to a social and political context shaped by historical injustices.
"
5,historically,"igned at birth, and societal expectations of gender and beauty, are factors that can affect a tgd youth's relationship with their body, eating, and exercise. tgd youth are at higher risk of disordered eating behaviors (deb) and experience unique cognitions that contribute to deb; however, they have historically been excluded from deb research. additionally, extant deb research with tgd youth is limited due to a lack of representation of subpopulations of tgd youth participants, mainly non-binary youth and tgd youth of color. these gaps in research limit the field's ability to provide culturally specific c",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,POLITICAL,"The term highlights the historical exclusion of transgender and gender-diverse (TGD) youth from disordered eating behavior (DEB) research, framing it as a matter of social justice and representation.
"
6,historically,"oung adults (yas). sexual minority young adults (smyas) are a growing population disproportionately impacted by tobacco use, as they report higher rates of current use, initiation of use, escalations in use, and fewer successful quit attempts relative to heterosexual yas. however, this research has historically focused on smyas residing in urban areas, despite that 20% of us smyas reside in rural areas. this is a significant limitation, as: 1) rural yas exhibit higher rates of tobacco use and related disease; and 2) smyas face unique challenges (e.g., mental health problems, family stress, less peer suppo",Elucidating minority stress influences on tobacco use at the intersection of sexual orientation and rurality,NIH,SCIENTIFIC,"The term 'historically' refers to a trend observed in previous scientific research, indicating a bias or limitation in the existing body of knowledge concerning the specific population under study.
"
7,historically,"eristics, communication, communities, complement, development, disabled persons, discipline, doctor of philosophy, education, ethnic origin, evaluation, face, faculty, feedback, fellowship, funding, gender, goals, government, graduate education, group meetings, health, hispanic-serving institution, historically black colleges and universities, human, individual, industry, institution, institutional policy, institutional practice, instruction, international, investments, justice, knowledge, literature, mentors, mentorship, mission, national institute of general medical sciences, oral, outcome, paper, perso",PREP at University of Georgia,NIH,POLITICAL,"The term ""historically black colleges and universities"" refers to institutions established before the Civil Rights Act of 1964 with the primary mission of educating African American students, which is a matter of social justice and political history.
"
8,historically,"ine and ameliorate environmental health disparities. we house a career development program that has successfully supported scientists at columbia university and will now also work with agents of change in environmental justice, a national program that trains and empowers emerging investigators from historically excluded backgrounds. our integrated health sciences facility core will integrate the expertise of six laboratories in sampling, processing, and state-of-the-art analysis of environmental and biological matrices. our study design and data science facility core facilitates the use of contemporary st",Center for Environmental Health and Justice in Northern Manhattan,NIH,POLITICAL,"The phrase ""historically excluded backgrounds"" refers to groups that have faced systemic discrimination and marginalization due to their race, ethnicity, or other social identities, which is a political and social justice issue.
"
9,historically,"ing, data control, and ownership. this proposal builds on our research of the pursuit of diversity in precision medicine research, where we found that institutional practices constrain possibilities for benefits and create challenges for equitable partnerships in genomics research seeking to engage historically underrepresented populations. we seek to contribute to a conceptual understanding of the principle of justice, empirical possibilities for its realization in the equitable distribution of benefits, and practical implications for research institutions and infrastructure. to achieve these objectives,",Just Inclusion and Equity: Negotiating Community-Research Partnerships in Genomics Research (JUSTICE),NIH,POLITICAL,"The term ""historically underrepresented populations"" refers to a social and political context of systemic inequalities and power dynamics that have led to the underrepresentation of certain groups.
"
10,historically,"ality virtual content. area, award, biomechanics, biomedical engineering, cells, child care, collaborations, communities, development, disabled persons, discipline, doctor of philosophy, education, educational workshop, ensure, event, faculty, fees, female, financial support, funding, goals, grant, historically black colleges and universities, hour, industry, institution, international, leadership, liquid substance, mechanics, mentors, mentorship, mission, oral, paper, participant, persons, rehabilitation therapy, research, research personnel, research technics, resort, scientific societies, social intera","Summer Biomechanics, Bioengineering, and Biotransport Conference",NIH,POLITICAL,"""Historically black colleges and universities"" is a phrase referring to institutions with a specific history related to racial segregation and access to education. This is a political and social context.
"
