id,term,context,title,agency,classification,explanation
1,historically,"perience, informing relevant, feasible, and appropriate decision making and interventions to make cities safer and to meet the varying needs of males, females, and incarcerated populations. the project also replicates the initial study’s research strategy, creating a collaborative of researchers at historically black colleges and universities (hbcu). this collaborative approach increases the application of the study findings beyond a single site or city. it also strengthens and advances hbcu research capacity, developing the next generation of researchers, informing decision making and practice, and engag",Excellence in Research: Understanding Firearm Possession Among Young Adults,NSF,POLITICAL,"The term ""historically"" refers to Historically Black Colleges and Universities (HBCUs), which is a recognition of their historical role in providing educational opportunities to Black students in the context of racial segregation and discrimination. This connects to broader societal and political issues of race, equity, and access to education.
"
2,historically,"e ethical, effective, and relevant research. the project will test the hypothesis that training in understanding the relationship between environmental change and culture will produce scholars capable of engaging in research that addresses the disproportionate environmental impact on vulnerable and historically marginalized communities. an expected outcome is that providing climate and environmental scientists with training in environmental justice, science & technology studies, indigenous studies, ethnic studies, and community-engaged research will elevate their capacities to be agents of ethical change.","Asking Different Questions in Climate Change Science, Impact, Mitigation and Adaptation",NSF,POLITICAL,"""Historically marginalized communities"" refers to a social and political context of marginalization and oppression.
"
3,historically,"g equity remains challenging. learners and professionals in the isl field predominantly experience science, technology, engineering, and mathematics (stem) through a eurocentric or western paradigm, which reinforces and seeks to normalize the perspectives and practices of privileged groups who have historically dominated stem fields. learners/professionals with worldviews and ways of learning different from what is presented as normative in stem may experience exclusion, face difficulties, or be pressured to assimilate, which may add barriers to their engagement and success in stem. while there is a growi",The Cultural Roots of STEM: A Synthesis of Non-Western STEM Learning Paradigms,NSF,POLITICAL,"The term ""historically dominated"" refers to the historical power structures and social inequalities that have shaped STEM fields, making it a political and social context.
"
4,historically,"ority participation (mi-lsamp) the louis stokes alliances for minority participation (lsamp) program assists universities and colleges in diversifying the science, technology, engineering and mathematics (stem) workforce through their efforts at significantly increasing the numbers of students from historically underrepresented groups (african-americans, hispanic americans, american indians or alaska natives, native hawaiians or other pacific islanders) to successfully complete high quality degree programs in stem. the michigan louis stokes alliance for minority participation (mi-lsamp), a stem pathways a",Louis Stokes New STEM Pathways and Research Alliance-Michigan Louis Stokes Alliance for Minority Participation (MI-LSAMP),NSF,POLITICAL,"The term 'historically underrepresented groups' refers to a specific social and political classification of groups that have faced systemic barriers to participation in STEM fields.
"
5,historically,"plus me: a novel professional development approach for hbcu stem faculty the historically black colleges and universities – undergraduate program (hbcu-up) is designed to enhance the quality of both undergraduate stem education and research at hbcus to broaden participation in the nation's stem workforce.  as such, hbcu-up provides support to principal investigators who are committed to",PLUS ME: A Novel Professional Development Approach for HBCU STEM Faculty,NSF,POLITICAL,"The term ""historically"" refers to the historical context of racial segregation and discrimination that led to the establishment of Historically Black Colleges and Universities (HBCUs). This is a social and political context related to race and access to education.
"
6,historically,they will summarize the findings and share with their campuses and science community while also strategizing how to expand nationally.    there are a multitude of studies that document the inadequacies of the current academic system for people of color and proposals targeted to improve retention of historically minoritized students. this planning project is a grassroots approach to discern issues specific to woc in the geosciences. the activities align and leverage existing programs; bolster mentoring and training; and explore radical change that promotes the long term success and health of woc in the geo,Planning Grant: Collaborative Research: The WinG Collective: An initiative to support Women of Color in the Geosciences,NSF,POLITICAL,"The term ""historically minoritized students"" refers to a group of people who have been marginalized due to social and political structures and power dynamics throughout history. This highlights issues of equity, diversity, and inclusion, which are fundamentally political in nature.
"
7,historically,"ial in new and emerging technologies, science, and business. to build a broad base of quantum literacy, knowledge, and confidence, the beginnings: building educational growth for industry (begin) learning—quantum literacy, quantum ai, and quantum machine learning project will engage women and other historically underrepresented students in learning the importance of quantum applications. this accelerated, 6-week experiential learning will include quantum machine learning, quantum ai, and quantum literacy through hands-on experience, mentoring, and building community of quantum trained technicians. through","Beginnings: Building Educational Growth for Industry (BEGIN) Learning—Quantum Literacy, Quantum AI, and Quantum Machine Learning",NSF,POLITICAL,"The phrase ""historically underrepresented students"" refers to a social and political issue of unequal representation in a field based on group identity.
"
8,historically,"ers, their own life situations, and career aspirations. the synergy among these strategies is a promising approach to stimulate the learning of cs for this population; thus, the project’s activities will explore creative and transformative approaches targeted at enabling the participation of groups historically underrepresented in cs careers. specifically, the research questions addressed in this project include investigating how legacy++ activities foster a perception of cs as a communal endeavor, how creating a community of learners can strengthen participants’ identity with cs/technical careers and red",Collaborative Research: SEI: Creating a Lasting LEGACY - Scaling a Peer-learning Community Model to Provide AP CS Preparation and Career Awareness for Black Young Women,NSF,POLITICAL,"The phrase ""historically underrepresented"" refers to a social and political reality of unequal access and opportunity, making it a political usage.
"
9,historically,"marc at san diego state university project summary a creative, innovative biomedical workforce depends on diverse teams lead by phd scientists trained in technical skills and culturally-aware people skills. the united states’ population of historically excluded groups, which include those from underrepresented minorities (urms), disadvantaged backgrounds, and/or those with disabilities, is growing, corresponding to an increased interest in stem fields. however, barriers to equity and access have led to lower rates of entry into phd programs and s",MARC at San Diego State University,NIH,POLITICAL,"""Historically excluded groups"" refers to groups that have been systematically disadvantaged due to social and political factors, specifically underrepresented minorities, disadvantaged backgrounds, and people with disabilities. This usage connects to issues of equity, access, and representation in STEM, which are inherently political and social concepts.
"
10,historically,"pating in this program. the project seeks to generate new knowledge about inclusive pedagogical practices to increase the connection of students with classroom materials, and shed light into new strategies to impact students’ persistence in stem majors that promote the retention of marginalized and historically underrepresented minority students in stem. the hsi program aims to enhance undergraduate stem education and build capacity at hsis. projects supported by the hsi program will also generate new knowledge on how to achieve these aims.    this award reflects nsf's statutory mission and has been deeme",HSI Pilot Project: Including others in the teaching and practice of STEM disciplines,NSF,POLITICAL,"""Historically underrepresented minority students"" refers to a group defined by historical and ongoing social and political factors.
"
11,historically,"ributions of mathematical excellence in teaching and learning teachers’ beliefs influence their instructional decisions and these decisions shape the mathematical learning opportunities for all students. this is particularly important when considering the learning opportunities for groups that have historically been marginalized in mathematics, including girls and students of color. there are few validated, mathematics-specific instruments that measure teachers’ beliefs about mathematics learning related to race, ethnicity, and gender. this project seeks to investigate teachers’ beliefs related to how the",Attributions of Mathematical Excellence in Teaching and Learning,NSF,POLITICAL,"The term 'historically' refers to the historical marginalization of girls and students of color, which is a social and political issue.
"
12,historically," science research that advocates for social justice and transforming data science discoveries into tangible benefits that advance equity for all. the potential for the perpetuation of harm through biased data technologies and algorithms is well documented. the ndsa establishes a national network of historically black colleges and universities (hbcus) with industry, government, and academic collaborations to apply an equity-centered, collective approach to increase the number of black data science professionals and eliminate harmful biases in data-driven models. the proposal involves three hbcus, organized",NSF INCLUDES Alliance: National Data Science Alliance (NDSA),NSF,POLITICAL,"The term ""historically black colleges and universities (HBCUs)"" refers to institutions established before the Civil Rights Act of 1964 with the primary mission of educating African American students. This is inherently a social and political context tied to racial segregation and equity.
"
13,historically,"uity-driven interventions to support stem achievement. gateway mathematics courses are the first transfer-level mathematics course taken by most students intending to pursue a stem major. these courses traditionally have a high failure rate, and are a common barrier for stem-intending students from historically underserved communities. in addition, these courses are undergoing a shift as state law is impacting policies related to student placement. with this project, a collaborative team from a two-year institution and a four-year institution will analyze trends in student success, develop classroom-based",Mathematics Persistence through Inquiry and Equity: Redeveloping Gateway Mathematics in a Two-year HSI to Promote Success in STEM,NSF,POLITICAL,"""Historically underserved communities"" is a phrase used to describe groups that have faced systemic barriers and discrimination, a political and social issue.
"
14,historically,"that explain why biases against asians can occur (e.g., being seen as foreign and high achieving). the current project expands on past work by exploring a unique contributor to biases against asians based on interdisciplinary research on dehumanization. specifically, it is proposed that asians have historically been viewed in the u.s. as like machines or robotics, indicating that they are subject to “mechanistic dehumanization.” integrating this dehumanization perspective with social and industrial-organizational psychology research, this project develops a theoretical model to explain how asians in the u","SBP: CAREER: Mechanistic Dehumanization of Asians: Identifying Causes, Consequences, and Countermeasures for a More Inclusive STEM Workforce",NSF,POLITICAL,"The term ""historically"" is used to describe a social and political phenomenon, the dehumanization of Asians in the U.S., which is related to identity and social bias.
"
15,historically,"xcellence: inclusive mentoring in stem the louis stokes alliances for minority participation (lsamp) program assists universities and colleges in diversifying the science, technology, engineering and mathematics (stem) workforce through efforts to significantly increase the numbers of students from historically underrepresented minority populations (african-americans, hispanic americans, american indians or alaska natives, native hawaiians or other pacific islanders) to successfully complete high quality stem degree programs.    the louis stokes inclusive mentoring in science, technology, engineering and ",Louis Stokes Regional Center of Excellence: Inclusive Mentoring in STEM,NSF,POLITICAL,"The term ""historically underrepresented minority populations"" refers to a group defined by social and political factors and their historical disadvantage in STEM fields.
"
16,historically,", st. augustine’s university, virginia commonwealth university, and virginia polytechnic institute and state university. through this project, the alliance will implement activities to support student success by improving retention, participation in undergraduate research, and the overall number of historically underrepresented populations graduating with stem degrees from the eleven alliance institutions. through this effort, researchers involved in this project believe that the improved results will strengthen the stem workforce in the states of virginia and north carolina and ultimately contribute to a",Louis Stokes New STEM Pathways and Research Alliance: Virginia--North Carolina (2023-2028),NSF,POLITICAL,"""Historically underrepresented populations"" refers to groups of people who have faced systemic barriers and discrimination in STEM fields based on their race, ethnicity, gender, or other social identities, making it a political and social equity context.
"
17,historically,"opulation in the united states.  nih funding is also essential for academic careers in biomedical research fields.  several researchers have documented race and ethnicity differences in the likelihood of receiving nih funding.  however, a full account of the career challenges facing scientists from historically underrepresented groups has been hampered by a lack of access to data on science faculty linked to their publications and grants.  this study will construct a dataset that identifies the race, gender, academic field, academic rank, publications, citations and grants of individual scientists by link",SCISIPBIO: Examining the Career Barriers Confronting African American or Black Biomedical Scientists,NSF,POLITICAL,"The term ""historically underrepresented groups"" refers to a social and political context of systemic disadvantages faced by certain racial and ethnic groups.
"
18,historically,"m enterprise and their impact on individuals, families, and communities. this project is potentially transformative because it causes people to re-think how science is represented in individuals, their families, and their communities. it is important for all children and families to understand that historically underrepresented people have always been an integral part of science. consistent with nsf’s pillar of accessibility and inclusivity and core values of diversity and inclusion, this project seeks to increase stem engagement, curiosity, and belonging for multigenerational families historically underr",Scientists in the Family: Engaging Black Communities in STEM Through Accessible and Inclusive Science Stories,NSF,POLITICAL,"The term ""historically underrepresented"" refers to a demographic group that has faced systemic barriers to access and inclusion, which is a social and political issue.
"
19,historically,"arolina state university, north carolina agricultural and technical state university and the university of north carolina at charlotte, are collaborating to develop, implement and study the agep north carolina alliance model for creating institutional, department-level and faculty change to promote historically underrepresented minority us citizens who are completing their stem doctoral degrees and progressing into faculty positions.    this alliance was created in response to the nsf's alliances for graduate education and the professoriate (agep) program solicitation (nsf 16-552) the agep program seeks t",Collaborative Research: AGEP North Carolina Alliance: An Institutional Transformation Model to Increase Minority STEM Doctoral Student and Faculty Success,NSF,POLITICAL,"""Historically underrepresented minority US citizens"" is a phrase used to acknowledge past and ongoing systemic disadvantages faced by certain racial and ethnic groups, which is a political and social context.
"
20,historically,"uire strong teamwork.  by creating an innovative simulation to support mathematics collaborative skills development and stem career identities, and grounding its use in informal learning environments that capitalize on youths’ cultural assets, this project will increase the likelihood that students historically underrepresented in stem careers will persist in the stem career pipeline. the project’s work will result in three simulation modules, program materials supporting their use in informal learning environments, and initial research evidence about their implementation and impacts.     the simulations ",Collaborative Research: Engaging Adolescents through Collaboration on Simulated STEM Career Scenarios and Mathematics Activities,NSF,POLITICAL,"The term 'historically underrepresented in STEM careers' refers to a social and political issue related to disparities in STEM participation based on factors like race, gender, or socioeconomic background.
"
