id,term,context,title,agency,classification,explanation
1,identity,"sexual orientation-related disparities in obstetrical and perinatal health project summary/abstract  compared to heterosexual women, sexual minority women (i.e., those with same-sex attractions, same-sex behavior, and/or a lesbian/gay/bisexual identity) are vulnerable to poor gynecological health; for ex- ample, they are more likely to experience sexual assault and to encounter barriers to care. yet, despite the mounting evidence of these gynecological disparities, little is known about the extent to which obstetrical and perinatal health differ ",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term ""identity"" in ""lesbian/gay/bisexual identity"" refers to a social identity based on sexual orientation. While the grant proposal is scientific, the use of ""identity"" here relates to a social and self-defined group.
"
2,identity,"es and a burgeoning body of research using population-level data has assessed the healthcare utilization of tgd individuals, much of this research has focused on younger tgd people. little national data exist on the health of older tgd people (i.e., 55 and older). older adults, regardless of gender identity, are at increased risk of developing comorbidities that burden the healthcare system. tgd older adults are expected to be at even higher risk of developing multiple, concurrent health problems than cisgender people due to the stigma-related stress they experience throughout their lives. further, li",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,SCIENTIFIC,"The term 'gender identity' is used to categorize and differentiate between transgender and cisgender individuals in the context of health research, specifically focusing on health disparities and healthcare utilization. This aligns with a scientific and technical use of the term within the field of health sciences.
"
3,identity,"th, collaborations, communication, communities, community of practice, consultations, continuing education, disparity, dose, education, educational process of instructing, effectiveness, equity, ethnic origin, evidence based intervention, face, family, feeling suicidal, focus groups, gender, gender identity, general population, health, health services accessibility, healthcare, heterogeneity, hispanic, hour, improve access, individual, inequity, intervention, knowledge, learning module, measures, medical, mental health, methods, national institute of child health and human development, national instit",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term ""gender identity"" is explicitly listed and is directly related to social identity and political considerations surrounding gender diversity and equity.
"
4,identity,"t of parent trial r01ca275494, we propose understanding the unique factors that contribute to smoking behavior and cessation among sgm individuals in dscs. using quantitative methodology, we aim to evaluate the heterogeneity of sgm dscs regarding relationship dynamics, sexual orientation and gender identity (sogi) stressors and strengths, broader social environmental factors, and cessation-related impulsivity in relation to smoking and cessation-related behaviors. using qualitative methodology, we aim to understand the unique smoking and cessation-related stressors, motives, and relationship dynamics ","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term ""gender identity"" is used in the context of ""sexual orientation and gender identity (SOGI) stressors and strengths,"" which relates to social, political, and identity-based experiences.
"
5,identity,"nd 362 assisted living facilities in minnesota to assess the number and proportion of agencies that have explicit sgm affirmative policies in human resources, marketing, training, governance; anti-discrimination policies guiding culturally responsive care, and resident sexual orientation and gender identity (sogi) data collection. these findings will inform aim 2 curriculum. in aim 2, to make training to serve more scalable nationally and with high fidelity, we will design and develop an asynchronous online version and pilot it with 30 ltss management and 30 staff. in aim 3, to assess the effects of t",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term 'gender identity' is used in the context of sexual orientation and gender identity (SOGI) data collection and culturally responsive care, which are related to social and political issues concerning LGBTQ+ individuals.
"
6,identity,"sgm cancer patients. first, online recruitment has yielded large sgm samples in other areas of research (e.g., hiv primary prevention), but using online methods to recruit sgm cancer patients has not been rigorously studied. second, cancer clinics have begun to include sexual orientation and gender identity (sogi) data in the electronic medical record, but we need to test protocols on how to recruit sgm cancer patients using this data source. this application is based upon our recent success in overcoming challenges to recruit over 400 gay and bisexual prostate cancer patients into an r01 intervention",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term ""gender identity"" is used within the context of ""sexual orientation and gender identity (sogi)"" data, which is used to categorize and recruit patients based on their social and political identities.
"
7,identity,"ung cancer mortality caused by tobacco smoking. recently, the age and smoking pack years were reduced in the eligibility guidelines, which determine who qualifies for ldct screening. this led to an increase in the number of people who were eligible, but no work on differences by sexuality or gender identity comparing the new and old criteria has been conducted. one possible cause of sgm individuals having higher eligibility rates is the number of risk factors sgm individuals experience at the individual, interpersonal, community, and policy levels based on the social ecological model. however, individ",Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,POLITICAL,"The term 'gender identity' is used to categorize individuals within a social and demographic group (Sexual and Gender Minorities), and the grant aims to study health outcome differences between this group and their counterparts. This aligns with a social and identity-based understanding rather than a purely scientific one.
"
8,identity,", adult, american, area, behavior, behavior therapy, behavioral, biological, biological markers, birth, black race, blood, chlamydia, clinical, communities, computerized medical record, data, decision making, digital libraries, diphosphates, dryness, ensure, epidemic, female, future, gender, gender identity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, individual, internet, intervention, interview, knowledge, latinx, life, measures, mediating, mediation, mental health, methods, modeling, motivation, persons, pilot projects, population, populations at r",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,POLITICAL,"""Gender identity"" is a core concept related to social and political identities and experiences, particularly within the context of transgender individuals.
"
9,identity,". address, administrative supplement, affect, age, anxiety, behavior, covid-19, caring, characteristics, child, child health care, childhood, consultations, data, data collection, diagnosis, diagnostic services, disease, disparity, evidence based treatment, feeling suicidal, funding, future, gender identity, health, health insurance, health personnel, healthcare, heterogeneity, incentives, insurance coverage, intervention, interview, low income, medicaid, mental depression, minority groups, national institute of mental health, organizational models, outcome, parents, participant, patients, population,",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,POLITICAL,"""Gender identity"" is a term directly related to social and political identity, particularly concerning gender and societal norms.
"
10,identity,"f suicide risk, including protective factors, among black sgm youth; and (3) to explore in- depth the effects of contextual factors on suicide risk among black sgm youth. we will recruit 625 black sgm youth aged 13 to 26 in the u.s. via social media marketing and impose sampling quotas based on sgm identity (lesbian, gay, bisexual women, bisexual men, transgender/nonbinary) and age (13-17yrs, 18-21yrs, 22- 26yrs). all participants will complete an online survey every 3 months over 18-months. for aim 1, we will perform stratified latent trajectory moderated mediation analyses for sgm groups separately ","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""identity"" in ""sgm identity"" (lesbian, gay, bisexual women, bisexual men, transgender/nonbinary) refers to social identities related to sexual orientation and gender, which falls under the political/social identity context.
"
