id,term,context,title,agency,classification,explanation
1,identity,"sbp: collaborative research: culturally relevant mentorship for enhancing stem identity and career interests in stem education, mentorship has become an important means of increasing the participation of underrepresented minoritized (urm) students, including women, native/black/latinx americans, persons with disabilities, bilingual students, and low-socioeconomic status (ses) youth. t",SBP: Collaborative Research: Culturally Relevant Mentorship for Enhancing STEM Identity and Career Interests,NSF,POLITICAL,"The term ""STEM identity"" is used in the context of increasing the participation of underrepresented minoritized (URM) students in STEM fields, which directly relates to social equity and political discussions surrounding representation and access.
"
2,identity," that promote rightful presence: the idea that visitors will experience a sense of belonging and respect. building on a partnership between university of california’s lawrence hall of science and mak-’amham, an indigenous ohlone cultural organization that empowers ohlone people with a rich cultural identity, the project will engage ohlone youth (ages 10-16) in iterative cycles of participatory design and prototyping to create immersive indigenous science exhibit experiences using mixed reality technologies. in centering indigenous perspectives within science and technology learning experiences and hig",Supporting Rightful Presence in Museum Spaces: Youth as Participatory Designers of Indigenous Mixed Reality Science Exhibits,NSF,POLITICAL,"The term ""cultural identity"" refers to the Ohlone people's sense of self, belonging, and cultural heritage, which is inherently linked to social and political contexts of recognition, empowerment, and self-determination.
"
3,identity,"investigating stem identity and belonging among stem-interested hispanic students participating in a first-year experience course with support from the improving undergraduate stem education: hispanic-serving institutions (hsi program), this project will investigate promising practices that demonstrate potential to increase t",Investigating STEM Identity and Belonging Among STEM-Interested Hispanic Students Participating in a First-Year Experience Course,NSF,SCIENTIFIC,"The term 'identity' refers to STEM identity, which is a specific area of research within science education and psychology, dealing with how students perceive themselves in relation to STEM fields.
"
4,identity,"lines. for industrial engineering and operations research (ieor), the two societies that establish field norms are the iise (institute of industrial & systems engineers) and informs (institute for operations research and the management sciences). professional organizations shape engineers’ academic identity and determine what is valued and rewarded in their disciplines. the nsf advance lineage project will partner with these global professional organizations to address systemic causes of inequity for women of color by integrating positive organizational scholarship (pos) with the six sigma dmaic (defi",ADVANCE Partnership: Leveraging Intersectionality and Engineering Affinity groups in Industrial Engineering and Operations Research (LINEAGE),NSF,POLITICAL,"The text discusses how professional organizations shape engineers' ""academic identity"" and what is valued, linking it to issues of equity for women of color. This connects to broader social and political issues of representation and bias within the engineering field.
"
5,identity,"ity stressors, racism-based stressors) contribute to health disparities among sma of color. these stressors occur at the interpersonal level (e.g., discrimination) and are reinforced at the structural level (e.g., anti-gay laws, or racist institutional policies). minority stress at a single axis of identity is directly correlated with aod use and misuse among sexual and racial/ethnic minority populations. similarly, structural oppression (i.e., structural heterosexism or racism) during adolescence has long-lasting health effects, including aod use and misuse. however, this work rarely takes an interse","Long-term and Daily Associations among Intersectional Minority Stress, Structural Oppression, and Alcohol Use and Misuse among Sexual Minority Adolescents of Color",NIH,POLITICAL,"The term 'identity' is used in the context of intersecting social categories (sexual and racial/ethnic minority populations) and their associated experiences of discrimination and oppression. This leans heavily into the social and political implications of identity categories.
"
6,identity,"oject aims to enhance teaching, learning, and leadership. using a community of practice model of professional learning, the project will develop faculty learning communities that support stem faculty from csudh and the local community colleges on best practices in teaching and learning coupled with identity, culture, context, power, bias, and institutionalized forms of oppression. the project will also examine how alignment of stem curriculum, pedagogy, and assessment practices between two- and four-year institutions supports transfer student success. as a result, this project aims to build institutio","Leveraging a Faculty Community of Practice Model of Professional Learning to Enhance Diversity, Equity, and Inclusion in STEM Teaching, Learning, and Leadership",NSF,POLITICAL,"The term 'identity' is listed alongside concepts like culture, context, power, bias, and institutionalized forms of oppression, indicating a focus on social and political aspects of identity related to diversity, equity, and inclusion.
"
7,identity,"ing teachers’ culturally responsive, affective-focused practices and self-efficacy, their understanding of student values and cultural backgrounds, and their attitudes toward cultural diversity; growth in students’ affective development and stem achievement, their interest in stem careers, and stem identity development. answers to the research questions will provide empirically-driven means for developing both the practical tools and the theoretical models of change toward stem teacher transformation and positive impacts for students who identify as bipoc.    the discovery research prek-12 program (dr","Culturally Responsive, Affective-Focused Teaching of Science and Mathematics",NSF,POLITICAL,"The context refers to ""stem identity development"" and ""students who identify as bipoc."" This clearly places the term 'identity' within a social, political, and identity context, particularly related to underrepresented groups in STEM.
"
8,identity,"s a virtual community of practice for broadening participation knowledge transfer.  the project will (1) deliberately focus on cultivating the innate thought leadership of nsf hbcu-up principal investigators (pis), who are at the forefront of broadening participation success, through evidence-based identity development; 2) use a novel knowledge transfer framework that re-imagines and adapts the “bench to bedside” knowledge translation processes of biomedical research to a new context, for undergraduate stem reform; and 3) design and upgrade the virtual platform, stem central, for the stated purposes. ",Supporting A Virtual Community of Practice for Broadening Participation Knowledge Transfer,NSF,POLITICAL,"The term ""identity development"" is used in the context of cultivating the ""thought leadership"" of HBCU-UP principal investigators. This suggests a process of reinforcing or shaping a professional or social identity related to their role and leadership within the community of practice and their contribution to broadening participation. This leans towards a social/identity context rather than a purely technical or scientific one.
"
9,identity,"collaborative research: bpe track 3 minority mentoring for advancement and participation in engineering hub this nsf track 3 broadening participation in engineering (bpe) project aims to address the resilience, identity formation, and academic outcomes of minorities in engineering through the ""minority mentoring for advancement and participation (minority-map) in engineering hub’s infrastructure, resources sharing, community engagement, and evidence-based inclusive mentoring. the hub will leverage an all-access, o",Collaborative Research: BPE Track 3 Minority Mentoring for Advancement and Participation in Engineering Hub,NSF,POLITICAL,"The term 'identity formation' is used in relation to minority groups in engineering, linking it to social and political considerations of representation and inclusion.
"
10,identity,in the field of stem education that focuses on technology innovation and entrepreneurship by adding a novel aspect to the existing large body of work seeking to broaden representation in stem academic programs and careers. this program will focus on the development of a profile of the rural digital identity that operates within new mexico’s underserved populations. an investigation of the role that indigeneity plays in relation to other identity categories has become increasingly urgent. the role of identity at this very complex moment in world history requires the use of intersectionality as a means ,"BPINNOVATE: Intersectionality in Building STEM Entrepreneurship Capacity: Rurality, Indigeneity, and Technology",NSF,POLITICAL,"The term ""identity"" is used in the context of social categories like rurality and indigeneity, and how these intersect to affect opportunities in STEM. This aligns with the social and political aspects of identity rather than a strictly scientific or technical definition.
"
