id,term,context,title,agency,classification,explanation
1,immigrants,"ract the overall goal of our research is to reduce hiv-related health inequities among latinx immigrant populations. we propose to determine the effectiveness of hermanos de luna y sol (hls), a community-based, group intervention delivered in spanish, designed to reduce hiv sexual risk among latinx immigrants who identify as gay/bisexual men or men who have sex with men (gbmsm). the study is designed as a quasi-experimental, community control, with oakland, ca as the intervention group and chicago, il as the control. assessments will be conducted at -3 and 0 mos., and follow-ups at 3, 6, and 12 mos. par",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The term 'immigrants' in this context refers to a specific population group defined by their immigration status and cultural identity (Latinx). This framing inherently carries social and political weight, as immigration is a frequently debated and legislated topic with direct implications for the individuals described. While the research is scientific, the subject population's defining characteristic is political/social.
"
2,immigrants,"ations. hard-to-reach populations are often those experiencing health disparities for many diseases and conditions. such populations include: persons experiencing homelessness and housing insecurity, chronic mental illness, out of school youth, sex workers, trafficked adolescent girls, undocumented immigrants, gang members, street children, people who use drugs, racial/ethnic minorities, and sexual and gender minorities such as transgender persons and men who have sex with men. there are many reasons why these groups are not fully represented or included in behavioral, social sciences, and clinical rese","Short Trainings on Methods for Recruiting, Sampling, and Counting Hard-to-Reach Populations: The H2R Training Program",NIH,POLITICAL,"The term 'undocumented immigrants' is used within a list of marginalized and vulnerable populations experiencing health disparities, indicating a social and political context related to their legal status and its implications for access to resources and inclusion in research.
"
3,immigrants,"promoting reductions in intersectional stigma to improve hiv testing and prep use among latino sexual minority men project summary hiv prevention continuum disparities persist among latinos in the u.s., especially those who are immigrants and sexual minority men (smm). latinos tend to be diagnosed with hiv (i.e., tested) at a later disease stage and use pre-exposure prophylaxis (prep) at much lower rates than do whites. however, of the existing evidence-based hiv prevention interventions, only one was developed for latino smm, and n",Promoting Reductions in Intersectional Stigma to Improve HIV Testing and PrEP Use Among Latino Sexual Minority Men,NIH,POLITICAL,"The term 'immigrants' is used in a social/political context referring to a specific population group with unique experiences and disparities within the broader Latino community, relevant to public health and social determinants of health.
"
4,immigrants,"liminary efficacy of an adapted group-based and online hiv prevention intervention for immigrant sexual minority men in the us project summary in 2014, the immigrant population in the united states (us) was 42 million and is projected to reach 78 million by 2060, a growth of 85%; an estimated 3% of immigrants identify as sexual and gender minorities. evidence shows that sexual minority men (smm) may be particularly likely to immigrate, whether by choice or force, in search of social and sexual freedoms that are not available in their home countries. among the general smm population, stigma at the indivi","Feasibility, acceptability, and preliminary efficacy of an adapted group-based and online HIV prevention intervention for immigrant sexual minority men in the US",NIH,POLITICAL,"The text discusses population statistics and social freedoms, indicating a focus on the social and political aspects of immigration and identity.
"
5,immigrants,"ountries and over time. with this comparative view, the project can examine the relationship between regime values and how states define their national communities. this project advances prosperity and welfare, especially in terms of how obtaining citizenship can create security and opportunity for immigrants and diasporic communities.    while existing scholarship focuses largely on contemporary politics, ranging from the role of far-right political parties and social mobilization to court decisions, there is a lack of theories that considers factors beyond democratic politics. this project theorizes t","Citizenship, Democracy, and Political Inclusion",NSF,POLITICAL,"The term 'immigrants' is used in the context of citizenship, democracy, political inclusion, and the creation of security and opportunity, all of which are inherently political and social concepts.
"
6,immigrants,"zation changes across an individual’s life and is affected by time and place. the project links individuals and their offspring across 80 years of federal administrative and survey data, looking for shifts in racial and ethnic self-categorization. the researchers focus on categorization patterns of immigrants, children of immigrants, and people with more than one ethnic or racial background. the study also examines the effects of where people live and where they move on how individuals categorize their race and ethnicity. linking individuals intergenerationally enables analysis of how racial and ethnic ",Explaining Changes in Racial Identification across Time and Place,NSF,SCIENTIFIC,"The term 'immigrants' is used within the context of a scientific study examining racial and ethnic self-categorization patterns across generations, linking administrative data and analyzing geographical effects. It's part of a research design focused on understanding shifts in racial identification, making its usage scientific.
"
7,immigrants,"doctoral dissertation research: acculturation and mental health among immigrant communities acculturation refers to the processes and consequences of cultural change from exposure to a new society. recent studies show that immigrants in the u.s. actively construct, negotiate, and achieve their own success frame of becoming american within their ethnic communities. in this context, individual americanization is influenced by immigrants’ own socioeconomic contexts and trajectories in relation to their ethnic communities. this res",Doctoral Dissertation Research: Acculturation and Mental Health among Immigrant Communities,NSF,SCIENTIFIC,"The term 'immigrants' is used within the context of academic research on acculturation and mental health, indicating a scientific and technical usage.
"
8,immigrants,"s and practitioners of two national participatory science projects will beta-test a professional development program called inclusive, diverse, equitable, accessible, large-scale (ideal) participatory science. the program was co-created with practitioners and students who are people of color and/or immigrants, representing a range of gender identities and sexual orientations and neurodivergent individuals alongside facilitators that specialize in helping stem professionals address social inequities. the ideal program supports practitioners in developing self-awareness, readiness, agency, and resources t","Iterative Improvement of a Program for Building Inclusive, Diverse, Equitable, Accessible Large-scale (IDEAL) Participatory Science Projects",NSF,POLITICAL,"The term ""immigrants"" is used to describe a demographic group within the context of diversity, equity, and inclusion efforts in participatory science projects, indicating a social and identity-based usage.
"
9,immigrants,"disciplinary research on new immigration and curricula development social studies classrooms play a critical role in teaching students about countries outside of their home country, and yet there is very little comprehensive information on what and how students learn about the home countries of new immigrants. this project investigates how lessons about the home countries and regions of new immigrants are taught to students in the country that receives these new immigrants. the pis use a city with a rich history of both immigration and civil rights activism to situate their case study that examines the ",Interdisciplinary Research on New Immigration and Curricula Development,NSF,POLITICAL,"The term ""immigrants"" refers to a social group with specific rights, experiences, and integration challenges within a political and societal framework. The text discusses how their countries of origin are taught about, which has political and social implications.
"
10,immigrants,"compounded disadvantage: race, criminal record, and access to justice in immigration courts for immigrants, even minor and relatively routine interactions with law enforcement—such as a traffic stop—can dramatically increase the chances of detention and deportation.  this is true even for lawful permanent residents and those with deep social ties to the united states.  detention and deportation are wide","Compounded Disadvantage: Race, Criminal Record, and Access to Justice in Immigration Courts",NSF,POLITICAL,"The text discusses legal rights, detention, and deportation, all of which are inherently political issues related to immigration policy and social justice.
"
