id,term,context,title,agency,classification,explanation
1,implicit bias,"ty and efficacy of ssp technology for improving patient and provider experience of patient-centered care. to mitigate health disparities, patients and providers need unbiased interactions. this project will contribute a novel computational paradigm using ssp that brings human-centered visibility to implicit biases that manifest in healthcare communication and lead to health disparities. findings will advance biomedical informatics and health disparities research with a novel ssp approach for the next generation of healthcare providers and educators, empower health disparity patients, and promote healthcare",UnBIASED: Understanding Biased patient-provider Interaction And Supporting Enhanced Discourse,NIH,SCIENTIFIC,"The term is used in the context of healthcare communication, health disparities research, and a novel computational paradigm (SSP). The focus is on understanding and mitigating biases in patient-provider interactions using technology and research methodologies.
"
2,implicit bias,"ders, social desirability, specific qualifier value, structural models, substance abuse problem, techniques, testing, time, unconscious state, weight, woman, analytical method, cis-female, cis-male, comparison group, design, experience, gender minority, health equity promotion, health inequalities, implicit bias, improved, innovation, intersectionality, member, men, novel, people of color, population health, psychological distress, psychological outcomes, queer, racial discrimination, recruit, response, sexual minority, social, social group, transgender",Advancing novel methods to measure and analyze multiple types of discrimination for population health research,NIH,SCIENTIFIC,"The term 'implicit bias' appears within a list of terms related to research methodology, population health, and the study of discrimination. This suggests its use is in the context of scientific investigation and analysis of biases within health research.
"
3,implicit bias,"ented populations, universities, vocational guidance, woman, work, writing, career, career development, cohort, community academic partnership, contextual factors, design, effectiveness evaluation, empowerment, equity  diversity  and inclusion, evidence base, expectation, experience, gender equity, implicit bias, improved, innovation, medical schools, meetings, mid-career faculty, peer, peer coaching, programs, public health relevance, racial minority, recruit, science  technology  engineering  mathematics  and medicine, success, synergism, tenure track, virtual",The Medical District UTSW-D FIRST Program,NIH,POLITICAL,"The presence of terms like ""equity,"" ""diversity,"" ""inclusion,"" ""gender equity,"" and ""racial minority"" alongside ""implicit bias"" strongly suggests its usage relates to addressing social and political disparities, rather than a purely scientific or technical context.
"
4,implicit bias,"vironmental risk factors), improve care (antepartum, intrapartum and postpartum) and management, provide insight to psychological exposures such as stress, discrimination and caregiving, understand coping behaviors in families affected by maternal morbidity or mortality, and investigate the role of implicit bias in the health care systems regarding pregnancy.8 within nhlbi, maternal and women’s health priorities span all of the objectives of the nhlbi strategic vision, and nhlbi has supported a number of maternal health programs looking at hypertension, sleep disorders, and other pregnancy complications in",NHLBI Maternal Morbidity and Mortality (3M) Administrative Coordinating Center,NIH,SCIENTIFIC,"The term ""implicit bias"" is used within the context of investigating its role in healthcare systems and its impact on pregnancy outcomes, which aligns with a scientific inquiry into the factors affecting maternal health.
"
5,implicit bias,"illness, college, community advisory board, community building, community engaged approach, community engagement, data harmonization, data management, data quality, design, dissemination strategy, experience, health care settings, health equity, health equity promotion, implementation intervention, implicit bias, learning community, member, minority health, multidisciplinary, participant retention, peer, programs, research data dissemination, social, social health determinants, success",Southeast Center for Health Achievement and Growth in Equity (SEACHANGE) Hub,NIH,POLITICAL,"The presence of terms like ""health equity,"" ""minority health,"" and ""social health determinants"" suggests a focus on addressing social inequalities, placing ""implicit bias"" within a discussion of systemic and societal issues rather than purely cognitive processes.
"
6,implicit bias,"versity of detroit mercy addresses the need for fostering the development of underrepresented research scholars for careers in teaching and research in the biomedical sciences. by increasing the diversity of underrepresented persons in positions of leadership at research intensive institutions, the implicit biases that limit access to these positions can be overcome. in addition, underrepresented persons with advanced degrees in research will serve as role models for more junior trainees in the science pipeline who need peer mentors to help visualize themselves at academic institutions with a career in bio",U-RISE at University of Detroit Mercy,NIH,POLITICAL,"The text discusses overcoming implicit biases to increase diversity and access to leadership positions for underrepresented groups, which is a social and political goal related to equity and inclusion.
"
7,implicit bias,"ed supportive care (isc) - hold significant promise. nyc and nys are at the forefront of medicaid-relevant doula programs, with recent policy advances to expand the maternity hospital quality improvement network (mhqin), which supports hospitals in integrating doulas, standards for respectful care, implicit bias trainings, sdoh clinical reviews, and community linkages into care structures, and the citywide doula initiative (cdi), which trains and provides doulas at no cost for nyc residents in select neighborhoods who are income-eligible for medicaid. however, there is little empirical evidence on the effe",Integrated Supportive Care Policies to Improve Maternal Health Equity: Evaluating the Multi-level Effects and Implementation of Doula Programs for Medicaid-Eligible Birthing People in New York City,NIH,POLITICAL,"The term 'implicit bias' is used in the context of addressing inequities in maternal healthcare and is linked to policy advancements, respectful care, and training programs. This aligns with the social and political dimensions of healthcare equity.
"
8,implicit bias,"ocus provide challenges with respect to retention of a diverse faculty.  our intent for this project will be to empower sdm faculty and research staff by shifting from a culture of attrition to a culture of development and engaging the majority populations of faculty at sdm to increase awareness of implicit biases, promote pathways to success for all faculty, and improve campus culture and climate.      through careful curation and adaptation of successful advance initiatives, the project aims to enable a change in institutional culture.  the project design is rooted in an understanding of the current clim",Adaptation: Empower through Inclusivity: Developing Pathways to Success,NSF,POLITICAL,"The term 'implicit biases' is used in the context of faculty diversity, retention, and campus culture, which are all related to social equity and inclusion, falling under a political context.
"
9,implicit bias," focusing on: 1) improving faculty work-nonwork balance through practices such as family-supportive supervisor behaviors; 2) improving departmental culture for work-nonwork balance by addressing key assumptions and language surrounding work; and 3) improving advocacy for women faculty by addressing implicit bias, providing stronger letters of recommendation, and encouraging faculty to promote themselves more strongly. the advance project will complement many other on-going efforts at csu to enhance diversity, equity, and inclusion within the stem faculty including participation in past advance partnership ",ADVANCE Adaptation: Achieving Excellence and Equity through Academic Leadership Development,NSF,POLITICAL,"The term 'implicit bias' is used within the context of improving advocacy for women faculty and enhancing diversity, equity, and inclusion, which are primarily social and political goals.
"
10,implicit bias," working group process that will develop and implement equity-minded operational personnel review guidelines. the aim of the training core is to provide theater enhanced bystander interventions for faculty and leaders involved in faculty personnel reviews. the bystander program focuses on issues of implicit bias in personnel reviews related specifically to the evaluation of caring work, service, and community-engaged research. the project is also expected to provide clarity about community-engaged research and caring work, and how those faculty activities are recognized and rewarded to support the experien","ADVANCE Adaptation: UMass Boston CARES: Communities, Acknowledgment, Recognition and Equity through a Culture of Sponsorship",NSF,POLITICAL,"The term 'implicit bias' is used in the context of personnel reviews, equity, and recognition of caring work, service, and community-engaged research, which are all heavily laden with social, political, and identity considerations within an academic institution.
"
11,implicit bias,"lop, and improve ais policies and practices, including intersectional data collection and analysis, (2) create and institutionalize best practices and systems that support women in their path towards promotion to full professor; and (3) implement best practices in reducing and mitigating hidden and implicit biases within the association for information systems (ais) and its members. taken together these activities will catalyze action and foster accountability around supporting women’s efforts to advance to full professor. the expected outcome will be increased gender equity within the ais, its processes, ",ADVANCE Partnership: ImPACT IT: Increasing the Participation and Advancement of Women in Information Technology,NSF,POLITICAL,"The term ""implicit biases"" is used in the context of increasing gender equity and supporting women's advancement within an organization, which aligns with social and political goals related to diversity and inclusion.
"
