id,term,context,title,agency,classification,explanation
1,inclusion," considered within the context of engineering doctoral education. drawing on organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. to achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are plann",Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,NSF,POLITICAL,"The term 'inclusion' is used in the context of diversity and underrepresented groups, aligning with social and political goals of equity and representation within doctoral engineering programs.
"
2,inclusion,"collaborative research: access expansion: growing a network of equity-focused programs in the physical sciences this award supports the access network, a project aimed at substantially improving equity and inclusion in the physical sciences. research has shown that many common existing cultural features of physics departments disproportionately and negatively impact women and underrepresented minority students, ultimately leading to their attrition. students and faculty in physics departments have created prog",Collaborative Research: Access Expansion: Growing a Network of Equity-Focused Programs in the Physical Sciences,NSF,POLITICAL,"The term 'inclusion' is used in the context of equity, underrepresented minorities, and addressing cultural features that disproportionately impact certain groups, indicating a social and political dimension related to fairness and representation.
"
3,inclusion,"citizenship, democracy, and political inclusion this project examines why some states make national citizenship accessible and others do not, and whether democratic pressure pushes states towards inclusion. citizenship laws are important to study because they simultaneously define who can participate in a national election and who belongs in the","Citizenship, Democracy, and Political Inclusion",NSF,POLITICAL,"The text explicitly links ""political inclusion"" to citizenship, democracy, and participation in national elections, all of which are core concepts in political science.
"
4,inclusion," number of marine science graduate degrees granted and degrees granted to those underrepresented in the field. professional societies play a unique role in facilitating culture change within stem disciplines by establishing and reinforcing norms and practices that advance greater diversity, equity, inclusion, justice, and accessibility (deija). they are also important avenues for training students and professionals in relevant skills and in developing networks necessary to progress in their careers. culture change in professional societies scales up to impacts on members, their home institutions, and b",Collaborative Research: IMPLEMENTATION: C-COAST: Changing the Culture of our Occupations to Achieve Systemic Transformation,NSF,POLITICAL,"The term 'inclusion' is used within the context of diversity, equity, and justice, specifically referring to underrepresented groups in marine science and the role of professional societies in promoting culture change towards these goals. This aligns with a social and political understanding of inclusion.
"
5,inclusion,"temic and sustainable culture change to further support inclusive excellence in research at both institutions. within our theme of health disparities, we will build a community of scientists committed to inclusive excellence by recruiting 12 early-career faculty committed to promoting diversity and inclusion and interested in addressing health disparities. these faculty will be hired across 3-4 clusters representing areas of research strength and opportunity across our institutions: cancer, obesity and diabetes, cardiovascular disease, and neuroscience. program hires will be designated as benjamin-carv",UAB/Tuskegee Faculty Institutional Recruitment for Sustainable Transformation (UAB/TU FIRST) Partnership (NIH U54),NIH,POLITICAL,"The term ""inclusion"" is used in the context of promoting diversity among faculty and addressing health disparities, which are social and political issues. It refers to creating a welcoming and equitable environment for individuals from underrepresented groups. The focus on recruitment and culture change further indicates a political usage related to equity and representation.
"
6,inclusion,"ve co-designed partnerships. the forms of dissemination will include publications, case studies, curricula, guidebooks, webinars, podcasts and multimedia resources for indigenous stakeholders and to educate the wider sustainability science communities.    this nsf includes alliance is funded by nsf inclusion across the nation of communities of learners of underrepresented discoverers in engineering and science (nsf includes), a comprehensive national initiative to enhance u.s. leadership in discoveries and innovations by focusing on diversity, inclusion and broadening participation in stem at scale and","NSF INCLUDES Alliance: Broadening Career Pathways in Food, Energy, and Water Systems with and within Native American Communities (Native FEWS Alliance)",NSF,POLITICAL,"The text discusses broadening participation in STEM, focusing on diversity and inclusion at scale, particularly within underrepresented communities. This aligns with a political aim of promoting equity and social justice in STEM fields.
"
7,inclusion,"will become agents of change who will propagate aspects of this novel research and education ecosystem into multiple institutions.     inspire will deliver novel solutions for systemic change and cultural transformation long overdue in the geosciences. it will support and sustain diversity, equity, inclusion, and accessibility (deia)-centered programs, and will create resources and opportunities for new programs to flourish. the envisioned cultural transformation will increase the creativity, equity, relevance, and impact of geoscience.    this award reflects nsf's statutory mission and has been deemed",Implementation Grant: Implementing Novel Solutions for Promoting cultural change In geoscience Research and Education (INSPIRE),NSF,POLITICAL,"The term ""inclusion"" is used within the context of ""diversity, equity, inclusion, and accessibility (deia)-centered programs"" and the overall cultural transformation aimed at increasing equity and relevance within geoscience, indicating a social and political emphasis.
"
8,inclusion,"fw-htf-r:  collaborative research: virtual meeting support for enhanced well-being and equity for game developers the covid-19 pandemic ushered in a new era of remote work, highlighting barriers to well-being, equity, and inclusion. virtual meeting fatigue, the exhaustion that occurs after long periods of videoconferencing, has been identified as especially harmful to women and people of color, compounding common face-to-face inequities like unequal talking time and interruptions in meetings. to develop more inclusive and equ",FW-HTF-R:  Collaborative Research: Virtual Meeting Support for Enhanced Well-Being and Equity for Game Developers,NSF,POLITICAL,"The term ""inclusion"" is used in the context of equity for game developers, specifically referencing barriers to well-being exacerbated by remote work and unequal treatment of women and people of color. This aligns with a social and political understanding of inclusion as fair representation and equal opportunity.
"
9,inclusion,"areness of and engagement with hiv vaccine trial research. it will assess misinformation and engagement with this strategy to inform current and future hiv vaccine trials recruitment and is expected to have a positive health impact by establishing robust strategies to improve diversity, equity, and inclusion in phase 1 preventive hiv vaccine trials. address, advertising, affect, awareness, behavioral, black  indigenous  people of color, covid-19, covid-19 prevention network, covid-19 pandemic, covid-19 vaccine, classification, collaborations, communication, communities, data, development, dissemination",Evaluating a Multilevel Communication Campaign to Increase HIV Vaccine Trial Enrollment,NIH,POLITICAL,"The phrase ""diversity, equity, and inclusion"" is a common phrase used in discussions of social justice and representation, indicating a focus on addressing disparities and promoting fairness within the context of HIV vaccine trials.
"
10,inclusion," girls. often research supporting out-of-school-time (ost) activities in stem and traditionally underrepresented youth takes place in newly created learning environments. however, this program goes to where the youth are already, the downtown boxing gym. building knowledge and understandings on the inclusion of arts into gender-based stem research could have implications for the future of ost research and programming. the project will explore how out of school learning spaces can broaden participation of black and latinx youth in stem focused learning opportunities. participants in this project are 170","Fostering Black and Latinx student STEM efficacy, interests, and identity: A participatory study of STEM programming and practices at one community-based organization",NSF,SCIENTIFIC,"The term ""inclusion"" refers to the incorporation of arts into STEM research, which is a methodological or interdisciplinary consideration within the scientific context of out-of-school-time research and programming.
"
