id,term,context,title,agency,classification,explanation
1,inclusive," will focus on three major areas, 1) equity-focused institutional change designed to make structural changes that support the advancement of agep faculty, 2) developing and sustaining an infrastructure that facilitates impactful mentorship of agep junior faculty in support of career advancement, 3) inclusive professional development that equips all engineering faculty and institutional leaders with skills to implement inclusive practices and to support career advancement. evidence-based practices from the women in engineering proactive network and the nsf includes aspire alliance's inclusive profession",Collaborative Research: AGEP FC-PAM: Project ELEVATE (Equity-focused Launch to Empower and Value AGEP Faculty to Thrive in Engineering),NSF,POLITICAL,"The term ""inclusive"" is used in the context of equity, supporting the advancement of faculty, and implementing inclusive practices, which aligns with social and political goals of inclusivity and equity within institutions.
"
2,inclusive,"bcser: examining inclusive science communication education as a tool to empower historically disadvantaged stem students broadening participation in stem is critical on many levels, from the equity perspective of removing barriers for success for people from historically excluded groups and from the perspective of increasing",BCSER: Examining inclusive science communication education as a tool to empower historically disadvantaged STEM students,NSF,POLITICAL,"The term 'inclusive' is used in the context of broadening participation in STEM for historically disadvantaged and excluded groups, which relates to equity and social justice, making it a political usage.
"
3,inclusive,"ring (bpe) project aims to address the resilience, identity formation, and academic outcomes of minorities in engineering through the ""minority mentoring for advancement and participation (minority-map) in engineering hub’s infrastructure, resources sharing, community engagement, and evidence-based inclusive mentoring. the hub will leverage an all-access, open-platform called the inclusive mentoring to advance participation hub (imap hub) to dynamically foster inclusive mentoring through a community of practice in engineering. the project’s catalytic activities are expected to democratize minority repr",Collaborative Research BPE track 3: Minority Mentoring for Advancement and Participation in Engineering Hub,NSF,POLITICAL,"The term 'inclusive' is used in the context of addressing minority representation and participation in engineering, which falls under social equity and diversity concerns.
"
4,inclusive,"nical practices serving diverse, underserved communities, and our shared core values of social justice and health equity guiding our pedagogy, research and hiring practices. our proposal also strongly reflects drexel university’s unwavering commitment and newly instituted strategic goals to promote inclusive excellence and ensure diversity, equity, retention, and promotion across for diverse faculty across their career pathways. our proposed program will create a collaborative structure involving multi-level inputs from university leaders, academic units and faculty to catalyze sustainable institutiona",Catalyzing Systemic Change at Drexel University to Support Diverse Faculty in Health Disparities Research,NIH,POLITICAL,"The term 'inclusive' is used in the context of promoting diversity, equity, retention, and promotion of diverse faculty, aligning with social justice and strategic goals related to diversity and inclusion within the university.
"
5,inclusive,ent; and (c) dispositional changes (sense of belonging in ai; value assigned to stem ethics integration)? (3) what infrastructure is necessary to support this work beyond the life of the grant; and how can this program be institutionalized? this project will advance knowledge toward building a more inclusive approach to integrating ethical principles within technical training. this will increase the likelihood that the future workforce will be attentive to ethical concerns and better reflect the views and backgrounds of the populations that the technology is supposed to serve. through the intentional d,AI for the Workforce of Tomorrow: Attending to Ethics and Collaboration in Learning Artificial Intelligence for High School Aged Youth,NSF,POLITICAL,"The term 'inclusive' is used in the context of representing the views and backgrounds of diverse populations and addressing ethical concerns in technology, which aligns with social and political goals.
"
6,inclusive,"ons both as students and members of the academy while undertaking a training plan that includes curricular enhancements, specialized programming, and research immersion that begins early and orchestrated with direct support and consultation from carefully matched faculty mentors. by investing in an inclusive, training environment for a cohort of promising young scientists, we intend to create a program that is designed to offer a framework, that is constructed with a technical-operational-professional strategy, grounded in the values of responsible conduct for the pursuit of research, and enriched with",U-RISE at Clark Atlanta University,NIH,POLITICAL,"The term ""inclusive"" refers to creating a training environment that welcomes and supports a diverse group of young scientists, aligning with broader social and political goals of equity and representation.
"
7,inclusive,"s, scientists from historically marginalized groups, and persons with disabilities in the cardio- vascular field. we are seeking partial support for registration and travel for trainees from these groups to attend both the grs and grc. our goal is to promote the professional growth of a diverse and inclusive generation of cardiovascular scientists. adipocytes, aging, arrhythmia, biology, california, cardiac, cardiac electrophysiologic techniques, cardiac myocytes, cardiovascular system, cells, clinical, communities, development, diagnosis, diagnostic, disabled persons, disease, doctor of philosophy, et",2025 Cardiac Arrhythmia Mechanisms Gordon Research Conference and Gordon Research Seminar,NIH,POLITICAL,"The term ""inclusive"" is used in the context of promoting the professional growth of a diverse generation of cardiovascular scientists, specifically mentioning historically marginalized groups and persons with disabilities. This falls under the social and political realm of promoting equity and inclusion for underrepresented groups.
"
8,inclusive,"used on student development often fail to address structural and systemic forms of oppression that both explicitly and implicitly impact black students’ holistic well-being and, thus their success. though faculty development endeavors focus on interpersonal and professional development that support inclusive or justice-oriented teaching and mentoring, these endeavors often fail to provide tangible resources and sustained infrastructure to ensure faculty members’ successful implementation of said strategies within their classroom spaces. in recognizing these challenges and their implications for black s",RCN-UBE: Deepening and Expanding the Mission and Outcomes of the Re-Envisioning Culture Network,NSF,POLITICAL,"The term 'inclusive' is used in the context of addressing oppression and promoting justice-oriented teaching and mentoring, which are inherently social and political concepts related to equity and fairness.
"
9,inclusive,"ial to transform what it means to become an engineer to citizens in the region and make missouri s&t a true destination of choice for all. the specific goals of the project are to address underlying barriers to women’s recruitment and advancement identified in a self-study, namely: (1) cultivate an inclusive climate, (2) interrupt and address gender bias, and (3) facilitate equitable access to and distribution of resources and opportunities. the project aims to achieve these goals by adapting evidence-based strategies from prior advance projects to the unique stem-focused and rural context of missouri ",ADVANCE Adaptation: Creating a Destination of Choice at Missouri University of Science & Technology,NSF,POLITICAL,"The term ""inclusive climate"" relates to social equity and the welcoming of individuals from diverse backgrounds, particularly women, in a STEM field. This aligns with broader discussions of social justice and equal opportunity within academic and professional settings, making it a political usage.
"
10,inclusive,"ties for this population and marriage may buffer or exacerbate minority stress experiences for couples. this longitudinal study will examine the intersection of sexual minority stress and marriage. it will measure health at multiple levels of analysis among recently-married sexual minority couples, inclusive of gender identity, across the first two years of marriage through the following aims. 1) through repeated quantitative surveys with sexual minority couples (n=250 couples) over the first two years of marriage, we will examine changes in minority stress, relationship processes, and physical and men",Sexual minority couples' health during the transition to marriage,NIH,POLITICAL,"The term ""inclusive of gender identity"" refers to the social and identity context of gender identity within sexual minority couples, indicating a consideration of diverse gender identities within the research population.
"
