id,term,context,title,agency,classification,explanation
1,inclusivity,improving inclusivity of alzheimer’s disease and related dementias research for asian americans and latinx through nationally representative hybrid sampling. abstract racial/ethnic minorities are projected to be a major portion of the aging u.s. population. two of the strategic research directions of the national instit,Improving Inclusivity of Alzheimer’s Disease and Related Dementias Research for Asian Americans and Latinx through Nationally Representative Hybrid Sampling.,NIH,POLITICAL,"The term 'inclusivity' refers to the inclusion of specific racial/ethnic minority groups (Asian Americans and Latinx) in Alzheimer's research, which is a matter of social equity and representation, thus placing it in a political context.
"
2,inclusivity,"iers that impede full participation, advancement, and thriving of racially diverse faculty in academia. we will implement sustainable and progressive institutional policies that enhance diverse faculty hiring, retention, promotion, and tenure, and employ cross- institutional strategies to cultivate inclusivity, cohesion, and belonging. overall aim 2: in a series of three cluster hires, recruit 18-20 tenure-track, early-career scientific faculty who are black, latinx, american indian, and pacific islander, and establish a supportive and nurturing environment for their success. using an equity framework, w",Vanderbilt FIRST - Elevating Excellence and Transforming Institutional Culture,NIH,POLITICAL,"The text explicitly mentions racially diverse faculty and aims to cultivate inclusivity in relation to their hiring, retention, and promotion. This aligns with social justice and equity concerns, making it a political usage.
"
3,inclusivity,"ividual, department, mentor, college and university levels of achieving inclusive excellence. our first program is co-led by nationally/internationally recognized leaders in population health, intervention science, mentorship of racially/ethnically diverse faculty and evaluation of programs seeking inclusivity. address, african american, aging, applications grants, appointment, area, biometry, career choice, chronic disease, clinical research, collaborations, color, communities, complex, dedications, discipline of nursing, disparity, documentation, effectiveness, ensure, equity, ethnic origin, evaluation",Catalyzing Systemic Change at Drexel University to Support Diverse Faculty in Health Disparities Research,NIH,POLITICAL,"The text discusses ""inclusive excellence"" in the context of supporting diverse faculty, racial/ethnic diversity, and addressing health disparities. These are clearly social and political goals related to identity and representation.
"
4,inclusivity,"to ninr’s research lens on prevention and health promotion across the prevention continuum by including both sexually experienced and inexperienced youth. specifically, we aim to:  specific aim 1: with ongoing feedback from trans-identified youth assigned female at birth, adapt girl2girl for gender inclusivity to create #transcendenthealth. first, we will conduct focus groups (n=80) to identify and give voice to the contexts that affect sexual decision making of afab trans-identified youth. after adapting the content, we will conduct content advisory teams (cats; n=50) to ensure that program content reso",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys,NIH,POLITICAL,"The term ""inclusivity"" is used in relation to gender inclusivity and adapting a program for transgender boys, indicating a focus on social and identity aspects, aligning with a political context.
"
5,inclusivity,"earch is well-positioned to clarify the role of gender-linked psychological variables—relative to biological ones—in predicting gender disparities in mental health, thus opening up novel pathways for achieving gender equity in this domain. additionally, the proposed project enables us to expand the inclusivity of research on mental health by affording us the opportunity to examine gender-based disparities in mental health in the context of existing disparities between cisgender and gender-diverse adolescents. accounting, address, adolescence, adolescent, age, anxiety, behavior, biological, biological fac",The psychological underpinnings of gender disparities in adolescent mental health,NIH,POLITICAL,"The term ""inclusivity"" refers to expanding the research to include gender-diverse adolescents, which falls under social identity and political considerations of representation and equity.
"
6,inclusivity,"tcome of this project will lead to our next study, where we will develop and test a standalone visual consent form that is designed to replace a text only consent form in a randomized trial. the long-term goal is to inform efforts to improve meaningful consent into studies and contribute to greater inclusivity in clinical research. adult, affect, africa, age, agricultural workers, agriculture, area, attitude, binding, breast feeding, cartoons, child, clinical ethics, clinical research, clinical trials, collaborations, communication, comprehension, conflict (psychology), consent, consent forms, contracts,",Strengthening informed consent for authentic participation in perinatal HIV research,NIH,POLITICAL,"The term 'inclusivity' is used in the context of improving consent processes to ensure broader participation in clinical research, implying a concern for equitable representation and access, which aligns with a social and political understanding of inclusivity.
"
7,inclusivity,"ote institutional culture change at uc san diego towards inclusive excellence by using evidence-based strategies to enhance ur faculty recruitment, academic advancement, research and career development, integration and implementation of system-wide structured faculty development programs to enhance inclusivity. address, advanced development, area, award, biomedical research, california, collaborations, common data element, communication, data, databases, development, development plans, elements, environment, equity, ethnic origin, ethnic population, evaluation, evidence based practice, faculty, faculty r",UC San Diego FIRST Program,NIH,POLITICAL,"The term ""inclusivity"" is used in the context of enhancing faculty recruitment, academic advancement, research and career development, and is linked to ""inclusive excellence,"" equity, ethnic origin, and ethnic population, which are all related to social and political concepts of fairness and representation.
"
8,inclusivity,"in an ethically responsible and rigorous manner, b) knowledge of biomedical research careers and professional development skills to pursue biomedical graduate education, and c) science identity, self-efficacy, and belonging in biomedical research; and (2) enhance promotion of diversity, equity, and inclusivity in biomedical research at cal poly in terms of both faculty engagement and students perceptions. affect, biomedical research, development, development plans, disabled persons, economically deprived population, ethics, event, faculty, future, graduate degree, graduate education, health, individual, ",U-RISE at Cal Poly,NIH,POLITICAL,"The text discusses ""diversity, equity, and inclusivity"" in the context of faculty engagement and student perceptions, indicating a social and identity-focused usage aimed at promoting equitable representation and belonging within the biomedical research field.
"
9,inclusivity,"adaptation: empower through inclusivity: developing pathways to success an nsf advance adaptation award will allow the south dakota school of mines and technology (sdm) to initiate new programs and improve upon existing data collection and personnel policy to enhance gender, racial, and ethnic diversity. sdm is a phd granting engineering",Adaptation: Empower through Inclusivity: Developing Pathways to Success,NSF,POLITICAL,"The term is used in the context of enhancing gender, racial, and ethnic diversity, which falls under social and political considerations related to representation and equity.
"
10,inclusivity,"adaptation: du meristem - mobilizing equity to raise inclusivity in stem despite the fact that the proportion of females earning stem degrees is now nearly equal to men, women account for less than a third of stem faculty positions in american universities-- and even fewer faculty with intersectional identities. the university of denver (du) will address this pr",Adaptation: DU MERISTEM - Mobilizing Equity to Raise Inclusivity in STEM,NSF,POLITICAL,"The term 'inclusivity' is used in the context of gender and intersectional identity disparities within STEM faculty positions, indicating a social and political dimension.
"
