id,term,context,title,agency,classification,explanation
1,inclusivity,"culty from mathematics, engineering, sociology, and student success domains, will collaborate to design, implement, and assess these interventions. the outcomes will result in tailored programs and strategies to meet the needs of underrepresented students, ultimately aiming to promote diversity and inclusivity in engineering education and cultivate a more representative engineering workforce. furthermore, the research findings are anticipated to enrich broader conversations and initiatives in stem education and diversity efforts nationally, advancing understanding and practices for supporting underrepres",BPE Track 1: Planning: Foundational Mathematics for Engineers at San Diego State University,NSF,POLITICAL,"The term 'inclusivity' is linked to promoting diversity, supporting underrepresented students, and cultivating a more representative workforce. These goals align with social and political aims of achieving equity and representation in education and the workforce.
"
2,inclusivity,"collaborative research: cultural change in geoscience (c-change): transforming departmental culture through faculty agents of change this project aims to serve the national interest by establishing practices to improve inclusivity in academic geoscience departments. geoscience is a critical discipline for today’s world, integrating other physical and life sciences into a wholistic perspective with relevance to the most pressing challenges facing humanity today including climate change, energy resources, and natural hazards. ",Collaborative Research: Cultural Change in Geoscience (C-ChanGe): Transforming Departmental Culture through Faculty Agents of Change,NSF,POLITICAL,"The term 'inclusivity' is used in the context of addressing cultural change and transforming departmental culture within academic geoscience. This relates to social dynamics and equity within the field, indicating a political usage focusing on social justice and representation.
"
3,inclusivity," that blends science, art, research, and leadership skills development. gor's curriculum, focused on hands-on learning, sets a precedent for future programs, fostering well-rounded individuals equipped to tackle complex, transdisciplinary challenges in the geosciences. moreover, gor's commitment to inclusivity ensures accessibility for diverse youth across emotional, socioeconomic, and physical spectrums.     girls* on rock (gor) is a comprehensive pre-college geoscience learning ecosystem (gle) that is designed to address the underrepresentation of girls* in the geosciences and related fields. gor build",GP-IN: Girls* On Rock: Building an inclusive outdoor STEAM research and mentorship experience,NSF,POLITICAL,"The term ""inclusivity"" is used to describe the program's commitment to accessibility for diverse youth across emotional, socioeconomic, and physical spectrums, explicitly addressing underrepresentation of girls in geosciences. This aligns with social and identity-based equity concerns.
"
4,inclusivity,"collaborative research: cultural change in geoscience (c-change): transforming departmental culture through faculty agents of change this project aims to serve the national interest by establishing practices to improve inclusivity in academic geoscience departments. geoscience is a critical discipline for today’s world, integrating other physical and life sciences into a wholistic perspective with relevance to the most pressing challenges facing humanity today including climate change, energy resources, and natural hazards. ",Collaborative Research: Cultural Change in Geoscience (C-ChanGe): Transforming Departmental Culture through Faculty Agents of Change,NSF,POLITICAL,"The term ""inclusivity"" is used in the context of improving departmental culture and addressing disparities within academic geoscience, indicating a focus on social and identity-related aspects within the field rather than a purely technical or scientific application.
"
5,inclusivity,stem microclimates of intersectional inclusivity: modeling interrelated programmatic features and their relationships to racial academic disparities persistent racial disparities are notable across stem fields from who receives undergraduate degrees to the unequal opportunities and outcomes that hamper scientists’ careers later in life. past rese,STEM Microclimates of Intersectional Inclusivity: Modeling Interrelated Programmatic Features and their Relationships to Racial Academic Disparities,NSF,POLITICAL,"The text explicitly links ""inclusivity"" to ""racial academic disparities"" and ""unequal opportunities and outcomes,"" indicating a focus on social justice and equity within STEM, which are political considerations.
"
6,inclusivity,"ers on these platforms. the education and outreach plan will help future computer scientists to realize the social ramifications of the applications they build and engage students and the public in imagining alternative social media designs that improve society.    to achieve the goal of furthering inclusivity on these social platforms, this research will focus on learning from and designing for those who face the greatest challenges and barriers from current social media designs, such as journalists and content creators, neurodiverse users, and marginalized individuals who often face harassment. it will",CAREER: Tools for User and Community-Led Social Media Curation,NSF,POLITICAL,"The term 'inclusivity' is used in the context of social platforms, marginalized individuals, and addressing challenges faced by specific groups (neurodiverse users, journalists, etc.) due to social media designs. This clearly aligns with a social and political context, focusing on fairness and equity in access and experience.
"
7,inclusivity,"o benefit diverse early-career researchers. a federated approach across multiple societies is valuable to expanding the reach of the project, allowing faseb to affect culture change on a larger scale in biology through its member societies. in this project, faseb will analyze and define barriers to inclusivity in the entrenched culture and identify mechanisms to overcome these barriers. in addition, the project will provide mentorship, support, and leadership training to cohorts of early-career researchers from historically excluded populations and assist them in engaging in society roles. through this m",DESIGN: Driving Culture Change in a Federation of Biological Societies via Cohort-Based Early-Career Leaders,NSF,POLITICAL,"The context refers to ""barriers to inclusivity"" within a professional setting (biology societies) and explicitly mentions ""historically excluded populations."" This aligns with a social, political, and identity-focused understanding of inclusivity, referring to addressing systemic disadvantages and promoting equitable representation.
"
8,inclusivity,"eaching industry managers and academic researchers practical ways to supervise, mentor and train future scientists inclusively and effectively, and 2) helping community college students and their instructors navigate the scientific workplace to identify inclusive workplaces and navigate barriers to inclusivity. it builds on prior work that has led to the development of a published framework for inclusive workplace practices in research laboratories, a comprehensive inclusive academic mentor and intern training, and a guided internship program that includes formative assessments and coaching. in collabora",A Collaborative Approach to Work-Based Learning in Biotechnology: Building Inclusive Lab Environments,NSF,POLITICAL,"The text emphasizes creating inclusive workplaces and navigating barriers to inclusivity, focusing on the social aspects of inclusivity within the workplace and academic environment, rather than a strictly technical scientific definition.
"
9,inclusivity,"better transparency and accountability of unrecognized work; (2) educate and develop faculty fellows to conduct systemic equity work directly in their home units; and (3) launch an advocates and allies network to shift the institutional culture toward one in which everyone contributes to equity and inclusivity. formative and summative assessment will be conducted by internal and external evaluators, and additional guidance will be provided by internal and external advisory groups. the project can serve as a model for other research-intensive land grant institutions.    the nsf advance program is designed",Illinois ADVANCE Adaptation (I-ADVANCE): Equipping and Mobilizing Equity-Minded Leaders and Advocates,NSF,POLITICAL,"The term 'inclusivity' is used in the context of shifting institutional culture towards equity, which is a social and political goal related to representation and fairness.
"
10,inclusivity,"ividual, department, mentor, college and university levels of achieving inclusive excellence. our first program is co-led by nationally/internationally recognized leaders in population health, intervention science, mentorship of racially/ethnically diverse faculty and evaluation of programs seeking inclusivity. address, african american, aging, applications grants, appointment, area, biometry, career choice, chronic disease, clinical research, collaborations, color, communities, complex, dedications, discipline of nursing, disparity, documentation, effectiveness, ensure, equity, ethnic origin, evaluation",Catalyzing Systemic Change at Drexel University to Support Diverse Faculty in Health Disparities Research,NIH,POLITICAL,"The term 'inclusivity' is used in the context of supporting diverse faculty and achieving inclusive excellence, which relates to social justice and equity, aligning with a political context.
"
