id,term,context,title,agency,classification,explanation
1,increase the diversity,"cation, awareness and research  in disparities scholarship (heard scholars) program in minority health and health disparities. • priority activity 3: increase the diversity of the biomedical, behavioral and clinical research workforce by  recruiting a new cohort of phd students from minority and underrepresented groups e",NA,NIH,POLITICAL,"The term is used in the context of addressing underrepresentation in the biomedical, behavioral, and clinical research workforce, aligning with goals of equity and inclusion, which are fundamentally political concepts.
"
2,increase the diversity,"e school in the sciences is far from parity with their proportion among the us population, and the society of toxicology strongly supports efforts to increase the diversity of the scientific workforce. selected from a national pool of applicants, these students and advisors will receive travel support and participate in ",NA,NIH,POLITICAL,"The phrase ""increase the diversity"" refers to addressing the underrepresentation of certain groups in the scientific workforce, aligning with a broader social and political goal of equitable representation.
"
3,increase the diversity,vels. this aim is described in the evaluation core. our evaluation will inform our future approaches to foster a sustainable institutional culture to increase the diversity of the utsw and utd faculty and leadership. the first legacy will be sustained using data-driven strategies to guide institutional and de- partmental,NA,NIH,POLITICAL,"The phrase ""increase the diversity"" in the context of faculty and leadership clearly points to a social and political goal of representation and inclusion, rather than a strictly scientific or technical application of the term.
"
4,increase the diversity,of the unm first program will support the enhancement of inclusive excellence practices across unm. the long-term goal of the unm first program is to increase the diversity of the biomedical faculty workforce at nih while building on recent progress toward inclusive excellence in our institutional culture. our specific a,NA,NIH,POLITICAL,"The phrase ""increase the diversity of the biomedical faculty workforce"" refers to a social and political goal related to representation and inclusion, rather than a strictly scientific application.
"
5,increase the diversity,"of graduation, and 7. 60% will be accepted into graduate programs in the biomedical sciences. through this program we will address the larger need to increase the diversity in the biomedical workforce to reflect the changing demographics. alaska, alaska native, bachelor', s degree, biology, biomedical research, censuses,",NA,NIH,POLITICAL,"The phrase ""increase the diversity in the biomedical workforce to reflect the changing demographics"" clearly relates to social and political considerations of representation and equity within the workforce.
"
6,increase the diversity,abstract texas state university (txstate) will implement an undergraduate research training initiative for student enhancement program (u-rise tx) to increase the diversity and number of txstate students entering phd programs in biomedical research. we will recruit qualified hispanic and other underrepresented (ur) stude,NA,NIH,POLITICAL,"The phrase ""increase the diversity"" refers to broadening representation within a specific group (students entering PhD programs) based on ethnicity and underrepresented status, aligning with a social and political goal of inclusivity and equity.
"
7,increase the diversity,"u-rise at brooklyn college project summary brooklyn college’s u-rise proposal aims to increase the diversity of our science workforce by providing individuals from groups historically under-represented in stem with the preparation, confidence and self- effic",NA,NIH,POLITICAL,"The term is used in the context of addressing under-representation of specific groups in the science workforce, which falls under social and political goals related to equity and inclusion.
"
8,increase the diversity,"lly marginalized groups (hmgs). we are partnering for a new t32 institutional training grant, the texas doctoral bridge program (tdbp), which aims to increase the diversity of the biomedical workforce by preparing and recruiting outstanding m.s. students from txst for competitive and high quality biomedical ph.d. program",NA,NIH,POLITICAL,"The phrase ""increase the diversity of the biomedical workforce"" refers to social and demographic categories within a profession, indicating a political context focused on representation and inclusion.
"
9,increase the diversity,"ain at osu and successfully transition into careers in biomedical research. to accomplish this goal, seven program objectives have been developed. 1) increase the diversity of pre-doctoral trainees in biomedical research at osu through targeted recruitment activities. 2) promote rigor, reproducibility and responsible con",NA,NIH,POLITICAL,"The phrase ""increase the diversity"" in the context of recruitment activities points to a social and political goal of representation within the biomedical research field, rather than a purely scientific usage of the term.
"
10,increase the diversity," the objectives of this project are to leverage cic's experience with increasing the participation of women in computing and apply it more broadly to increase the diversity and number of all students participating in sfs projects, with particular attention to those seeking graduate degrees. to achieve these objectives, t",NA,NSF,POLITICAL,"The phrase ""increase the diversity"" refers to increasing the representation of underrepresented groups in a specific field (SFS projects, graduate degrees), which aligns with broader social and political goals related to equity and inclusion.
"
11,increase the diversity,ommunities: studying the relationship between partnerships and persistence in the teaching profession this project aims to serve the national need to increase the diversity of the stem teacher workforce by understanding the factors that contribute to stem teacher retention. this project investigates how the quality of re,NA,NSF,POLITICAL,"The phrase ""increase the diversity of the STEM teacher workforce"" refers to addressing social and demographic representation within a specific professional group, which falls under a political/social context of equity and inclusion.
"
12,increase the diversity,"n hall university; stevens institute of technology; and st. peters university. working together, the njecc project partners will aim to significantly increase the diversity of stem faculty researchers who participate in new jersey’s entrepreneurship and innovation ecosystem. in turn, developing innovation pathways for ne",NA,NSF,POLITICAL,"The phrase refers to increasing the diversity of STEM faculty researchers, which directly relates to social and political goals of inclusion and representation within academic and professional fields.
"
13,increase the diversity,"k will further develop and disseminate validated best practices for addressing the undergraduate-to-graduate school pipeline “leaks” and, ultimately, increase the diversity in the pool of mechanical engineers and materials scientists with graduate degrees, for the purpose of fostering greater diversity of faculty in thes",NA,NSF,POLITICAL,"The phrase ""increase the diversity"" is used in the context of addressing pipeline leaks and fostering greater diversity of faculty. This aligns with broader social and political goals related to representation and inclusion in academia.
"
