id,term,context,title,agency,classification,explanation
1,inequalities,"h, community engagement, community organizations, community partnership, community-centered, comorbidity, cost, design, disability, effectiveness/implementation trial, empowerment, equity  diversity  and inclusion, evidence base, experience, health care service utilization, health disparity, health inequalities, member, novel, patient oriented, pilot test, pregnancy related death, programs, psychologic, research data dissemination, response, risk prediction model, severe maternal morbidity, social health determinants, training opportunity",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term 'health inequalities' appears in a list including 'health disparity,' 'equity diversity and inclusion,' and 'social health determinants,' all of which point to a focus on societal and political factors impacting health outcomes.
"
2,inequalities,"ctiveness/implementation study, effectiveness/implementation trial, empowerment, evidence base, experience, experimental study, family support, gender affirming care, gender affirming therapy, gender diverse, health determinants, health disparity, health disparity populations, health equity, health inequalities, high risk, hormone therapy, implementation evaluation, improved, innovation, insight, minority stress, multiphase optimization strategy, peer, pilot test, primary outcome, programs, provider networks, psychological distress, racial diversity, racial minority, reducing suicide, resilience factor, r",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'health inequalities' is used in conjunction with terms like 'health equity', 'health disparity', 'gender diverse', and 'racial minority', all pointing towards a focus on social and political factors affecting health outcomes for specific populations.
"
3,inequalities,"f health, viral, vulnerable populations, youth, care systems, clinical research site, cohort, comorbidity, cost, design, digital, digital health, efficacy evaluation, efficacy testing, epidemiological model, ethnic minority, experience, gender diverse, gender minority, gender minority youth, health inequalities, high risk, improved, infection rate, infection risk, innovation, interest, men who have sex with men, mobile application, nonbinary, novel, pre-exposure prophylaxis, preventive intervention, psychologic, racial minority, randomized  clinical trials, recruit, response, retention rate, self testing,",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"""Health inequalities"" are typically understood as differences in health outcomes that are avoidable, unfair, and unjust. This aligns with a social and political context rather than a purely scientific or technical one.
"
4,inequalities,"ng, training and education, united states, volatilization, work, youth, aged, arm, black women, community partners, critical period, depressive symptoms, design, economic disparity, education pathway, emerging adult, emerging adulthood, experience, follow-up, health disparity, health equity, health inequalities, help-seeking behavior, improved, innovation, insight, multidisciplinary, outcome disparities, payment, peer learning, peer support, physical conditioning, programs, real time monitoring, referral services, response, service gap, service utilization, sexual and reproductive health, social, social d",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The term 'inequalities' appears within a context of disparities related to health and economics, particularly affecting specific demographics (low-income Black youth). This aligns with a social and political understanding of inequality as systemic disadvantages experienced by certain groups.
"
5,inequalities," work, antiretroviral therapy, billing data, career, cisgender, clinical epidemiology, clinically actionable, ehealth, electronic medical record system, epidemiology study, experience, gender affirming care, health assessment, health care service utilization, health disparity, health equity, health inequalities, high risk, improved, insurance claims, large datasets, longitudinal analysis, medication compliance, phenotyping algorithm, sex assigned, skills, social, social group, study population, transgender, transgender women, treatment duration, trend",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term ""health inequalities"" appears in a list of terms including ""health disparity,"" ""health equity,"" ""social group,"" and related concepts, indicating a focus on societal factors and unequal access/outcomes related to health, which is a political/social context.
"
6,inequalities," teenagers, training, translating, united states, youth, alcohol epidemiology, alcohol misuse, alcohol risk, attenuation, binge drinking, bullying, career, children of color, cisgender, community organizations, critical period, diverse data, eleventh grade, experience, gender minority youth, health inequalities, innovation, minority children, minority stress, peer, peer influence, population based, resilience, seventh grade, sex, sex variable, sexual minority youth, skills, social norm, social stigma, stem, stressor, transgender, trend, underage drinking","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The term 'health inequalities' refers to disparities in health outcomes and access to healthcare based on social, economic, and environmental factors. This usage aligns with a social and political context.
"
7,inequalities," teenagers, training, translating, united states, youth, alcohol epidemiology, alcohol misuse, alcohol risk, attenuation, binge drinking, bullying, career, children of color, cisgender, community organizations, critical period, diverse data, eleventh grade, experience, gender minority youth, health inequalities, innovation, minority children, minority stress, peer, peer influence, population based, resilience, seventh grade, sex, sex variable, sexual minority youth, skills, social norm, social stigma, stem, stressor, transgender, trend, underage drinking","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The context includes terms like ""children of color,"" ""cisgender,"" ""gender minority youth,"" ""minority children,"" ""sexual minority youth,"" and ""social stigma,"" which strongly suggest that ""health inequalities"" refers to disparities in health outcomes related to social and identity factors.
"
8,inequalities,"base, bilingualism, community building, community intervention, community involvement, community organizations, contextual factors, design, distrust, effective intervention, effectiveness evaluation, ethnic minority population, experience, group intervention, health disparity, health equity, health inequalities, improved, infection rate, innovation, insight, male, marginalized community, marginalized population, member, men, men who have sex with men, migration, multidisciplinary, novel, pedagogy, pre-exposure prophylaxis, prevent, preventive intervention, prospective, psychological distress, public healt",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The phrase ""health inequalities"" is often used to describe disparities in health outcomes that are linked to social, economic, and environmental disadvantages. This aligns with a political context focusing on equity and social justice.
"
9,inequalities,"eases, shapes, social support, socioeconomic status, structure, surveys, testing, united states national institutes of health, urbanicity, variant, work, cis-male, cognitive interview, disparity reduction, experience, follow-up, gender affirming care, geographic difference, health disparity, health inequalities, interest, men, men who have sex with men, multilevel analysis, pandemic disease, participant enrollment, physical conditioning, pre-exposure prophylaxis, prevention service, resilience, response, sexually active, social capital, social determinants, social stigma, substance use, transgender women,","Characterizing intersecting sexual, gender, and race-based stigmas affecting communities of US transgender women and cisgender men who are sexually active with men",NIH,POLITICAL,"The term ""health inequalities"" is used in the context of social determinants of health, health disparities, and vulnerable populations (transgender women, cisgender men who have sex with men), which are all related to social, political, and identity factors affecting access to healthcare and health outcomes.
"
10,inequalities,"community engaged research, community organizations, community partnership, comparison intervention, consistent condom use, coping, design, effectiveness testing, effectiveness/implementation trial, evidence base, experience, flexibility, follow-up, gender affirmation, gender minority group, health inequalities, high risk, improved, internalized stigma, marginalized population, meetings, mindfulness, model design, peer, physical assault, pilot test, pilot trial, post intervention, programs, psychologic, psychological distress, recruit, scale up, sex, sexual assault, sexual minority group, skills, social h",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term 'health inequalities' in this context refers to disparities in health outcomes linked to social and economic disadvantage, which is a political issue.
"
