id,term,context,title,agency,classification,explanation
1,inequalities,"stress, testing, time, visit, youth, cardiovascular disorder risk, cardiovascular health, cohort, coping, cost effective, culturally appropriate intervention, effective intervention, eligible participant, ethnic minority, experience, gender minority, gender minority stress, health disparity, health inequalities, innovation, instrument, intersectionality, minority stress, mortality, multidisciplinary, public health relevance, racial minority, recruit, resilience factor, sex, sexual disparity, sexual minority, social, social stigma, young adult",Cardiovascular Health of Sexual and Gender Minorities in the Hispanic Community Health Study/Study of Latinos (SGM HCHS/SOL),NIH,POLITICAL,"The term 'health inequalities' is often used to describe differences in health outcomes that are avoidable, unfair, and unjust, which are rooted in social, economic, and political factors. This aligns with the context of health disparities, ethnic/racial minorities, and sexual/gender minorities, indicating a focus on societal and political influences on health.
"
2,inequalities,"collaborative research: sbp: increasing social equality in stem through children's structural reasoning there are major gender and racial inequalities in who pursues science, technology, engineering, and mathematics (stem) careers, and these disparities take root in early childhood. stem inequalities are largely caused by structural factors, which are systemic societal barriers such as negative societal stereotypes and unequal educational opportu",Collaborative Research: SBP: Increasing Social Equality in STEM through Children's Structural Reasoning,NSF,POLITICAL,"The text explicitly refers to ""social equality,"" ""gender and racial inequalities,"" and systemic societal barriers like ""negative societal stereotypes"" which are all inherently social and political concepts. The inequalities are described in terms of their impact on STEM career access, linking them to social and political structures.
"
3,inequalities,"the role of narratives, identity, and collective action in entrepreneurship the emergence of markets, organizations and collectives centered around socially and economically disadvantaged (sed) identities represents a growing trend in addressing systemic inequalities and fostering empowerment in the united states. these efforts can take many different forms- via mobile platforms, physical markets, educational spaces, and social events; but it is important to understand how collectives of socially and economically disadvantaged individuals are coming together to","The Role of Narratives, Identity, and Collective Action in Entrepreneurship",NSF,POLITICAL,"The term ""inequalities"" refers to systemic social and economic disadvantages faced by specific identity groups, aligning with a political and social justice context.
"
4,inequalities,"dises: multi-scale modeling of interactions between climate change, air quality, and social inequalities air pollutants and greenhouse gases share emission sources, including through the combustion of fossil fuels (coal, oil, natural gas). therefore, climate policies aimed at reducing greenhouse gases will produce the ‘co-benefit’ of also reducing air pollution, which is responsible for millions of de","DISES: Multi-scale modeling of interactions between climate change, air quality, and social inequalities",NSF,POLITICAL,"The term ""social inequalities"" is used to describe societal disparities and is linked to the impact of climate change and air quality, which are often framed as issues of environmental justice and equity.
"
5,inequalities,"ranslating, united states, voice, work, behavior change, behavior influence, burden of chronic illness, clinical care, community partners, digital, digital health, disorder prevention, effective intervention, ethnic minority, evidence base, experimental study, gender minority, health equity, health inequalities, improved, industry involvement, industry partner, innovation, meetings, member, mid-career faculty, model design, mortality, nutrition, posters, prevent, psychosocial, public health relevance, racial minority, sedentary lifestyle, skills, success, theories, therapy design",Society of Behavioral Medicine 2024 Annual Meeting & Scientific Sessions,NIH,POLITICAL,"The term ""health inequalities"" is closely associated with social determinants of health and disparities in access to healthcare and health outcomes across different social groups, which is a political issue.
"
6,inequalities,"logy, resistance, sea, secure, source, texas, theory of change, united states department of agriculture, universities, work, children of color, community engagement, community involvement, community transmission, ethnic diversity, experience, food insecurity, health disparity, health equity, health inequalities, improved, innovation, insight, marginalization, member, pandemic disease, programs, racial diversity, systemic barrier, tool",Addressing Systemic Barriers Impacting Health in CHC Communities,NIH,POLITICAL,"The term ""health inequalities"" in the context of addressing systemic barriers and health disparities within CHC (likely Community Health Center) communities points to a usage focused on social and political factors that lead to unequal health outcomes. The focus on children of color, racial diversity, ethnic diversity, and marginalization further supports this interpretation.
"
7,inequalities,"ter for health equity research (cher) abstract the nimhd-funded center for health equity research (cher) was established in 2017 at the university of illinois at chicago (uic), as a groundbreaking and inclusive hub of research and community partnerships to advance health equity and eliminate health inequalities among minority populations by addressing structural violence. structural violence, one of the major root causes of health disparities, refers to the multiple ways in which social, economic, and political systems expose vulnerable populations to risks leading to increased morbidity and mortality. th",Center for Health Equity Research (CHER),NIH,POLITICAL,"The term 'inequalities' is used in the context of health equity, minority populations, structural violence, and social, economic, and political systems. These concepts are deeply intertwined with social and political structures and power dynamics, pointing towards a political usage rather than a purely scientific one.
"
8,inequalities,"eases, stigma, depression, and material insecurities among sexual and gender minorities living with hiv in nigeria project abstract there is an increasing burden of hiv-associated noncommunicable diseases (hivncd) globally, which often cluster among populations facing persistent social and economic inequalities. one such population is sexual and gender minorities (sgm), for whom stress resulting from discrimination leads to poorer health outcomes. syndemic frameworks have been utilized to explain elevated hiv risk in sgm populations but have only recently been applied to study hivncd. being an sgm is asso","Synergistic epidemics of non-communicable diseases, stigma, depression, and material insecurities among sexual and gender minorities living with HIV in Nigeria",NIH,POLITICAL,"The term ""inequalities"" refers to social and economic disparities affecting specific populations (sexual and gender minorities), highlighting issues of discrimination and its impact on health. This aligns with a political context focusing on social justice and equity.
"
9,inequalities,"gmatization, system, testing, united states dept. of health and human services, united states national institutes of health, work, behavioral health, collaborative care, community partnership, court, design, disparity gap, dual diagnosis, experience, flexibility, follow-up, health disparity, health inequalities, health professional shortage areas, improved, innovation, interest, marginalization, member, multiple chronic conditions, peer, peer support, physical conditioning, protective factors, referral services, resilience, service gap, social health determinants, telehealth, urgent care, virtual","Creating Statewide Community Partnerships: Spanning Boundaries between Public Health, Emergency Housing & Criminal Justice",NIH,POLITICAL,"The term ""health inequalities"" is directly linked to ""health disparity,"" ""disparity gap,"" ""social health determinants,"" and other terms that point to systemic differences in health outcomes based on social and economic factors, which are inherently political issues.
"
10,inequalities,"ng, strategic planning, structure, system, training, translational research, virus diseases, vulnerable populations, writing, career, clinical practice, concept mapping, culturally appropriate intervention, doctoral student, experience, gender minority group, health disparity, health equity, health inequalities, improved, medication compliance, novel, population health, pre-exposure prophylaxis, prevent, primary care clinician, primary care setting, response, sexual minority group, side effect, skill acquisition, skills, software development, success, uptake","Client and clinician priorities for same-day PrEP and DoxyPEP awareness, uptake, and persistence in primary care.",NIH,POLITICAL,"The term ""health inequalities"" is directly related to social determinants of health and disparities, which are inherently political and social issues.
"
