id,term,context,title,agency,classification,explanation
1,inequality,"mination, disease, disparity, economics, enrollment, epidemic, face, florida, fostering, frequencies, future, gays, glean, hiv, hiv seronegativity, hiv diagnosis, hiv disparities, hiv risk, hiv/aids, health, health behavior, heterosexuals, high prevalence, impaired cognition, incidence, individual, inequality, influentials, link, literature, machine learning, marriage, medical, mental depression, mental health, methodology, methods, minority, minority groups, minority status, modeling, morbidity - disease rate, national institute of drug abuse, older population, outcome, pattern, population, post-trauma",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term 'inequality' appears in a list of terms related to health disparities among minority groups, indicating a focus on social and political factors contributing to unequal outcomes.
"
2,inequality,"s, education, employment, enrollment, environment, environmental exposure, environmental hazards, environmental health, environmental pollution, equity, exposure to, factor analysis, female infertility, fertility, fertility study, government, government programs, green space, health, human, income, inequality, inequity, infertility, intention, intervention, investments, life cycle stages, link, live birth, maps, measures, medical, methods, modeling, modernization, national institute of environmental health sciences, neighborhoods, nitrogen dioxide, noise, occupations, outcome, ozone, participant, partic",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term ""inequality"" appears in a list of terms associated with social determinants of health and equity, suggesting a usage related to disparities in access or outcomes, aligning with a political context.
"
3,inequality,"abuse, alcohol consumption, alcohols, automobile driving, baseline surveys, belief, bisexual, california, cities, data, development, discrimination, disease, employee, environment, ethnic population, exposure to, feeling, gays, health, heavy drinking, heterosexuals, human, human rights, individual, inequality, inequity, institution, intervention, label, latinx, law enforcement, laws, lesbian, lesbian gay bisexual transgender queer, link, literature, measures, municipalities, outcome, participant, personal satisfaction, persons, policies, population, prevalence, process, research, resources, rights, role",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,POLITICAL,"The context includes terms like ""human rights,"" ""discrimination,"" ""ethnic population,"" ""inequity,"" and ""policies,"" suggesting the term 'inequality' refers to social and political disparities experienced by SGM young adults.
"
4,inequality,"y, child health, cities, collaborations, communities, county, data, databases, development, disinfection, disparity, dose, environmental health, epidemiologist, epidemiology, ethnic origin, evidence based intervention, exhibits, exposure to, funding, gestational age, health, hispanic, imprisonment, inequality, infant, infant health, infrastructure, institution, journals, lead, link, low birth weight infant, maps, measures, metal exposure, metals, modeling, monitor, multiple birth offspring, outcome, participant, peer review, policies, positioning attribute, pregnancy, premature birth, productivity, publ",Public Drinking Water Contaminants and Infant Health: Advancing Environmental Justice,NIH,POLITICAL,"The term ""inequality"" appears alongside terms such as ""environmental justice,"" ""disparity,"" ""ethnic origin,"" and mentions of specific populations (""hispanic""), which strongly suggests it refers to social and political inequalities related to environmental health outcomes.
"
5,inequality,", alcohol consumption, alcohols, area, attention, bisexual, chicago, cross-sectional studies, data, data collection, data set, development, development plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, measurement, measures, mentored research scientist development award, mentors, mentorship, methodology, methods, modeling, national institute on alcohol ","Alcohol-Involved Sexual Assault among Bisexual Women: Disentangling Mechanisms of Risk at Individual, Interpersonal, and Structural Levels Across the Lifespan",NIH,POLITICAL,"The term ""inequality"" appears alongside terms like ""discrimination,"" ""disparity,"" and ""LGBT health,"" suggesting its usage relates to social and political disadvantages experienced by bisexual women.
"
6,inequality,"ons, communities, data, data analyses, dedications, development plans, discrimination, economics, enrollment, evaluation, focus groups, funding, future, gender, hiv, hiv disparities, hiv prevention trial, hiv risk, health, health personnel, health promotion, health behavior, healthcare, individual, inequality, infrastructure, institution, international, intervention, intervention studies, interview, investigation, knowledge, link, measurement, medicine, mentors, mentorship, modeling, outcome, participant, pattern, persons, pharmaceutical preparations, policy maker, population, property, race, randomized",Mentoring clinical investigators in patient-oriented research on substance use and HIV,NIH,POLITICAL,"The term ""inequality"" appears alongside terms like ""discrimination,"" ""gender,"" ""race,"" and ""HIV disparities,"" suggesting it refers to social inequalities related to health outcomes, access, or treatment within the context of substance use and HIV.
"
7,inequality,"xamining sdh may be useful in identifying and monitoring hiv-related inequities, such as racial and gender disparities in hiv testing, engagement in care, and treatment. this proposal requests funding for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, affiliated co-morbidities, and other potentially overlapping infectious diseases such as coronavirus, requires cutting edge public health research condu",Social Determinants of HIV,NIH,POLITICAL,"The term ""inequality"" is used in reference to social disparities like racial and gender inequality, which are inherently social and political issues.
"
8,inequality,"sault prevention and intervention programs. affect, alcohol consumption, alcohols, anus, attention, awareness, belief, buffers, cognitive, communities, complex, cues, data, development, discrimination, distal, emotional, ethnic origin, future, gender identity, heterosexuals, homophobia, individual, inequality, intervention, intervention studies, interview, intoxication, lesbian gay bisexual, link, literature, lived experience, methodological studies, methods, minority, modeling, oral, outcome, participant, penetration, persons, population, prevention, prevention program, psychopathology, public health, ","The Impact of Minority Stress on Alcohol-Related Sexual Assault among Sexual Minority College Students: An Intersectional, Mixed-Methodological Study",NIH,POLITICAL,"The term ""inequality"" appears within a list of keywords associated with the study. Given the focus on minority stress, sexual assault, and intersectionality involving sexual minority college students, the term ""inequality"" likely refers to social inequalities experienced by this population due to their sexual orientation and other intersecting identities.
"
9,inequality,"ornia, characteristics, child, communities, coping behavior, data set, development, disadvantaged, disparity, ethnic origin, ethnic population, face, family, feeling, gays, gender, glean, health, health behavior, health behavior and outcomes, immigrant, immigrant community, immigration, individual, inequality, institutionalization, intervention, interview, language, latino, lesbian gay bisexual transgender queer, literature, location, measures, mediating, medicine, methods, minnesota, outcome, personal satisfaction, persons, population, positioning attribute, process, production, race, recommendation, r","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,POLITICAL,"The context includes terms like ""sexual, gender, racial/ethnic, immigrant identities,"" ""disadvantaged,"" ""ethnic origin,"" and ""lesbian gay bisexual transgender queer,"" which strongly suggest the term ""inequality"" is being used in a social and political context related to disparities and unequal treatment.
"
10,inequality,"bstructive pulmonary disease, communities, continuity of patient care, data, data analyses, development, diabetes mellitus, discrimination, disease, disease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeling, national heart  lung  and blood institute, nigeria, obesity, outcome, participant, police, policies, population, prevalence, public health, resear","Synergistic epidemics of non-communicable diseases, stigma, depression, and material insecurities among sexual and gender minorities living with HIV in Nigeria",NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""disparity,"" ""inequity,"" and the focus on sexual and gender minorities living with HIV strongly suggests that 'inequality' is used in a social and political context, referring to unequal treatment and outcomes.
"
11,inequality,"bstructive pulmonary disease, communities, continuity of patient care, data, data analyses, development, diabetes mellitus, discrimination, disease, disease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeling, national heart  lung  and blood institute, nigeria, obesity, outcome, participant, police, policies, population, prevalence, public health, resear","Synergistic epidemics of non-communicable diseases, stigma, depression, and material insecurities among sexual and gender minorities living with HIV in Nigeria",NIH,POLITICAL,"The term 'inequality' is listed among terms like 'discrimination' and 'inequity', suggesting it refers to social or economic disparities experienced by the target population (sexual and gender minorities living with HIV in Nigeria). This aligns with a political usage focused on social justice and disparities.
"
12,inequality,"ce, color, communities, conflict (psychology), county, criminal justice, data, diffusion of innovation, distal, effectiveness, epidemiology, ethnic origin, evaluation, family, funding, gender identity, goals, health, health status, healthcare, home, immigrant, immigration, imprisonment, individual, inequality, intervention, jail, latinx, law enforcement, laws, lesbian gay bisexual transgender queer, life cycle stages, mental health, methods, minority groups, outcome, persons, phase, police, policies, politics, population, precede-proceed model, process, race, research, risk, role, sex behavior, sexual a",Macro-level Health Considerations of Community and Criminal Justice System Relationships in North Texas,NIH,POLITICAL,"The term ""inequality"" is listed among other demographic and social factors like ""gender identity,"" ""ethnic origin,"" ""minority groups,"" and ""race,"" suggesting it refers to social inequalities related to these factors, which is a political context.
"
13,inequality,"use, less is known about the social-ecological factors (e.g., community, network, geospatial, and policy factors) associated with hiv seroconversion. broadly, several factors beyond individual behavior have been associated with increased risk for hiv acquisition among women in the us such as gender inequality, income, exposure to domestic and sexual violence, homelessness, and sex partner’s characteristics. nonetheless, identifying the combination of characteristics that predict seroconversion among women and establish them as candidates for prep has been challenging. to overcome this gap and in respons",Examining Social Ecological and Network Factors to Assess Epidemiological Risk in a Large National Cohort of Cisgender Women,NIH,POLITICAL,"The term ""gender inequality"" is used within the context of social factors influencing HIV risk, which aligns with a discussion of social power dynamics and disadvantages.
"
14,inequality,"ata, data set, dedications, development, disparity, economics, education, epidemiology, equity, ethnic population, exposure to, future, glass, goals, gonorrhea, hiv, health, health resources, health services, health status, health equity research, healthcare, high risk woman, incidence, individual, inequality, inequity, interview, knowledge, latina, measures, methods, mission, neighborhoods, nurses, patient self-report, persons, policies, pregnancy, prevalence, principal investigator, reporting, reproductive health, research, risk, risk factors, role, safe sex, sampling, scientist, sex behavior, sexuall",The Role of Social Determinants in Reproductive Coercion: Understanding Health Information and Support Needs,NIH,POLITICAL,"The terms surrounding ""inequality"" in the provided context (e.g., ""disparity,"" ""equity,"" ""ethnic population,"" ""health resources,"" ""health services,"" ""health equity research"") strongly suggest a focus on social and political dimensions of inequality related to health access and outcomes.
"
15,inequality,"understanding the complex reproductive health needs of formerly incarcerated young men project summary (30 lines max) incarceration, which disproportionately impacts minoritized and socioeconomically disadvantaged groups, is a salient form of structural inequality that impedes individuals’ sexual and reproductive health (srh) and autonomy. most research in this area, which focuses almost entirely on females, finds that women involved in the criminal justice system have minimal access to srh services, experience high rates of unplanned and undesired pregnanci",Understanding the Complex Reproductive Health Needs of Formerly Incarcerated Young Men,NIH,POLITICAL,"The term ""structural inequality"" refers to systemic disadvantages faced by specific groups due to social and political structures. The context highlights how incarceration disproportionately affects minoritized and socioeconomically disadvantaged groups, impacting their reproductive health, which aligns with the concept of social and political inequality.
"
