id,term,context,title,agency,classification,explanation
1,inequality,"v diagnosis, hiv disparities, hiv risk, hiv/aids, health, health behavior, heterosexuals, high prevalence, impaired cognition, incidence, individual, inequality, influentials, link, literature, machine learning, marriage, medical, mental depression, mental health, methodology, methods, minority, minority grou",NA,NIH,POLITICAL,"The presence of terms like ""HIV disparities,"" ""minority,"" and ""minority group"" suggests the use of ""inequality"" refers to social and health inequalities affecting these populations.
"
2,inequality,"y, exposure to, factor analysis, female infertility, fertility, fertility study, government, government programs, green space, health, human, income, inequality, inequity, infertility, intention, intervention, investments, life cycle stages, link, live birth, maps, measures, medical, methods, modeling, modern",NA,NIH,POLITICAL,"The presence of terms like ""government programs,"" ""income,"" and ""inequity"" alongside ""inequality"" suggests a focus on social and economic disparities, which falls under a political context. While fertility studies can be scientific, the cluster of terms indicates a broader concern with societal factors influencing fertility outcomes.
"
3,inequality,"isease, employee, environment, ethnic population, exposure to, feeling, gays, health, heavy drinking, heterosexuals, human, human rights, individual, inequality, inequity, institution, intervention, label, latinx, law enforcement, laws, lesbian, lesbian gay bisexual transgender queer, link, literature, measur",NA,NIH,POLITICAL,"The surrounding terms such as ""human rights,"" ""ethnic population,"" ""gays,"" ""heterosexuals,"" ""lesbian,"" and ""latinx"" strongly suggest a social or political context related to disparities and rights.
"
4,inequality,"miologist, epidemiology, ethnic origin, evidence based intervention, exhibits, exposure to, funding, gestational age, health, hispanic, imprisonment, inequality, infant, infant health, infrastructure, institution, journals, lead, link, low birth weight infant, maps, measures, metal exposure, metals, modeling,",NA,NIH,POLITICAL,"The presence of terms like ""ethnic origin,"" ""hispanic,"" and ""imprisonment"" alongside ""inequality"" suggests a focus on social disparities in health outcomes, which aligns with a political context.
"
5,inequality,"t plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, mea",NA,NIH,POLITICAL,"The presence of terms like ""discrimination,"" ""disparity,"" ""LGBT health,"" and ""lesbian gay bisexual"" strongly suggests that ""inequality"" is being used in a social or political context related to disparities experienced by specific populations.
"
6,inequality,"e, gender, hiv, hiv disparities, hiv prevention trial, hiv risk, health, health personnel, health promotion, health behavior, healthcare, individual, inequality, infrastructure, institution, international, intervention, intervention studies, interview, investigation, knowledge, link, measurement, medicine, me",NA,NIH,POLITICAL,"The term ""inequality"" appears alongside terms like ""gender,"" ""HIV disparities,"" and ""health disparities,"" indicating a focus on social and political inequalities related to health outcomes.
"
7,inequality,"are, and treatment. this proposal requests funding for a pre-doctoral research training program to address sdh including structural racism and gender inequality, intersectional stigma, residential segregation, aging, and marginalizing structures influencing hiv. combatting the ongoing syndemic of sdh, hiv, af",NA,NIH,POLITICAL,"The term ""gender inequality"" is used in the context of social determinants of health (SDH) alongside terms like structural racism and intersectional stigma, indicating a usage related to social and political structures and their impact on health outcomes.
"
8,inequality,", complex, cues, data, development, discrimination, distal, emotional, ethnic origin, future, gender identity, heterosexuals, homophobia, individual, inequality, intervention, intervention studies, interview, intoxication, lesbian gay bisexual, link, literature, lived experience, methodological studies, metho",NA,NIH,POLITICAL,"The context includes terms like ""discrimination,"" ""ethnic origin,"" ""gender identity,"" ""homophobia,"" and ""heterosexuals,"" which strongly suggest a focus on social and political inequalities.
"
9,inequality,"family, feeling, gays, gender, glean, health, health behavior, health behavior and outcomes, immigrant, immigrant community, immigration, individual, inequality, institutionalization, intervention, interview, language, latino, lesbian gay bisexual transgender queer, literature, location, measures, mediating, ",NA,NIH,POLITICAL,"The presence of terms like ""family,"" ""gays,"" ""gender,"" ""immigrant,"" ""latino,"" and ""lesbian gay bisexual transgender queer"" alongside ""inequality"" strongly suggests a focus on social inequalities and disparities related to identity and social groups, which aligns with a political context.
"
10,inequality,"isease clusterings, disease outcome, disparity, dyslipidemias, economics, exposure to, hiv, hiv risk, hiv/aids, health behavior, heart, hypertension, inequality, inequity, interdisciplinary study, intervention, interview, knowledge, lead, lung, maryland, measures, mental depression, military personnel, modeli",NA,NIH,POLITICAL,"The term ""inequality"" appears alongside terms like ""disparity,"" ""inequity,"" ""HIV risk,"" and ""health behavior,"" suggesting a focus on social determinants of health and unequal access to healthcare, which are inherently political and social issues.
"
