id,term,context,title,agency,classification,explanation
1,inequitable,"e, and knowledge, attitudes and beliefs. we will conduct qualitative interviews with participants (n=12-16) and site staff (n=6-8) to assess implementation barriers and facilitators. we leverage our existing infrastructure to meaningfully engage with southern aa-ya communities, working to dismantle inequitable research relationships and medical mistrust to increase covid vaccine uptake. address, african american, age, attention, attitude, behavior, behavioral, belief, covid-19, covid-19 intervention, covid-19 morbidity, covid-19 vaccination, covid-19 vaccine, charge, clinical research, cognitive, collabo",A multidimensional Digital Approach to Address Vaccine Hesitancy and Increase COVID-19 Vaccine Uptake among African American Young Adults in the South,NIH,POLITICAL,"The term ""inequitable research relationships"" refers to power dynamics and historical injustices within the research process itself, placing it within a social and political context of addressing inequality and mistrust.
"
2,inequitable," during preconception or early pregnancy have likewise had limited success in recruiting black women. thus, there has been virtually no study of causes of infertility in black women. racial residential segregation and racialized patterns of neighborhood investment and disinvestment have resulted in inequitable burdens of spatially-distributed environmental exposures on communities of color. in the present proposal, we examine several exposures of high relevance to black women, with a focus on environmental and neighborhood-level exposures. we will use data from the black women’s health study (bwhs), the ",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term ""inequitable burdens"" is used to describe the unequal distribution of environmental exposures due to racial residential segregation and racialized patterns of investment, which are inherently social and political issues.
"
3,inequitable,"nd medical mistrust in the era of undetectable=untransmittable: psychosocial and behavioral implications among black, latino/a/e/x, and multiracial sexual and gender minorities project summary black, latino/a/e/x, and multiracial sexual and gender minorities (blm sgm) face stark hiv disparities and inequitable access to health resources, including hiv knowledge. knowledge about undetectable=untransmittable (u=u), the scientific conclusion that people living with hiv who have a sustained undetectable viral load cannot sexually transmit hiv to their sexual partners, has been associated with reduced hiv sti","HIV risk messaging and medical mistrust in the era of Undetectable=Untransmittable: Psychosocial and Behavioral Implications among Black, Latino/a/e/x, and Multiracial Sexual and Gender Minorities",NIH,POLITICAL,"The term ""inequitable"" is used to describe disparities in access to health resources, which is a matter of social justice and policy, thus fitting a political context.
"
4,inequitable,"ecting valid and reliable data on structural racism. structural racism represents the totality of ways in which multiple systems and institutions interact to assert racist policies, practices, and beliefs about people in a marginalized group. the patterns and practices of structural racism, such as inequitable distribution of health care treatment and health-promoting resources, create and perpetuate health disparities. to date, measures of structural racism have been limited in a number of ways: first, our preliminary data revealed that blacks and whites interpret social indicators collected at the indi","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The term ""inequitable"" refers to the unfair and unjust distribution of resources, specifically health care treatment and health-promoting resources, which is a social and political issue related to structural racism.
"
5,inequitable,"ecting valid and reliable data on structural racism. structural racism represents the totality of ways in which multiple systems and institutions interact to assert racist policies, practices, and beliefs about people in a marginalized group. the patterns and practices of structural racism, such as inequitable distribution of health care treatment and health-promoting resources, create and perpetuate health disparities. to date, measures of structural racism have been limited in a number of ways: first, our preliminary data revealed that blacks and whites interpret social indicators collected at the indi","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The term ""inequitable distribution of health care treatment and health-promoting resources"" is used within the context of structural racism and health disparities, which are inherently linked to social and political power dynamics and inequalities.
"
6,inequitable,"dividuals. structural sexual minority stigma exposure across various levels (e.g., macro and exo levels) has been purported as a cause underlying and driving these sexual orientation-based disparities in mental health. while structural forms of sexual minority stigma, including discriminatory laws, inequitable policies, and negative population attitudes, have been associated with adverse sexual minority mental health, evidence from us-based studies, depending on single stand-alone indicators of structural stigma, has been hampered by risks for confounding bias through common causes from other 1) higher-l",The Socioecology of Sexual Minority Stigma: Data Harmonization to Address Confounding Bias and Investigate Cross-Level MentalHealth Effects,NIH,POLITICAL,"The term ""inequitable policies"" refers to policies that are unjust or unfair, reflecting a political context concerning social justice and discrimination.
"
7,inequitable," despite advances in hiv prevention. evidence suggests that differences in individual risk behaviors do not account for hiv inequities, and underscore the need to move beyond models of individual-level risk factors to identify and intervene upon the socio-structural factors that create and maintain inequitable risk environments. however, much of the research to date is limited in scope and focuses individual-level risk or on cross-sectional hiv prevalence, which limits the ability to treat socio- structural factors as dynamic or to investigate the environments within which risk behaviors occur. we are su",Multilevel strategies to understand and modify the role of structural and environmental context on HIV inequities for sexual and gender minorities of color,NIH,POLITICAL,"The term ""inequitable"" refers to disparities in HIV risk environments, which are influenced by socio-structural factors. This usage connects to social justice and disparities experienced by specific populations (sexual and gender minorities of color), indicating a political context focused on equity and fairness.
"
8,inequitable,"developing modules to address microaggressions and discriminatory behaviors project summary/abstract background: structural racism, defined as all the ways in which society cultivates racial discrimination through reinforcing inequitable systems of education, healthcare, and employment, is manifested in macroaggressions, which are contained within the policies and practices within institutions serving the biomedical sciences. these macroaggressions foster and perpetuate discriminatory beliefs and practices that impair not only scie",Developing Modules to Address Microaggressions and Discriminatory Behaviors,NIH,POLITICAL,"The term ""inequitable"" is used in the context of ""structural racism"" and ""discriminatory behaviors,"" which are inherently social and political issues. The grant addresses inequitable systems of education, healthcare, and employment, all of which have strong political dimensions.
"
9,inequitable,"orship outcomes among underserved women. our prior work (which demonstrates successful recruitment and follow-up of cases through cancer registries, linkage with administrative datasets, and multi-modal data collection), and data from others show that healthcare system characteristics contribute to inequitable access to timely and high-quality care delivery across the cervical cancer care continuum. to address critical gaps in knowledge, the proposed study seeks to examine upstream indicators of structural racism as contributors to inequities in receipt of guideline-concordant cervical cancer treatment a",Assessing Cervical Cancer Healthcare Inequities in Diverse Populations: The ACHIEVE Study,NIH,POLITICAL,"The term ""inequitable"" is used in the context of healthcare access and disparities among underserved women and is linked to the concept of structural racism, indicating a social and political dimension related to fairness and justice in healthcare distribution.
"
10,inequitable,"hiv care and practice (tvi-hcp) interventions, among cisgender (cis) and transgender (trans) women living with hiv (wlwh). emerging evidence suggests that the covid-19 pandemic has resulted in heightened social and structural gender-based violence against cis and trans women, who are shouldering an inequitable share of the resulting impact of restrictions, physical distancing and economic downtown. impacts felt by marginalized cis and trans women, including wlwh, are even more severe and the short- and long-term consequences in terms of trauma, violence, safety and hiv care continuum outcomes of cis and ",Social and structural violence and HIV care continuum outcomes: Developing a trauma-informed HIV care intervention among WLWH,NIH,POLITICAL,"The term ""inequitable"" is used to describe the disproportionate burden placed on cis and trans women due to the COVID-19 pandemic, highlighting social and structural inequalities related to gender. This aligns with a focus on power dynamics and social justice, placing it in a political context.
"
11,inequitable," and this risk increases with age. by the year 2030, an estimated 78% of persons with hiv will be 50 years old or older, and nearly 80% will have one or more chronic conditions. increased risk of hiv-related comorbidities, such as heart disease are due to racism, discrimination, and homophobia, and inequitable social determinants that drive cvd risk (nicotine exposure, diet quality, low physical activity, insufficient sleep, high cholesterol levels, blood pressure, blood sugar, and body mass index). even when hiv viral load is well-controlled, hiv-infection causes immune activation and chronic inflammati",Theoretically Informed Behavioral Intervention to Enhance QOL and Prevent HIV-related Comorbidities in Ethnic and Racial Sexual Minority Men,NIH,POLITICAL,"The term ""inequitable"" refers to social determinants, which are inherently linked to systemic issues of fairness and justice, aligning with a political context.
"
12,inequitable,"nure/promotion. the results of this project will help inform best practices to support women of color in stem at a msi.    the specific aims of the peer project are to address three institutional challenges identified by female and underrepresented racial minority stem faculty at nsc, including: 1) inequitable service and teaching loads, 2) lack of recognition and rewards for invisible service, and 3) inadequate scholarship and career development support. to address these challenges, peer project objectives include: 1) improving peer equity via development of faculty workload dashboards and department eq",ADVANCE Adaptation: Nevada State College - Pursuing Equity to Enhance Retention (PEER),NSF,POLITICAL,"The term 'inequitable' refers to unfair service and teaching loads, which falls under the umbrella of social justice and fairness, making it a political context in this case. It's about power dynamics and equal opportunity within an institution.
"
13,inequitable,"cesses of institutional change to promote stem equity and education    this research has significance in seeking to provide evidence-based support to scholars and practitioners who are working to promote systemic institutional change in stem higher education. to solve stubborn problems that lead to inequitable outcomes, such as biased faculty tenure and promotion processes, uneven leadership opportunities, and hostile departmental climates, requires more than a single intervention. because these problems are embedded in complex higher education systems, taking a systemic approach means deploying multiple",ADVANCE and Beyond: Understanding Processes of Institutional Change to Promote STEM Equity and Education,NSF,POLITICAL,"The term 'inequitable' is used in the context of describing biased faculty tenure and promotion processes, uneven leadership opportunities, and hostile departmental climates. These issues relate to social justice and fairness within academic institutions, aligning with a political context.
"
14,inequitable,"rkload distributions the university of oklahoma advance institutional transformation project (ou elevate) will address differential retention and promotion rates for faculty that identify as women and faculty with intersecting marginalized identities (fimi), focusing on the connection between these inequitable outcomes and the policies and practices present in annual faculty performance evaluations. existing annual evaluation systems for faculty performance largely fail to document the impact of the entire scope of faculty work. this results in faculty activities that are most impactful and critical to t",ADVANCE IT: OU Elevate-Implementing Equitable Multi-Context Faculty Evaluations and Workload Distributions,NSF,POLITICAL,"The term ""inequitable"" refers to unequal outcomes in retention and promotion rates for faculty based on gender and marginalized identities. This directly relates to social justice, diversity, equity, and inclusion, making it a political usage within the context of institutional transformation.
"
15,inequitable,"sustainability, the project team will prioritize practices that will be bootstrapped with advance support and synergized with ongoing efforts and existing institutional infrastructures for diversity.    the specific aims of the project are to 1) generate evidence-based research to scan and identify inequitable policies, the relationships that they entertain with each other, and their change over time; 2) develop a reproducible and transferrable process for building a policy database (with a website portal consisting of two key sections- an open-access section that allows for policy transparency and a sec",ADVANCE Adaptation: Enabling Minorities’ Prime Outcomes with Education & Research (EMPOWER) at Florida Atlantic University,NSF,POLITICAL,"The term ""inequitable policies"" refers to policies that create unfair or unequal outcomes, which falls squarely within the realm of social and political justice, especially in the context of diversity and inclusion efforts as indicated by the grant title and surrounding text.
"
16,inequitable,"advance adaptation: umass boston cares: communities, acknowledgment, recognition and equity through a culture of sponsorship this project addresses issues related to lack of recognition and value for community engaged research and caring work, along with inequitable service loads shouldered by women faculty and faculty of color. importantly, these issues are widespread in higher education and have been demonstrated to lead to inequities in the experiences and career advancement of women faculty and faculty of color in science, technology, engineering, and math","ADVANCE Adaptation: UMass Boston CARES: Communities, Acknowledgment, Recognition and Equity through a Culture of Sponsorship",NSF,POLITICAL,"The term ""inequitable"" refers to unfair service loads affecting specific social groups (women faculty and faculty of color). This relates to issues of equality and social justice, placing it within a political context.
"
17,inequitable,"alyzing their interest in cs and closing achievement and development gaps. however, the retention rate for underrepresented group participants in middle school cs teacher preparation programs is lower than that for their peers. the resulting lack of diversity in cs teachers contributes to students’ inequitable access to quality middle school cs education. in this four-year, design and development, teaching strand project, san francisco state university, wested, and 10+ school districts in california will investigate effective design and implementation strategies of cs teacher preparation programs aimed t",Design Effective and Equitable Professional Learning for Middle School Computer Science Teachers,NSF,POLITICAL,"The term ""inequitable"" is used to describe unequal access to resources (quality CS education) based on group identity (""lack of diversity in CS teachers""). This aligns with social and political discussions surrounding fairness and equal opportunity.
"
