id,term,context,title,agency,classification,explanation
1,inequities,"eby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among oral prep users, including black women and black and latino msm, suggesting that lai prep could also reduce racial, ethnic, and gender inequities in prep use. however, barriers to lai prep use may be more common in underserved communities, potentially exacerbating inequities. lai prep may also increase risk of drug resistance due to its long half-life or delayed detection of hiv infections. this risk may be mitigated by an oral prep ramp-dow",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term 'inequities' is used in the context of racial, ethnic, and gender disparities in PrEP use, which are social and political issues.
"
2,inequities,"d resources. more effective partnerships that break down siloes and leverage the knowledge and strengths of our diverse communities, hospitals, academic institutions, and government agencies are essential to assuring equitable access to culturally congruent, patient-centered care, redressing smm/mm inequities, and maximizing our collective impact. we convene columbia university and weill cornell medicine, four lead community organizations (black women's blueprint, caribbean women's health association, northern manhattan perinatal partnership, and the bridge), and a broad coalition of multisector actors ",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term ""inequities"" is used in the context of addressing disparities in maternal health, particularly related to marginalized groups and communities. This aligns with a broader social and political discourse around equity, access to care, and social justice. The mention of ""culturally congruent, patient-centered care"" further supports the political classification.
"
3,inequities,"a randomized controlled trial of a game-based intervention to reduce alcohol use among sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. despite making great strides in identifying determinants (e.g., minority stress and discrimination) of these inequities over the last 25 years, evidence-based interventions for redu",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""inequities"" refers to disparities in alcohol use experienced by a specific social group (sexual and gender minority youth), linking it to issues of minority stress and discrimination. This highlights a social and political context rather than a purely scientific one.
"
4,inequities,"of sgm youth participants. the timing is ideal to complete the study within 12 months given our study team’s recent experience with studies focusing on sgm youth populations and overlap with planned timing of parent grant data collection activities. the proposed research is important due to ongoing inequities in access and outcomes, including suicide, between sgm and non-sgm youth. this study will provide important insights about whether medicaid acos are addressing disproportionate burdens among sgm youth and inform future studies on the role of delivery and financing reform in bh care for sgm youth. a",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,POLITICAL,"The term ""inequities"" refers to disparities in access and outcomes between SGM and non-SGM youth, specifically mentioning suicide rates. This highlights a social justice issue and unequal treatment, thus placing it in a political context.
"
5,inequities,"e black youth and young adults project summary black emerging adults (bea), ages 18-24, in the u.s. experience higher levels of poverty, illness, and discrimination than white youth. these exposures to harm, coupled with the lack of supportive services to address and mitigate poverty and structural inequities, result in health inequities. bea experience high mental health service needs, but much less service utilization than white youth, have higher rates of sti and less access to family planning. disrupting the social determinants of poverty that systematically affects bea, can have a transformative im",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The term 'inequities' is used in the context of discussing poverty, discrimination, and lack of supportive services affecting Black emerging adults. This aligns with a social and political understanding of disparities and systemic disadvantages.
"
6,inequities," overlooked in epidemiologic studies due to small sample size. with inconsistent and inaccurate ascertainment of tg patients in real-world data sources, tg people are missed and their health trends over time are understudied. researchers are unable to identify and meaningfully address mental health inequities for this population, which can further exacerbate and perpetuate psychiatric conditions. it remains unclear what the health care utilization trends are for tg patients with psychiatric disorders and their adherence and persistence to psychiatric medications over time. understanding this population’",Applying Computational Phenotypes To Assess Mental Health Disorders Among Transgender Patients in the United States,NIH,POLITICAL,"The term 'inequities' refers to unfair differences in mental health outcomes experienced by transgender patients, highlighting a social justice concern related to healthcare access and quality.
"
7,inequities,"m. the training plan combines tailored mentorship from sponsors and consultants with formal coursework and training seminars to provide me with the skills, resources, and mentorship needed to reach my long-term goal of becoming an independent researcher focused on understanding and eliminating au/m inequities among sgmy. elucidating the interplay of normative adolescent and sgmy-specific stressors implicated in sgmy au/m will allow me to develop future research that contributes to developmentally appropriate and culturally relevant interventions to interrupt au/m pathways and support resiliency in sgmy.","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The term ""inequities"" is used in the context of understanding and eliminating alcohol use/misuse (au/m) disparities among sexual and gender minority youth (sgmy), highlighting a social and identity-based disparity, which aligns with a political context.
"
8,inequities,"m. the training plan combines tailored mentorship from sponsors and consultants with formal coursework and training seminars to provide me with the skills, resources, and mentorship needed to reach my long-term goal of becoming an independent researcher focused on understanding and eliminating au/m inequities among sgmy. elucidating the interplay of normative adolescent and sgmy-specific stressors implicated in sgmy au/m will allow me to develop future research that contributes to developmentally appropriate and culturally relevant interventions to interrupt au/m pathways and support resiliency in sgmy.","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The text discusses inequities related to sexual orientation, gender identity (sgmy), and alcohol use (au/m), indicating a focus on social disparities and identity-based differences, which aligns with a political context.
"
9,inequities,"hermanos de luna y sol: a community-based hiv prevention intervention abstract the overall goal of our research is to reduce hiv-related health inequities among latinx immigrant populations. we propose to determine the effectiveness of hermanos de luna y sol (hls), a community-based, group intervention delivered in spanish, designed to reduce hiv sexual risk among latinx immigrants who identify as gay/bisexual men or men who have sex with men (gbmsm)",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The term ""inequities"" is used in the context of HIV-related health disparities among Latinx immigrant populations, which is a social and political issue related to access to healthcare and systemic disadvantages. While the grant is scientific, the specific usage of ""inequities"" here highlights a disparity rooted in social and political factors.
"
10,inequities,"sion, diabetes, and dyslipidemia has al-ready begun to present key challenges to effective hiv care among aging plwh, including sexual minority men (smm). because these ncds often present together as comorbid conditions, interact with each other adversely, and are inflected by social and structural inequities, they may comprise a synergistic epidemic (syndemic). in the u.s., there are substantial racial, ethnic, and socioeconomic disparities in the prevalence and/or control of ncds and hiv. intersecting stigmas, such as racism, classism, and homophobia, may drive these health disparities through direct ",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,POLITICAL,"The term 'inequities' is used to describe social and structural factors that influence health outcomes, which is a concept rooted in social and political determinants of health. The grant text explicitly mentions ""social and structural inequities"" and links them to racial, ethnic, and socioeconomic disparities, as well as intersecting stigmas like racism and classism, all of which fall under the domain of social and political issues.
"
11,inequities,"s concept of self and can be the same as one’s sex assigned at birth (cisgender), different from one’s sex assigned at birth (transgender), or beyond traditional classifications (non-binary, gender fluid, gender diverse). tgd populations are disproportionately burdened by physical and mental health inequities and are a designated nih health disparities population. the recent explosion of biobanking, and more routine collection of gender identity data and affords an opportunity to study possible genomic associations with gender identity. such research could affirm gender identity, or be used to pathologi",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,POLITICAL,"The term ""inequities"" refers to disparities in physical and mental health experienced by transgender and gender diverse (TGD) populations, which is a matter of social justice and political concern. The mention of NIH health disparities population further reinforces this political context.
"
12,inequities,"an intersectional approach linking minority stressors experienced by transgender and gender diverse adults to alcohol and drug use and comorbid mental and physical health outcomes abstract transgender, and gender diverse adults (tgdas) experience severe inequities rooted in and reflective of historical stigmatization due to their gender status and resulting in significant health disparities. in accordance with minority stress theory, systematic oppression, discrimination, and stigma are distal stressors that manifest through experiences of interpersonal viol",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The term 'inequities' is used to describe systemic disadvantages faced by transgender and gender diverse adults due to historical stigmatization and oppression, which are inherently political and social issues. The context also mentions ""systematic oppression, discrimination, and stigma,"" further solidifying its political usage.
"
