id,term,context,title,agency,classification,explanation
1,inequities,"ces about how health equity should be understood, measured, and represented in the health sciences, policy, and education. as the reduction of health inequities, which will improve the health of marginalized groups, is frequently cited as a primary goal of public health, the book is of clear address, bioethic",NA,NIH,POLITICAL,"The text explicitly links ""health inequities"" to the ""health of marginalized groups"" and ""public health,"" indicating a focus on social and political dimensions of health disparities rather than a purely biological or medical perspective.
"
2,inequities,"e. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from across the n",NA,NSF,POLITICAL,"The term 'inequities' is used in the context of systemic issues affecting individuals, communities, and institutions within the STEM enterprise, which directly relates to social and political considerations of fairness and equal opportunity.
"
3,inequities,"epresent one of the fastest growing populations in the us, yet one of the least represented in engineering. this project aims to address the systemic inequities that hinder the participation and advancement of hispanics in engineering along the engineering career continuum, including the social/family, educat",NA,NSF,POLITICAL,"The term 'inequities' refers to systemic disadvantages faced by a specific demographic group (Hispanics) in engineering, highlighting issues of representation, participation, and advancement, which falls under a social/political context concerned with equality and opportunity.
"
4,inequities,"career: identifying, enabling, and supporting racial justice in science teaching despite years of research and interventions to address inequities that are largely related to race, science education continues to perpetuate these inequities in both participation and outcomes in science. this care",NA,NSF,POLITICAL,"The term 'inequities' is used in the context of racial justice and disparities in participation and outcomes in science education, which is a social and political issue.
"
5,inequities,"nts’ concerns are needed, especially among black families, who have higher prevalence of general vaccine hesitancy and medical mistrust due to racial inequities. the purpose of this nci transition career development award (k22) is to support me through specific training and research experiences as i become an",NA,NIH,POLITICAL,"The term 'inequities' is used to refer to racial inequities, which is inherently a socio-political issue. The context links these inequities to vaccine hesitancy and medical mistrust within a specific racial group.
"
6,inequities,"r new minority serving institutions (msis) to evaluate, identify and change the policies, processes, and everyday practices that contribute to racial inequities in stem education. over nearly two years, these cohort institutions will be guided by experts through evidence-based and theory-informed strategies t",NA,NSF,POLITICAL,"The term ""inequities"" refers to ""racial inequities in STEM education,"" which falls under social and political discussions of fairness and equal opportunity.
"
7,inequities,"nrt-hdr: computational research for equity in the legal system"" (crels) the criminal legal system is an important driver of inequities and social and economic polarization, and legal institutions are at the leading edge of use – and misuse – of artificial intelligence. the increasing",NA,NSF,POLITICAL,"The term 'inequities' is used in the context of the criminal legal system and its impact on social and economic polarization, which are inherently political and social issues.
"
8,inequities,"d learning environments, broadening participation in stem, and stem workforce development. it responds to continuing concerns about racial and social inequities in stem fields that begin to emerge in the early childhood years. the overarching goal of the project is to identify cultural strengths that support ",NA,NSF,POLITICAL,"The term ""inequities"" refers to racial and social disparities in STEM fields, which is a social and political issue rather than a purely scientific one.
"
9,inequities,"understanding of cc and health and strategies to adapt. in fact, they are key to developing action-oriented solutions that address cc- related health inequities. the central theme of the anga center for climate justice, health equity, and community well-being in east africa is to improve climate justice, heal",NA,NIH,POLITICAL,"The term 'inequities' is linked to 'climate justice' and 'health equity', which are concepts rooted in social and political considerations of fairness and distribution of resources.
"
10,inequities,"cial determinants of hiv social determinants of health (sdh) comprise overlapping social structures and economic systems that account for most health inequities. examining sdh may be useful in identifying and monitoring hiv-related inequities, such as racial and gender disparities in hiv testing, engagement i",NA,NIH,POLITICAL,"The term 'inequities' is used in relation to social determinants of health and disparities in HIV testing and engagement, which are inherently linked to social and political factors like race and gender.
"
11,inequities,"stige, workload, and fulfillment associated with faculty members’ service activities to identify those stem fields with the greatest service workload inequities. we will analyze exit interview data collected across the last decade from faculty who separated from the university to determine whether/how their i",NA,NSF,POLITICAL,"The term ""inequities"" in the context of workload disparities between faculty members, particularly in STEM fields, leans heavily into social and political considerations related to fairness, equal opportunity, and representation within the academic environment. While workload can be measured scientifically, the concept of ""inequities"" implies a value judgment about the fairness of those distributions.
"
12,inequities,"ructural racism. the overall positive impact of the tool will be its use in research settings to find effective interventions to reduce racial health inequities. area, back, behavioral, belief, black populations, black race, businesses, covid-19 mortality, censuses, collaborations, collection, community parti",NA,NIH,POLITICAL,"The term ""inequities"" is used in the context of ""racial health inequities"" and ""structural racism,"" indicating a focus on social and political dimensions of health disparities.
"
13,inequities,reframing personal and community report back of consumer products by centering intersectionality project abstract racial/ethnic inequities in chemical exposures from consumer product use are shaped by social-structural factors and can amplify health disparities across the life course. in,NA,NIH,POLITICAL,"The term ""inequities"" is used in conjunction with ""racial/ethnic inequities"" and ""health disparities,"" which are concepts rooted in social and political structures and their impact on different groups. The mention of ""intersectionality"" further strengthens the political context.
"
14,inequities,"ei) is to transform agricultural workers’ access to affordable, reliable high-speed broadband internet to enhance telehealth models and reduce health inequities. the proposed awdei will engage community-based partners across north carolina (nc) that serve agricultural workers and their families. the project t",NA,NIH,POLITICAL,"The term ""health inequities"" refers to unfair and avoidable differences in health outcomes between different groups of people, which is a social and political issue. The grant aims to reduce these differences through improved access to healthcare.
"
15,inequities,"ry/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. despite making great strides in",NA,NIH,POLITICAL,"The term ""inequities"" refers to disparities in alcohol use and related health outcomes experienced by sexual and gender minority youth. This highlights social and political factors that contribute to these disparities, aligning with a focus on identity and social justice.
"
16,inequities,s in shelby and prince george’s counties is significant because they are two of the largest majority- black counties in the u.s. with well-documented inequities that could provide unidentified solutions for others who experience substantial barriers. we will begin by building upon our preliminary data using i,NA,NIH,POLITICAL,"The term ""inequities"" is used to describe disparities within majority-Black counties, linking it to social and political issues of race and access to resources.
"
17,inequities,"h and practice. awarded projects center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by the inequities caused by systemic racism in stem fields. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers fro",NA,NSF,POLITICAL,"The term ""inequities"" is explicitly linked to ""systemic racism,"" indicating a social and political context rather than a purely scientific one.
"
18,inequities,"structural racism and discrimination in older men's health inequities abstract the health and well-being of older gay men has been greatly shaped by structural forces, namely discrimination and, for older gay men of col",NA,NIH,POLITICAL,"The term ""inequities"" is used in the context of ""structural racism and discrimination,"" indicating a focus on social and political factors that contribute to unequal health outcomes.
"
19,inequities,"people enter ocd treatment with more severe ocd and comorbidities (e.g., anxiety, depression) than heterosexual people. in general, the mental health inequities affecting sm people have been attributed to their unique experiences of stress, such as discrimination. despite accumulating evidence of sexual orien",NA,NIH,POLITICAL,"The term 'inequities' refers to the unequal distribution of mental health resources and outcomes based on sexual orientation, which is a social and political issue.
"
20,inequities,"ties for growth in stem the advance catalyst grant will support texas christian university’s effort to determine how it has implicitly influenced the inequities found in science, technology, engineering, and mathematics (stem) departments. by identifying barriers and bridges for women stem faculty, this proje",NA,NSF,POLITICAL,"The term ""inequities"" refers to unequal opportunities and treatment, particularly for women in STEM, which falls under social and political considerations related to fairness and representation.
"
21,inequities,"e. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from across the n",NA,NSF,POLITICAL,"The term 'inequities' is used in the context of systemic issues affecting individuals, communities, and institutions within the STEM enterprise, aligning with NSF's core values. This suggests a social and political dimension related to fairness and equal opportunity.
"
22,inequities," that hamper scientists’ careers later in life. past research shows that contact with faculty, advising, and undergraduate research can reduce racial inequities, but it is not clear whether and how these work in all stem fields. this project will explore how experiences like these create “stem microclimates” ",NA,NSF,POLITICAL,"The term 'inequities' refers to racial disparities in scientific career paths, which is a social and political issue.
"
23,inequities,"uity (inspire) project will address the significant problem of sustaining equity-centered student success practices that attempt to mitigate systemic inequities within the stem and stem education enterprise. studies of organizational sustainability of such practices are rare, particularly in hispanic-serving ",NA,NSF,POLITICAL,"The text refers to ""systemic inequities"" and ""equity-centered student success practices,"" which are concepts rooted in social justice and political discourse aimed at addressing disparities in opportunities and outcomes.
"
24,inequities,"identities and sexual orientations and neurodivergent individuals alongside facilitators that specialize in helping stem professionals address social inequities. the ideal program supports practitioners in developing self-awareness, readiness, agency, and resources to modify their projects with practices that",NA,NSF,POLITICAL,"The term ""social inequities"" is used in the context of identities, sexual orientations, neurodivergent individuals, and addressing social issues within STEM, indicating a social and political, rather than strictly scientific, usage.
"
25,inequities,"e. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this activity aligns with nsf’s core value of supporting outstanding researchers and innovative thinkers from across the ",NA,NSF,POLITICAL,"The term 'inequities' refers to 'systemic inequities within the STEM enterprise,' which implies unfair or unjust conditions arising from social or political structures and impacting specific groups. This is a discussion about social justice and access within STEM, rather than a purely scientific usage of the term.
"
26,inequities,"e. awarded projects seek to center the voices, knowledge, and experiences of the individuals, communities, and institutions most impacted by systemic inequities within the stem enterprise. this program aligns with nsf's core value of supporting outstanding researchers and innovative thinkers from across the n",NA,NSF,POLITICAL,"The term ""inequities"" refers to systemic disadvantages impacting individuals and communities within the STEM enterprise, aligning with concepts of social justice and equitable representation, which are inherently political.
"
27,inequities,"cient sleep; sleep disordered breathing).  aim 2.2. using causal mediation techniques, quantify the effects for discrimination as mediator of health  inequities and determine which type and combination of discrimination measures yields the largest effects. impact: if our hypotheses are supported, results woul",NA,NIH,POLITICAL,"The term ""inequities"" is used in the context of ""health inequities"" and is linked to ""discrimination,"" indicating a discussion about social and political disparities that lead to unequal health outcomes.
"
28,inequities,"inadequate training in caring for sgm patients that often results in mistreatment or discrimination, which deters research participation. while these inequities have been associated with societal stigmatization and minority stress in small studies, difficulties identifying and studying sgm communities severel",NA,NIH,POLITICAL,"The term ""inequities"" is used in relation to mistreatment, discrimination, societal stigmatization, and minority stress, all of which are social and political issues, particularly as they impact SGM (sexual and gender minority) patients.
"
29,inequities,"institution, interpersonal, and individual levels. our rationale is that the burden of mitigating the multi-level impact of sdoh on social and health inequities should not fall solely on disenfranchised patients, which in our case is the economically disadvantaged african american and hispanic stroke patient.",NA,NIH,POLITICAL,"The term ""inequities"" is used in the context of social determinants of health (SDOH) and their impact on specific disenfranchised patient populations (economically disadvantaged African American and Hispanic stroke patients). This framing aligns with the concept of disparities and unequal burdens within a society, which is inherently a political issue.
"
30,inequities,"toral research training. the fellowship will ultimately further my goal of becoming an independent research scientist that will address mental health inequities through neighborhood effects research in minoritized populations. address, adult, affect, ancillary study, characteristics, communities, data, data a",NA,NIH,POLITICAL,"The term 'inequities' is used in the context of addressing mental health disparities in ""minoritized populations,"" which implies a social and political dimension related to systemic disadvantages.
"
31,inequities," health disparities), understanding (identifying determinants of disparities), and/or reducing (intervene, evaluate, translate, scale, policy) health inequities in cross-cutting thematic areas (aging, chronic disease, and/or environmental determinants). developing and supporting a cadre of diverse researchers",NA,NIH,POLITICAL,"The term 'inequities' is used in relation to health disparities and reducing them through policy, which implies a social and political dimension of fairness and justice in health outcomes.
"
