id,term,context,title,agency,classification,explanation
1,inequity,"on, county, data, data set, decision making, development, disparity, distress, economics, emergency situation, equity, facebook, future, generations, goals, hiv, hiv vaccine, habits, health, health campaign, health disparities research, health behavior, healthcare, heterogeneity, human, individual, inequity, institution, interview, knowledge, language, linguistics, location, longitudinal cohort, machine learning, malignant neoplasms, masks, maternal mortality, measures, medicine, mental health, methods, minority groups, misinformation, national institute on minority health and health disparities, natu",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The context includes terms like ""disparity,"" ""minority groups,"" ""health disparities research,"" ""equity,"" and ""maternal mortality,"" which strongly suggest a focus on social and political dimensions of health and well-being related to disadvantaged groups.
"
2,inequity,"t care, data, decision modeling, detection, development, drug resistance, economic models, economics, effectiveness, electronic health record, epidemic, epidemiology, equity, ethnic origin, focus groups, funding, gender, goals, hiv, hiv infections, half-life, healthcare systems, implant, incidence, inequity, infrastructure, injectable, injections, intervention, investments, laboratories, latino, maryland, methods, modality, oral, outcome, participant, persons, phase, policies, population, prevention strategy, provider, qualitative methods, race, ramp, research, research design, research infrastructure",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term ""inequity"" appears alongside terms like ""equity,"" ""ethnic origin,"" ""gender,"" ""race,"" and ""policies,"" indicating a focus on social determinants of health and disparities within the context of HIV prevention. This suggests a concern with unfair or unjust differences in access to care and outcomes based on social factors, which falls under a political/social justice context.
"
3,inequity,"ions, communities, community healthcare, community hospitals, data, disparity, ecosystem, electronic health record, ensure, equity, evaluation, goals, government, government agencies, health sciences, health care facility, health system, healthcare, hispanic, hospitalization, hospitals, individual, inequity, infrastructure, institution, intervention, justice, knowledge, lead, leadership, link, maternal health, maternal health services, maternal mortality, maternal health equity, medicaid eligibility, medical center, medicine, mental health, methods, modeling, new york, new york city, outcome, pathway ",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The term 'inequity' is used in the context of maternal health, community hospitals, and disparities, suggesting a focus on social justice and fairness in healthcare access and outcomes, which falls under a political context.
"
4,inequity," testing, covid-19 vaccination, common data element, communities, community networks, complex, crowding, data, diffusion, disparity, drug courts, ensure, environment, family, friends, general population, graph, health, health information system, health behavior, imprisonment, incidence, individual, inequity, infection, insurance, intervention, investigation, jail, legal, legal system, machine learning, medical, minnesota, misinformation, modeling, modernization, morbidity - disease rate, outcome, pathway analysis, persons, policies, population, positioning attribute, prevention strategy, preventive, p",Integrated Network Analysis of RADx-UP Data to Increase COVID-19 Testing and Vaccination Among Persons Involved with Criminal Legal Systems (PCLS),NIH,POLITICAL,"The term ""inequity"" in this context relates to disparities in health outcomes and access to testing/vaccination within a specific population (persons involved with criminal legal systems), which inherently touches upon social and political factors influencing health.
"
5,inequity,"erogeneity of treatment effects across groups, and within- group resilience factors. this innovative, multi-level intervention fulfills a significant unmet need for near-term and sustainable solutions to the health disparities faced by tgd young adults and addresses intersecting forms of stigma and inequity to transform mental health outcomes for a highly vulnerable, at-risk young adult population. accounting, address, adolescent, adolescent and young adult, age, anxiety, area, birth, black race, caregiver support, caregivers, caring, cause of death, collaborations, communication, communities, communi",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'inequity' is used in the context of addressing disparities faced by a vulnerable population (transgender and gender-diverse young adults) and is linked to intersecting forms of stigma. This suggests a social and political dimension related to fairness and justice in health outcomes.
"
6,inequity,"population-level sgmy inequities in alcohol use. affect, alcohol consumption, benchmarking, coping skills, data, development, devices, discrimination, distal, empirical research, ethnic origin, evidence based intervention, feedback, fostering, foundations, frequencies, future, goals, grant, health, inequity, internet, intervention, interview, knowledge, lesbian gay bisexual transgender, life cycle stages, methods, morbidity - disease rate, national institute on alcohol abuse and alcoholism, outcome, participant, persons, population, public health, race, randomized  controlled trials, reporting, resear",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term ""inequity"" is used in the context of ""population-level sgmy inequities in alcohol use,"" which highlights disparities affecting a specific social/identity group (Sexual and Gender Minority Youth), thus indicating a social and political dimension.
"
7,inequity,"ommunities, data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term 'inequity' appears alongside terms like 'racial equity', 'gays', 'Black men who have sex with men', 'communities', and 'public health', suggesting a usage related to social and political disparities in health outcomes.
"
8,inequity,"ommunities, data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The presence of terms like ""racial equity,"" ""Black men who have sex with men,"" ""communities,"" and ""population"" strongly suggests the term 'inequity' is being used in the context of social and health disparities, which aligns with a political and social justice understanding of the term.
"
9,inequity," implementation research, contact tracing, data, development, doxycycline, early identification, education, eligibility determination, ensure, epidemic, equity, evidence based intervention, face, future, hiv, health, health priorities, health services, health system, hispanic, illinois, individual, inequity, infection, interview, knowledge, latinx, latinx population, locales, methods, modeling, morbidity - disease rate, motivation, patient preferences, patients, population, prevention, prevention strategy, prophylactic treatment, provider, public health, qualitative methods, research, self efficacy, s",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term ""inequity"" is used in conjunction with terms like ""equity,"" ""health priorities,"" ""health services,"" ""Latinx population,"" and ""public health,"" which suggests a focus on social justice and fair distribution of resources and opportunities within a population. This points to a social, political, or identity context rather than a purely technical or scientific one.
"
10,inequity,"k sgm-specific protective factors that will inform future tailored strengths-based interventions. address, affect, age, area, bisexual, black populations, black race, communities, data, development, discrimination, ensure, feeling suicidal, future, gender identity, glean, heterosexuals, individual, inequity, intervention, interview, laws, lesbian gay bisexual, lesbian gay bisexual transgender queer, longitudinal studies, marketing, mediation, mental health, methodology, methods, modeling, motivation, participant, pathway interactions, persons, population intervention, predictive factor, process, psych","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""inequity"" appears within a list of terms related to social disparities, discrimination, and marginalized populations (Black sexual and gender minority youth). This points to its use in highlighting systemic disadvantages and unequal opportunities faced by this group, which is a political context.
"
