id,term,context,title,agency,classification,explanation
1,injustice," ideation across sgm groups at the daily level. aim 3 involves conducting individual interviews with a subset of 180 participants across sgm identities and age groups to glean insights into contextual factors associated with increasing/decreasing suicide risk. this research will help address social injustices that characterize mental health disparities among black sgm youth by identifying modifiable black sgm-specific protective factors that will inform future tailored strengths-based interventions. address, affect, age, area, bisexual, black populations, black race, communities, data, development, dis","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""social injustices"" is used to describe systemic inequalities contributing to mental health disparities among a specific population, indicating a social and political context.
"
2,injustice,"ancet. by fostering interdisciplinary collaborations to reduce health disparities, this project will cultivate cross-sector partnerships, produce original knowledge on health equity, and promote the dissemination and translation of this knowledge into novel interventions suited to ameliorate health injustices in the long-term. affect, agreement, awareness, caring, case series, case study, clinical, clinical medicine, collaborations, communicable diseases, complex, discipline, economics, educational process of instructing, educational workshop, fostering, general population, goals, health, health policy",SOCIAL MEDICINE CASES FOR HEALTH EQUITY,NIH,POLITICAL,"The term ""health injustices"" refers to systemic and social inequalities in health outcomes, which falls under the umbrella of social justice and thus a political context.
"
3,injustice,"multilevel racism & discrimination and prep outcomes among black smm in the southeastern u.s. project summary  inequities in health manifest as a result of systemic minority stressors and social injustices. racism and discrimination are salient minority stressors and social injustices for black sexual minority men (smm) because black smm anticipate and experience discrimination at different ecological levels (intrapersonal, interpersonal, and community) due to their interconnected identities (e.g., ",Multilevel Racism & Discrimination and PrEP Outcomes Among Black SMM in the Southeastern U.S.,NIH,POLITICAL,"The term ""social injustices"" is used in the context of systemic minority stressors, racism, and discrimination experienced by a specific social group (Black SMM). This aligns with the understanding of injustice as a political and social issue related to inequality and power imbalances.
"
4,injustice,"e, laws, lesbian gay bisexual transgender queer, long covid, measurement, measures, mediator, mental health, methods, murder, national institute of child health and human development, personal satisfaction, persons, policies, population, population heterogeneity, positioning attribute, race, racial injustice, recommendation, recovery, reporting, research, research personnel, resources, respondent, rights, risk factors, same-sex, sampling, sampling studies, sexism, shock, social support, socialization, stress, structural racism, surveys, system, tennessee, testing, time, time study, trauma, uncertainty,",A Longitudinal Examination of Mechanisms Underlying Intersectional Health Disparities in the United States,NIH,POLITICAL,"The term 'racial injustice' is explicitly mentioned in the context of race, policies, structural racism, and rights, indicating a social and political dimension.
"
5,injustice," sector, which is indispensable to measuring structural racism. the wealth gap across race and ethnic groups is directly related to structural racism and its downstream causal effects on health. according to leading social epidemiologist dr. nancy krieger, “you can’t understand the system of racial injustice without understanding how it ties to economic injustice” (2022). to identify effective interventions to reduce structural racism, there is an urgent public health need to capture the complex nature and impacts of structural racism in a multicultural and multiracial society. our overall objective is","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The term ""racial injustice"" is used in relation to ""economic injustice,"" ""structural racism,"" the ""wealth gap across race and ethnic groups,"" and the need for ""interventions to reduce structural racism."" These concepts are inherently linked to social and political structures, power dynamics, and systemic inequalities, making the usage political.
"
6,injustice," sector, which is indispensable to measuring structural racism. the wealth gap across race and ethnic groups is directly related to structural racism and its downstream causal effects on health. according to leading social epidemiologist dr. nancy krieger, “you can’t understand the system of racial injustice without understanding how it ties to economic injustice” (2022). to identify effective interventions to reduce structural racism, there is an urgent public health need to capture the complex nature and impacts of structural racism in a multicultural and multiracial society. our overall objective is","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The text explicitly links ""racial injustice"" to ""economic injustice"" and ""structural racism,"" which are concepts used in social and political discourse, particularly when discussing inequality and systemic oppression.
"
7,injustice,"stream.” policies, 24 institutions, neighborhoods, and communities impact our behavior and health, and require intervening across 25 multiple levels to improve health. there is, for example, a recognizable stress-related pathway by which 26 upstream factors such as systemic racism and environmental injustice get “under the skin” to affect health and 27 disease. recognizing the multiple ways that upstream factors affect health is as important as developing multi- 28 level intervention frameworks to address downstream conditions. meeting sessions will prepare attendees to 29 address upstream factors, for",Society of Behavioral Medicine 2024 Annual Meeting & Scientific Sessions,NIH,POLITICAL,"The term ""environmental injustice"" is used in connection with ""systemic racism"" and their impact on health, indicating a social and political context related to inequality and its consequences.
"
8,injustice,experiences with inequality but also to ingrained problems of structural differences.      this comparative project addresses the broader societal goals of addressing human strategies for dealing with extreme heat as well as improving our understanding of the mechanisms that lead to climate-related injustice. a critical motivation of our ethnographic study is to explore how daily struggles to stay cool/weather the heat offer insight into deeply embedded societal beliefs which uphold inequality and that create barriers to change. documenting the way in which inequality is related to exposure to heat is ,Heat and Inequality,NSF,POLITICAL,"The text explicitly connects climate-related injustice to societal beliefs upholding inequality and creating barriers to change, indicating a focus on social and political dimensions rather than a purely scientific or technical definition.
"
9,injustice,"ustice into environmental science teaching can harness youth’s real-world interests and improve their engagement, learning, sense of belonging, and career interests. this may be especially true for students who are directly experiencing the intertwined burdens of structural racism and environmental injustice. this project will adapt and extend successful solar suitcase curricula that explicitly link technology learning experiences to environmental science and social purpose. examples include carbon-neutral energy technologies for electricity generation and transportation, off-grid solar power for disas","A Networked Improvement Community Approach to School-wide Transformation, Teacher Agency, and Minoritized Students’ Climate Science Learning and Belonging",NSF,POLITICAL,"The term 'injustice' is used in the context of 'environmental injustice' and 'structural racism,' which are inherently social and political issues related to unequal distribution of environmental burdens and systemic discrimination.
"
10,injustice,"en addressed with legacy energy systems. while clean energy technologies target reducing greenhouse gas emissions that drive climate change and should theoretically benefit marginalized and underserved communities, research indicates that clean energy technologies can follow the same path of social injustice unless intentional change is made in the way technologies are developed and deployed. we hypothesize that the application of social justice theory to energy systems–energy justice–can inform the development of clean energy technologies, increasing the distribution of benefits and limiting the negat",RAISE: CET: Changing our value system for clean-energy technologies,NSF,POLITICAL,"The term ""injustice"" is used in the context of social injustice and energy justice, highlighting disparities and unequal distribution of benefits within communities, which aligns with a political and social context.
"
