id,term,context,title,agency,classification,explanation
1,institutional,"tervention, early treatment, electronic health record, emergency care, equity, ethnic origin, evidence based practice, face, family, food, fostering, future, grief reaction, haitian, health alliance, health services accessibility, healthcare, healthcare systems, housing, improve access, individual, institutionalization, internet, intervention, justice, language, latino, learning, life, limited english proficiency, linguistics, link, location, measurement, medical, mental health, mental health services, mental disorders, methods, minority groups, monitor, morbidity - disease rate, neighborhoods, patients, p",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"""Institutionalization"" in this context likely refers to the placement of individuals, particularly youth, in institutional settings such as psychiatric facilities or residential treatment centers. This carries a social and political dimension related to care systems, access to resources, and societal approaches to mental health.
"
2,institutional,"integrated networks of scholars in global health research training (insight) project abstract this application presents the integrated networks of scholars in global health research training (insight) program. we have 145 faculty members across our multidisciplinary and multi-institutional consortium working together with 24 low- and middle-income countries (lmic) institutions in sub-saharan africa, south asia, and the latin america and the caribbean. a strategic planning process; including a comprehensive review of our consortium's role in combatting the global hiv epidemic, emergin",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,SCIENTIFIC,"The term ""multi-institutional consortium"" refers to a collaboration between multiple research institutions, a common arrangement in scientific research, particularly in global health research.
"
3,institutional,"integrated networks of scholars in global health research training (insight) project abstract this application presents the integrated networks of scholars in global health research training (insight) program. we have 145 faculty members across our multidisciplinary and multi-institutional consortium working together with 24 low- and middle-income countries (lmic) institutions in sub-saharan africa, south asia, and the latin america and the caribbean. a strategic planning process; including a comprehensive review of our consortium's role in combatting the global hiv epidemic, emergin",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,SCIENTIFIC,"The term 'institutional' refers to the participating research institutions forming the consortium. This aligns with the scientific context of research collaboration and organizational structure within a research program.
"
4,institutional,", data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials, recommendatio",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,AMBIGUOUS,". The term ""institutionalization"" appears in a list of diverse terms. Without further context, it's impossible to determine if it refers to institutional review boards (scientific/ethical), historical discriminatory institutional practices (political), or some other institutional aspect.
"
5,institutional,", data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health personnel, health care facility, healthcare, incidence, individual, inequity, institutionalization, intervention, interview, job loss, laboratories, learning, length, life, methodology, methods, modeling, new york city, participant, pharmaceutical preparations, population, provider, psychosocial factor, public health, racial equity, randomized, randomized  controlled trials, recommendatio",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,AMBIGUOUS,". The presence of terms like ""racial equity,"" ""health insurance,"" and ""public health"" alongside terms related to scientific methodology and HIV research makes it unclear whether ""institutionalization"" refers to systemic factors (political) or institutional research settings (scientific).
"
6,institutional,"s outcomes as well as potential avenues for health improvement. the c3en will benefit from a foundation of multiple institutes and centers at the university of chicago and rush that set the stage for conducting interdisciplinary research aligned with public health goals of the chicago region, inter-institutional collaboration, and models for training programs. our center’s specific aims are: 1) to build a chicago regional community-based research network based on collaborations with key stakeholder groups including community-based organizations, networks of ambulatory practices, and academic institutions, ",Chicago Chronic Condition Equity Network (C3EN),NIH,SCIENTIFIC,"The text refers to academic institutions and inter-institutional collaboration within a research context, indicating a focus on scientific and academic research practices.
"
7,institutional,"gin to fill critical knowledge gaps. in collaboration with our lgbtq+ inclusion health clinic, we will establish a pilot bc screening program and utilize a mixed methods approach to explore bc risk and screening in this population. these data will provide the necessary foundation to develop a multi-institutional longitudinal tg bc screening cohort study which will inform the development of bc screening guidelines and best practices for bc screening within the tg community. the foundational k08 work will be accomplished through three specific aims: 1) determine the callback and biopsy rates of tg persons af",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,SCIENTIFIC,"The term ""multi-institutional"" refers to a study or cohort involving multiple institutions (likely hospitals or research centers), which is a common practice in scientific research, especially in large-scale studies.
"
8,institutional," conduct a sequential mixed-methods study comprised of in-depth qualitative interviews with tgd community members (n=40); quantitative surveys with tgd community members (n=400); and listening sessions with key stakeholders (genomics researchers, tgd- serving clinicians, ethical and legal scholars, institutional review board members) (n=32); and 3) convene a larger summit to develop the guidelines. we will use a formal process of deliberative engagement led by a facilitator with experience in facilitated dialogue in tgd communities to identify priorities, resolve conflicts, make decisions, develop guidelin",Trans/Forming Genomics: Guidance for Research Involving Transgender and Gender Diverse People,NIH,SCIENTIFIC,"The term ""institutional review board members"" refers to a specific body within research institutions that reviews and approves research protocols. This is a standard scientific and research context.
"
9,institutional,"ic has had a profound negative impact on population mental health in the united states, especially for marginalized populations such as sexual minorities (sms). emerging research suggests that this disparity is driven by minority stress processes (e.g., stigma) and structural vulnerabilities (e.g., institutional oppression) that systematically expose sms to more pandemic-related stressors and exacerbate their effects. however, critical knowledge gaps remain regarding the intersectional distribution and upstream (i.e., social and structural) determinants of covid-19-related disparities in mental health. to ","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,POLITICAL,"The term ""institutional oppression"" refers to systemic and structural inequalities embedded within institutions, which is a concept rooted in social and political analysis.
"
10,institutional," physical health disparities compared to cisgender peers, such as higher rates of depression and anxiety, increased risk for suicide, substance use and poor physical health. these disparities are associated with internalized anti-tnb stigma, discriminatory interpersonal encounters, and systemic and institutional barriers to accessing necessary social, financial, educational, and health resources, and are exacerbated among tnb people of color (poc) and those with fewer resources. research across populations indicates that social support has multiple beneficial effects, including mitigating adverse mental he",A multidimensional investigation of social support for transgender and nonbinary people and its impacts on health and well-being: Measurement development using community engagement,NIH,POLITICAL,"""Institutional barriers"" refers to systemic and structural obstacles rooted in societal institutions, hindering access to resources. This speaks to power dynamics and societal structures, aligning with a political context.
"
11,institutional,", hepatitis c virus, hepatology, immune system, incidence, individual, infection, infrastructure, international, kidney, kidney failure, kidney transplantation, legal, liver, liver failure, liver fibrosis, liver diseases, lymph node tissue, malignant neoplasms, measures, mediating, metabolic, multi-institutional clinical trial, multicenter studies, multicenter trials, national institute of allergy and infectious disease, organ, organ donor, organ procurements, organ transplantation, outcome, parents, pathogenesis, pathologic, pathology, pilot projects, policies, population, protocols documentation, public ",HOPE in Action: A Clinical Trial of HIV-to-HIV Liver Transplantation,NIH,SCIENTIFIC,"""Multi-institutional clinical trial"" refers to a clinical trial conducted across multiple institutions, which is a technical aspect of scientific research.
"
12,institutional," of literature suggests that stigma and minority stress are primary factors driving sgm inequities. sgm stigma is the social process of labeling, stereotyping, and rejecting human difference as a form of social control and it operates at three levels: (1) structural stigma (e.g., societal norms and institutional laws and practices that limit the resources of stigmatized people); (2) interpersonal stigma (e.g., verbal harassment and physical violence); and (3) individual stigma (e.g., the feelings people hold about themselves or the beliefs they perceive others hold about them that may shape anticipation an",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,POLITICAL,"The term ""institutional"" refers to institutional laws and practices that limit resources, which is a political and social power dynamic.
"
13,institutional,"ing in industry or academia. thirty-three prep@uga alumni are in good standing in their phd programs. the program is well-positioned to continue this important work because of its close alignment with uga’s diversity and inclusive excellence and 2025 strategic plans, which have catalyzed changes in institutional policies and practices to address systemic issues that have limited diversity. in this renewal, prep@uga will (1) continue to use a multi-pronged approach to recruit diverse cohorts of six postbaccalaureate scholars who identify as underrepresented and/or as having a disability; (2) continue to eng",PREP at University of Georgia,NIH,POLITICAL,"The term 'institutional' refers to policies and practices within the university aimed at addressing systemic issues related to diversity, which is a political/social context.
"
14,institutional,"ounty, data, data sources, disease, ecology, economics, education, enrollment, evolution, family, friends, funding, future, goals, hiv, hiv vaccine trials network, hiv prevention trial, hiv vaccine, health policy, health system, hepatitis a, homophobia, impairment, individual, infection, influenza, institutional racism, intention, knowledge, lesbian gay bisexual transgender, link, longitudinal surveys, measures, mediating, mediator, medicine, misinformation, modeling, outcome, participant, pattern, pennsylvania, pharmaceutical preparations, phase, policies, politics, population, positioning attribute, prev",Understanding the Regional Ecology of a Future HIV Vaccine,NIH,POLITICAL,"""Institutional racism"" is a term that describes systemic racism embedded in institutions.
"
15,institutional,"ack race, child, child health, data, discipline of obstetrics, discrimination, disparity, economics, educational status, employment, environment, ethnic origin, ethnic population, face, fetus, general population, genetic, health, high prevalence, human development, hypertension, income, individual, institutionalization, knowledge, life cycle stages, life course epidemiology, literature, lived experience, maternal health, maternal mortality, measures, mediating, mediation, mediator, mission, modeling, mothers, national institute of child health and human development, nulliparity, outcome, pathway interactio",Does self-reported psychosocial stress in pregnancy mediate the association between maternal race/ethnicity and hypertensive disorders of pregnancy?,NIH,POLITICAL,"""Institutionalization"" appears in a list of terms related to social determinants of health, disparities, and lived experience, suggesting a focus on systemic or structural factors which aligns with a political context.
"
16,institutional,"stitutes of health, universities, vision, anti-cancer research, authority, cancer care, cancer education, cancer genomics, cancer research center director, career, career development, community engagement, diversity and inclusion, education research, epigenomics, improved outcome, innovation, inter-institutional, investigator-initiated trial, laboratory facility, member, novel, palliation, panacea, precision oncology, programs, recruit, survivorship, tumor microenvironment",Cancer Center Support Grant,NIH,SCIENTIFIC,"The term ""inter-institutional"" in the context of cancer research likely refers to collaborations and relationships between different research institutions working on related projects or sharing resources.
"
17,institutional," in the neurobiology of obesity and the recently inaugurated preliminary translational research program, the nynorc has access to an additional ~$2m in annual funds to support innovative studies related to the pathogenesis and treatment of obesity. the nynorc is a dynamic enterprise that has strong institutional support permitting it to evolve and thrive as it fosters novel and collaborative science in the study of obesity. this evolution is apparent in the role of members of the nynorc in creating intellectual and physical resources for addressing basic and translational research approaches to covid-19 ep",New York Obesity Research Center,NIH,AMBIGUOUS,"The phrase ""strong institutional support"" refers to support from the institution (likely a university or research center) where the NYORC is based. It could imply financial resources, infrastructure, or administrative backing, all of which are necessary for the scientific research but are not inherently scientific themselves. Therefore, without further clarification, it's not clearly ""scientific"" nor explicitly ""political.""
"
18,institutional,"e practice of science. to address these challenges, explicit framings of justice and equity are required to move beyond ambiguous and inconsistent policies and approaches, and anchor greater transparency in negotiations between different stakeholders. additionally, the increasingly global and multi-institutional nature of genomics research requires understanding of the multiple legal, regulatory, and institutional ecosystems that condition the possibilities for equitable partnership and benefit-sharing with participants and communities. building on nancy fraser’s framework of justice that focuses on recogn",Just Inclusion and Equity: Negotiating Community-Research Partnerships in Genomics Research (JUSTICE),NIH,POLITICAL,"The term ""institutional"" refers to the legal, regulatory, and organizational environments that shape partnerships and benefit-sharing, which directly impacts equity and justice—core political concerns.
"
19,institutional," implementation research, data collection, discrimination, disparity, education, ensure, environment, epidemic, equity, ethnic origin, feedback, fostering, funding, gender, geography, goals, hiv, hiv/aids, health, health personnel, health policy, health promotion, healthcare, incidence, individual, institutional racism, intervention, job satisfaction, justice, latinx, leadership, manuals, medical, mental depression, mental health, mission, modality, modification, monitor, outcome, patients, personal satisfaction, persons, police, policies, prejudice, prevention, process, provider, race, racial equity, rand",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The term 'institutional racism' is used in a context related to equity, discrimination, and social justice, which are inherently political concepts.
"
20,institutional,"bm in two cities to receive either 1) prep romania or 2) a prep education condition. we will examine differences across arms in prep uptake, adherence, persistence (self-reported and biomarker verified) at 3- and 6-mos post-prep initiation. aim 4 (r33). in mos 31-36, we will identify individual and institutional barriers and facilitators of implementing prep romania by examining aim 3 feasibility and acceptability data, and via provider, clinic director, and gbm interviews to inform a future hybrid effectiveness-implementation trial. aids prevention, accountability, acquired immunodeficiency syndrome, addr",Preparing for pre-exposure prophylaxis implementation in Central-Eastern European Countries with low access to biomedical prevention,NIH,SCIENTIFIC,"The term ""institutional"" refers to barriers and facilitators within healthcare institutions (clinics, etc.) that affect the implementation of PrEP. This relates to the practical and logistical aspects of delivering a biomedical intervention, which falls under a scientific context related to implementation science.
"
21,institutional,"presented minorities, who we actively seek to recruit, comprised 17% of our cohort. our program is flourishing, as evidenced by the exceptional publication record of past and current trainees. over >95% of our graduates have remained in science or science-related fields. we also benefit from strong institutional support from our dean and the office of graduate affairs, as well as the many scientific, educational and career development resources at cuimc. our dynamic, rigorous and enriching graduate program is committed to training future leaders and innovators in microbiology and immunology research. immun",Columbia University Graduate Training Program in Microbiology and Immunology,NIH,AMBIGUOUS,"While ""institutional support"" could imply administrative bodies (which could be seen as somewhat political), it primarily refers to support from the university as an institution. Therefore, it is neither strictly scientific nor political, but something in between.
"
22,institutional,"training grant in pediatric endocrinology, diabetes and metabolism project summary this renewal application requests continued support of our nih institutional training grant (t32) in pediatric endocrinology at columbia university, vagelos college of physicians & surgeons (cuimc). this grant will allow the division of pediatric endocrinology to continue to 1) enhance and develop research training opportunities in pediatric endocrinology 2) meet the nation","Training Grant in Pediatric Endocrinology, Diabetes and Metabolism",NIH,SCIENTIFIC,"The term 'institutional' refers to the NIH (National Institutes of Health) training grant, which is a specific scientific/research funding mechanism.
"
23,institutional,"t for trainees, scholars and investigators across our entire hub which includes columbia university, the columbia university irving medical center, the new york psychiatric institute, and new york presbyterian hospital. at the same time, we move flexibly and deeply to address critical scientific or institutional opportunities as well as major public health needs and gaps. we achieve success by approaching our goals at multiple levels: a) ongoing strategic planning including an annual retreat to review operations and identify gaps, needs and opportunities; b) monthly cross- cutting “theme” meetings to enabl",Clinical and Translational Science Award,NIH,AMBIGUOUS,"The term ""institutional opportunities"" is vague. It could refer to scientific resources within the institutions, or it could refer to the organizations' strategic goals and internal policies. Without further context, it is not explicitly scientific or political.
"
24,institutional,"to monitor vaccine hesitancy and an inference system to produce more representative measures for human mobility; (3) a generalizable agent- based model for epidemic forecasting that features behavioral parameters, as informed by the aforementioned surveillance and inference systems; and (4) a cross-institutional virtual laboratory for comp epi scholars to collaborate on vaccine-preventable disease research all around the world. by addressing the first three challenges, we hope to help clinicians and public health policymakers make data-informed decisions during vaccine-preventable crises while simultaneous",Digital data streams and machine learning for real-time modeling of vaccine-preventable infectious diseases,NIH,SCIENTIFIC,"The phrase ""cross-institutional virtual laboratory"" refers to a collaborative research environment involving researchers from different institutions working together on scientific problems related to vaccine-preventable diseases. It's describing a structure for scientific collaboration.
"
25,institutional,") – to meet hiv prevention and treatment efforts. therefore, given the need to expand ebis into the continuum of hiv care in malaysia, it is critical that we invest in implementation science and the next generation of researchers to curtail the burden of hiv disease. thus, we propose to develop and institutionalize the malaysian implementation science training (mist) at the university of malaya (um) – the first training on hiv and implementation science that incorporates human rights training in malaysia – in collaboration with yale university. mist will leverage the combined resources of yale university (",Malaysian Implementation Science Training (MIST) Program in HIV,NIH,SCIENTIFIC,"The term ""institutionalize"" refers to embedding the MIST program within the University of Malaya. This is a technical context related to establishing and sustaining a research training program, which aligns with implementation science principles.
"
26,institutional,"umni mentors. dr. achenie brings significant experience in mentoring students as a tenured professor with a background in mathematical modeling and quantitative skills. these complement the leadership and genomic training of the pd, which have been the hallmark of vt prep for the last three cycles. institutional support will continue to be very strong, mentor training will continue to be a part of our “moving in phase,” and the meaningful engagement with our alumni (18 returned to campus in the last cycle) will continue. academia, admission activity, awareness, behavioral, behavioral research, behavioral s",Virginia Tech Postbaccalaureate Research Education Program (VT PREP),NIH,POLITICAL,"""Institutional support"" refers to the backing and resources provided by the institution (Virginia Tech) to support the VT PREP program. This implies the political/administrative structure of the university and its commitment to the program.
"
27,institutional,"vanderbilt first - elevating excellence and transforming institutional culture scientific workforce diversity has been a longstanding challenge, and lack of progress negatively impacts innovation, scientific discovery, and ultimately public health. despite ongoing efforts, racial diversity among the nation’s scientific research faculty remains low. vanderbilt is well ",Vanderbilt FIRST - Elevating Excellence and Transforming Institutional Culture,NIH,POLITICAL,"The term 'institutional culture' refers to the established norms, values, and practices within an organization, which in this context relates to diversity, equity, and inclusion efforts, making it a political usage focused on societal and organizational structures.
"
28,institutional,"cts described in this proposal is to address the urgent need to understand how tdm exposure and usage affect multiple developmental domains and health outcomes. the three pis are all located at the university of wisconsin-madison, ensuring close collaboration and synergy, in addition to outstanding institutional support and resources, including matching funds. the projects include: project 1: using tdm to understand mechanisms in adolescent health and risk behavior. project 2: using functional magnetic resonance imaging to understand how positive and negative tdm experiences relate to mental and behavioral","A longitudinal study investigating TDM and adolescent health and development: Brain, Behavior and well-Being",NIH,SCIENTIFIC,"The term 'institutional' refers to the university's support and resources available for the research project, which is a scientific context.
"
29,institutional," training process, we employ a matrix mentoring approach that incorporates peer and near-peer support, cultural stem communities and diverse role-models. our approach is built on university-wide momentum and infrastructure dedicated to supporting stem equity, diversity and inclusion. as part of its institutional commitment, the university of utah funded a pilot im-prep program beginning last spring, and we have shaped our proposed extramural program based on practical experience developing and leading the im-prep pilot and mentoring its diverse trainees. we are confident that im-prep will fortify its schol",Intermountain PREP,NIH,POLITICAL,"The term 'institutional' refers to the university's commitment to STEM equity, diversity, and inclusion, which are issues related to social and political agendas within the institution.
"
30,institutional,"riculum, sgm cancer care (sexual and gender minority cancer curricular advances for research and education), that recruits and orients early-career and junior investigators to sgm cancer research and fosters productive collaborations. the curriculum has been designed by a multi- disciplinary, multi-institutional project team and expert advisory committee that bring national perspective and experience with sgm populations and in-depth knowledge across key areas, including cancer research, clinical care, curriculum development, and health care advocacy. specific aims: (1) offer the sgm cancer care course ann",Sexual and Gender Minority Cancer Curricular Advances for Research and Education (SGM Cancer CARE),NIH,SCIENTIFIC,"""Multi-institutional project team"" refers to a team composed of members from multiple research institutions. This implies a scientific collaboration across different organizations, thus fitting the scientific context.
"
31,institutional,"olor, women, and lesbian, gay, bisexual, transgender, or queer/questioning (lgbtq) persons. earlier diversity efforts focused exclusively on intensified recruitment of minoritized faculty, mentoring, and training, but many institutions did not sustain their success because of insufficient change in institutional environments, systems, and culture. over the past two years, the leadership of the university of south carolina (uofsc) has been intentional about transforming the institutional culture to one that embraces and expects a climate of diversity, equity, and inclusion (dei). uofsc’s strategic plan, rel","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term ""institutional"" refers to the environments, systems, and culture of organizations (like universities) and the need to transform them to support diversity, equity, and inclusion. This aligns with social and political goals related to identity and representation.
"
32,institutional,"cteristics, child, communities, coping behavior, data set, development, disadvantaged, disparity, ethnic origin, ethnic population, face, family, feeling, gays, gender, glean, health, health behavior, health behavior and outcomes, immigrant, immigrant community, immigration, individual, inequality, institutionalization, intervention, interview, language, latino, lesbian gay bisexual transgender queer, literature, location, measures, mediating, medicine, methods, minnesota, outcome, personal satisfaction, persons, population, positioning attribute, process, production, race, recommendation, reporting, resea","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,POLITICAL,"The term ""institutionalization"" within the context of ""adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language"" and alongside terms like ""disparity,"" ""inequality,"" and discussion of marginalized groups suggests it refers to systemic or institutional barriers and discrimination faced by these adolescents.
"
33,institutional,equity (change) training program project summary/abstract  science is failing minorities in the us by 1) not facilitating adequate pipelines for the professional development of minority scientists and 2) not focusing adequate research on the disparities affecting minority populations. this proposed institutional training grant (t32) targets this gap by providing robust research training on hiv and mental health disparities that impact racial/ethnic minorities and establishing a pipeline to support underrepresented black and latinx trainee scientists. preparing trainees with the scientific tools to become e,Culturally-focused HIV Advancements through the Next Generation for Equity (CHANGE) Training Program,NIH,SCIENTIFIC,"The term 'institutional' refers to an NIH T32 training grant, which is a specific type of scientific funding mechanism.
"
