id,term,context,title,agency,classification,explanation
1,institutional,ize a mixed methods approach to explore bc risk and screening in this population. these data will provide the necessary foundation to develop a multi-institutional longitudinal tg bc screening cohort study which will inform the development of bc screening guidelines and best practices for bc screening within the,NA,NIH,SCIENTIFIC,"The term ""multi-institutional"" refers to a study involving multiple institutions, likely research centers or hospitals, which is a common practice in scientific research and data collection.
"
2,institutional,"npatients, intensive care units, intervention, knowledge, language, machine learning, maintenance, measures, medical, medical center, modeling, multi-institutional clinical trial, national institute of nursing research, nurses, nursing research, operative surgical procedures, patient care, patient risk, patient-",NA,NIH,SCIENTIFIC,"The term ""multi-institutional clinical trial"" refers to a clinical trial conducted across multiple institutions, which is a scientific context.
"
3,institutional,"enrollment. this planning grant, expanding academic careers through inclusive transitions in environmental science, aims to expand, foster, and embed institutional support for diverse scholars in the environmental and geosciences at the university of new mexico–an r1, minority serving institution (msi) situated ",NA,NSF,POLITICAL,"The term ""institutional"" relates to the university's status as a Minority Serving Institution (MSI), which is a political and social designation. The grant aims to embed institutional support for diverse scholars, indicating a focus on social and political aspects of inclusion and equity within the university's structure.
"
4,institutional,"afety. there is a significant concern regarding viral transmission in k-12 schools as a result of close social interactions between children, crowded institutional environments, high risk extracurricular activities, and insufficient vaccination coverage. children have close interactions with parents and other ho",NA,NIH,SCIENTIFIC,"The term ""institutional environments"" refers to the physical and organizational characteristics of schools, which is relevant to the scientific study of viral transmission.
"
5,institutional,"fuse the unbiased hiring and mentoring of faculty, especially underrepresented minorities, into the fabric of departmental culture and thereby affect institutional change. of primary importance are institutional policies and procedures that codify the importance of a diverse professoriate and provide a sustainab",NA,NIH,POLITICAL,"The text discusses institutional change, policies, and procedures related to diversity and hiring practices within a department. This directly relates to social and political considerations surrounding representation and equality.
"
6,institutional,"ransforming the receiving baccalaureate granting institutions. changing this racialized transfer function requires understanding and transforming the institutional culture around transfer in stem at both the sending and receiving institutions. by partnering with transfer students of color as design partners, the",NA,NSF,POLITICAL,"The term ""institutional"" is used in the context of ""racialized transfer function"" and ""institutional culture around transfer in STEM,"" suggesting a focus on social and political issues within educational institutions, particularly related to race and equity.
"
7,institutional,"on for a ctgc implementation proposal that is centered around convergence of entities, disciplines, and initiatives across and beyond the uaf campus, institutionalizing a teaching, learning, and research environment that is inclusive of multiple ways of knowing, and contextualizing the transformation of geoscien",NA,NSF,POLITICAL,"The term 'institutionalizing' is used to describe establishing or embedding a teaching, learning, and research environment within the university (UAF), suggesting a change in the university's structure or policies, which aligns with a political context.
"
8,institutional,"gy, and society (sts) has become increasingly internationalized over the past decade. this is a welcome transformation and is reflected in a range of institutional changes including in the content and editorship of the expanded number of journals affiliated with the largest professional society of the field, the",NA,NSF,POLITICAL,"The term ""institutional"" refers to changes in the structure and function of organizations (journals, professional societies) which are inherently social and political constructs.
"
9,institutional,"ring, funding, gender, geography, goals, hiv, hiv/aids, health, health personnel, health policy, health promotion, healthcare, incidence, individual, institutional racism, intervention, job satisfaction, justice, latinx, leadership, manuals, medical, mental depression, mental health, mission, modality, modificat",NA,NIH,POLITICAL,"The presence of ""institutional racism"" strongly suggests a discussion related to systemic biases and inequalities, which falls under the political context.
"
10,institutional,"lysis.    the project uses team-based multi-sited ethnography to study and analyze locally specific features of oversight commissions including their institutional structures, histories, and institutional dynamics. this project develops methods to offer comparative insights into the ways in which oversight commi",NA,NSF,POLITICAL,"The text discusses oversight commissions, their structures, histories, and dynamics, indicating a focus on political and social institutions.
"
11,institutional,"vcu national coordinating center for advancing gender inclusive excellence project abstract/summary background: institutional change in higher education regarding diversity, equity and inclusion, tends to be complex, contested, and slow moving. however, many institutions con",NA,NIH,POLITICAL,"The term 'institutional' is used in the context of diversity, equity, and inclusion within higher education, which are inherently social and political issues.
"
12,institutional,"r), and a student coordinator; all three from minority backgrounds. in addition, we have a highly motivated group of research mentors and a committed institutional administrative staff who endorse the mission of this prestigious nigms program in its entirety. sjsu is a public, pui hispanic serving institution, w",NA,NIH,POLITICAL,"The term 'institutional' refers to the administrative staff and the university itself, highlighting its role as a Hispanic Serving Institution. This relates to social equity and representation, thus falling under a political context.
"
13,institutional,"c locations, health, health disparities research, health promotion, healthcare, homelessness, housing, improve access, inequity, information systems, institutional racism, intervention, lesbian gay bisexual transgender queer, longevity, methods, modeling, outcome, periodicals, personal satisfaction, phase, polic",NA,NIH,POLITICAL,"The phrase ""institutional racism"" clearly indicates a social and political context.
"
14,institutional,"plurality.  specifically, the project will include a large-scale data collection effort combining population demographics, candidate characteristics, institutional structure, and policy outcomes for 88 municipalities and 22 school districts from 1970 to the present. the project team will conduct representative s",NA,NSF,SCIENTIFIC,"The term 'institutional structure' refers to the formal organization and operational aspects of municipalities and school districts, aligning with a technical/scientific approach to studying these entities.
"
15,institutional,"o articulate how the critical aspect of each module is relevant to their specific individual context, and with a specific focus on the interpersonal, institutional, and social power dynamics at play. lo 3: each participant will be able to develop a plan to actively respond in an equity-sustaining way to their sp",NA,NSF,POLITICAL,"The text discusses ""interpersonal, institutional, and social power dynamics,"" indicating a focus on power structures within organizations, which aligns with a political context.
"
16,institutional,"lented students from underrepresented groups for competitive ph.d. programs, leveraging ruc's diverse student population, exceptional mentors, strong institutional commitment, and strategic location. the proposed training plan comprises three tiers: pre-urise, u-rise, and certificate of life science research pro",NA,NIH,POLITICAL,"""Institutional commitment"" refers to the organization's dedication to a specific goal, typically related to diversity and inclusion, which is a political and social matter.
"
17,institutional,"l health. students experiencing racial stressors in academic environments, including microaggressions, experience lower rates of academic engagement, institutional belonging, persistence, and academic efficacy. the project objective is to use design-based research to develop a tool for countering racial microagg",NA,NSF,POLITICAL,"""Institutional belonging"" and the discussion of ""racial stressors in academic environments, including microaggressions"" indicate a social and political context relating to equity and inclusion within institutions.
"
18,institutional,"strations in disease management and policy development, and will create a novel platform for engaging undergraduate researchers and strengthening the institutional research environment. address, algorithms, behavior, covid-19, covid-19 pandemic, chronic disease, clinical, clinical research, collaborations, commu",NA,NIH,POLITICAL,"""Strengthening the institutional research environment"" refers to the organization and structure within the institution, which is related to policy and management.
"
19,institutional,"ds have struggled to diversify demographically and culturally. much research over the last few decades has sought to understand the interactional and institutional-level biases that disadvantage women, people of color, and lgbtq individuals in stem. yet, these biases are not the only ways in which inequality and",NA,NSF,POLITICAL,"The term 'institutional' refers to biases at the level of organizations or systems, impacting demographic diversity and cultural inclusion, which aligns with a socio-political context of inequality.
"
20,institutional,building capacity to institutionalize equity in outdoor and environmental science education this project aims to advance racial equity in outdoor and environmental science education (o,NA,NSF,POLITICAL,"The term ""institutionalize equity"" refers to embedding equity within the structures and practices of organizations, which falls under social and political goals.
"
21,institutional,rocal visits from columbia hosts/mentors to the visiting fellow home institutions will be an integral part of their collaboration and will strengthen institutional partnerships. participants from both cohorts will engage with communities in new york city to gain experience with community-focused co-design of geo,NA,NSF,POLITICAL,"The term 'institutional' refers to partnerships and collaboration between organizations, which has a political dimension.
"
22,institutional,"akeholders’ sociocultural cognition supports aa&nhpi students’ academic and racial identity development. while servingness has been conceptualized as institutional structures and processes that comprehensively attend to both students’ academic success and positive racial identity development, there are few studi",NA,NSF,POLITICAL,"The term 'institutional' refers to structures and processes within an institution (likely an educational institution) that address racial identity development, which is a sociopolitical concern.
"
23,institutional," undergraduate institutions.    the goal of this advance catalyst project is to address these inequities within benu stem by undertaking an extensive institutional assessment that will guide a data-driven strategic plan to 1) increase inclusive hiring policies and practices, 2) increase and improve faculty caree",NA,NSF,POLITICAL,"The text discusses addressing inequities and inclusive hiring policies within ""institutions,"" indicating a focus on social and political structures.
"
24,institutional,"esearch to address community resilience and sustainability challenges, centered on environmental justice.     we apply a pr approach to long-standing institutional, cultural, and scientific challenges to the resilience and sustainability of communities facing impacts on the natural resources of water, climate, l",NA,NSF,POLITICAL,"The term ""institutional"" is used alongside ""cultural"" and ""scientific"" challenges in the context of community resilience, sustainability, and environmental justice. This suggests that ""institutional"" refers to societal structures, norms, and practices that may perpetuate inequalities or hinder progress towards resilience and sustainability, aligning with a political or social understanding of the term.
"
25,institutional,utep first: united toward equity and progress: faculty institutional recruitment for sustainable transformation abstract the nih has a strong commitment to advancing diversity in the biomedical workforce but has recogn,NA,NIH,POLITICAL,"The term ""institutional"" relates to faculty recruitment and sustainable transformation, which are often tied to equity and progress initiatives. This suggests a focus on systemic changes within the institution related to diversity and inclusion, a politically charged topic.
"
26,institutional,collaborative research: evaluating access: how a multi-institutional network promotes equity and cultural change through expanding student voice addressing the critical issue of representation and equity in the physica,NA,NSF,POLITICAL,"The term ""institutional"" is used in the context of promoting equity, cultural change, and addressing representation within a network, which aligns with social and political goals related to fairness and inclusion.
"
