id,term,context,title,agency,classification,explanation
1,intersectional,"cilitators and barriers to participation in nih cancer research. to advance measures, we will assess performance of each group on five validated cancer scales to compare cancer care experience, discrimination in treatment, and outcomes. finally, we will integrate and triangulate findings and assess intersectionality with race/ethnicity. this study will establish what recruitment strategies are effective across sgm populations, and which may be specific to each subgroup. acceleration, accounting, address, advertising, affect, alcohol abuse, area, attitude, belief, bisexual, cancer burden, cancer patient, can",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The text refers to ""intersectionality with race/ethnicity,"" which aligns with the concept's origin in examining how overlapping systems of discrimination based on various social and political identities (like race, gender, and sexual orientation) create unique experiences of oppression and marginalization. This leans towards a social/political identity context rather than a purely scientific or technical one.
"
2,intersectional," issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this study’s three aims center on investigating the relative severity and impac",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term ""intersectionality theory"" is used in the context of explaining health outcomes and how multiple marginalized identities compound to create unique stressors, a concept being applied within a scientific framework (the study's objectives and methods) to understand and address HIV risk and quality of life. It's part of the theoretical framework informing the research.
"
3,intersectional,"a strengths-based, intersectional approach to suicide prevention among black sexual and gender minority youth project summary black sexual and gender minority (sgm) youth demonstrate higher rates of suicidal ideation and behavior than white sgm youth and black cisgender heterosexual youth. however, limited research has examined rac","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term 'intersectional' is used in the context of understanding the overlapping social identities (race, sexual orientation, gender identity) of a specific group (Black SGM youth) and how these identities relate to disparities in suicide rates. This usage aligns with the term's origins in critical race theory and its application to analyzing power dynamics and systemic inequalities.
"
4,intersectional,nexus: a novel social network approach to study the effects of intersectional stigma on hiv prevention among latino msm 220.7 project summary/abstract stigma is a pervasive barrier to hiv testing and prep use among us latino men who have sex with men (lmsm). routine hiv testing and large scale prep coverage are essential hiv prevention strategies for ending the hiv epidemic.,NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,POLITICAL,"The term ""intersectional stigma"" refers to the overlapping and compounding effects of various forms of discrimination based on factors such as race, sexual orientation, and HIV status, which is a concept rooted in social and political analysis.
"
5,intersectional,"ve worse hiv care and treatment outcomes than cisgender adults, including lower rates of viral suppression. multilevel responses are needed to improve hiv outcomes among trans women by simultaneously and synergistically addressing individual, provider, and community dynamics. trans women experience intersectional stigma due to the frequent association between trans identity, hiv, and sex work. these intersecting forms of stigma include internalized stigma in the form of applying negative beliefs and enacted stigma in the form of exclusion and discrimination. developing social cohesion can be a critical firs",Piloting a multi-level intervention to promote viral suppression among transgender women living with HIV,NIH,POLITICAL,"The term ""intersectional"" is used to describe the overlapping and interconnected nature of stigmas experienced by transgender women, stemming from their gender identity, HIV status, and association with sex work. This reflects a social and political understanding of how these identities interact to create unique forms of discrimination.
"
6,intersectional,"intersectional minority stress, mental health, and hiv treatment and care among msm living with hiv in ghana project summary/abstract in ghana, msm bear a high hiv burden, yet less than 4% of hiv-positive msm are on antiretroviral therapy—a disparity found throughout africa. social stressors, such as sexuality- a","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,SCIENTIFIC,"The term 'intersectional' is used in the context of research investigating the impact of multiple, intersecting forms of oppression (e.g., sexuality, race, HIV status) on mental health and access to HIV treatment. This is a common application of intersectionality in social science and public health research.
"
7,intersectional,"pidemic (syndemic). in the u.s., there are substantial racial, ethnic, and socioeconomic disparities in the prevalence and/or control of ncds and hiv. intersecting stigmas, such as racism, classism, and homophobia, may drive these health disparities through direct and indirect mechanisms. directly, intersectional stigma in healthcare settings may contribute to healthcare avoidance, decreasing success rates along hiv and ncd syndemic continua of care domains of retention, treatment, adherence, and disease control. indirectly, experiencing intersectional stigma may lead to a psychosocial syndemic of stress, d",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,SCIENTIFIC,"The text describes intersectional stigma as a driver of health disparities, using it to explain mechanisms related to healthcare avoidance, adherence, and disease control, all within the context of a scientific study on health outcomes.
"
8,intersectional,intersectional approaches to population-level health research: role of hiv risk and mental health in alcohol use disparities among diverse sexual minority youth project summary alcohol is the most commonly used and abused drug among youth in the us; prevalence of alcohol use is disproportionately higher among sex,Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,SCIENTIFIC,"The term ""intersectional approaches"" is used in the context of health research, specifically to understand health disparities in a population. This suggests a technical or scientific application of the term, focusing on the interplay of different factors (HIV risk, mental health, sexual minority status) to explain health outcomes.
"
9,intersectional,"ant/postpartum women and birthing people (coral). abstract pregnant and postpartum women who are black live at the intersection of three of the gravest public health threats confronting the 21st century us: (1) the maternal morbidity and mortality epidemic; (2) the behavioral health crisis; and (3) intersectional discrimination. in a nation with the highest maternal mortality rate of all high-income countries, black women are three times more likely to die while pregnant or postpartum than their white counterparts. maternal behavioral health conditions – such as anxiety, perinatal and postpartum depression,",Center to Advance Reproductive Justice and Behavioral Health among Black Pregnant/Postpartum Women and Birthing People (CORAL).,NIH,POLITICAL,"The term ""intersectional discrimination"" is used to describe the combined impact of various forms of discrimination (race, gender, etc.) on Black pregnant/postpartum women. This aligns with the established understanding of intersectionality as a framework for analyzing overlapping systems of oppression and discrimination, a concept rooted in social and political theory.
"
10,intersectional,"ap for developing initial items for our multidimensional tgd- resilience scale that reflect individual, interpersonal, community, and societal levels of influence. in order to broaden the utility of our measure to address the unique needs of tgd poc, we propose a fifth level of influence related to intersectional resilience. in this 4-year mpi project, drs. puckett, matsuno, and galupo will work with expert and community panelists to develop and evaluate initial scale items for our multidimensional tgd-resilience scale (aim 1), psychometrically investigate our novel measure (aim 2), and investigate the prot",Modeling Resilience as a Multidimensional Protective Factor for Transgender Health Disparities: Measure Development and Longitudinal Evaluation of Resilience,NIH,POLITICAL,"The text mentions ""tgd poc"" (transgender people of color) and aims to address their ""unique needs,"" linking resilience to the specific experiences of a marginalized group. This connects to the political dimension of intersectionality, which recognizes the overlapping and interconnected nature of social categorizations such as race, class, and gender as they apply to a given individual or group, creating overlapping systems of discrimination or disadvantage.
"
