id,term,context,title,agency,classification,explanation
1,intersectional,"ender minority (sgm) adolescents are at disproportionate risk of poor health behaviors, experiences and outcomes compared to their straight, cisgender peers. sgm youth, however, are not a homogenous population; each has multiple social identities that affect the risk and protection they experience. intersectionality refers to ways in which power and privilege are structured based on interrelated social positions (e.g. due to race/ethnicity, immigrant status, native language) and how individual experiences reflect processes that confer privilege and disadvantage. mutually constitutive forms of social oppress","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,SCIENTIFIC,"The text explicitly defines intersectionality and applies it to a study of health risks among adolescents with multiple social identities. This is a research context where the term is being used as an analytical framework.
"
2,intersectional,urvey of citizens. the resulting data will be used to evaluate how gender and country of origin interactively influence the opinions and political behavior of citizens and shape the scope and nature of group consciousness among american citizens. this project therefore enables the development of an intersectional theoretical approach to study how multiple social identities influence the opinions and political behavior of citizens. this cross-cutting approach allows this project to contribute to a gap in existing research.    this award reflects nsf's statutory mission and has been deemed worthy of support t,The Impact of Country of Origin on Group Consciousness in Political Behavior Research,NSF,SCIENTIFIC,"The term 'intersectional' is used to describe a theoretical approach within social science research, specifically to study how multiple social identities interact to influence opinions and behavior. This aligns with a technical usage in scientific inquiry.
"
3,intersectional,"s specific population to choose stem pathways, become self-reliant individuals, translate their assets and potential into community development, and in turn support more youth in the future.     lgbtq+ runaway/homeless youth are often characterized as an exceptionally vulnerable population with the intersectionality of sexual orientation and gender, as well as race/ethnicity and class, and research has overemphasized the deficits of these young people. this project, therefore, uses an asset orientation in its theoretical and methodological stance. through a three-year design-based research (dbr) study, the ",Fostering STEM identify development through localized engineering for LGBTQ+ youth displaced by housing insecurity,NSF,POLITICAL,"The term 'intersectionality' refers to the interconnected nature of social categorizations such as race, class, and gender as they apply to a given individual or group, creating overlapping systems of discrimination or disadvantage. This is a concept rooted in social and political theory, making its use here a POLITICAL one.
"
4,intersectional,"n action-oriented framework, to reimagine a first-year course that enhances the learning experiences and career exploration opportunities of minoritized students majoring in ist. the project team will implement and assess two scalable and reproducible faculty development interventions that consider intersectionality and facilitate modifications to curriculum and instructional practices to bolster students’ persistence. the inclusive addie framework has transformative potential concerning more significant theorizing of race and ethnicity related to inclusive pedagogies and course design. this project also of",BPC-DP: Cultivating Academic Inclusion and Career Engagement to Increase the Persistence of Minoritized Students in Computing,NSF,POLITICAL,"The term ""intersectionality"" is used in the context of enhancing learning experiences and career exploration opportunities for minoritized students, with a focus on race, ethnicity, and inclusive pedagogies. This clearly relates to social and identity-based considerations, aligning with a political context.
"
5,intersectional," rna sequencing (snrna-seq) to test the hypothesis that engram cells show transcriptional signatures unique from those of cells active during memory encoding or retrieval alone, that these signatures are required for proper engram reactivation, and that they are lost in app/ps1 mice. aim 1a uses an intersectional transgenic approach with the activity-dependent labeling mouse line arccreert2 x sun1-gfp to indelibly tag nuclei of cells active during memory encoding and retrieval. hpc tissue will be dissociated, sorted via flow-activated nuclear sorting (fans), and profiled via snrna-seq to compare encoding- a",The impact of Alzheimer's disease on novel genetic signatures of hippocampal memory traces,NIH,SCIENTIFIC,"The term ""intersectional"" is used to describe a genetic approach that combines two different genetic elements (arccreert2 and sun1-gfp) to achieve a specific targeting of cells active during memory encoding and retrieval. This is a technical usage within the context of genetic engineering and experimental design.
"
6,intersectional,"g the bmsf to smm with hiv, stimulant use and art nonadherence (health behaviors) may serve as mediators through which minority stress impacts viral load (an outcome critical to immune health) and, thereby, other health outcomes (e.g., opportunistic infections and cancers). further, consistent with intersectionality theory, racial/ethnic minority smm may experience intensified effects of minority stress that could contribute to the increased burden of hiv and stimulant use observed among smm of color in the us. understanding the mechanisms through which minority stress impacts viral load, and thereby other ","Minority Stress, Stimulant Use, and HIV among Sexual Minority Men: A Biopsychosocial Approach",NIH,SCIENTIFIC,"The text explicitly mentions ""intersectionality theory"" and uses it to explain how the combined effects of different forms of marginalization (racial/ethnic minority status and sexual minority status) may intensify minority stress and contribute to negative health outcomes. This aligns with the theoretical framework of intersectionality as applied in scientific research.
"
7,intersectional,"s project will examine existing studies that focus on stem graduate preparation programs to explore the approaches that help students apply for graduate school, enroll in a master's or doctoral program, and eventually graduate with an advanced degree.     drawing from the theoretical foundations of intersectionality and critical capital theory, this project includes a systematic review and meta-analysis of quantitative studies that examine graduate preparation program interventions to increase preparation for, enrollment in, and completion of stem graduate-level degree programs among marginalized groups. th","STEM Graduate Pathways for Marginalized Groups: A Critical Meta-Analysis of Preparation, Enrollment, and Completion Research",NSF,POLITICAL,"The term ""intersectional"" is used in reference to marginalized groups and their experiences within STEM, which aligns with the sociological and political origins of intersectionality.
"
8,intersectional,"model throughout the life of the project. the self-study of the fcpam development and activities will advance knowledge concerning how socio-cultural, economic, structural, and institutional variables impact the development and success of the alliance model and the institutional culture changes. an intersectional lens will be used to examine the impact of the fcpam activities on the success of recruited faculty in relation to their identities, including race, ethnicity, gender, sexual identity, immigration status or national origin, abilities, and being a caregiver or a parent.    this award reflects nsf's ",Collaborative Research: The AGEP Massachusetts State University System Equity-Minded Model for Recruiting and Advancing Early Career Faculty in the STEM Professoriate,NSF,POLITICAL,"The text explicitly mentions examining the impact of activities on faculty success in relation to their identities, including race, ethnicity, gender, sexual identity, etc., which are all key components of intersectionality as a concept rooted in social and political theory.
"
9,intersectional," issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this study’s three aims center on investigating the relative severity and impac",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term ""intersectionality theory"" is used within the context of a scientific study to explain health outcomes and disparities based on multiple minoritized identities, framing it as a theoretical lens for research.
"
10,intersectional,"tance use and hiv project summary/abstract transgender women have some of the highest rates of hiv in the world and are the highest hiv risk group in the united states and brazil. transgender women experience multiple stigmas that complicate their access to and adherence to healthcare, resulting in intersectional stigma and negative health outcomes. intersectionality is a critical theory which posits that power relations construct our perspectives and experiences and has the potential to meaningfully inform research with transgender communities as well as an approach to mentorship across differences. using ",Mentoring clinical investigators in patient-oriented research on substance use and HIV,NIH,SCIENTIFIC,"The text explicitly defines intersectionality as a ""critical theory"" and discusses its potential to ""meaningfully inform research,"" indicating a scientific or scholarly usage. While intersectionality has political implications, its application here is within the framework of research methodology and understanding health outcomes.
"
