id,term,context,title,agency,classification,explanation
1,intersectionality,"cilitators and barriers to participation in nih cancer research. to advance measures, we will assess performance of each group on five validated cancer scales to compare cancer care experience, discrimination in treatment, and outcomes. finally, we will integrate and triangulate findings and assess intersectionality with race/ethnicity. this study will establish what recruitment strategies are effective across sgm populations, and which may be specific to each subgroup. acceleration, accounting, address, advertising, affect, alcohol abuse, area, attitude, belief, bisexual, cancer burden, cancer patient, cancer",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The text discusses assessing intersectionality ""with race/ethnicity"" in the context of cancer care experience, discrimination, and outcomes. This suggests a scientific investigation into how these intersecting identities affect health-related factors.
"
2,intersectionality," issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this study’s three aims center on investigating the relative severity and impact o",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term is used to explain a theoretical framework (intersectionality theory) for understanding health outcomes based on multiple marginalized identities within a scientific study focused on health risks and quality of life.
"
3,intersectionality,"ty found throughout africa. social stressors, such as sexuality- and gender-based stigma, criminalization, and violence, have been linked to both poor mental health and hiv outcomes and may be barriers to optimal hiv service engagement among african msm. the goal of this k01 application is to apply intersectionality and minority stress theory to examine the impact of intersectional social stressors on mental health and hiv treatment and care of hiv-positive men who have sex with men in ghana and to adapt and theater test a community- engaged intersectional stigma intervention to improve mental health and hiv t","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,SCIENTIFIC,"The term is used within a scientific grant proposal focused on researching the impact of social stressors on mental health and HIV outcomes, indicating a technical and research-oriented application of the concept.
"
4,intersectionality,"p, social status, stress, surveys, united states national institutes of health, violence, viral, work, antiretroviral therapy, biopsychosocial, care outcomes, classism, cohort, comorbidity, disorder control, ethnic minority, experience, health care settings, health data, health disparity, improved, intersectionality, intimate partner violence, marginalization, marginalized population, men of color, men who have sex with men, middle age, minority stressor, perceived stress, prospective, protective factors, psychosocial, racial minority, racism, remediation, resilience, sexual minority, sexual minority men, soci",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,SCIENTIFIC,"The grant text includes terms related to health disparities, marginalized populations, and psychosocial factors, suggesting that intersectionality is being used in a scientific context to understand how multiple social categories intersect to create unique experiences of disadvantage and health outcomes.
"
5,intersectionality,"rveys, symptoms, training, united states, victimization, woman, youth, adverse childhood events, barrier to care, black women, career, cisgender, community-level factor, depressive symptoms, empowerment, experience, functional status, gender affirmation, gender diverse, healing, improved, interest, intersectionality, life span, parenting intervention, peer, physical conditioning, protective effect, protective factors, psychological distress, psychological symptom, racial discrimination, racial diversity, racism, resilience, sex, social, symptom self management, theories, transgender, transgender women",Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,NIH,POLITICAL,"The presence of terms like ""Black women,"" ""transgender women,"" ""racial discrimination,"" ""racism,"" and ""empowerment,"" alongside ""intersectionality,"" strongly suggests its usage relates to the interconnected nature of social categorizations such as race, gender, and gender identity and their impact on individuals and communities. This aligns with the political understanding of intersectionality as a framework for analyzing power dynamics and social inequalities.
"
6,intersectionality,"onal violence. unfortunately, few efficacious, comprehensive strategies for prevention and treatment of alcohol abuse, drug use, interpersonal violence, mental health and physical health have been specifically designed for tgdas. the primary goal of this proposal is to use minority stress model and intersectionality to examine a host of stressors that contribute to inequities in alcohol abuse and drug use, cross-reciprocal interpersonal violence, and subsequent physical and mental health outcomes among tgdas. the goal will be achieved by conducting a 12-month prospective cohort study with a racially and gender",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,SCIENTIFIC,"The grant proposal explicitly states the intent to use ""intersectionality to examine a host of stressors that contribute to inequities"" related to health outcomes. This indicates a research-driven, analytical application of the concept, fitting a scientific context.
"
7,intersectionality,"tressors and exacerbate their effects. however, critical knowledge gaps remain regarding the intersectional distribution and upstream (i.e., social and structural) determinants of covid-19-related disparities in mental health. to address these gaps, the current project will draw on minority stress, intersectionality, and ecosocial frameworks to examine how multiple dimensions of social identity/position and upstream pandemic-related stressors have jointly impacted population mental health for sms over the course of the pandemic. leveraging unprecedented data from the covid-19 pandemic sub-study (a population-b","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,SCIENTIFIC,"The term is used in the context of a scientific study examining the impact of social identities and stressors on mental health outcomes within a specific population (sexual minorities) during the COVID-19 pandemic. The grant proposal aims to use intersectionality as a framework to analyze data and understand health disparities, indicating a technical and scientific application of the concept.
"
8,intersectionality,"ts completing a fully remote stb ema protocol. aim 3 will use ema data to estimate acute, dynamic, multivariate stb risk factor networks. aim 4 will use stb risk factor network parameters to predict stbs at 3- and 6-month follow-up. the research aims will provide pilot data for an r01 assessing the intersectionality of sexual minority adults’ rurality, gender, race, and ethnicity on stb risk processes. to accomplish these research aims, i will complete training activities related to four training aims: (1) develop expertise in sexual minority health, (2) build skills in qualitative and mixed methods, (3) learn",Predicting acute and dynamic suicide risk in rural sexual minorities,NIH,SCIENTIFIC,"The term ""intersectionality"" is used in the context of research aims and assessing the impact of multiple social categories (rurality, gender, race, and ethnicity) on suicide-related behaviors (STB) risk processes in sexual minority adults. This is a scientific investigation of how these intersecting identities may influence mental health outcomes.
"
9,intersectionality,"stigmatization, structural racism, suicide, suicide attempt, suicide prevention, surveys, techniques, testing, translating, youth, care providers, cohort, community intervention, comparative, demographics, digital, follow-up, gender minority community, gender minority youth, hate crimes, high risk, intersectionality, multidisciplinary, nonbinary, novel, policy recommendation, protective factors, psychologic, racial population, racism, recruit, reducing suicide, research study, response, sexual minority youth, social, social stigma, social structure, sociodemographics, structural determinants, substance use, su",Understanding the Role of Structural Oppression for Suicide Risk among Black Sexual and Gender Minority Adolescents and Young Adults,NIH,SCIENTIFIC,"The grant focuses on understanding suicide risk among a specific population affected by structural oppression. The presence of terms like ""structural racism,"" ""social stigma,"" ""structural determinants,"" and the multidisciplinary approach indicate a scientific investigation into the complex factors contributing to suicide risk within the target population. ""Intersectionality"" is used as a framework to understand the overlapping and interacting systems of oppression that contribute to this risk.
"
10,intersectionality,"-cov- 2, and access to biosafety level 3 facilities and training needed to perform any experiments involving live sars-cov-2. the analysis resource core will provide statistical modeling and analysis to frame and test hypotheses about the mechanisms mediating the severity of covid-19 as well as the intersectionality of sex, gender, age, and racial differences in immune mechanisms of covid-19. in concert with the trans-network collaborations, this research will provide significant insights into pathologic immune responses to sars-cov-2, identification of novel therapeutic targets, and definition of immunity aga",Johns Hopkins Excellence in Pathogenesis and Immunity Center for SARS-CoV-2 (JH-EPICS),NIH,SCIENTIFIC,"The term is used to describe the complex interplay of factors (sex, gender, age, and race) that contribute to differing immune responses to COVID-19. This suggests a scientific investigation of how these factors interact biologically and statistically influence disease severity and immune mechanisms.
"
