id,term,context,title,agency,classification,explanation
1,latinx,"erized medical record, data, decision making, digital libraries, diphosphates, dryness, ensure, epidemic, female, future, gender, gender identity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, individual, internet, intervention, interview, knowledge, latinx, life, measures, mediating, mediation, mental health, methods, modeling, motivation, persons, pilot projects, population, populations at risk, prevention, prevention strategy, public health, randomized, regimen, research, risk, sampling, science, self administration, services, sex behavior, sexual ",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'latinx' appears within a list of keywords and terms relevant to a scientific grant proposal focused on HIV prevention among transgender MSM. In this context, it is used as a demographic descriptor within a research project.
"
2,latinx,"nities, development, devices, diagnostic, discrimination, electronics, enrollment, epidemic, epidemiology, exclusion, friends, gays, geography, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv risk, hiv/aids, hiv/std, human resources, incidence, individual, injectable, intervention, latinx, longitudinal cohort, longitudinal cohort study, medical, methodology, monitor, oral, participant, persons, phase, population, population heterogeneity, prevention, prevention strategy, preventive service, productivity, public health, published comment, recording of previous events, research, resea",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,SCIENTIFIC,"The term 'latinx' is used within a list of keywords associated with a research grant focused on HIV risk in vulnerable youth. This suggests its usage is to identify a specific population group relevant to the scientific study.
"
3,latinx,"roaches to study delivery of equitable syphilis prevention, doxycycline post-exposure prophylaxis (doxypep), in a clinic-based setting. innovative strategies for syphilis prevention are needed to address the growing national epidemic, with disproportionate burden of disease among black and hispanic/latinx sexual and gender minority persons (sgm) who have sex with men. in chicago specifically, syphilis rates have been rising steadily, syndemic with hiv transmission. existing public health responses – contact tracing, testing, and treatment – have not stemmed these rising rates. recent data show that ",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term is used to describe a specific population group (""black and hispanic/latinx sexual and gender minority persons"") within the context of health disparities, indicating its usage is rooted in discussions of identity and social equity.
"
4,latinx,"hermanos de luna y sol: a community-based hiv prevention intervention abstract the overall goal of our research is to reduce hiv-related health inequities among latinx immigrant populations. we propose to determine the effectiveness of hermanos de luna y sol (hls), a community-based, group intervention delivered in spanish, designed to reduce hiv sexual risk among latinx immigrants who identify as gay/bisexual men or men who have sex with men (gbmsm). the study i",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,SCIENTIFIC,"The term 'latinx' is used to define a specific population group being studied within a scientific research context focused on HIV prevention.
"
5,latinx,"hancement technology, enrollment, ensure, epidemic, epidemiology, equity, ethnic origin, event, exclusion, formulation, future, hiv, hiv seronegativity, hiv seropositivity, hiv risk, health, healthcare, high risk woman, homicide, hybrids, imprisonment, incidence, individual, inequity, intervention, latinx, measures, mental health, mental disorders, methods, modeling, monitor, overdose, participant, patient self-report, pattern, persons, policies, population, population heterogeneity, populations at risk, prevalence, prevention, prevention research, prevention strategy, race, reporting, research, res",Enhanced COhort methods for HIV Research and Epidemiology (ENCORE) among transgender women in the United States,NIH,POLITICAL,"The term 'latinx' is used in the context of equity, ethnic origin, race, and populations at risk, suggesting a focus on social and demographic factors relevant to disparities in health outcomes among transgender women. This points to a political context related to identity and representation within research populations.
"
6,latinx,"ics, climate, clinical treatment, communities, data, data set, disclosure, discrimination, disease, disparity, environment, etiology, exhibits, exposure to, forcible intercourse, frequencies, gender identity, geography, heterosexuals, high risk woman, impairment, individual, inequity, intervention, latinx, laws, lesbian, lesbian gay bisexual transgender queer, lived experience, location, mediating, mental depression, mental health, minority groups, modeling, municipalities, participant, patient self-report, penetration, perception, policies, politics, population, population density, post-traumatic s","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term 'latinx' is used in the context of discussing identity and minority groups, aligning with its common usage in social and political discussions.
"
7,latinx,improving inclusivity of alzheimer’s disease and related dementias research for asian americans and latinx through nationally representative hybrid sampling. abstract racial/ethnic minorities are projected to be a major portion of the aging u.s. population. two of the strategic research directions of the national institute on aging (nia) are: 1) improving understanding of alzheimer’s disease and related,Improving Inclusivity of Alzheimer’s Disease and Related Dementias Research for Asian Americans and Latinx through Nationally Representative Hybrid Sampling.,NIH,SCIENTIFIC,"The term 'Latinx' is used in the context of a scientific grant proposal focused on improving inclusivity in Alzheimer's research. It is used to identify a specific population group for study.
"
8,latinx," the environment in congregate shelter accommodation may significantly contribute to this health burden, particularly regarding mental health. housing insecurity significantly increases risk of presenting to the emergency department in behavioral crises, especially for individuals who are black and latinx as well as sexual and gender minorities. in response to public health concerns regarding the specific vulnerabilities of this population to covid, many cities implemented programs diverting congregate shelter residents, most commonly to hotel accommodation. there is some evidence that the shift to ",Examining Non-Congregate Shelter Effects on Mental Health Crises through Community Health Partnerships in Connecticut,NIH,POLITICAL,"The term 'latinx' is used to denote a specific population group, which is inherently tied to social identity and political discourse surrounding inclusivity. While the context is within a scientific grant proposal, the term itself is used to categorize individuals based on identity.
"
9,latinx,"-pep for msm/tw with recent stis. however, to be effective, doxy-pep uptake, adherence, and persistence need to be high among msm/tw at elevated risk for recurrent stis which includes msm/tw who already experience significant health disparities, based on age (under age 30) race/ethnicity (black and latinx), living with hiv or are taking hiv prep. the roll-out of hiv prep in the us is an important reminder of the necessity to ensure equitable access to populations with highest need. in parallel with enthusiasm for the public health potential of doxy-pep, important concerns remain about longer- term d","The Doxy-PEP Impact Study: a multi-city US longitudinal cohort to evaluate doxy-PEP field effectiveness, investigate associated antimicrobial resistance, and establish doxy-PEP to need ratios",NIH,POLITICAL,"The term ""latinx"" is used within the context of race/ethnicity, specifically in relation to health disparities and equitable access to healthcare. This highlights the social and political implications of the term as it relates to identity and systemic inequalities.
"
10,latinx,", discrimination, educational intervention, effectiveness, enrollment, evaluation, exposure to, face, family, feedback, focus groups, goals, health, health personnel, health services, health services accessibility, individual, intervention, interview, investigational therapies, knowledge, language, latinx, lived experience, mental depression, mental health, mental health services, mental disorders, mental health promotion, methods, modeling, national institute of mental health, outcome, parents, patients, population, price, provider, public health, research, research support, risk, self efficacy, se",Design of a Lay Health Worker Training Intervention to Promote Mental Health Care Access for Racially Diverse Transgender Youth,NIH,POLITICAL,"The term ""latinx"" is used within a list of keywords associated with the grant proposal, likely to specify the target population based on identity and social factors related to race and gender identity. This leans toward a political context, referring to a specific group's identity.
"
11,latinx,"oms), (2) examine the mechanisms through which local structural, interpersonal, and individual stigmas are associated with alcohol use, hazardous drinking, and alcohol-related problems, and (3) explore whether the results for aim 1 differ by cisgender sm men, cisgender sm women, gm populations, and latinxs. we focus on latinx sgms as the largest racial/ethnic group in california (~40%). address, adult, affect, age, alcohol abuse, alcohol consumption, alcohols, automobile driving, baseline surveys, belief, bisexual, california, cities, data, development, discrimination, disease, employee, environment",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,POLITICAL,"The term 'latinx' is used to denote a specific population group within a study focused on social disparities (alcohol-related inequities). This aligns with the term's use as an identifier related to identity and social context.
"
