id,term,context,title,agency,classification,explanation
1,lgbt,"ort feeling unwelcome and misunderstood in traditional behavioral health service organizations. consequently, treatment attendance and retention remain low. instead, this population generally seeks mental health services in community organizations for lesbian, gay, bisexual, transgender, and queer (lgbtq) youth. unfortunately, these organizations are often unprepared for this clinical challenge. the behavioral health-works (bh-works) suicide risk management system may offer a potential solution to this problem. bh-works is an evidence-based, comprehensive youth suicide prevention program. it offer",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'lgbtq' is used to describe a specific population (sexual and gender minority youth) that experiences societal inequities and requires targeted mental health services. This usage reflects the social and political dimensions of sexual orientation and gender identity, rather than a purely scientific or technical application.
"
2,lgbt,"l areas as compared to more urban locations. finally, we test the hypothesis that the detrimental impact of minority stress on alcohol use and destructive couple conflict will be mitigated by greater (a) social support from interpersonal relationships, (b) psychological sense of connection with the lgbtq+ community, and (c) psychological sense of community with one's rural midwestern neighborhood. participants will be 200 sgm couples (i.e., both individuals identify as lesbian, gay, bisexual, transgender, and/or queer, and are in a committed intimate relationship). couples will be recruited from t",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term 'lgbtq+' is used within the context of a research study investigating the experiences of sexual and gender minority couples, linking it to minority stress, alcohol use, and relationship dynamics. It is used to define the population being studied, a common practice in scientific research.
"
3,lgbt,"in sexual minority populations. cross-sectional studies have shown that pv is positively associated with alcohol and other substance use among lgbq+ adolescents. however, the mechanisms through which pv contributes to negative outcomes and the protective factors that ameliorate those outcomes among lgbtq+ youth are not well understood. advances in understanding the effects of pv on lgbq+ adolescents have been hampered by a dearth of longitudinal and mixed methods studies that include these youth in their samples. using a mixed methods design, the proposed study will investigate the acute daily and",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,SCIENTIFIC,"The term 'lgbt' is used within the context of a scientific study investigating the relationship between peer victimization and alcohol use among sexual minority youth. The text discusses research findings, mechanisms, protective factors, and methodological limitations, all within a scientific framework.
"
4,lgbt,"essage framing on polytobacco use in lesbian, gay, bisexual, and transgender young adults project summary polytobacco use, defined as concurrent use of more than one tobacco product including electronic nicotine delivery systems (ends), is rising and high in lesbian, gay, bisexual, and transgender (lgbt) young adults (ya). between 22-40% of lgbt ya (vs 12-21% of non-lgbt ya) report past 30-day polytobacco use, and lgbt ya are less likely to perceive tobacco use as harmful. low risk perceptions may reinforce tobacco use and widen existing disparities. the food and drug administration (fda) center f","Testing the effect of anti-tobacco message framing on polytobacco use in lesbian, gay, bisexual, and transgender young adults",NIH,SCIENTIFIC,"The term 'lgbt' is used to define a specific population group within a scientific study investigating health disparities related to tobacco use. This is a technical and scientific application of the term within the context of research.
"
5,lgbt,"healthcare providers and tg persons, likely contributing to the cancer disparities observed in the tg community. the overarching goal of my research agenda is to develop evidence-based tg bc screening guidelines. the proposed k08 will begin to fill critical knowledge gaps. in collaboration with our lgbtq+ inclusion health clinic, we will establish a pilot bc screening program and utilize a mixed methods approach to explore bc risk and screening in this population. these data will provide the necessary foundation to develop a multi-institutional longitudinal tg bc screening cohort study which will ",Understanding Breast Cancer Risk and Screening in Transgender Persons through a Pilot Breast Cancer Screening Program,NIH,POLITICAL,"The term ""lgbtq+"" refers to a community with specific social and political concerns related to healthcare access and disparities. While the research itself is scientific, the usage of the term acknowledges the group's identity and its associated political context within healthcare.
"
6,lgbt,"ck gbmsm or the related health impacts of structural racism and discrimination (srd). based on our preliminary studies, we hypothesize that four forms of srd are likely to influence meth use among black gbmsm: housing discrimination, gentrification, racial and income segregation, and discriminatory lgbt community climate. additionally, we posit that these forms of srd operate through housing instability and inadequate service access to increase risk for meth use among black gbmsm. the goal of this project is to generate knowledge that will inform the design of multi- level, culturally congruent st",Structural Influences on Methamphetamine Use among Black Gay and Bisexual Men in Atlanta,NIH,POLITICAL,"The term ""lgbt"" is used in the context of ""discriminatory lgbt community climate,"" which directly relates to social and political issues surrounding discrimination and community dynamics within the LGBT community.
"
7,lgbt,"redict future stbs in rural sexual minority adults. this k08 uses exploratory sequential mixed methods to complete two studies and four research aims. in study 1, aim 1 will use qualitative interviews to explore rural sexual minority adults’ perceived stb risk processes within and outside rural and lgbtqia+ communities. qualitative data will inform assessments in study 2. study 2 includes a fully remote ecological momentary assessment (ema) protocol. the ema protocol includes 6 surveys per day for 21 days, where participants will report on their stbs, known stb risk factors (stigma, low belonging)",Predicting acute and dynamic suicide risk in rural sexual minorities,NIH,SCIENTIFIC,"The term 'lgbtqia+' is used within the research aims and methodology of a scientific study focused on the mental health and risk factors associated with sexual minorities in rural areas.
"
8,lgbt,"process, disparity, distress, emotional, ethnic origin, event, evidence based intervention, face, family, feeling suicidal, friends, funding, guidelines, health professional, healthy people 2020, heterogeneity, homophobia, hostility, institute of medicine (u.s.), intervention, interview, knowledge, lgbt health, label, lesbian gay bisexual, life cycle stages, liquid substance, literature, major depressive disorder, mental depression, mental health, mental health promotion, methods, modeling, modernization, outcome, parents, pathway interactions, patient self-report, pattern, persons, population, pr",Charting Trajectories of Sexual Identity Development and Mental Health Disparities Among Sexual Minority Youth,NIH,SCIENTIFIC,"The grant title and context clearly indicate a scientific study of sexual identity development and mental health, and the term 'lgbt' is used in relation to 'lgbt health', suggesting a focus on health outcomes within this population.
"
9,lgbt,"on of substance use and chronic pain. build-up’s mission includes prioritizing recruitment of postdoctoral fellows from diverse backgrounds, including people who identify as being from a group excluded based on ethnicity and race, being from a disadvantaged background, having a disability, or being lgbt+, and will also recruit individuals from a variety of training backgrounds. once enrolled, build-up fellows will be mentored on a longitudinal research project by experts in the field from the university of pittsburgh, a hub for research at the intersection of substance use and pain; participate in",Building an interprofessional and diverse workforce in substance use and pain,NIH,POLITICAL,"The term 'lgbt+' is used in the context of diversity and inclusion, specifically related to recruitment efforts, which falls under social and political considerations.
"
10,lgbt,"earch enterprise, and 3) improve aud intervention uptake and efficacy in order to reduce the enormous health and social consequences of alcohol misuse in the u.s. the proposed project will solicit the perspectives, preferences, and expertise of stakeholders (e.g., tgd people with risky alcohol use, lgbtq+ organization leaders, alcohol intervention and tgd healthcare providers) to gather data about meaningful areas of adaptation for alcohol interventions and intervention promotion strategies as well as the acceptability and feasibility of potential adaptations. the knowledge gained from the propose",A Mixed Methods Study to Enhance Alcohol Treatment Help-seeking and Engagement Among Gender Diverse Adults,NIH,POLITICAL,"The term 'lgbtq+' is used to identify a specific population group (lesbian, gay, bisexual, transgender, queer/questioning) as stakeholders in the research. While the research itself is scientific, the term is used to define a social and identity group, hence POLITICAL.
"
11,lgbt,"elated problems. the study will be conducted in 33 midsized cities in california that contain significant variation in participants' exposure to local structural sigma. to assess local structural stigma, including its specific components (e.g., law enforcement, municipal benefits and protections to lgbtq employees), we will use information and ratings assessed by the human rights campaign. fourteen consecutive daily surveys with 792 sgm young adults (ages 18-29, 24 per city, for a total of 7,084 estimated data points) will be used to assess participants' day-to-day experiences with stigmas and alc",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,SCIENTIFIC,"The term 'lgbtq' is used within the scientific context of a research study examining the impact of structural stigma on alcohol-related problems among sexual and gender minority (SGM) young adults. The study uses it to define a specific population group being researched.
"
12,lgbt,"communication styles, and peer mentorship (pm). guided by the adapt-itt model, we will systematically solicit feedback on these interventions from ogbmlh (n=30) and subsequently community experts (n=15) to iteratively inform an innovative peer-delivered b2b intervention to increase participation in lgbtq+ affirmative community-building services to reduce symptoms of depression and loneliness, and secondarily improve physical health and quality of life. we will then conduct a small proof-of-concept pilot (n=15) to assess the feasibility and acceptability of the b2b intervention, including the produ",Bridge to Belonging (B2B): Peer led intervention to reduce loneliness and depression among older gay and bisexual men,NIH,POLITICAL,"The term 'lgbtq+' is used in relation to community-building services and an affirmative environment, indicating a focus on social identity and inclusivity.
"
13,lgbt,"y illnesses. exposure to tobacco industry marketing, minority stressors, alcohol and drug use and social determinants are key factors linked to increased smoking behavior in this population. anti-smoking campaigns utilized inoculation messages (analogous to vaccines) and culturally-tailoring (i.e., lgbt imagery, symbols, and language) to promote resilience against tobacco marketing influences among lgbt audiences. however, the effects of culturally tailored inoculation approaches in young adult smw have not yet been examined. our long-term goal is to eliminate smoking-related health disparities am",Project RESIST: Increasing Resistance to Tobacco Marketing Among Young Adult Sexual Minority Women Using Inoculation Message Approaches,NIH,SCIENTIFIC,"The term 'lgbt' is used to define a specific population group being studied within the context of a scientific research project investigating health disparities and the effectiveness of anti-smoking campaigns.
"
14,lgbt,"(msm). the project will study the impact of the ecology of vaccination on a future hiv vaccine by linking longitudinal surveys of diverse msm (n = 1500) to state/county/zip code data on community-based vaccine information in the media, vaccination norms, as well as vaccine and hiv policy, including lgbt friendly policies and public health communications in the media. after understanding key factors affecting hiv vaccination intentions, we will conduct an experiment with another sample of diverse msm (n = 1,000; aim 2). participants will be randomized to conditions of different vaccine characterist",Understanding the Regional Ecology of a Future HIV Vaccine,NIH,POLITICAL,"The term 'lgbt' is used in the context of 'lgbt friendly policies,' which refers to social and political policies designed to be inclusive and supportive of LGBT individuals.
"
15,lgbt,"o, cross-sectional studies, data, data collection, data set, development, development plans, discrimination, disparity, educational workshop, etiology, exposure to, general population, goals, greek, health, heterosexuals, individual, inequality, institute of medicine (u.s.), institution, interview, lgbt health, lesbian gay bisexual, life, life experience, literature, longitudinal cohort, measurement, measures, mentored research scientist development award, mentors, mentorship, methodology, methods, modeling, national institute on alcohol abuse and alcoholism, outcome, pathway interactions, positio","Alcohol-Involved Sexual Assault among Bisexual Women: Disentangling Mechanisms of Risk at Individual, Interpersonal, and Structural Levels Across the Lifespan",NIH,SCIENTIFIC,"The context includes ""lgbt health"", ""lesbian gay bisexual,"" and mentions data collection and studies, indicating a scientific or health-related research focus.
"
16,lgbt,"examine whether equip is differentially efficacious across key demographic factors and stigma moderators. aim 3: to prepare for implementation in frontline settings, we will conduct semi-structured interviews with directors (n=20), providers (n=20), and service users (n=20) from a network of 250 us lgbtq community clinics. applying the i-parihs framework will help identify facilitators that can support equip implementation at these centers. summary. as the first trial of an intervention for smw’s hd and co-occurring mental health, this study responds to niaaa’s call for trials of “interventions th","A unified protocol to address sexual minority women's minority stress, mental health and hazardous drinking",NIH,SCIENTIFIC,"The term 'lgbtq' is used to identify a specific population group relevant to the research being conducted on mental health and hazardous drinking, indicating a scientific/technical context.
"
17,lgbt," sexual and gender minorities (sgm) experience among the largest mental health disparities of any population, at substantial cost to society. one driver has been the lack of evidence-based practice (ebp) addressing the distinct mechanisms underlying sgm's risk. for 10+ years, our team has developed lgbtq- affirmative cognitive-behavioral therapy (cbt) as the first and only ebp specifically for sgm mental health, now in high demand. this proposal seeks to study optimal means of implementing this effective treatment at lgbtq community centers nationwide to advance implementation science and health e",Implementing sustainable evidence-based mental healthcare in low-resource community settings nationwide to advance mental health equity for sexual and gender minority individuals,NIH,SCIENTIFIC,"The term ""lgbt"" is used in the context of mental health disparities, evidence-based practices, and treatment development, all of which are scientific and research-oriented areas.
"
18,lgbt,"ject summary diversity enhances creativity and innovation in research, but biomedical research institutions have generally failed to effectively incorporate minoritized groups, such as individuals who identify as people of color, women, and lesbian, gay, bisexual, transgender, or queer/questioning (lgbtq) persons. earlier diversity efforts focused exclusively on intensified recruitment of minoritized faculty, mentoring, and training, but many institutions did not sustain their success because of insufficient change in institutional environments, systems, and culture. over the past two years, the l","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term 'lgbtq' is used within the context of diversity and inclusion efforts aimed at improving recruitment, retention, and experience of minoritized groups in biomedical research institutions. This aligns with a social, political, and identity context related to equality and representation.
"
19,lgbt,"heir caregivers together. the focus intervention uses both psychoeducation and problem solving to improve qol, coping, and self-efficacy in cancer patients and their caregivers, and has been shown to be efficacious in three prior clinical trials. however, as noted by our sgm community partners, the lgbt cancer action council (cac), its content has not been tailored to sgm relationships. consequently, we propose to adapt the evidence-based focus program for sgm cancer patients and their caregivers (aim 1). in collaboration with the lgbt cac and guided by the transtheoretical sgm-affirmative adaptat",Adapting the FOCUS Program for Sexual and Gender Minority (SGM) Cancer Patients and Caregivers,NIH,SCIENTIFIC,"The term 'lgbt' is used within the context of a scientific grant proposal focused on adapting a cancer intervention program for sexual and gender minority patients. The mention of ""lgbt cancer action council"" and ""sgm-affirmative adaptat"" further solidifies its scientific application within the research project's methodology and target population.
"
20,lgbt," and deeper engagement with scientific fundamentals. the pi of uri esteemed – a tenured female professor in engineering with strong leadership and training skills – will oversee program design and implementation with support from a professor in engineering (co-i) who has extensive experience in the lgbtq+ community and curriculum development. in achieving the uri esteemed goals, it is anticipated that 100% of esteemed scholars will be prepared to enter an advanced honors program, at least 90% will enroll in an advanced program after their sophomore year, and 90% of scholars will self-identify as a",ESTEEMED Scholars Program at the University of Rhode Island,NIH,POLITICAL,"The term 'lgbtq+' is used to describe the experience and community affiliation of a professor involved in curriculum development, indicating a focus on social identity and inclusion.
"
21,lgbt,"social-affective vulnerability to suicidality among lgbtq young adults: proximal and distal factors project summary/abstract rates of suicidal thoughts and behaviors (stb) among young adults have reached a crisis level, especially for those in the lgbtq (i.e., lesbian, gay, bisexual, queer, questioning and/or transgender) population, who face social stig",Social-Affective Vulnerability to Suicidality among LGBTQ Young Adults: Proximal and Distal Factors,NIH,SCIENTIFIC,"The term 'lgbtq' is used within the context of a scientific grant proposal focused on studying suicidality among LGBTQ young adults, indicating a technical and scientific usage.
"
