id,term,context,title,agency,classification,explanation
1,lgbt,"improving mental health among the lgbtq+ community impacted by the covid-19 pandemic project summary/abstract  during the covid-19 pandemic, up to 81% of adults in the united states experi",NA,NIH,POLITICAL,"The term ""lgbtq+"" refers to a social group and their experiences, specifically related to mental health and the COVID-19 pandemic. This aligns with a political/social identity context.
"
2,lgbt,social-affective vulnerability to suicidality among lgbtq young adults: proximal and distal factors 21+ years old; adult human; adulthood; adult; affect; ages; age; ai system; computer reasoning; machine in,Social-Affective Vulnerability To Suicidality Among Lgbtq Young Adults: Proximal And Distal Factors,NIH,SCIENTIFIC,"The term 'lgbtq' is used to define a specific population group being studied within a scientific research context, focusing on suicidality and related factors.
"
3,lgbt,"tline settings, we will conduct semi-structured interviews with directors (n=20), providers (n=20), and service users (n=20) from a network of 250 us lgbtq community clinics. applying the i-parihs framework will help identify facilitators that can support equip implementation at these centers. summary. ",NA,NIH,SCIENTIFIC,"The term 'lgbtq' is used to define a specific community (users of community clinics) being studied, which falls under a scientific or research context.
"
4,lgbt,"n low. instead, this population generally seeks mental health services in community organizations for lesbian, gay, bisexual, transgender, and queer (lgbtq) youth. unfortunately, these organizations are often unprepared for this clinical challenge. the behavioral health-works (bh-works) suicide risk man",NA,NIH,SCIENTIFIC,"The term 'lgbt' refers to a specific population group being studied in the context of mental health services and suicide risk management, indicating a technical and scientific application.
"
5,lgbt,lock access to needed resources/services. current suicide prevention/intervention efforts are not sufficient to decrease sib in black youth and black lgbtq+sgl youth. linking individuals needing care (linc) is a consumer- and theory-driven care coordination intervention designed to reduce sib by improvi,NA,NIH,POLITICAL,"The term 'lgbtq+sgl' refers to a social identity group, indicating a focus on addressing health disparities and suicide prevention within this specific population.
"
6,lgbt,"strengths (social support, sgd socialization, identity centrality); and family functioning as mechanistic predictors during a period of growing anti- lgbtq+ bills. aim 4. examine red trajectories of mental health with a focus on recovery and deterioration. we will evaluate how couple stability and relat",NA,NIH,POLITICAL,"The term ""lgbtq+"" is used in relation to ""growing anti-lgbtq+ bills,"" which is a political issue.
"
7,lgbt,"- month follow-up. we will recruit sgmy and their caregivers (100 dyads) with elevated minority stress from across the u.s. via social media and from lgbtq+ organizations. we will oversample families of color and families living in rural areas. age, alcohol consumption, alcohols, caregivers, child, chil",NA,NIH,POLITICAL,"The term 'lgbtq+' refers to a social and identity group, indicating a focus on populations defined by sexual orientation and gender identity, which is inherently a political and social context. The mention of 'minority stress' further reinforces this as it relates to the social and political challenges faced by this group.
"
8,lgbt,"g adverse events. the goal of the asset-building framework is to identify as many assets as possible. the currently available evidence indicates that lgbt youth have fewer assets than non-lgbt youth; however, the prevalence of these assets specifically among ybmsm has not yet been established. gaps in t",NA,NIH,SCIENTIFIC,"The text discusses disparities in asset prevalence between LGBT and non-LGBT youth, framing it as an observable phenomenon suitable for scientific investigation.
"
9,lgbt,"resented populations in the engineering and computing professions including gender identity and expression, race and ethnicity, disability, veterans, lgbtq+, 1st generation and socio-economic status. the conecd conference is dedicated to all the diverse groups that comprise our engineering and computing",NA,NSF,POLITICAL,"The term 'lgbtq+' is used in the context of underrepresented populations and diversity initiatives, which falls under social, political, and identity considerations.
"
10,lgbt," and clinical research, and researchers from historically under - represented demographics, including women, black, latinx, and communities of color, lgbtq and neuro - diverse researchers including researchers who identify as being on the autism spectrum. training and development will include affective ",NA,NIH,POLITICAL,"The term 'lgbt' is used in the context of identifying historically under-represented demographics in research. This aligns with a political or social justice context, aiming to promote diversity and inclusion.
"
11,lgbt,"rch over the last few decades has sought to understand the interactional and institutional-level biases that disadvantage women, people of color, and lgbtq individuals in stem. yet, these biases are not the only ways in which inequality and under-representation are perpetuated. central to stem’s stalled",NA,NSF,POLITICAL,"The term 'lgbtq' is used in the context of social inequality and under-representation, aligning with a political context concerned with identity and social justice.
"
12,lgbt,community-driven approach to address the impact of social determinants of health on structural inequities among miami-dade county's intergenerational lgbtq+ community abstract a plethora of research exists highlighting the disproportionate disparities faced by sexual and gender minorities (sgm) of all a,NA,NIH,SCIENTIFIC,"The term 'lgbt' (and its expanded form 'lgbtq+') is used within the context of research on health disparities affecting sexual and gender minorities, a common topic in scientific and public health research.
"
13,lgbt," structural sigma. to assess local structural stigma, including its specific components (e.g., law enforcement, municipal benefits and protections to lgbtq employees), we will use information and ratings assessed by the human rights campaign. fourteen consecutive daily surveys with 792 sgm young adults ",NA,NIH,POLITICAL,"The term 'lgbt' is used in the context of municipal benefits and protections, which is a political and social issue.
"
14,lgbt," language, inclusive cancer health education, and we will engage, and package cancer health messaging directly with and for two-spirit and indigenous lgbtq+ communities as it relates to colorectal and liver cancers. the project titled films for indigenous cancer health: engaging two-spirit & indigenous ",NA,NIH,POLITICAL,"The term 'lgbt' is used to identify specific communities as part of a health education and engagement initiative, highlighting social and identity aspects related to healthcare disparities.
"
15,lgbt,"may exist from residuals of the ‘don’t ask, don’t tell’ policy era that emphasized hiding one’s identity as a lesbian, gay, bisexual, or transgender (lgbt) and engagement in same-sex behaviors. other factors may impede uptake-provision of prep, such as one’s comfort level of discussing sex-related topic",NA,NIH,POLITICAL,"The term 'lgbt' is used in the context of the ""don't ask, don't tell"" policy, which is a political policy, and identity within that context.
"
16,lgbt,"medicine, science, technology, engineering and mathematics (mstem), there is a shortage of underrepresented students (i.e., ethnic minorities, women, lgbtq+, individuals with disabilities, first- generation students, and those from low-income or otherwise disadvantaged backgrounds) who devote their care",NA,NIH,POLITICAL,"The term 'lgbtq+' is used within a list of underrepresented groups, indicating a social, political, or identity context related to diversity and inclusion.
"
17,lgbt,icularly affected by these macro-level factors. our research and that of others demonstrate that structural stigma (macro-social conditions like anti-lgbt legislation that negatively impact wellbeing) worsens sgm people's mental and physical health. given current high levels of structural stigma in the ,NA,NIH,SCIENTIFIC,"The term 'lgbt' is used in the context of research on the negative impact of structural stigma (like anti-lgbt legislation) on mental and physical health, which aligns with a scientific and research-oriented usage.
"
18,lgbt,"phobic, or homophobic attitudes, change stem and career interest, and whether any of these potential effects vary by student identity, especially for lgbtq students.    the project plan includes supportive activities for the pi through an aligned professional development plan engaged through trainings, ",NA,NSF,POLITICAL,"The term ""lgbtq"" is used in the context of student identity and how attitudes impact career interest, which falls under social and identity related discussions.
"
19,lgbt,"atory, sequential mixed-methods design will use a combination of publicly available data and survey data from the rural engagement and approaches for lgbtq+ mental health (realm) study, an ongoing nimh-funded r01 cohort study of lgbtq+ adults living in the rural us led by scholars at johns hopkins unive",NA,NIH,SCIENTIFIC,"The term 'lgbt' appears in the context of a scientific study (REALM) funded by NIMH (National Institute of Mental Health) focusing on the mental health of LGBTQ+ adults. This indicates its usage is within a scientific and research context.
"
20,lgbt,"ual assault compared to heterosexual or lesbian women. bisexual women also report higher levels of minority stress, lower levels of connection to the lgbtq+ community, and greater psychological distress (anxiety, depression) compared to lesbian women. taken together, there is a strong need to target alc",NA,NIH,SCIENTIFIC,"The text discusses psychological distress and minority stress in bisexual women compared to lesbian women, indicating a scientific investigation of mental health within the LGBT community.
"
21,lgbt,"f more than one tobacco product including electronic nicotine delivery systems (ends), is rising and high in lesbian, gay, bisexual, and transgender (lgbt) young adults (ya). between 22-40% of lgbt ya (vs 12-21% of non-lgbt ya) report past 30-day polytobacco use, and lgbt ya are less likely to perceive ",NA,NIH,SCIENTIFIC,"The term 'lgbt' is used to define a specific population group being studied in the context of tobacco product use and related perceptions, fitting a scientific research context.
"
22,lgbt,"aining for diverse families (ptdf) abstract  historically, bias in the u.s. has made it difficult for lesbian, gay, bisexual, transgender, and queer (lgbtq+) people to marry and form families. the situation is changing, due to a recent dramatic shift in legal and societal acceptance of lgbtq+ marriage a",NA,NIH,POLITICAL,"The term is used to describe a social group that has historically faced discrimination and is now experiencing a shift in legal and societal acceptance, which are inherently political topics.
"
23,lgbt,"s and genomics research experiences to underrepresented minority, first generation college students, female students, students with disabilities, and lgbtq+ students who would otherwise lack such opportunities. this will allow them to experience a broad spectrum of research, and to acquire skills -- suc",NA,NIH,POLITICAL,"The term 'lgbtq+' (and 'lgbt') is used to identify a group that is considered underrepresented, highlighting a social equity and identity-based context, which falls under the political classification.
"
24,lgbt,"0) to state/county/zip code data on community-based vaccine information in the media, vaccination norms, as well as vaccine and hiv policy, including lgbt friendly policies and public health communications in the media. after understanding key factors affecting hiv vaccination intentions, we will conduc",NA,NIH,POLITICAL,"The term 'lgbt' is used in the context of ""lgbt friendly policies"", which directly relates to social and political considerations.
"
25,lgbt,"silverbills: a legal, technical and financial tool for aging lgbtq+ individuals with impaired cognition. abstract age is the greatest risk factor for alzheimer’s disease and related dementia (ad/adrd) and an estimat",NA,NIH,POLITICAL,"The term 'lgbtq+' is used in reference to a specific social group (aging individuals), indicating a focus on identity and social considerations.
"
26,lgbt,efficacy of a multi-level school intervention for lgbtq youth 0-11 years old; academy; address; administrator; adolescent; adolescent youth; advisory committees; advisory team; affect; ally; anxiety; atti,Efficacy Of A Multi-Level School Intervention For Lgbtq Youth,NIH,SCIENTIFIC,"The grant title and context suggest a study on the effectiveness of an intervention for LGBTQ youth, indicating a scientific usage.
"
27,lgbt,"tions. furthermore, the engineering profession is a field with a history of exclusion where people of color, people with disabilities, members of the lgbtq+ community, and white women remain underrepresented after years of effort to increase diversity. to address these concerns about engineering practic",NA,NSF,POLITICAL,"The term is used within the context of diversity and inclusion initiatives, referring to an underrepresented community. This falls under social and political discussions surrounding identity and equality.
"
28,lgbt,"child health & epidemiology, 2) rei & stem cell biology, 3) gynecologic health across the lifespan, 4) gynecologic oncology, 5) perinatal biology, 6) lgbtq+ health, and 7) innovative technology & precision health. scholars will develop essential skills and a portfolio of research projects to propel thei",NA,NIH,SCIENTIFIC,"The term 'lgbtq+ health' is listed as a specific area of research alongside other scientific and medical fields (child health, stem cell biology, etc.), indicating a technical and scientific usage.
"
29,lgbt,"pride-cares center: patient-responsive initiatives for diverse engagement - lgbtq+ community action in research to eliminate substance use disorder the ""patient-responsive initiatives for diverse engagement – lgbtq+ community acti",NA,NIH,POLITICAL,"The term 'lgbt' (followed by 'lgbtq+') is used in the context of community action and engagement, specifically related to a designated community and addressing social disparities (substance use disorder). This leans heavily into the social and political aspects of identity and health equity.
"
30,lgbt,"arginality) are often antecedents to poor mental and physical health outcomes. individuals who possess marginalized identities—such as members of the lgbtq+ community who possess marginalized sexual and gender identities—encounter high rates of discrimination and stigma, which account for experiences of",NA,NIH,POLITICAL,"The term 'lgbt' is used in the context of marginalized identities, discrimination, and stigma, which are social and political issues related to identity.
"
31,lgbt,"genda is to develop evidence-based tg bc screening guidelines. the proposed k08 will begin to fill critical knowledge gaps. in collaboration with our lgbtq+ inclusion health clinic, we will establish a pilot bc screening program and utilize a mixed methods approach to explore bc risk and screening in th",NA,NIH,SCIENTIFIC,"The text describes a research project developing breast cancer screening guidelines and establishing a pilot program in collaboration with an LGBTQ+ inclusion health clinic. This indicates a scientific investigation into the health needs of a specific population.
"
32,lgbt,"nalysis of three existing adolescent health datasets: the minnesota student survey (n~122,000), california healthy kids survey (n~1,042,000), and the lgbtq national teen survey (n~17,000), which have different samples, demographic profiles, and measures. we will test multiple hypotheses using both harmo",NA,NIH,SCIENTIFIC,"The term 'lgbt' is used to identify a specific survey (lgbtq national teen survey) within a research context, making it a technical/scientific usage.
"
33,lgbt,social-affective vulnerability to suicidality among lgbtq young adults: proximal and distal factors project summary/abstract rates of suicidal thoughts and behaviors (stb) among young adults have reached a ,NA,NIH,SCIENTIFIC,"The term ""lgbtq"" is used to define a specific population group being studied in a scientific research context (suicidality among young adults).
"
34,lgbt,"mmary gland development and carcinogenesis (aim 1.2), and response to bc treatment (aim 2.2). transgender people are the fastest growing group in the lgbtq community. we need to start understanding their cancer risk and the long-term health outcomes of tt. our proposal will be the first to lead to funda",NA,NIH,POLITICAL,"The term 'lgbtq' is used in the context of identifying a community and highlighting disparities in cancer risk and health outcomes, which relates to social and political considerations of health equity.
"
35,lgbt,"ed and underrepresented groups that are often invisible to these statistics (e.g., persons with disabilities, veterans, persons who identify with the lgbtq+ community, and low-income first-generation). the center for engineering peer equity throughout the student collegiate experience at colorado school",NA,NSF,POLITICAL,"The term 'lgbtq+' is used to identify a social group that is often underrepresented and faces issues related to equity and inclusion, aligning with a political/social context.
"
36,lgbt,"ween the university of california, los angeles (ucla), the university of california, santa barbara (ucsb) team, and will be co-led by the los angeles lgbt center resulting in a community-based research program design that is directly informed by and responsive to community needs. this collaborative team",NA,NIH,POLITICAL,"The term 'lgbt' refers to the Los Angeles LGBT Center, an organization focused on the social and political well-being of the LGBT community. This suggests the term is being used in a social, political, or identity context, rather than a purely scientific one.
"
37,lgbt," conduct and open pilot trial (n=10). during the pilot evaluation phase, researchers will recruit 140 tgmy across the u.s. via social media sites and lgbtq+ organizations and randomly assign tgmy to the intervention condition (n=70) or wait-list control condition (n=70). using similar methods, recruit 2",NA,NIH,SCIENTIFIC,"The term 'lgbt' (implied by 'lgbtq+') is used in the context of participant recruitment for a research study, indicating a defined population group for scientific investigation.
"
38,lgbt,fostering stem identify development through localized engineering for lgbtq+ youth displaced by housing insecurity the project will develop and research a model for engaging lgbtq+ youth experiencing housing insecurity in an,NA,NSF,POLITICAL,"The term 'lgbt' is used in a context relating to social identity and a specific population group facing societal challenges (housing insecurity).
"
39,lgbt," people who identify as being from a group excluded based on ethnicity and race, being from a disadvantaged background, having a disability, or being lgbt+, and will also recruit individuals from a variety of training backgrounds. once enrolled, build-up fellows will be mentored on a longitudinal resear",NA,NIH,POLITICAL,"The term 'lgbt+' is used in the context of identifying a group facing exclusion, which aligns with social, political, and identity-based considerations.
"
40,lgbt,", heart diseases, heterosexuals, homophobia, hypertension, incidence, income, individual, inequity, inflammation, intervention, intervention studies, lgbt health, latinx, literature, malignant neoplasms, medical, methods, minority groups, national institute on minority health and health disparities, non",NA,NIH,SCIENTIFIC,"The term ""lgbt health"" is listed alongside other health-related terms like ""heart diseases,"" ""hypertension,"" and ""inflammation,"" suggesting a scientific context related to health research on LGBT individuals.
"
41,lgbt,"sed smoking behavior in this population. anti-smoking campaigns utilized inoculation messages (analogous to vaccines) and culturally-tailoring (i.e., lgbt imagery, symbols, and language) to promote resilience against tobacco marketing influences among lgbt audiences. however, the effects of culturally t",NA,NIH,POLITICAL,"The term ""lgbt"" is used to describe a specific population group targeted by culturally-tailored anti-smoking campaigns, indicating a social and identity context.
"
42,lgbt,"ining skills – will oversee program design and implementation with support from a professor in engineering (co-i) who has extensive experience in the lgbtq+ community and curriculum development. in achieving the uri esteemed goals, it is anticipated that 100% of esteemed scholars will be prepared to ent",NA,NIH,POLITICAL,"The term 'lgbtq+' refers to a community and is used in the context of experience and curriculum development, indicating a focus on social identity and inclusion, aligning with a political/social context.
"
43,lgbt,", gender, gender identity, geography, goals, hiv, health, health personnel, healthcare, incidence, institute of medicine (u.s.), intersex, knowledge, lgbt health, language, legal abortion, logic, measures, medical, methodology, methods, national institute of child health and human development, organ, ou",NA,NIH,POLITICAL,"The term ""lgbt"" is used in the context of ""lgbt health,"" indicating a focus on the health and well-being of a specific social group, which aligns with a political and identity-based context.
"
44,lgbt,"es, health professional, healthy people 2020, heterogeneity, homophobia, hostility, institute of medicine (u.s.), intervention, interview, knowledge, lgbt health, label, lesbian gay bisexual, life cycle stages, liquid substance, literature, major depressive disorder, mental depression, mental health, me",NA,NIH,SCIENTIFIC,"The presence of ""lgbt health"" and related terms like ""lesbian gay bisexual,"" ""health professional,"" ""mental health,"" and ""major depressive disorder"" within the context of a grant suggests a focus on health-related research involving LGBT individuals.
"
45,lgbt,"efficacy of a multi-level school intervention for lgbtq youth project summary the goal of this study is to test the efficacy of a theoretically informed, school-based intervention for sexual and gender mi",NA,NIH,SCIENTIFIC,"The term 'lgbt' is used within the context of a research study aiming to test the efficacy of an intervention, indicating a scientific/technical context.
"
46,lgbt,"qualitative data from autistic sexual and gender minority people and professionals with relevant experience to inform the development of the autistic lgbtqia+ affirming intervention (alive); aim 2: pilot test and refine the intervention content, delivery, and efficacy and implementation measures via a r",NA,NIH,SCIENTIFIC,"The grant proposal focuses on developing an intervention for autistic LGBTQIA+ individuals, indicating the term is used within the context of research and intervention development, a scientific endeavor.
"
47,lgbt,"ion to improve parent communication about sexuality with sexual minority male adolescents project summary parental acceptance after youth come out as lgbtq is a protective factor for the health of this youth group; however, parents lack support in initiating and sustaining sexuality discussions inclusiv",NA,NIH,SCIENTIFIC,"The term 'lgbt' is used within the context of a scientific grant proposal focusing on parental communication, adolescent health, and protective factors for sexual minority youth, indicating a research-oriented and technical usage.
"
48,lgbt,improving mental health among the lgbtq+ community impacted by the covid-19 pandemic intent to die; suicidality; suicide; testing; translations; united states; work; friends; administrator,Improving Mental Health Among The Lgbtq+ Community Impacted By The Covid-19 Pandemic,NIH,POLITICAL,"The term 'lgbtq+' (and therefore 'lgbt') is used to refer to a specific community and its identity, which falls under social and political contexts. While the grant aims for scientific advancement, the term's usage within the title and the provided context focuses on a specific population defined by identity.
"
49,lgbt,supportive and restrictive factors and mental health in lgbt adolescent and young adult populations 12-20 years old; 2 year college; address; adolescence; adolescent and young adult; affect; age; area; brfss; b,Supportive And Restrictive Factors And Mental Health In Lgbt Adolescent And Young Adult Populations,NIH,SCIENTIFIC,"The term 'lgbt' is used to define a specific population group being studied in a scientific research context related to mental health.
"
50,lgbt,"tions. furthermore, the engineering profession is a field with a history of exclusion where people of color, people with disabilities, members of the lgbtq+ community, and white women remain underrepresented after years of effort to increase diversity. to address these concerns about engineering practic",NA,NSF,POLITICAL,"The term 'lgbtq+' (which includes 'lgbt') is used in the context of discussing diversity and underrepresentation in the engineering profession, which is a social and political issue.
"
