id,term,context,title,agency,classification,explanation
1,lgbtq,"of mental health in an era of escalating threats to sgd families. we will test vulnerabilities (structural and interpersonal discrimination and ses); strengths (social support, sgd socialization, identity centrality); and family functioning as mechanistic predictors during a period of growing anti- lgbtq+ bills. aim 4. examine red trajectories of mental health with a focus on recovery and deterioration. we will evaluate how couple stability and relationship functioning, social and community support, and structural and interpersonal experiences of discrimination act as mediators and moderators of tr",A Longitudinal Examination of Mechanisms Underlying Intersectional Health Disparities in the United States,NIH,POLITICAL,"The term ""lgbtq+"" is used in the context of ""growing anti-lgbtq+ bills,"" which directly relates to political and social issues affecting the LGBTQ+ community.
"
2,lgbtq,"redict future stbs in rural sexual minority adults. this k08 uses exploratory sequential mixed methods to complete two studies and four research aims. in study 1, aim 1 will use qualitative interviews to explore rural sexual minority adults’ perceived stb risk processes within and outside rural and lgbtqia+ communities. qualitative data will inform assessments in study 2. study 2 includes a fully remote ecological momentary assessment (ema) protocol. the ema protocol includes 6 surveys per day for 21 days, where participants will report on their stbs, known stb risk factors (stigma, low belonging),",Predicting acute and dynamic suicide risk in rural sexual minorities,NIH,SCIENTIFIC,"The term 'lgbtqia+' is used in the context of research on sexual minority adults and their perceived suicide-related behavior risk processes, a topic studied within the scientific field of mental health and behavioral science.
"
3,lgbtq,"leveraging a community-driven approach to address the impact of social determinants of health on structural inequities among miami-dade county's intergenerational lgbtq+ community abstract a plethora of research exists highlighting the disproportionate disparities faced by sexual and gender minorities (sgm) of all ages, such as increased levels of homelessness, lack of access to healthcare, and negative physical and psychological outcomes. while there have been si",Leveraging a community-driven approach to address the impact of social determinants of health on structural inequities among Miami-Dade County's intergenerational LGBTQ+ Community,NIH,SCIENTIFIC,"The grant proposal focuses on addressing health disparities and structural inequities within the LGBTQ+ community, aligning with a scientific context of studying and mitigating health-related issues in a specific population.
"
4,lgbtq,"biases. mixed methods analysis will explore whether exposure to inclusive biology lesson plans can change the prevalence of gender essentialist, transphobic, or homophobic attitudes, change stem and career interest, and whether any of these potential effects vary by student identity, especially for lgbtq students.    the project plan includes supportive activities for the pi through an aligned professional development plan engaged through trainings, conferences, and the support of expert mentors. these advisors will assist the pi in attaining the skills needed for development as a stem education re",Impacts of Inclusive Biology Curriculum on Student Attitudes and STEM Interest,NSF,POLITICAL,"The term 'lgbtq' refers to a social identity group and is used in the context of studying attitudes and potential biases against this group within a curriculum and its impact on STEM interest. This falls under a social/political rather than strictly scientific usage.
"
5,lgbtq,", and health service scientists in the translational, ethical, and team science aspects of modern biomedical research. we will create a novel model and ecosystem for engaging stakeholders who experience health disparities, including underserved racial/ethnic populations, senior citizens, members of lgbtq+ communities, and rural/frontier residents across the intermountain west, in order to: ensure that many voices are heard throughout the research life cycle; (potential) research participants are informed, engaged, and supported so that participation is accessible to all; and findings are translated",CTSA UM1 Program at University of Utah,NIH,POLITICAL,"The term 'lgbtq+' is used to identify a community that experiences health disparities, placing it within a social and identity context related to equity and access to healthcare.
"
6,lgbtq,"in sexual minority populations. cross-sectional studies have shown that pv is positively associated with alcohol and other substance use among lgbq+ adolescents. however, the mechanisms through which pv contributes to negative outcomes and the protective factors that ameliorate those outcomes among lgbtq+ youth are not well understood. advances in understanding the effects of pv on lgbq+ adolescents have been hampered by a dearth of longitudinal and mixed methods studies that include these youth in their samples. using a mixed methods design, the proposed study will investigate the acute daily and ",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,SCIENTIFIC,"The text describes a scientific study investigating the relationship between peer victimization and alcohol use among LGBTQ+ youth. The term is used as a demographic identifier within a research context.
"
7,lgbtq,"ject summary diversity enhances creativity and innovation in research, but biomedical research institutions have generally failed to effectively incorporate minoritized groups, such as individuals who identify as people of color, women, and lesbian, gay, bisexual, transgender, or queer/questioning (lgbtq) persons. earlier diversity efforts focused exclusively on intensified recruitment of minoritized faculty, mentoring, and training, but many institutions did not sustain their success because of insufficient change in institutional environments, systems, and culture. over the past two years, the le","Faculty Initiative for Improved Recruitment, Retention, and Experience (FIIRRE)",NIH,POLITICAL,"The term 'lgbtq' is used in the context of diversity and inclusion efforts within biomedical research institutions, specifically addressing the underrepresentation of minoritized groups. This falls under social, political, and identity considerations within the scientific workplace, rather than a purely scientific or technical usage of the term itself.
"
8,lgbtq,"a multidimensional aging science program: mstem scholars trained in aging research (mstem star) project summary / abstract in medicine, science, technology, engineering and mathematics (mstem), there is a shortage of underrepresented students (i.e., ethnic minorities, women, lgbtq+, individuals with disabilities, first- generation students, and those from low-income or otherwise disadvantaged backgrounds) who devote their careers to issues that affect an aging population. california state university, fullerton (csuf), a hispanic- serving institution, proposes to implement a ",A Multidimensional Aging Science Program: MSTEM Scholars Trained in Aging Research (MSTEM STAR),NIH,POLITICAL,"The term 'lgbtq+' is used in a list of underrepresented groups, which is a social and political consideration related to diversity and inclusion.
"
9,lgbtq,"l areas as compared to more urban locations. finally, we test the hypothesis that the detrimental impact of minority stress on alcohol use and destructive couple conflict will be mitigated by greater (a) social support from interpersonal relationships, (b) psychological sense of connection with the lgbtq+ community, and (c) psychological sense of community with one's rural midwestern neighborhood. participants will be 200 sgm couples (i.e., both individuals identify as lesbian, gay, bisexual, transgender, and/or queer, and are in a committed intimate relationship). couples will be recruited from th",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term 'lgbtq+' is used within the context of a research study investigating the experiences of sexual and gender minority couples. It is used as a descriptor for the population being studied, fitting within the scientific context of social science research.
"
10,lgbtq,"living in the rural us; and 3) assess relationship between state-level structural stigma and individual-level depressive symptoms. approach: an explanatory, sequential mixed-methods design will use a combination of publicly available data and survey data from the rural engagement and approaches for lgbtq+ mental health (realm) study, an ongoing nimh-funded r01 cohort study of lgbtq+ adults living in the rural us led by scholars at johns hopkins university and emory university. aim 1 will include a content analysis of legislation to understand the rhetoric and scientific evidence used to support rec",Structural Stigma and Mental Health Among Transgender and Gender Diverse Adults Living in the Rural United States,NIH,SCIENTIFIC,"The term 'lgbtq+' is used within the title of a research study (REALM) and refers to a specific population group being studied for mental health outcomes. This aligns with a scientific context of defining a study population.
"
11,lgbtq,"m men who experience asa victimization. the purpose of the proposed study is to utilize a longitudinal, prospective design to test three innovative models that include established (e.g., child sexual abuse, heavy episodic drinking), as well as population-specific (e.g., internalized homonegativity, lgbtq+ sense of community), risk and protective factors to predict experiences of asa perpetration among sm men (aim 1); experiences of asa victimization among sm men (aim 2); and adverse exploratory analyses will examine how latent classes that capture multiple intersecting marginalized social identitie","An Innovative, Prospective Model to Understand Risk and Protective Factors for Sexual Assault Experiences and Outcomes Among Sexual Minority Men",NIH,SCIENTIFIC,"The term 'lgbtq+' is used in the context of identifying a specific population group (sexual minority men) for scientific research on sexual assault experiences and outcomes. The phrase ""lgbtq+ sense of community"" is examined as a potential risk or protective factor, indicating its use within a research context.
"
12,lgbtq," unfortunately, systemic, community, organizational, provider, family, and individual level problems/barriers increase black youth sib risk and also block access to needed resources/services. current suicide prevention/intervention efforts are not sufficient to decrease sib in black youth and black lgbtq+sgl youth. linking individuals needing care (linc) is a consumer- and theory-driven care coordination intervention designed to reduce sib by improving service engagement and delivery standards. culturally adapted linc (ca- linc) is a proposed adaptation of linc to meet the specific needs of diverse",CA-LINC: A Culturally Adapted Care Coordination Suicide Detection and Intervention Model for Black Youth,NIH,POLITICAL,"The term ""lgbtq+sgl"" is used to identify a specific population group that experiences unique systemic barriers and disparities in accessing mental health resources, which aligns with a social and political context related to identity and equality.
"
13,lgbtq,"pride-cares center: patient-responsive initiatives for diverse engagement - lgbtq+ community action in research to eliminate substance use disorder the ""patient-responsive initiatives for diverse engagement – lgbtq+ community action in research to eliminate substance use disorder (pride-cares) center"" represents a groundbreaking effort to address the significant gaps in research",PRIDE-CARES Center: Patient-Responsive Initiatives for Diverse Engagement - LGBTQ+ Community Action in Research to Eliminate Substance Use Disorder,NIH,SCIENTIFIC,"The term is used within the title and description of a research center focused on addressing a health issue (substance use disorder) within the LGBTQ+ community. This indicates a scientific and research-oriented context.
"
14,lgbtq,"a co- designed, co-facilitated, online group psychoeducation intervention approach. she proposes the following specific aims: aim 1: gather formative qualitative data from autistic sexual and gender minority people and professionals with relevant experience to inform the development of the autistic lgbtqia+ affirming intervention (alive); aim 2: pilot test and refine the intervention content, delivery, and efficacy and implementation measures via a randomized controlled trial in preparation for a hybrid type 1 (efficacy + implementation) clinical trial.  the proposed research is significant because",ALIVE: Development and feasibility of a psychosocial intervention for sexual and gender minority autistic adults,NIH,SCIENTIFIC,"The term 'lgbtqia+' (an expanded version of LGBTQ) is used within the context of a research grant proposal focused on developing and testing a psychosocial intervention for autistic adults who are sexual and gender minorities. This indicates its usage is directly related to defining the target population for scientific study.
"
15,lgbtq,"arted belonging— the antithesis of belonging—and the feelings/experiences it foments (e.g., alienation, rejection, social isolation, loneliness, and marginality) are often antecedents to poor mental and physical health outcomes. individuals who possess marginalized identities—such as members of the lgbtq+ community who possess marginalized sexual and gender identities—encounter high rates of discrimination and stigma, which account for experiences of thwarted belonging and disparities in health and well-being. in an increasingly polarized world, workplaces serve as important sources of belonging fo",Bridges: A digital intervention to increase workplace belonging,NIH,POLITICAL,"The term 'lgbtq+' is used in the context of discussing marginalized identities, discrimination, stigma, and disparities in health and well-being, which are all politically and socially charged issues.
"
16,lgbtq,"social influences on sexual health among latinx adolescents and emerging adults who identify as lgbtq+ in an agricultural community project summary/abstract rates of sexually transmitted infections (stis) in california have reached epidemic levels that exceed national rates. half of these infections occur among youth ages 15–24, and rates are disproportionately higher in sexual and gender minority ",Social influences on sexual health among Latinx adolescents and emerging adults who identify as LGBTQ+ in an agricultural community,NIH,SCIENTIFIC,"The term 'lgbtq+' is used within the context of a scientific grant proposal focusing on sexual health outcomes among a specific population. The research is studying STI rates, which is a scientific area of inquiry.
"
17,lgbtq,"a nsf-advance catalyst project evaluation and assessment of gender, leadership, equity, and support (eagles) to investigate barriers that exist along the stem faculty career pathway hindering successful hiring, advancement, and leadership of women, persons with disabilities, persons who identify as lgbtq+, and peers excluded because of their ethnicity or race (peers). benu recognizes that hiring and retaining diverse faculty is important in education and mentorship of the growing diverse student population and their success in stem; however, a low number of diverse stem faculty, especially at small",NSF ADVANCE Catalyst: Evaluation and Assessment of Gender Leadership Equity and Support,NSF,POLITICAL,"The term 'lgbtq+' is used within the context of diversity and inclusion initiatives aiming to address disparities in STEM faculty hiring and advancement. This aligns with a social and political understanding of identity groups facing systemic barriers.
"
18,lgbtq,"risk for revictimization. bisexual women report higher rates of heavy episodic drinking compared to heterosexual women, as well as higher rates of sexual assault compared to heterosexual or lesbian women. bisexual women also report higher levels of minority stress, lower levels of connection to the lgbtq+ community, and greater psychological distress (anxiety, depression) compared to lesbian women. taken together, there is a strong need to target alcohol use, sexual assault, and psychological distress among bisexual women. problematically, existing integrated alcohol and sexual assault intervention",Integrated Alcohol and Sexual Assault Prevention for Bisexual Women,NIH,SCIENTIFIC,"The term 'lgbtq+' is used to describe a specific community within the context of research on mental health, substance use, and sexual assault, indicating a technical or scientific context.
"
19,lgbtq,"improving mental health among the lgbtq+ community impacted by the covid-19 pandemic project summary/abstract  during the covid-19 pandemic, up to 81% of adults in the united states experienced worsening mental health. a major cause was the social isolation triggered by the pandemic due to quarantining, loss of family or friends, and los",Improving mental health among the LGBTQ+ community impacted by the COVID-19 pandemic,NIH,POLITICAL,"The term 'lgbtq+' is used to identify a specific community based on sexual orientation and gender identity, which is inherently tied to social, political, and identity-related issues. While the grant focuses on mental health (a scientific area), the *identification* of the target population using the term 'lgbtq+' falls under a social/political/identity context.
"
20,lgbtq,"elated problems. the study will be conducted in 33 midsized cities in california that contain significant variation in participants' exposure to local structural sigma. to assess local structural stigma, including its specific components (e.g., law enforcement, municipal benefits and protections to lgbtq employees), we will use information and ratings assessed by the human rights campaign. fourteen consecutive daily surveys with 792 sgm young adults (ages 18-29, 24 per city, for a total of 7,084 estimated data points) will be used to assess participants' day-to-day experiences with stigmas and alco",The Role of Local Structural Stigma in Alcohol Related Inequities among SGM Young Adults,NIH,SCIENTIFIC,"The term 'lgbtq' is used as a demographic identifier within a research study investigating health inequities. This falls under a technical/scientific context.
"
21,lgbtq,"efficacy of a multi-level school intervention for lgbtq youth project summary the goal of this study is to test the efficacy of a theoretically informed, school-based intervention for sexual and gender minority (sgm, e.g., lesbian, gay, bisexual, transgender) adolescents, proud & empowered (p&e). studies found that sgm students are 8 to 10 times more li",Efficacy of a Multi-level School Intervention for LGBTQ Youth,NIH,SCIENTIFIC,"The term is used within the context of a scientific study (grant proposal) evaluating the efficacy of an intervention for LGBTQ youth. The study's aim and population are clearly defined within a research framework.
"
