id,term,context,title,agency,classification,explanation
1,marginalize,"are propagated by the synergistic co- occurrence of disease (e.g., health issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. thi",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term 'marginalized' is used within the context of the ""minority stress model"" and refers to the social and identity-based stressors faced by older sexual minority men (OSMM). This aligns with a political understanding of marginalization stemming from minority identities and systems of oppression.
"
2,marginalize,"as factors shaping hiv risk; and uses a community-based approach centered on community involvement (e.g., civic participation, volunteering) as a means to foster sexual health and community building. the study will help identify effective interventions to prevent hiv among latinx immigrant gbmsm, a marginalized population for which hiv preventive interventions are severely lacking. this study capitalizes on an existing intervention designed for spanish speaking populations; is the first of its kind to rigorously test the intervention’s effectiveness among latinx immigrant gbmsm using a community control ",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The term 'marginalized' refers to the social and political standing of Latinx immigrant GBMSM (gay, bisexual, and other men who have sex with men), highlighting their disadvantaged position and lack of access to resources, including HIV prevention interventions. This aligns with a social and political context rather than a purely technical or scientific one.
"
3,marginalize,"2) assess relationships between social position and ncd syndemic incidence and prevalence; and 3) assess relationships between social position and hiv and ncd syndemic continua of care outcomes, mediated by intersectional stigma and the psychosocial syndemic. our scientific premise is that multiply marginalized populations experience disparities in ncd syndemic incidence, prevalence, and control, which are mediated by intersectional stigma and the psychosocial syndemic. the proposed work will extend intersectional stigma and psychosocial syndemics research on the hiv continuum of care to the ncd syndemic",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,POLITICAL,"The term 'marginalized' is used in the context of ""multiply marginalized populations"" experiencing disparities, highlighting issues of social position, stigma, and inequality. This aligns with a social and political understanding of marginalization as a process of being pushed to the edges of society.
"
4,marginalize,"iverse sexual minority youth project summary alcohol is the most commonly used and abused drug among youth in the us; prevalence of alcohol use is disproportionately higher among sexual minority youth (smy) than among their heterosexual peers, especially among those at the intersections of multiple marginalized identities. alcohol use and abuse are associated with a multiplicity of short and long-term negative health outcomes, including hiv vulnerabilities, alcohol and other substance use dependence, neurocognitive deficiencies, and psychological distress. despite the fact that alcohol use and abuse duri",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,POLITICAL,"The term ""marginalized identities"" refers to social and political disadvantage based on group membership.
"
5,marginalize,"victimization tied to sgm status are strongly associated with disparities. the ability to accurately identify such disparities and potential causal pathways is vital to ensure that public health and health care research, policy, and practice are appropriately equipped to address the health needs of marginalized populations such as sgm individuals. this is particularly true in the case of alcohol, which remains one of the most commonly used and abused drugs nationwide, particularly among both adolescent and adult sgm. however, measurement of demographic characteristics associated with sgm identity and sti","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The term 'marginalized' is used in the context of social disparities and health needs of specific populations (sgm individuals), which aligns with a political and identity-focused understanding of marginalization.
"
6,marginalize,"munity partnership, comparison intervention, consistent condom use, coping, design, effectiveness testing, effectiveness/implementation trial, evidence base, experience, flexibility, follow-up, gender affirmation, gender minority group, health inequalities, high risk, improved, internalized stigma, marginalized population, meetings, mindfulness, model design, peer, physical assault, pilot test, pilot trial, post intervention, programs, psychologic, psychological distress, recruit, scale up, sex, sexual assault, sexual minority group, skills, social health determinants, social stigma, substance misuse, su",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term ""marginalized population"" is used in the context of discussing gender minority groups, health inequalities, and social determinants of health, which are all inherently political and social issues related to power structures and systemic disadvantages.
"
7,marginalize,"munity partnership, comparison intervention, consistent condom use, coping, design, effectiveness testing, effectiveness/implementation trial, evidence base, experience, flexibility, follow-up, gender affirmation, gender minority group, health inequalities, high risk, improved, internalized stigma, marginalized population, meetings, mindfulness, model design, peer, physical assault, pilot test, pilot trial, post intervention, programs, psychologic, psychological distress, recruit, scale up, sex, sexual assault, sexual minority group, skills, social health determinants, social stigma, substance misuse, su",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term ""marginalized population"" refers to a group facing social and political disadvantages due to their identity (in this case, transgender women). It highlights power dynamics and societal inequalities, placing it firmly within a political/social context.
"
8,marginalize,"vidual postdoctoral fellowship, not-md- 19-001 (notice of special interest in research on the health of sexual and gender minority (sgm) populations): the coronavirus disease 2019 (covid-19) pandemic has had a profound negative impact on population mental health in the united states, especially for marginalized populations such as sexual minorities (sms). emerging research suggests that this disparity is driven by minority stress processes (e.g., stigma) and structural vulnerabilities (e.g., institutional oppression) that systematically expose sms to more pandemic-related stressors and exacerbate their e","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,POLITICAL,"The term 'marginalized' is used to describe the social position of sexual minorities within society, referencing structural vulnerabilities and institutional oppression. This aligns with a political/social understanding of power imbalances and systemic disadvantage.
"
9,marginalize,"ber. when a person is covered by a parent’s or spouse’s insurance, eobs are often sent to the primary subscriber, thereby breaching the person’s confidential health information. concerns about confidentiality related to insurance billing can also compound existing barriers to care faced by multiply marginalized persons. thus, leading health care organizations have called for policy change to correct this gap in patient confidentiality, and state governments are increasingly interested in policy solutions to protect individuals’ privacy when using insurance for sensitive services. massachusetts is one of ",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term ""marginalized persons"" refers to individuals facing social and systemic disadvantages, indicating a social, political, or identity-based context.
"
10,marginalize,", survivors, symptoms, testing, theoretical model, time, trauma, vulnerable populations, woman, work, aged, assault, cisgender, critical period, demographics, ethnic identity, experience, gender diverse, health disparity, help-seeking behavior, high risk, homonegativity, improved, innovation, lens, marginalized population, mental development, minority health disparity, minority stress, multilevel analysis, novel, prevent, prospective, prospective test, racial identity, racial minority, racism, recruit, sexual assault, sexual minority, sexual minority women, social determinants, social stigma, substance u","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""marginalized population"" is used within a list of terms related to social identity, health disparities, and social stigma, indicating a context related to social and political inequality.
"
11,marginalize,"r people and slps with free interactive tools for gavt; furthermore, it can later be expanded with other important features. in the long term, gavt software may become an essential tool to reduce gender dysphoria in transgender and gender diverse individuals, thus improving quality of life for this marginalized population. furthermore, advancements in this area may generalize to computer-aided therapy for communication disorders, increasing potential impact. acoustics, area, benchmarking, biofeedback, biomedical engineering, cellular phone, characteristics, communication, communication impairment, comput",Improving the accessibility of transgender voice training with visual-acoustic biofeedback,NIH,POLITICAL,"The term ""marginalized population"" refers to the social and political marginalization of transgender and gender diverse individuals, not a strictly scientific or technical usage. While the grant aims to improve their quality of life using scientific tools, the context acknowledges their societal position.
"
12,marginalize,"rship and skills to become an independent investigator on youth-engaged deb research in tgd youth. specifically, dr. pham will work closely with her mentorship team and community partners to advance her knowledge and skills in qualitative and mixed methods community-engaged research, recruitment of marginalized populations, and advanced statistical approaches to measure development and evaluation. address, adolescent medicine, adult, affect, age, anxiety, applications grants, assessment tool, attitude, beauty, behavior, binge eating, caring, characteristics, clinical, cognition, communities, data, death ",Using youth-engaged methods to develop and evaluate a measure for disordered eating behaviors in transgender and gender-diverse youth,NIH,POLITICAL,"The term ""marginalized populations"" refers to a group of people who are excluded from full participation in society due to various social and political factors. While recruitment might be part of a scientific study, the use of ""marginalized populations"" inherently points to a social and political dimension.
"
13,marginalize,"and pain project summary substance use—including substance misuse and use disorders—and chronic pain are very common conditions in the us and constitute an important public health problem. substance use and chronic pain commonly co-occur, are highly interrelated, and often disproportionately impact marginalized communities. given the degree of interconnectedness between substance use and chronic pain, addressing these conditions together is an important opportunity to improve outcomes for both. at the same time, impactful scientific inquiry is best accomplished by interdisciplinary and diverse teams; the",Building an interprofessional and diverse workforce in substance use and pain,NIH,POLITICAL,"The term 'marginalized communities' refers to groups that face systemic disadvantages and discrimination, aligning with social and political concerns rather than a purely scientific definition.
"
14,marginalize,"ervention, alcohol misuse, alcohol research, alcohol use disorder, binge drinking, cisgender, culturally appropriate intervention, design, distrust, diversity and inclusion, evidence base, experience, experimental study, gender diversity, health disparity, help-seeking behavior, improved, interest, marginalized population, meetings, member, minority stress, minority stressor, peer, people of color, physical conditioning, pre-doctoral, preference, prospective, recruit, resilience factor, service providers, skill acquisition, skills, social, substance use, theories, transgender, transphobia, uptake",A Mixed Methods Study to Enhance Alcohol Treatment Help-seeking and Engagement Among Gender Diverse Adults,NIH,POLITICAL,"The term ""marginalized population"" within the context of gender diversity, health disparity, minority stress, and terms like ""people of color,"" ""transgender,"" and ""transphobia"" strongly suggests a usage related to social and political marginalization.
"
15,marginalize,"aviors, risk reduction, services, sex behavior, sexual partners, stigmatization, technology, testing, time, united states national institutes of health, work, adaptive intervention, addiction, habituation, improved, innovation, innovative technologies, interest, mhealth, machine learning algorithm, marginalized population, men who have sex with men, mhealth interventions, multiphase optimization strategy, personalized intervention, physical inactivity, pre-exposure prophylaxis, randomized trial, response, service delivery, skills, smartphone application, syndemic, theories, transmission process, uptake, ",Optimizing a Just-in-Time Adaptive Intervention to Increase Uptake of Chemsex Harm Reduction Services in MSM: A Micro-randomized Trial,NIH,POLITICAL,"The term ""marginalized population"" refers to a group facing social exclusion and systemic disadvantage, which is inherently a political and social concept.
"
16,marginalize,"rience, gender minority, gender minority community, gender minority group, gender minority health disparity, gender-based violence, harassment, healing, health care settings, health disparity, help-seeking behavior, improved, innovation, instrument, intimate partner violence, lens, marginalization, marginalized population, mortality, mortality disparity, nonbinary, peer, perceived discrimination, racism, screening, sexual assault, sexual minority, sexual minority group, sexual minority men, sexual minority women, social, socioeconomics, structural determinants, substance use, suicidal, survivorship, tool",Advancing help-seeking and recovery measures for sexual and gender minority survivors of gender-based violence,NIH,POLITICAL,"The term 'marginalization' appears in the context of ""marginalized population"" alongside terms like ""sexual and gender minority,"" ""gender-based violence,"" ""perceived discrimination,"" ""racism,"" and ""structural determinants."" These terms indicate a discussion of social power dynamics and systemic disadvantage, which falls under a political context.
"
17,marginalize," rigorous and holistic view of how individual and complex factors interact to produce health disparities among minority populations. therefore, understanding the drivers of health disparities requires a novel approach – one which seeks to understand the social and contextual systems around the most marginalized populations – as it is only through an individual's interactions with their social context that any advantage or disadvantage is conferred. in line with rfa-da-23- 061, this project proposes innovative observational research across five us cities in order to better understand the social contexts o",SILOS: Structural Inequities across Layers Of Social-Context as Drivers of HIV and Substance Use,NIH,POLITICAL,"The term 'marginalized' is used to describe populations experiencing social disadvantage, which aligns with a social, political, and identity context related to power structures and inequalities.
"
18,marginalize,"e past decade, with no signs of attenuating, making sm individuals one of the most high-risk groups for eating disorders. risk is elevated in sm individuals due to chronic stressors and subsequent sm stress reactions (e.g., internalized stigma, low sm-stress coping self-efficacy) related to being a marginalized group. while sm individuals are seeking eating disorder treatment at increasing rates compared to non-sm peers, current treatments do not incorporate distinct sm identity-related stress processes that increase and maintain eating disorder symptoms in sm individuals. further, sm individuals are mor",Targeting Minority Stressors to Improve Eating Disorder Symptoms in Sexual Minority Individuals with Eating Disorders,NIH,POLITICAL,"The term 'marginalized' is used to describe the social position of sexual minority individuals, highlighting power imbalances and systemic disadvantages, which aligns with a political context.
"
19,marginalize,"nd practical experience in diverse healthcare settings.  this fellowship represents a critical step in the applicant's career trajectory towards becoming an independent researcher, with long-term goals centered on the development and implementation of high- impact stigma-reduction interventions for marginalized groups. the training and research conducted during this fellowship will contribute significantly to the fields of hiv prevention, stigma reduction, and public health implementation science, with a focus on addressing health disparities in low-income and marginalized communities. aids prevention, a",Training in Behavioral Design Interventions to Address Stigma among Men Who have Sex with Men,NIH,POLITICAL,"The term 'marginalized groups' and 'marginalized communities' refers to groups or communities experiencing social and political disadvantage, discrimination, and exclusion. This aligns with a political context focused on power dynamics and inequalities.
"
20,marginalize,"alth, women', s cohort, allostatic load, biopsychosocial, black women, breast cancer diagnosis, cancer biomarkers, cancer epidemiology, cancer prevention, cancer risk, cohort, contextual factors, cost, deprivation, design, economic disparity, epidemiologic data, evidence base, experience, improved, marginalized population, mortality risk, neighborhood association, novel, perceived stress, prospective, racial difference, racial population, residential segregation, response, social factors, socioeconomics, stressor, structural determinants, triple-negative invasive breast carcinoma, tumor",Impact of Allostatic Load and Neighborhood Contextual Factors on Breast Cancer in the Women's Health Initiative,NIH,POLITICAL,"""Marginalized population"" strongly suggests a focus on social inequalities and power dynamics, aligning with a political context rather than a purely scientific or technical one. While the grant studies health outcomes, the term highlights a population disadvantaged by social structures.
"
21,marginalize,"l, viral load result, visit, wrist, actigraphy, antiretroviral therapy, care outcomes, cohort, community violence, comorbidity, contextual factors, experience, follow-up, health care service, health determinants, health inequalities, improved, innovation, intimate partner violence, marginalization, marginalized population, medication compliance, multidisciplinary, next generation, novel strategies, nutrition, poor sleep, primary outcome, racial minority population, secondary outcome, sexual minority group, sexual minority men, skills, sleep health, sleep quality, social epidemiology, social stigma, subst","Characterizing Sleep, ART Adherence and Viral Suppression Among Black Sexual Minority Men",NIH,POLITICAL,"The terms ""marginalization"" and ""marginalized population"" are often used in discussions of social inequalities, power dynamics, and the systemic disadvantage of specific groups. Given the grant's focus on Black sexual minority men and health inequalities, the term is likely used in a political or social context.
"
22,marginalize,"ter- vention (with final data collection being in month 49). bipoc patients at the clinics will be surveyed at each as- sessment (n=2,100). findings will yield a manual for implementing total-facility srd-reduction processes and content (mos 52-60). other rwhap-funded clinics and facilities serving marginalized groups may be able to adopt this manualized, yet highly adaptable intervention packet to support bipoc. accountability, address, adopted, affect, anxiety, area, behavior, black race, black  indigenous  people of color, caring, characteristics, clinic, cluster randomized trial, consolidated framewo",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The term ""marginalized groups"" refers to groups facing social and political disadvantages and discrimination. The grant aims to address structural racism and discrimination, placing the term within a socio-political context related to equity and inclusion.
"
23,marginalize,"atial distribution, study of latinos, subgroup, time, training, training programs, trust, united states, built environment, caucasian american, cost, depressive symptoms, experience, falls, health equity, health inequalities, hispanic community, implementation research, improved, insight, interest, marginalized community, multilevel analysis, neighborhood association, population based, residential segregation, segregation, single episode major depressive disorder, skills, social cohesion, social culture, social health determinants, social relationships, spatial relationship, stress reduction, structural ","Neighborhood Social Environment, Composition and Depression in Latinx",NIH,POLITICAL,"The term ""marginalized community"" is used within a context of social determinants of health, health equity, and disparities impacting a specific ethnic group (Latinx). This aligns with a social and political framing of marginalization.
"
24,marginalize,"rth—who have sex with cisgender men are a key population in the hiv epidemic. hiv prevalence in ecuador is between 20.7%-34.8% among transgender women—the highest in latin america. studies are urgently needed to guide hiv prevention and care efforts to curb hiv infection rates. people with multiple marginalized identities, such as transgender women of african descent living in poverty, are at higher risk of exposure to intersectional discrimination than the general u.s. population and have high rates of hiv. yet the extent to which ecuadorian transgender women are burdened by intersectional discriminatio",Intersectional discrimination and linkage to HIV prevention and care in transgender women in Ecuador,NIH,POLITICAL,"The term ""marginalized identities"" refers to the social and political context of certain groups being pushed to the margins of society and facing systemic discrimination.
"
25,marginalize,"entity concealment, sexual orientation discrimination) and protective factors (e.g., lgb+-specific social support, lgb+ community connectedness) moderate the temporal relationships between alcohol use and sexual assault among lgb+ populations. moreover, no research has examined how holding multiple marginalized identities (i.e., gender minority; ethnic minority) intersect to impact the associations between alcohol, minority stress, and sexual assault among lgb+ students. participants will complete a baseline assessment followed by brief daily surveys each day for 60 consecutive days. the daily assessment","The Impact of Minority Stress on Alcohol-Related Sexual Assault among Sexual Minority College Students: An Intersectional, Mixed-Methodological Study",NIH,POLITICAL,"The term ""marginalized identities"" refers to groups that face systemic disadvantages and discrimination based on social categories like gender and ethnicity. This aligns with a social and political context, focusing on power dynamics and inequality.
"
26,marginalize,"ists, behavior influence, beneficiary, community intervention, community partners, design, experience, follow-up, gender expression, gender nonconforming, group intervention, high risk, high risk population, implementation outcomes, implementation strategy, improved, internalized stigma, life span, marginalized community, men, men who have sex with men, poor communities, post intervention, pre-exposure prophylaxis, primary outcome, programs, scale up, secondary outcome, self testing, sex, social, social stigma, testing uptake, transactional sex, treatment arm, uptake","Status-neutral community-based multilevel intervention to address intersectional stigma and discrimination, and increase HIV testing, PrEP, and ART uptake among YGBMSM in Ghanaian Slums",NIH,POLITICAL,"""Marginalized community"" refers to a group facing social and political disadvantages.
"
