id,term,context,title,agency,classification,explanation
1,marginalize,"tion through rubric-based coaching creating supportive middle school mathematics learning spaces that foster students' self-efficacy and mathematics learning is a critical need in the united states. this need is particularly urgent for mathematics classrooms with students who have been historically marginalized in such spaces. while many instructional improvement efforts have focused on broadening access to mathematical ideas, fewer efforts have paid explicit attention to the ways instructional practices may serve to marginalize students. supporting teachers in identifying and refining their equitable ma",Collaborative Research: Supporting Teachers to Develop Equitable Mathematics Instruction Through Rubric-Based Coaching,NSF,POLITICAL,"The text refers to students who have been ""historically marginalized,"" which is a social and political concept related to unequal power dynamics and systemic disadvantage based on identity or group affiliation.
"
2,marginalize,"es to generate interventions for change (mmagic) for black women living with hiv background: black women represent the largest group of women with hiv, both nationally, and locally in miami, a u.s. hiv epicenter; and 40% are not virally suppressed. further, they live at the intersection of multiple marginalized identities and within social structures that take a daily toll. microaggressions are every day and subtle insults via comments, jokes, and behaviors that are demeaning to a marginalized group (e.g. black individuals, women, people living with hiv, lgbtq+). despite their frequency and potential imp",Monitoring Microaggressions and Adversities to Generate Interventions for Change (MMAGIC) for Black Women Living with HIV,NIH,POLITICAL,"The term 'marginalized identities' refers to the social and political disadvantage experienced by Black women living with HIV due to intersecting oppressions related to race, gender, and HIV status.
"
3,marginalize,"ers at arizona state university and university of massachusetts boston, propose to study the expressed needs of black doctoral students in relation to faculty perceptions of what they are providing during advising relationships. understanding the mental health impacts of cumulative experiences that marginalize black graduate students, will advance knowledge by providing recommendations for developing inclusive environments and mentoring strategies that are effective at supporting black students. through a two-phase design, the project aims to use detailed interviews regarding the experiences of marginali",Collaborative Research: What Black Doctoral Students in STEM Want and What Their Faculty are Giving: How the Differences Impact Students’ Mental Health and Career Trajectory,NSF,POLITICAL,"The term ""marginalize"" is used in the context of discussing the experiences of Black graduate students and the development of inclusive environments, which directly relates to issues of social equity, power dynamics, and identity within the academic setting.
"
4,marginalize,"amely, it (1) builds mobile research labs designed to conduct rapid response surveys during protests and organizational rallies, and (2) establishes data analysis centers at two minority serving institutions, and (3) provides cutting-edge training, tools, and professional resources to students from marginalized and underserved groups.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.","Collaborative Research: The Role of Elites, Organizations, and Movements in Reshaping Politics and Policymaking",NSF,POLITICAL,"The term ""marginalized and underserved groups"" refers to populations facing social and political disadvantages.
"
5,marginalize,"eritage site. within the park, geoscience resources and programs support millions of visitors each year to explore the immensity of geologic time and the geologic history through the landscapes and rocks. however, the indigenous knowledge of the traditionally associated tribes has historically been marginalized and excluded from geoscience education at the park. this partnership development & planning project seeks to foster respectful, reciprocal, and lasting partnerships at grand canyon among members of the traditionally associated tribes, the grand canyon trust, interpretive park rangers, and grand ca","Developing Partnerships Among Tribes, Geoscientists, and the National Park Service to Advance Informal Geoscience Learning at Grand Canyon",NSF,POLITICAL,"The term ""marginalized"" refers to the social and political exclusion of indigenous knowledge within the context of geoscience education, highlighting power dynamics and historical inequalities.
"
6,marginalize,"nd hiv stigma, have resulted in significant challenges enrolling participants into these trials. we will co-refine an existing media campaign, develop, test and evaluate a multilevel communication strategy to address some of these crucial concerns and strengthen our reputation of trustworthiness in marginalized communities disproportionately affected by hiv to increase their enrollment into early-stage hiv vaccine trials. over the next 7 years, the hvtn will focus on the early phase trial program to move the field forward and to identify products efficiently and effectively for later efficacy testing. th",Evaluating a Multilevel Communication Campaign to Increase HIV Vaccine Trial Enrollment,NIH,POLITICAL,"The term 'marginalized communities' refers to groups facing social and political disadvantage, aligning with a social justice and equity context.
"
7,marginalize,"oral experiences in stem there is an urgent need to provide supportive and welcoming environments for individuals pursuing stem career pathways to ensure that the united states meets its full potential in providing world-class educational experiences and an educated citizenry.  faculty members from marginalized backgrounds can serve vital roles in increasing the rates of persistence of students in stem educational programs and stem careers.  in the united states, postdoctoral scholars in stem fields currently have strikingly low representation of individuals with black or african american, hispanic or la",Postdoctoral Fellowship: STEMEdIPRF: Scholars in the Margins: Historically Excluded Postdoctoral Experiences in STEM,NSF,POLITICAL,"The term 'marginalized' refers to specific groups (Black or African American, Hispanic or Latinx) who are underrepresented and face systemic barriers in STEM, indicating a social and political context related to equity and inclusion.
"
8,marginalize,will examine the long-term impacts of virtual reality interracial interactions on the academic performance of students from underrepresented groups. this research will strengthen and diversify stem pathways by fostering more inclusive and welcoming environments for students from groups historically marginalized in stem and training diverse students in programming and research.  this award is supported by the ehr core research program which supports fundamental stem education research initiatives.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using,"CAREER: Improving Interracial Contact in STEM: Examining the Effect of Repeated Interracial Contact in VR On Racial Anxiety and Attitudes, Social Networks, and Performance",NSF,POLITICAL,"The term 'marginalized' refers to groups historically excluded from STEM fields, highlighting a social and political issue of inequality and lack of representation.
"
9,marginalize," mathematical storylines within community dialogues. 3) develop a collaborative plan of action leading to the development of a research project responsive to the drk-12 solicitation. the project's findings will add to our understanding of how to (re)create educational spaces that serve, rather than marginalize, communities. developing a partnership means a deep commitment to the community; consequently, feedback and continued dialogue must be a key component to evaluating the project's success. as such, newsletters, video-updates, member checking, community presentations, and other forms of sharing in th",Co-Constructing a Research Program Through Community Dialogues about Mathematical Storylines,NSF,POLITICAL,"The term ""marginalize"" is used in the context of serving communities within educational spaces, which directly relates to social equity and power dynamics, indicating a political usage.
"
10,marginalize," culture of engineering programs, the investigators will use their research findings to develop evidence-based materials that target the ongoing problem of racial and gender-based microaggressions (i.e., intended or unintended insults and disparaging comments that demean african americans and other marginalized populations). this project is supported by the ehr core research (ecr) program, which supports work that advances fundamental research on stem learning and learning environments, broadening participation in stem, and stem workforce development. while this project is primarily funded by the ecr pro",An Examination of How the Lived Experiences of African American Undergraduates Affect their Persistence in their Engineering Programs,NSF,POLITICAL,"The term 'marginalized populations' refers to groups facing social and political disadvantages based on their identity.
"
