id,term,context,title,agency,classification,explanation
1,marginalized,"are propagated by the synergistic co- occurrence of disease (e.g., health issues, substance use behaviors, sociocultural factors), some of which are unique to osmm. second, the minority stress model3,4 extends syndemic theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""marginalized"" is used in reference to the ""minority stress model"" which describes how societal oppression and discrimination experienced by sexual minority men lead to psychological distress and poor health outcomes. This aligns with a socio-political understanding of marginalization as a process driven by power structures.
"
2,marginalized,"as factors shaping hiv risk; and uses a community-based approach centered on community involvement (e.g., civic participation, volunteering) as a means to foster sexual health and community building. the study will help identify effective interventions to prevent hiv among latinx immigrant gbmsm, a marginalized population for which hiv preventive interventions are severely lacking. this study capitalizes on an existing intervention designed for spanish speaking populations; is the first of its kind to rigorously test the intervention’s effectiveness among latinx immigrant gbmsm using a community control d",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,POLITICAL,"The term ""marginalized"" refers to the social and political standing of Latinx immigrant GBMSM (gay, bisexual, and other men who have sex with men) due to factors like immigration status, sexual orientation, and ethnicity, which leads to them being underserved and at higher risk for HIV. The term highlights the systemic disadvantages faced by this group.
"
3,marginalized,"2) assess relationships between social position and ncd syndemic incidence and prevalence; and 3) assess relationships between social position and hiv and ncd syndemic continua of care outcomes, mediated by intersectional stigma and the psychosocial syndemic. our scientific premise is that multiply marginalized populations experience disparities in ncd syndemic incidence, prevalence, and control, which are mediated by intersectional stigma and the psychosocial syndemic. the proposed work will extend intersectional stigma and psychosocial syndemics research on the hiv continuum of care to the ncd syndemic ",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,POLITICAL,"The term 'marginalized' refers to populations facing social and political disadvantages leading to disparities in health outcomes. The context discusses social position and intersectional stigma, clearly pointing towards a sociopolitical dimension.
"
4,marginalized,"iverse sexual minority youth project summary alcohol is the most commonly used and abused drug among youth in the us; prevalence of alcohol use is disproportionately higher among sexual minority youth (smy) than among their heterosexual peers, especially among those at the intersections of multiple marginalized identities. alcohol use and abuse are associated with a multiplicity of short and long-term negative health outcomes, including hiv vulnerabilities, alcohol and other substance use dependence, neurocognitive deficiencies, and psychological distress. despite the fact that alcohol use and abuse durin",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,POLITICAL,"The term 'marginalized' refers to the social and political disadvantages faced by individuals at the intersection of multiple identities (e.g., sexual minority, racial/ethnic minority, low socioeconomic status), indicating a discussion of social power dynamics and systemic inequalities rather than a purely technical or scientific concept.
"
5,marginalized,"victimization tied to sgm status are strongly associated with disparities. the ability to accurately identify such disparities and potential causal pathways is vital to ensure that public health and health care research, policy, and practice are appropriately equipped to address the health needs of marginalized populations such as sgm individuals. this is particularly true in the case of alcohol, which remains one of the most commonly used and abused drugs nationwide, particularly among both adolescent and adult sgm. however, measurement of demographic characteristics associated with sgm identity and stig","Project Recognize: Improving Measurement of Alcohol Use and Other Disparities by Sex, Sexual Orientation, and Gender Identity through Community Engagement",NIH,POLITICAL,"The term ""marginalized populations"" is used in the context of addressing health disparities among specific groups (SGM individuals), which aligns with a social, political, and identity-based understanding of marginalization.
"
6,marginalized,"munity partnership, comparison intervention, consistent condom use, coping, design, effectiveness testing, effectiveness/implementation trial, evidence base, experience, flexibility, follow-up, gender affirmation, gender minority group, health inequalities, high risk, improved, internalized stigma, marginalized population, meetings, mindfulness, model design, peer, physical assault, pilot test, pilot trial, post intervention, programs, psychologic, psychological distress, recruit, scale up, sex, sexual assault, sexual minority group, skills, social health determinants, social stigma, substance misuse, sub",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"""Marginalized population"" refers to a group facing social and political disadvantages due to their identity.
"
7,marginalized,"munity partnership, comparison intervention, consistent condom use, coping, design, effectiveness testing, effectiveness/implementation trial, evidence base, experience, flexibility, follow-up, gender affirmation, gender minority group, health inequalities, high risk, improved, internalized stigma, marginalized population, meetings, mindfulness, model design, peer, physical assault, pilot test, pilot trial, post intervention, programs, psychologic, psychological distress, recruit, scale up, sex, sexual assault, sexual minority group, skills, social health determinants, social stigma, substance misuse, sub",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women,NIH,POLITICAL,"The term ""marginalized population"" is used in the context of gender affirmation, health inequalities, social health determinants, and minority groups, all of which are associated with social justice and political considerations.
"
8,marginalized,"vidual postdoctoral fellowship, not-md- 19-001 (notice of special interest in research on the health of sexual and gender minority (sgm) populations): the coronavirus disease 2019 (covid-19) pandemic has had a profound negative impact on population mental health in the united states, especially for marginalized populations such as sexual minorities (sms). emerging research suggests that this disparity is driven by minority stress processes (e.g., stigma) and structural vulnerabilities (e.g., institutional oppression) that systematically expose sms to more pandemic-related stressors and exacerbate their ef","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,POLITICAL,"The term ""marginalized"" is used to describe sexual minorities in relation to social structures (stigma, institutional oppression) and disparities, which aligns with a political understanding of power and inequality.
"
9,marginalized,"ber. when a person is covered by a parent’s or spouse’s insurance, eobs are often sent to the primary subscriber, thereby breaching the person’s confidential health information. concerns about confidentiality related to insurance billing can also compound existing barriers to care faced by multiply marginalized persons. thus, leading health care organizations have called for policy change to correct this gap in patient confidentiality, and state governments are increasingly interested in policy solutions to protect individuals’ privacy when using insurance for sensitive services. massachusetts is one of o",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term ""multiply marginalized persons"" refers to individuals facing multiple intersecting forms of discrimination and disadvantage, a concept rooted in social and political contexts rather than purely scientific or technical ones.
"
10,marginalized,", survivors, symptoms, testing, theoretical model, time, trauma, vulnerable populations, woman, work, aged, assault, cisgender, critical period, demographics, ethnic identity, experience, gender diverse, health disparity, help-seeking behavior, high risk, homonegativity, improved, innovation, lens, marginalized population, mental development, minority health disparity, minority stress, multilevel analysis, novel, prevent, prospective, prospective test, racial identity, racial minority, racism, recruit, sexual assault, sexual minority, sexual minority women, social determinants, social stigma, substance us","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""marginalized population"" is used in the context of discussing social determinants of health, health disparities, and minority stress, which are all related to social and political factors that contribute to the vulnerability and disadvantage of certain groups.
"
