id,term,context,title,agency,classification,explanation
1,men who have sex with men,"baret) project summary despite high efficacy, oral preexposure prophylaxis (prep) has had limited population impact on hiv incidence in the us, in part because of challenges with pill-taking. bimonthly injections of cabotegravir were recently found to have superior efficacy to daily oral prep among men who have sex with men (msm), transgender women, and cisgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented a",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"The term 'men who have sex with men' (msm) is used in the context of a scientific study evaluating the efficacy of a preventative HIV medication (cabotegravir PrEP). The grant text focuses on the effectiveness of the medication in specific at-risk populations, a standard approach in scientific and medical research.
"
2,men who have sex with men,strategies to prevent hiv acquisition among transgender msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered peer-based strategies to improve prep uptake in prep-indicated hiv-negative,Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'men who have sex with men' (MSM) is used within a grant proposal focused on HIV prevention strategies among transgender men. This indicates a technical, scientific context related to public health research.
"
3,men who have sex with men,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access ",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The term 'men who have sex with men' (MSM) is used in a public health/medical research context to define a specific population at risk for HIV infection for the purpose of a clinical trial. The context is explicitly related to identifying and implementing interventions to address a health disparity.
"
4,men who have sex with men,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access ",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The term 'men who have sex with men' is used within the context of a clinical trial and public health need related to HIV infection rates. This is a technical, scientific context.
"
5,men who have sex with men,"ort, comorbidity, cost, design, digital, digital health, efficacy evaluation, efficacy testing, epidemiological model, ethnic minority, experience, gender diverse, gender minority, gender minority youth, health inequalities, high risk, improved, infection rate, infection risk, innovation, interest, men who have sex with men, mobile application, nonbinary, novel, pre-exposure prophylaxis, preventive intervention, psychologic, racial minority, randomized  clinical trials, recruit, response, retention rate, self testing, sexual minority, sexual minority community, sexual minority youth, sexually active, social stigma, to",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,SCIENTIFIC,"The term appears within a list of keywords associated with a scientific grant proposal focused on HIV risk, digital health interventions, and vulnerable youth populations. This indicates a technical and scientific context related to public health research.
"
6,men who have sex with men,"n, efficacy evaluation, efficacy outcomes, efficacy testing, evidence base, health care delivery, health disparity, health management, high risk, implementation outcomes, implementation science, improved, innovation, insight, integrated care, interest, low and middle-income countries, mhealth, men, men who have sex with men, mhealth interventions, mobile application, mortality, overtreatment, pre-exposure prophylaxis, preference, prevention practice, prevention service, preventive intervention, prospective test, prototype, provider communication, psychiatric comorbidity, research and development, response, scale up, s",Development and Testing of a Mobile Application to Enhance HIV Prevention Cascade in Malaysian MSM,NIH,SCIENTIFIC,"The term 'men who have sex with men' (MSM) is used in a scientific context related to HIV prevention research. The surrounding terms like ""efficacy evaluation,"" ""health disparity,"" ""mhealth interventions,"" and ""pre-exposure prophylaxis"" all point to a scientific and public health focus.
"
7,men who have sex with men,"es, work, behavior change, burden of illness, community advisory board, effectiveness evaluation, experience, gender minority group, health equity, implementation barriers, implementation framework, implementation research, implementation science, implementation strategy, innovation, interest, men, men who have sex with men, novel, oral hiv, patient population, people of color, pre-exposure prophylaxis, pressure, prevent, provider-level barriers, research study, response, service delivery, sex, social, stem, syndemic, tool, transgender women, transgender women who have sex with men, transmission process, uptake",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,SCIENTIFIC,"The grant focuses on health equity, disease prevention (syphilis), and implementation strategies within specific populations. The term 'men who have sex with men' is used to identify a specific population group relevant to the study of disease transmission and prevention strategies, aligning with a scientific context.
"
8,men who have sex with men,"nexus: a novel social network approach to study the effects of intersectional stigma on hiv prevention among latino msm 220.7 project summary/abstract stigma is a pervasive barrier to hiv testing and prep use among us latino men who have sex with men (lmsm). routine hiv testing and large scale prep coverage are essential hiv prevention strategies for ending the hiv epidemic. lmsm further contend with intersectional stigma, meaning they experience or fear unjust treatment from others due to their ethnic, sexual, and masculine identities (i.e. ad",NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,SCIENTIFIC,"The term 'men who have sex with men' (MSM) is used as a specific demographic category within a scientific study on HIV prevention. It is a technical term used in epidemiological and public health research.
"
9,men who have sex with men,"arning for predicting retention in prep care and effective prep use among key populations at risk for hiv in thailand project summary/abstract hiv remains a major cause of morbidity and mortality despite great progress in hiv prevention and treatment, especially for key populations (kps), including men who have sex with men (msm) and transgender women (tgw). pre-exposure prophylaxis (prep) has been shown effective in reducing hiv acquisition among different populations when implemented as part of a combination prevention strategy. however, effectiveness of prep decreases with suboptimal retention and adherence. while ",Applying Deep Learning for Predicting Retention in PrEP Care and Effective PrEP Use among Key Populations at Risk for HIV in Thailand,NIH,SCIENTIFIC,"The term 'men who have sex with men' (MSM) is used as a specific key population (KP) at risk for HIV acquisition within a scientific study focused on PrEP efficacy and retention.
"
10,men who have sex with men,"th and hiv outcomes and may be barriers to optimal hiv service engagement among african msm. the goal of this k01 application is to apply intersectionality and minority stress theory to examine the impact of intersectional social stressors on mental health and hiv treatment and care of hiv-positive men who have sex with men in ghana and to adapt and theater test a community- engaged intersectional stigma intervention to improve mental health and hiv treatment outcomes. to achieve this goal, the training aims of this proposal are: 1) to develop content expertise in intersectional social stressors and minority stress th","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,SCIENTIFIC,"The term is used within the context of a scientific grant proposal focusing on mental health and HIV treatment outcomes among a specific population for research purposes.
"
