id,term,context,title,agency,classification,explanation
1,mental health,"dentify and combat misinformation. the findings from this study will directly inform broader public health action and future strategies so that they can be deployed in the current pandemic and in ongoing efforts to address racial disparities in chronic diseases, hiv, cancer, maternal mortality, and mental health. address, american, attitude, behavior, black american, black populations, black race, covid-19, covid-19 impact, covid-19 misinformation, covid-19 pandemic, covid-19 vaccination, characteristics, chronic disease, communities, computer analysis, confusion, consent, consumption, county, data, data s",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,SCIENTIFIC,"The term 'mental health' is listed alongside other health concerns like chronic diseases, HIV, cancer, and maternal mortality, suggesting it's being used within a scientific and public health context related to addressing health disparities.
"
2,mental health,"stem, healthcare, hispanic, hospitalization, hospitals, individual, inequity, infrastructure, institution, intervention, justice, knowledge, lead, leadership, link, maternal health, maternal health services, maternal mortality, maternal health equity, medicaid eligibility, medical center, medicine, mental health, methods, modeling, new york, new york city, outcome, pathway interactions, patient education, patient-centered care, patients, perinatal, persons, policies, postpartum period, prevalence, process, provider, race, research, research personnel, resources, rural, science, service delivery model, serv",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,SCIENTIFIC,"The term 'mental health' appears alongside other medical and healthcare-related terms (e.g., maternal health, maternal mortality, hospitals, patient-centered care, etc.) within the keywords/context section of a research grant. This suggests a scientific or medical application related to research and healthcare delivery.
"
3,mental health,"alacrity for early screening and treatment of high risk youth (estory) project summary/abstract- cambridge health alliance alacrity for early screening and treatment of high risk youth (estory) barriers to quality mental health care for youth at risk of mental illness are well recognized but persistent, especially among racial, ethnic, and language (rel)-minority youth. the proposed center for early screening and treatment of at-risk youth (the estory center) is dedicated to research and training to improve early detectio",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,SCIENTIFIC,"The text discusses barriers to ""mental health care"" and aims to improve early detection and treatment of mental illness in youth, indicating a scientific focus on the diagnosis, treatment, and management of mental health conditions.
"
4,mental health,"lth disparities are compounded for tgd young adults who are black or hispanic and experience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a transformative, multi-level intervention to advance equity and reduce health disparities for tgd young adults through individual, interpersonal, systemic, and community-based changes that increase knowle",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,SCIENTIFIC,"The text discusses health disparities, suicide rates, and interventions to improve mental health in a specific population (tgd young adults). This aligns with a scientific investigation of mental health within a health research context.
"
5,mental health,"y barriers complicate the implementation of suicide prevention in sgm communities. sgm youth often report feeling unwelcome and misunderstood in traditional behavioral health service organizations. consequently, treatment attendance and retention remain low. instead, this population generally seeks mental health services in community organizations for lesbian, gay, bisexual, transgender, and queer (lgbtq) youth. unfortunately, these organizations are often unprepared for this clinical challenge. the behavioral health-works (bh-works) suicide risk management system may offer a potential solution to this pro",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,SCIENTIFIC,"The term ""mental health services"" is used in the context of treatment and service delivery within behavioral health organizations, indicating a technical and scientific usage related to healthcare practices.
"
6,mental health,"ions, congresses, cybersex, data, data sources, development, discrimination, ethnic origin, exclusion, face, gays, gender, gender identity, hiv, heterosexuals, intervention trial, interview, lesbian gay bisexual transgender, literature, malignant neoplasms, malignant neoplasm of prostate, measures, mental health, methodology, methods, outcome, patient recruitments, patients, performance, persons, population, primary prevention, professional organizations, protocols documentation, race, rehabilitation therapy, reporting, research, research personnel, sampling, sex orientation, sexual and gender minorities, ",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The term ""mental health"" appears in a list of keywords related to research methodology, patient recruitment, and characteristics of the studied population (sexual and gender minorities). This suggests its relevance in the context of potential psychological well-being considerations within cancer studies involving this specific population.
"
7,mental health,"digital libraries, diphosphates, dryness, ensure, epidemic, female, future, gender, gender identity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, individual, internet, intervention, interview, knowledge, latinx, life, measures, mediating, mediation, mental health, methods, modeling, motivation, persons, pilot projects, population, populations at risk, prevention, prevention strategy, public health, randomized, regimen, research, risk, sampling, science, self administration, services, sex behavior, sexual health, spottings, strategic planning, surveys, syphi",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'mental health' appears within a list of keywords associated with a scientific grant proposal focused on HIV prevention among transgender MSM. This suggests its relevance to the study's methodology, population characteristics, or potential intervention strategies, falling within a scientific context.
"
8,mental health,"ve severity and impact of contextually relevant age-related syndemic factors (age-related discrimination, internalized ageism, aging anxiety, sexual minority specific aging concerns, social isolation, economic marginalization, and perceived cognitive impairment) and traditional syndemic conditions (mental health via depression, ptsd, childhood sexual abuse; intimate partner violence; substance use) among osmm.9,10 background. with high prevalence and rising incidence rates, osmm are uniquely burdened by hiv.1 this is particularly true for florida (proposed study site), a state with one of the highest hiv i",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,SCIENTIFIC,"The term ""mental health"" is used in the context of syndemic conditions alongside depression, PTSD, and other mental health issues, indicating a technical and scientific usage within the study.
"
9,mental health,"e, disparity, evidence based treatment, feeling suicidal, funding, future, gender identity, health, health insurance, health personnel, healthcare, heterogeneity, incentives, insurance coverage, intervention, interview, low income, medicaid, mental depression, minority groups, national institute of mental health, organizational models, outcome, parents, participant, patients, population, prevalence, privatization, psychiatry, quality of care, reporting, research, risk, role, sample size, sampling, self-injurious behavior, services, sex orientation, sexual and gender minorities, suicide, surveys, telephone,",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,SCIENTIFIC,"The context includes terms like ""evidence based treatment,"" ""outcome,"" ""quality of care,"" ""prevalence,"" ""research,"" ""intervention,"" ""National Institute of Mental Health,"" and specific behavioral health issues like ""feeling suicidal"" and ""self-injurious behavior,"" all pointing to a scientific investigation of mental health.
"
10,mental health,"(lmic) institutions in sub-saharan africa, south asia, and the latin america and the caribbean. a strategic planning process; including a comprehensive review of our consortium's role in combatting the global hiv epidemic, emerging and reemerging infectious diseases, non- communicable diseases, and mental health; was conducted to inform this proposal. a vision statement encompassing five themes – global impact, multidisciplinary science, integrated training with equal partnership, diverse generation of global health researchers, and highly committed environment– shapes our work. key innovations strengtheni",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,SCIENTIFIC,"The term 'mental health' is listed alongside other health-related areas like HIV, infectious diseases, and non-communicable diseases, suggesting a technical and scientific context within global health research.
"
