id,term,context,title,agency,classification,explanation
1,minorities,"ly to experience sexual assault and to encounter barriers to care. yet, despite the mounting evidence of these gynecological disparities, little is known about the extent to which obstetrical and perinatal health differ across sexual orientation groups. this gap is especially troubling since sexual minorities have more risk factors (e.g., depression, substance use, obesity) for adverse obstetrical and perinatal out- comes compared to heterosexuals. few data are available to adequately quantify sexual orientation-related obstetrical and perinatal health disparities, but preliminary results from small, cr",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term ""sexual minorities"" is used in the context of discussing disparities and inequalities in health outcomes, specifically related to sexual orientation. This implicates social and political dimensions related to identity, access to care, and systemic disadvantages.
"
2,minorities,"erience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a transformative, multi-level intervention to advance equity and reduce health disparities for tgd young adults through individual, interpersonal, systemic, and community-based changes that increase knowledge and support among providers, young adults, and caregivers, thereby reducing su",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term ""minorities"" is used in the context of race-based stigma and health disparities, which aligns with social and political considerations of equity and access to care for specific population groups.
"
3,minorities,"ia, policy developments, population, prevention program, process, program acceptability, program effectiveness, provider, psychiatry, readiness, reporting, research, resources, risk assessment, risk management, rural, safety, sampling, screening procedure, self efficacy, services, sexual and gender minorities, site, standardization, structure, suicide, suicide attempt, suicide prevention, system, technology, testing, time, training, trust, united states, united states substance abuse and mental health services administration, virginia, vulnerable populations, work, youth, behavioral health, cisgender, c",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'sexual and gender minorities' refers to social groups and their identities, making it a political context.
"
4,minorities,"nd gender minority couples: does alcohol use explain the link between minority stress and intimate partner discord and violence project summary/abstract alcohol use and destructive couple conflict, including intimate partner violence (ipv), represent dual public health threats for sexual and gender minorities (sgm), who experience higher rates of these problems than their cisgender, heterosexual counterparts. although a broader literature links alcohol use to increased rates of destructive couple conflict, very little work has examined these associations in sgm couples. here, we draw on alcohol myopia t",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,SCIENTIFIC,"The term 'minorities' is used in the context of a research study examining the experiences of ""sexual and gender minorities (sgm)"" and comparing their experiences with ""cisgender, heterosexual counterparts."" This comparison, the identification of specific groups, and the discussion of public health threats all point to a technical and scientific usage of the term.
"
5,minorities,"thods, minnesota, minority, modeling, nursing homes, outcome, participant, persons, policies, policy analysis, population, prevalence, quality of life, randomized  controlled trials, regulation, religion, research, risk, rural, safety, service provision, services, sex orientation, sexual and gender minorities, social work, statutes and laws, testing, training, training programs, training support, united states national institutes of health, violence, waiting lists, arm, cisgender, comparative effectiveness study, dementia care, design, efficacy evaluation, evidence base, follow-up, gender minority healt",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term 'minorities' is used in conjunction with ""sexual and gender minorities,"" which is a social and identity-based context.
"
6,minorities,"testing effective methods to recruit sexual and gender minority cancer patients for cancer studies abstract recently, nci called for research to effectively study small or rare populations relevant to cancer research. sexual and gender minorities (sgm) are small populations at disproportionate risk for cancer but who have been under-researched in cancer studies. the principal challenge common across lesbian, gay, bisexual, and transgender populations is to develop effective methods to identify and recruit patients and survivors who are sgm ",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,SCIENTIFIC,"The term 'minorities' (specifically ""sexual and gender minorities"") is used in the context of cancer research and studying small populations at disproportionate risk for cancer, which falls under a scientific investigation. The grant is aimed at improving research methodologies related to this group.
"
7,minorities,low dose computed tomography (ldct) eligibility and outcome differences between sexual and gender minorities and their sexual and gender majority counterparts project summary cigarette smoking accounts for 1 in 5 preventable deaths in the united states. sexual and gender minorities (sgm) are at higher risk of cigarette smoking and tobacco-related deaths. preliminary evidence indicates that sexual minoriti,Low Dose Computed Tomography (LDCT) Eligibility and Outcome differences between Sexual and Gender Minorities and their Sexual and Gender Majority Counterparts,NIH,POLITICAL,"The term 'minorities' refers to ""sexual and gender minorities (sgm),"" indicating a social identity group and thus a political context. The grant investigates health disparities between these groups and their counterparts, further solidifying the social and political relevance.
"
8,minorities,"der-researched and multiple marginalized group. findings gleaned will aid in the future development of hiv and behavioral health related tailored to osmm and, as a dissertation, lay the groundwork for the pi’s programmatic research focused on hiv and behavioral health disparities among older sexual minorities. this proposal is relevant to the nida priorities (not-md-19-001). aids prevention, address, adherence, affect, age, ageism, aging, anxiety, behavior, behavior therapy, bisexual, buffers, child sexual abuse, complex, data, development, discrimination, disease, disparity, economics, enrollment, epid",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""sexual minorities"" is used to refer to a group that faces discrimination and health disparities, indicating a social, political, and identity context.
"
9,minorities,"ups, national institute of mental health, organizational models, outcome, parents, participant, patients, population, prevalence, privatization, psychiatry, quality of care, reporting, research, risk, role, sample size, sampling, self-injurious behavior, services, sex orientation, sexual and gender minorities, suicide, surveys, telephone, thinking, vulnerable populations, youth, access disparities, accountable care organization, adverse childhood events, behavior influence, behavioral health, beneficiary, care coordination, community based service, ethnic minority population, experience, gender minority",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,POLITICAL,"The term ""sexual and gender minorities"" and ""ethnic minority population"" are used, which are inherently political and social identity categories.
"
10,minorities,"s. this will include broad outreach to departments, centers, and schools at partner universities; and engaging student groups and associations of underrepresented populations in global health. outcomes: 50% of lmic scholars will be women and at least 30% of us scholars will be from underrepresented minorities. aim 4 – support the transition of scholars into successful and sustainable research careers. we will link scholar selection to lmic priorities and research programs. outcomes: sustained collaboration between scholars and insight consortium researchers for at least five years. africa south of the s",Integrated Networks of Scholars in Global Health Research Training (INSIGHT),NIH,POLITICAL,"The term 'minorities' is used in the context of underrepresented populations, specifically in relation to achieving diversity targets within a research program. This aligns with a social and political understanding of the term related to equity and representation.
"
