id,term,context,title,agency,classification,explanation
1,minorities," characteristics, institutional structure, and policy outcomes for 88 municipalities and 22 school districts from 1970 to the present. the project team will conduct representative surveys of voters, elected officials, and past candidates. data will be analyzed to identify the conditions under which minorities run for local office and are successful as well as the conditions under which descriptive representation leads to substantive representation. as time-honored tools for protecting minority voting rights and representation are being invalidated by courts, these data will provide crucial evidence rega","Collaborative Research: Electoral Systems, Suburbanization, and Representation",NSF,POLITICAL,"The text refers to ""minority voting rights and representation,"" which are inherently political concepts related to social groups and their participation in the political process.
"
2,minorities,"lity, outcome, patient-centered care, patients, persons, play, policies, policy maker, prevalence, process, provider, psychological factors, public health, recovery, research, research personnel, research priority, research project grants, research training, role, sex orientation, sexual and gender minorities, shapes, stigmatization, stress, substance use disorder, training, treatment outcome, underserved population, woman, work, adverse outcome, barrier to care, community partners, culturally appropriate intervention, design, evidence base, experience, experimental study, gender minority community, gen",PRIDE-CARES Center: Patient-Responsive Initiatives for Diverse Engagement - LGBTQ+ Community Action in Research to Eliminate Substance Use Disorder,NIH,POLITICAL,"The term 'minorities' appears in conjunction with ""sexual and gender minorities,"" indicating a social, political, and identity-based context related to LGBTQ+ individuals.
"
3,minorities,loring parents’ perceptions of the factors that shape their parenting practices and racial socialization competencies. the findings will provide a more comprehensive understanding of how black families navigate racially oppressive social contexts and shed light on family processes for racial/ethnic minorities in the u.s. more broadly.    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.,Collaborative Research: Socialization Competencies and Youth Outcomes in Response to Racial Violence,NSF,POLITICAL,"The term 'racial/ethnic minorities' is used in the context of discussing racial oppression, family processes, and social contexts, indicating a focus on social and political identity.
"
4,minorities,"orative research: beginnings: experiential-learning-based undergraduate semiconductor workforce exploration this project will contribute to development of a diverse, globally and locally (central area of the gulf coast) competitive semiconductor workforce, including women and other underrepresented minorities. in particular, the project will (1) increase strong partnerships and collaborations (both domestic and international) between academia, industry, and others; (2) improve and impact education and training of the advanced semiconductor workforce of the future; (3) align and incorporate industrial, p",Collaborative Research: Beginnings: Experiential-learning-based Undergraduate Semiconductor Workforce Exploration,NSF,POLITICAL,"The term 'minorities' is used in the context of workforce diversity and addressing underrepresentation, which aligns with social and political goals of equity and inclusion.
"
5,minorities,"work will advance new knowledge of systems of domination and resistance in higher education within the context of hsis. it will explore how to disrupt social reproduction of educational inequity. broader impacts of the project will include improving the participation and success of underrepresented minorities in stem, increasing authentic collaboration and partnerships among academia, and enhancing the infrastructure and capacity for stem education research and its application to stem education policy in higher education.     specific aims of the project are to address institution and system-wide struct",HSI Institutional Transformation Project: Unified Community of Support - Building Capacity for STEM Transfer Students’ Success (UCS-STSS),NSF,POLITICAL,"The term ""underrepresented minorities"" is used in the context of addressing educational inequity and improving participation and success in STEM, which are inherently social and political goals related to representation and equity.
"
6,minorities,"entions to prevent and treat mental illness in this vulnerable group. this proposal is responsive to not-md-19-001(notice of special interest in research on the health of sgm populations), which encourages research describing biological and social processes affecting the health of sexual and gender minorities (sgm) that will lead to the development of interventions to enhance sgm health. address, adolescence, affect, age, anxiety, anxiety disorders, attention, behavioral, biological, biological markers, biological process, black race, buffers, c-reactive protein, childhood, communities, coping skills, d","Young Sexual Minority Women's Mental Health: Developmental Trajectories, Mechanisms of Risk, and Protective Factors.",NIH,POLITICAL,"The term ""minorities"" refers to ""sexual and gender minorities (sgm),"" which is a politically and socially defined group based on identity. The context of health disparities further supports the political nature of the term's usage.
"
7,minorities," boulder"" aims to provide a diverse group of undergraduate students an authentic, engaging learning, and research training experience and professional growth opportunities in the broad areas of atmospheric, oceanic, and cryospheric science. the program will target recruiting women, underrepresented minorities, and first-generation college students building on existing relationships with minority-serving institutions. the reu program supports intellectual merit in that a diverse group of undergraduate students will be prepared to embark on their careers as future leading researchers, scientists, and amba","REU Site: Atmospheric, Oceanic, and Cryospheric Sciences at the University of Colorado Boulder",NSF,POLITICAL,"The term ""minorities"" is used in the context of recruiting underrepresented groups to promote diversity in the scientific field, indicating a social and political consideration of representation.
"
8,minorities,"nent of the conference is its mentoring program, designed to support graduate students and junior faculty by providing them with high-quality feedback and fostering long-term professional relationships. this initiative aims to diversify the research community by prioritizing the inclusion of women, minorities, and researchers facing financial barriers. mentoring activities include structured interactions between senior and junior researchers, dedicated mentoring lunch meetings, and a breakfast session focused on demystifying the publication process. these mentoring activities provide young scholars with",Conference: Ninth Biennial Conference on Social Dilemmas,NSF,POLITICAL,"The term 'minorities' is used in the context of diversifying the research community, indicating a focus on social and identity-based representation.
"
9,minorities,"ystem this project supports the advancing geochronology science, spaces, and systems (ages-cubed or ages3) initiative to: (1) increase access to geochronology data and geochronology expertise to further our understanding of unified earth systems, (2) implement a platform attracting underrepresented minorities to the geosciences, and (3) test grassroots ideas at a frontier of inclusive and collaborative science. geochronology data provide the temporal information required for synergistic science spanning the deep earth to surface processes. yet national academy reports have repeatedly highlighted challen",Collaborative Research: Human Infrastructure for a National Geochronology Consortium: Micro-funding an inclusive community grassroot effort to better understand the earth system,NSF,POLITICAL,"The term ""underrepresented minorities"" is used in the context of attracting a more diverse group to the geosciences, which relates to social and political goals of inclusivity and representation.
"
10,minorities,"u-rise at queens college, cuny u-rise at queens college, cuny, project summary despite advances in recent years, demographical data shows that underrepresented minorities continue to lag behind their caucasian contemporaries in various stem disciplines, both in terms of graduate degree completion and in terms of academic publications. although the need for diversity in stem is heralded, the means by which to accomplish this objective remains unclear, with initiative","U-RISE at Queens College, CUNY",NIH,POLITICAL,"The term ""underrepresented minorities"" is used in the context of diversity in STEM fields and addressing disparities in graduate degree completion and academic publications compared to ""Caucasian contemporaries."" This framing aligns with social and political discussions of equity and representation.
"
