id,term,context,title,agency,classification,explanation
1,minority,"ealth disparities research, health behavior, healthcare, heterogeneity, human, individual, inequity, institution, interview, knowledge, language, linguistics, location, longitudinal cohort, machine learning, malignant neoplasms, masks, maternal mortality, measures, medicine, mental health, methods, minority groups, misinformation, national institute on minority health and health disparities, natural language processing, noise, outcome, patients, perception, persuasive communication, politics, predictive analytics, process, public health, published comment, qualitative methods, race, risk, rural, rural",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term ""minority groups"" and the mention of ""national institute on minority health and health disparities"" clearly indicate a usage related to social and political identity in the context of health disparities.
"
2,minority,"sexual orientation-related disparities in obstetrical and perinatal health project summary/abstract  compared to heterosexual women, sexual minority women (i.e., those with same-sex attractions, same-sex behavior, and/or a lesbian/gay/bisexual identity) are vulnerable to poor gynecological health; for ex- ample, they are more likely to experience sexual assault and to encounter barriers to care. yet, despite the mounting evidence of these gynec",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term 'minority' is used in the context of sexual orientation and related health disparities, which has clear social, political, and identity implications, making it a political usage.
"
3,minority,"outh (estory) project summary/abstract- cambridge health alliance alacrity for early screening and treatment of high risk youth (estory) barriers to quality mental health care for youth at risk of mental illness are well recognized but persistent, especially among racial, ethnic, and language (rel)-minority youth. the proposed center for early screening and treatment of at-risk youth (the estory center) is dedicated to research and training to improve early detection of mental illness, to prevent adverse outcomes, to improve quality of care, and to foster equity in treatment for rel-minority youth. th",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The term ""minority"" is used in the context of racial, ethnic, and language groups, highlighting disparities in mental health care access, which aligns with social and political considerations of equity and identity.
"
4,minority,"nda is to improve healthcare quality and ultimately the health of older tgd people. the overall objective of this study is to create a comprehensive understanding of the comorbidities and healthcare use of older tgd adults. consistent with not-md-19-001: “research on the health of sexual and gender minority (sgm) population,” we propose to do use novel algorithms to identify a sample of 30,000+ older tgd people in medicare data and follow their outcomes across 10 years of outpatient, acute- and post-acute claims and assessment data. we will also link medicare data to state-level data and use qualitati",Examining Health Comorbidities and Healthcare Utilization Disparities among Older Transgender and Cisgender Adults in the U.S.,NIH,POLITICAL,"The term ""sexual and gender minority (sgm)"" is used in reference to a specific population group and aligns with social and identity contexts that are often discussed in political discourse.
"
5,minority,"ities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide in their lifetime. these and other health disparities are compounded for tgd young adults who are black or hispanic and experience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a transformative, multi-level i",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'minority' refers to racial minorities and their experience with race-based stigma, which is a sociopolitical issue. The grant text explicitly links racial minority status with health disparities and increased risk of suicide, highlighting the social and political dimensions of race and gender.
"
6,minority,"the bh-works suicide prevention program for sexual and gender minority youth project abstract suicide is the second leading cause of death for 15-to-24-year-olds in the united states. compared to their heterosexual and cisgender peers, sexual and gender minority (sgm) adolescents report significantly higher rates of suicidal ideation and suicide attempts. unfortunatel",The BH-Works Suicide Prevention Program for Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'minority' refers to a social group (sexual and gender minority youth) that experiences disparities and is often discussed in the context of social justice and political advocacy. While the grant addresses a scientific topic (suicide prevention), the framing of the target population as a ""minority"" points to a political dimension related to identity and inequality.
"
7,minority,"a randomized controlled trial of a game-based intervention to reduce alcohol use among sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality across the life-course. d",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The term 'minority' in ""sexual and gender minority youth"" refers to a social and identity group, highlighting disparities and inequities they face. This aligns with a political context focused on social justice and equity.
"
8,minority,"ce of special interest (nosi) identified as “not-ca- 24-032.” couples where both members smoke (i.e. dual-smoker couples; dscs) are highly prevalent and particularly unlikely to achieve abstinence. within dscs, little attention has been paid to understanding the unique needs of sexual and/or gender minority (sgm) couples (i.e., couples with at least one individual identifying as sgm). although sgm groups remain underrepresented in research, evidence strongly suggests they experience a disproportionate cancer burden, with tobacco being a leading cause of preventable disease and death among sgm groups.7","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term ""sexual and/or gender minority (sgm)"" refers to a social and identity group, indicating a political context related to social identity and underrepresentation in research.
"
9,minority,"experiences of rural sexual and gender minority couples: does alcohol use explain the link between minority stress and intimate partner discord and violence project summary/abstract alcohol use and destructive couple conflict, including intimate partner violence (ipv), represent dual public health threats for sexual and gender minorities (sgm), ",Experiences of Rural Sexual and Gender Minority Couples: Does Alcohol Use Explain the Link Between Minority Stress and Intimate Partner Discord and Violence,NIH,POLITICAL,"The term 'minority' is used in the context of ""sexual and gender minorities (sgm)"", which refers to a social and identity group facing discrimination and societal challenges. This leans towards a political usage, as it pertains to the social and political realities of this group.
"
10,minority,"training the long-term services and supports dementia care workforce in provision of care to sexual and gender minority residents summary in the us, sexual and gender minority (sgm) older adults are disproportionately at risk for alzheimer’s disease and related dementias (ad/adrd) and more likely to rely on long-term services and supports (ltss) than their cisgender, heterosexual peers. without training in culturall",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The term ""minority"" refers to sexual and gender minority groups, which is a social and identity-based classification. The grant aims to address health disparities related to these groups.
"
