id,term,context,title,agency,classification,explanation
1,minority,improving covid-19 vaccine uptake among racial and ethnic minority groupswith rheumatic diseases project summary black and latinx individuals are at higher risk for certain autoimmune rheumatic diseases (airds) and have experienced worse covid-19 outcomes compared to their white counterparts. the american college of rheumatology recommends beyond the initial covid,Improving COVID-19 Vaccine Uptake Among Racial and Ethnic Minority Groupswith Rheumatic Diseases,NIH,POLITICAL,"The term 'minority' refers to racial and ethnic groups, highlighting disparities in health outcomes, which falls within a sociopolitical context related to identity and inequality.
"
2,minority," in engineering and science (nsf includes), a comprehensive national initiative to enhance u.s. leadership in discoveries and innovations by focusing on diversity, inclusion and broadening participation in stem at scale.  - broadening participation in engineering (bpe).  - louis stokes alliance for minority participation (lsamp).    this award reflects nsf's statutory mission and has been deemed worthy of support through evaluation using the foundation's intellectual merit and broader impacts review criteria.",NSF INCLUDES Alliance: Engineering PLUS (Partnerships Launching Underrepresented Students),NSF,POLITICAL,"The term 'minority' is used in the context of broadening participation in STEM fields, which is a social and political goal related to equity and inclusion of underrepresented groups.
"
3,minority,"sexual orientation-related disparities in obstetrical and perinatal health project summary/abstract  compared to heterosexual women, sexual minority women (i.e., those with same-sex attractions, same-sex behavior, and/or a lesbian/gay/bisexual identity) are vulnerable to poor gynecological health; for ex- ample, they are more likely to experience sexual assault and to encounter barriers to care. yet, despite the mounting evidence of these gynec",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term 'minority' is used in the context of ""sexual minority women,"" referring to a social group defined by sexual orientation and its associated disparities in health outcomes, which is inherently a socio-political categorization.
"
4,minority,"y of minnesota formulated and implemented the minnesota iracda program. the minnesota iracda program is a collaboration between the university of minnesota and the nearby community colleges of normandale community college and north hennepin community college, which predominantly serve students from minority and low-income urban populations. the minnesota iracda program provides a diverse cohort of recent phd scholars with rigorous scientific research training, instruction, mentoring, experience in teaching, and career development guidance. the long-term goal of the minnesota iracda program is to devel",The Minnesota IRACDA Program,NIH,POLITICAL,"The term ""minority"" refers to underrepresented groups within a population, specifically students served by community colleges. This is a social and political context concerning demographics and access to education.
"
5,minority,"ce, focus groups, geographic locations, hiv, health, health insurance, healthcare systems, hybrids, individual, inequity, infection, infrastructure, institution, intervention, interview, knowledge, learning, life, measures, medical, medicine, methods, misinformation, modality, national institute on minority health and health disparities, outcome, participant, persons, phase, population, provider, randomized, randomized  controlled trials, recording of previous events, regulation, research, research methodology, running, sars-cov-2 transmission, safety, series, site, social distance, stigmatization, su",A multidimensional Digital Approach to Address Vaccine Hesitancy and Increase COVID-19 Vaccine Uptake among African American Young Adults in the South,NIH,POLITICAL,"The term 'minority' is used in the phrase ""national institute on minority health and health disparities,"" which refers to a social and political classification related to health inequities and disparities affecting specific population groups.
"
6,minority,"e of multidisciplinary activities, the division of equity for excellence in stem’s education core research (ecr), the division of equity for excellence in stem’s alliances for graduate education and the professoriate (agep), the division of equity for excellence in stem’s louis stokes alliances for minority participation program (lsamp), the division of undergraduate education’s improving undergraduate stem education (iuse), and the division of equity for excellence in stem’s eddie bernice johnson inclusion across the nation of communities of learners of underrepresented discoverers in engineering and",Collaborative Research: Barriers and Solutions for Physics Graduate Students and Faculty with Disabilities in Training and Workplace Settings,NSF,POLITICAL,"The term ""minority"" is used in the context of programs aimed at increasing participation and inclusion in STEM fields, specifically referencing the ""Louis Stokes Alliances for Minority Participation program,"" indicating a focus on underrepresented groups and thus a social/political context.
"
7,minority,"lsamp bd: florida international university fglsamp the louis stokes alliances for minority participation (lsamp) program assists universities and colleges in diversifying the stem workforce by developing highly competitive students from populations underrepresented in stem disciplines: african americans, hispanic americans, american indians, alaska natives, native hawaiians, and native p",LSAMP BD: Florida International University FGLSAMP,NSF,POLITICAL,"The term 'minority' is used to describe underrepresented groups in STEM, a context that inherently involves social equity and political considerations of representation.
"
8,minority,"linary research careers in women's health at uc davis project summary/abstract  for this administrative supplement to our k12 bircwh grant, uc davis is requesting support to allow our fourth scholar, dr. adrienne hoyt-austin whose background meets the nih criteria for being from an underrepresented minority group and disadvantaged background in interdisciplinary women’s health and sex differences research. this proposed scholar is within 6 years of a terminal degree and will engage in interdisciplinary women’s health and/or sex/gender disparities, team science-based research and create an independent ",Building Interdisciplinary Research Careers in Women's Health at UC Davis,NIH,POLITICAL,"The text refers to ""NIH criteria for being from an underrepresented minority group"" which is a social and political classification used to address historical and systemic inequities in research funding and career advancement.
"
9,minority,"ques, testing, translations, united states national institutes of health, cognitive interview, community partners, design, economic indicator, effective intervention, experience, health determinants, health disparity, health inequalities, indexing, inequitable distribution, marginalized population, minority health, minority health disparity, mortality, multi-racial, novel, performance tests, racial minority population, racial population, residential segregation, response, social, social disparities, sound, theories, tool","Assessing intersectional, multilevel and multidimensional structural racism for English- and Spanish-speaking populations in the US",NIH,POLITICAL,"The terms ""minority health,"" ""minority health disparity,"" ""racial minority population,"" and ""marginalized population"" within the context of health disparities and social inequalities strongly suggest a focus on social, political, and identity-related aspects of health outcomes for specific population groups.
"
10,minority,"n, exclusion, failure, foundations, future, gene expression, genes, genetic, genetic determinism, genetic polymorphism, goals, harm reduction, health, healthcare, heritability, individual, infrastructure, institution, knowledge, label, latino, latino population, life style, link, mexican americans, minority groups, molecular genetics, outcome, participant, patients, pattern, pharmaceutical preparations, pharmacogenetics, pharmacogenomics, pharmacotherapy, phenotype, population, population heterogeneity, proxy, puerto rican, quantitative trait loci, race, recommendation, reporting, research, resources,",Genetic and social determinants of pharmacological health outcomes in ancestrally diverse populations,NIH,POLITICAL,"The term ""minority groups"" is used in conjunction with terms like ""latino,"" ""race,"" and ""population heterogeneity,"" suggesting a focus on social categories and their impact on health outcomes, which aligns with a political context.
"
11,minority,"the agep data engineering and science alliance model: training and resources to advance minority graduate students and postdoctoral researchers into faculty careers this collaborative research project brings together rice university, texas southern university and the university of houston, with the goal to develop, implement, study, evaluate, disseminate, sustain and potentially reproduce an a",The AGEP Data Engineering and Science Alliance Model: Training and Resources to Advance Minority Graduate Students and Postdoctoral Researchers into Faculty Careers,NSF,POLITICAL,"The term 'minority' refers to underrepresented groups in academia, a social and political issue.
"
12,minority,the agep florida alliance model: improving minority women success in stem faculty careers the agep florida alliance model was created in response to the nsf's alliances for graduate education and the professoriate (agep) program solicitation (nsf 16-552). the agep program seeks to advance knowledge about models to improve pathways to the professoria,The AGEP Florida Alliance Model: Improving Minority Women Success in STEM Faculty Careers,NSF,POLITICAL,"The term ""minority"" is used to refer to underrepresented groups in STEM, specifically minority women, which is a social and political context related to equity and representation.
"
13,minority,"uities of underserved populations. for instance, mmc is playing a vital role in combatting the covid-19 pandemic by spearheading the operations of the testing sites in nashville and davidson county in tennessee (tn). mmc also conducted the adult and pediatric clinical trials of covid-19 vaccines in minority populations. importantly, the meharry center for aids health disparities research (cahdr), established in 2005 through nih support, has been a leader in hiv/aids research and training of minority scientists, physicians, students, fellows and trainees. the scientific focus of the cahdr is to identif",Meharry HIV/AIDS Research and Training Facility,NIH,POLITICAL,"The term 'minority' refers to underrepresented groups in scientific and medical fields and populations disproportionately affected by health issues like HIV/AIDS and COVID-19, reflecting a social and political dimension of health disparities.
"
14,minority,"alive: development and feasibility of a psychosocial intervention for sexual and gender minority autistic adults project summary  this is a k23 award application for dr. laura graham holmes, a clinical psychologist with expertise in autism, to independently conduct research to develop psychosocial interventions that will improve mental health and quality of life for autistic adults. the k23 wi",ALIVE: Development and feasibility of a psychosocial intervention for sexual and gender minority autistic adults,NIH,POLITICAL,"The term ""sexual and gender minority"" refers to social and identity categories, aligning with a political context.
"
15,minority,"also increasing. however, lack of research on within-group differences in tgd youth’s psychosocial trajectories while receiving gaht leaves providers with little guidance on how to individualize care. more broadly, research is limited by poor measurement of gender dysphoria and lack of inclusion of minority stress and resilience (msr) factors, which are particularly pronounced in the current sociopolitical climate. the functioning of parents of youth receiving gaht has also been overlooked despite the critical role parents play in the mental health of tgd youth. the proposed project leverages the long",Long-term trajectories of psychosocial functioning among transgender youth and their parents.,NIH,POLITICAL,"The term ""minority stress and resilience (msr)"" refers to the stress experienced by individuals belonging to minority groups due to their marginalized status and experiences of discrimination. This is a concept rooted in social and political inequalities.
"
16,minority,"daily impact of sexual minority stress on alcohol-related intimate partner violence among bisexual+ young adults: a couples' daily diary study project summary/abstract this study is guided by a long-term goal of optimizing alcohol-related intimate partner violence (ipv; psychological, physical, sexual, and identity abuse [e.g., t",Daily Impact of Sexual Minority Stress on Alcohol-Related Intimate Partner Violence among Bisexual+ Young Adults: A Couples' Daily Diary Study,NIH,POLITICAL,"The term ""sexual minority"" refers to a group defined by sexual orientation and identity, which is inherently a social and political construct.
"
17,minority,"collaborative research bpe track 3: minority mentoring for advancement and participation in engineering hub this award is funded in whole or in part under the american rescue plan act of 2021 (public law 117-2).    this nsf track 3 broadening participation in engineering (bpe) project aims to address the resilience, identity formation, and ac",Collaborative Research BPE track 3: Minority Mentoring for Advancement and Participation in Engineering Hub,NSF,POLITICAL,"The term 'minority' refers to underrepresented groups in engineering, which is a social and political context related to equity and inclusion.
"
18,minority,"m) academic workforce.    the virginia commonwealth university (vcu) advance-it project will implement institutional transformation through two objectives: decreasing the barriers that prevent faculty diversity; and improving the recruitment, retention, and advancement of women and underrepresented minority (urm) stem faculty.  much of the work of decreasing barriers will be accomplished through the recruitment, training, and resulting efforts of ""immunity to change"" (itc) facilitators.  the itc facilitators will lead itc workshops, work directly with departments and other stakeholder groups, and prov",Overcoming Immunity to Change (ITC): ADVANCE IT VCU,NSF,POLITICAL,"The term ""underrepresented minority (urm)"" is used in the context of faculty diversity and recruitment, retention, and advancement, which are social and political issues related to equity and representation.
"
