id,term,context,title,agency,classification,explanation
1,msm,"ite high efficacy, oral preexposure prophylaxis (prep) has had limited population impact on hiv incidence in the us, in part because of challenges with pill-taking. bimonthly injections of cabotegravir were recently found to have superior efficacy to daily oral prep among men who have sex with men (msm), transgender women, and cisgender women. long-acting injectable (lai) prep could mitigate barriers to adherence and persistence, thereby increasing prep coverage. interest in lai prep has been high in some groups that are at disproportionately high risk of hiv infection and underrepresented among ",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,SCIENTIFIC,"The term 'msm' refers to men who have sex with men, a group being studied for HIV prevention in a scientific context.
"
2,msm,strategies to prevent hiv acquisition among transgender msm in the us project summary transgender men who have sex with men (trans msm) are at-risk of hiv acquisition in the us and require gender-affirming culturally responsive biobehavioral hiv prevention strategies. the goal of the proposed study is to assess the ability of digitally delivered peer-based ,Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used within the context of HIV prevention research, a scientific field.
"
3,msm,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access prep, and adhere to prep. currently, black msm have the highest rates of hiv acquisition in the united states yet have the lo",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used as a specific demographic category relevant to HIV transmission and prevention research, which falls under a scientific context.
"
4,msm,"a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men project abstract in view of the continued disproportionate rates of hiv infection among black men who have sex with men (msm), there is an urgent public health need to identify scalable interventions to support black msm at risk of hiv to decide to take pre-exposure prophylaxis (prep), help access prep, and adhere to prep. currently, black msm have the highest rates of hiv acquisition in the united states yet have the lo",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,SCIENTIFIC,"The term 'msm' is used in a scientific/medical research context to denote a specific population group being studied in relation to HIV prevention and pre-exposure prophylaxis.
"
5,msm,"development and testing of a mobile application to enhance hiv prevention cascade in malaysian msm abstract  malaysia’s hiv epidemic is rapidly expanding with recent evidence suggesting accelerated sexual transmission, especially in msm: 10% in 2008 to 54% in 2016. evidence suggests high hiv prevalence in msm being nationally (21.6%) and in kuala lumpur (43%). central to this expanding hiv epide",Development and Testing of a Mobile Application to Enhance HIV Prevention Cascade in Malaysian MSM,NIH,SCIENTIFIC,"The term 'msm' is used within the context of an HIV prevention study, referring to a specific population group relevant to the scientific research on HIV transmission and prevalence.
"
6,msm,nexus: a novel social network approach to study the effects of intersectional stigma on hiv prevention among latino msm 220.7 project summary/abstract stigma is a pervasive barrier to hiv testing and prep use among us latino men who have sex with men (lmsm). routine hiv testing and large scale prep coverage are essential hiv prevention strategies for ending the hiv epidemic. lmsm further contend with intersectional ,NEXUS: A novel social network approach to study the effects of intersectional stigma on HIV prevention among Latino MSM,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used within the context of HIV prevention research, a scientific and medical domain. The grant focuses on studying the effects of stigma on HIV prevention among this population.
"
7,msm,"tion in prep care and effective prep use among key populations at risk for hiv in thailand project summary/abstract hiv remains a major cause of morbidity and mortality despite great progress in hiv prevention and treatment, especially for key populations (kps), including men who have sex with men (msm) and transgender women (tgw). pre-exposure prophylaxis (prep) has been shown effective in reducing hiv acquisition among different populations when implemented as part of a combination prevention strategy. however, effectiveness of prep decreases with suboptimal retention and adherence. while many ",Applying Deep Learning for Predicting Retention in PrEP Care and Effective PrEP Use among Key Populations at Risk for HIV in Thailand,NIH,SCIENTIFIC,"The term 'msm' is used as a technical abbreviation for ""men who have sex with men"" within the scientific context of an HIV prevention and treatment study.
"
8,msm,"intersectional minority stress, mental health, and hiv treatment and care among msm living with hiv in ghana project summary/abstract in ghana, msm bear a high hiv burden, yet less than 4% of hiv-positive msm are on antiretroviral therapy—a disparity found throughout africa. social stressors, such as sexuality- and gender-based stigma, criminalization, and violence, have been link","Intersectional minority stress, mental health, and HIV treatment and care among MSM living with HIV in Ghana",NIH,SCIENTIFIC,"The term ""MSM"" (men who have sex with men) is used in a scientific and epidemiological context to describe a specific population group relevant to HIV transmission and healthcare research.
"
9,msm,"ties among latinx immigrant populations. we propose to determine the effectiveness of hermanos de luna y sol (hls), a community-based, group intervention delivered in spanish, designed to reduce hiv sexual risk among latinx immigrants who identify as gay/bisexual men or men who have sex with men (gbmsm). the study is designed as a quasi-experimental, community control, with oakland, ca as the intervention group and chicago, il as the control. assessments will be conducted at -3 and 0 mos., and follow-ups at 3, 6, and 12 mos. participants (n=360; n=180 per city) will be recruited using time-locati",Hermanos de Luna y Sol: A community-based HIV prevention intervention,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used in a scientific context within the grant proposal to define the target population for an HIV prevention intervention study. It is used as a technical term to identify a specific group at risk for HIV transmission.
"
10,msm,"stigma and the non-communicable disease syndemic in aging hiv positive and hiv negative msm abstract over the next decade, more than 70% of people living with hiv (pwh) will be older than 50. the increasing burden of the non-communicable diseases (ncds) hypertension, diabetes, and dyslipidemia has al-ready begun to present key challenges to effective hiv care among aging plwh, including s",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,SCIENTIFIC,"The grant title and abstract focus on health-related issues (HIV, non-communicable diseases) and a specific population group, indicating a technical and scientific context.
"
