id,term,context,title,agency,classification,explanation
1,msm,"nd gender minorities of color (sgmoc) - account for at least half of all new hiv infections in the united states (u.s.). at the same time there is a significant disparity in knowledge of, access to and uptake of pre-exposure prophylaxis (prep) among sgmoc is disproportionately low compared to white msm and trans women. numerous studies have articulated disparities in hiv among groups under the sgmoc umbrella. however, most research aggregates experiences based on one axis of stigma such as gay or trans identity. intersectional hiv stigma, or stigma as the result of multiple, intersecting minority",One Ballroom: Understanding Intersectional Stigma to Optimize the HIV Prevention Continuum among Vulnerable Populations in the United States,NIH,SCIENTIFIC,"The text discusses HIV infections and disparities in prevention efforts (PrEP) among different populations, including ""white msm."" This indicates a scientific or epidemiological context related to public health research.
"
2,msm,"estep: an integrated mhealth intervention to engage high-risk individuals along the full prep care continuum pre-exposure prophylaxis (prep) is highly-effective in preventing new hiv infections among gay, bisexual and other men who have sex with men (gbmsm) and transgender women (tw), but relies on engaging these high- risk communities at multiple steps along the prep continuum of care. studies show that a minority of prep- eligible gbmsm are taking prep, and tw are less likely than gbmsm to have heard of prep, talked with their provider about prep, ",eSTEP: An integrated mHealth intervention to engage high-risk individuals along the full PrEP care continuum,NIH,SCIENTIFIC,"The grant text describes a health intervention (PrEP) targeted at specific populations, indicating a scientific and medical context for the term 'msm'. The text refers to studies and preventative measures related to HIV, further solidifying the scientific usage.
"
3,msm," summary/abstract thailand has the highest hiv prevalence rate in the asian-pacific region, with an estimated 1.2% of its adult population infected. currently there are 0.5 million of plwh living in thailand, with a handful of populations more vulnerable to hiv, including men who have sex with men (msm) (9.2-40%), transgender individuals (12%), sex workers (1-16%), and substance users (19%). also, the overall mortality rate among thai plwh was 3.56%. this high mortality rate explained the notable hiv treatment cascade issues in thailand. an important reason is hiv-related stigma still poses signi",Buddhism and HIV Stigma in Thailand: An Intervention Study,NIH,SCIENTIFIC,"The text uses ""msm"" in the context of HIV prevalence rates within specific populations vulnerable to HIV infection, which is a common epidemiological and public health research area.
"
4,msm,"of these ecological factors at the state or county level, to predict over-time changes in individual intentions to vaccinate against hiv if a vaccine were approved, as well as individual vaccination against other diseases such as influenza, hepatitis a, and covid-19 among men who have sex with men (msm). the project will study the impact of the ecology of vaccination on a future hiv vaccine by linking longitudinal surveys of diverse msm (n = 1500) to state/county/zip code data on community-based vaccine information in the media, vaccination norms, as well as vaccine and hiv policy, including lgbt",Understanding the Regional Ecology of a Future HIV Vaccine,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used within the context of a scientific study investigating HIV vaccine intentions and other vaccination behaviors. This is a common abbreviation used in epidemiological and public health research to describe a specific population group.
"
5,msm,"stigma and the non-communicable disease syndemic in aging hiv positive and hiv negative msm abstract over the next decade, more than 70% of people living with hiv (pwh) will be older than 50. the increasing burden of the non-communicable diseases (ncds) hypertension, diabetes, and dyslipidemia has al-ready begun to present key challenges to effective hiv care among aging plwh, including s",Stigma and the non-communicable disease syndemic in aging HIV positive and HIV negative MSM,NIH,SCIENTIFIC,"The term 'msm' is used in a scientific context, specifically referring to a population group (men who have sex with men) relevant to HIV research and health outcomes.
"
6,msm,"ectiveness / implementation hybrid study project summary nigeria has the 4th highest global burden of hiv and an uncontrolled epidemic. among youth aged 15-24, hiv incidence remains high and rates of viral suppression low. the hiv epidemic in nigeria's youth is highest in men who have sex with men (msm) and transgender women (tw). although external (i.e., non-governmental) funders support key population-focused centers to increase access to hiv services for msm and tw, their reach is limited by dwindling and unsustainable funding. efforts to improve the capacity of government clinics to reach and",Intensive Combination Approach to Rollback the HIV Epidemic in Nigerian Youth (iCARE) Plus Effectiveness / Implementation Hybrid Study,NIH,SCIENTIFIC,"The text discusses HIV incidence rates specifically within the group of men who have sex with men (MSM) and transgender women (TW), indicating a focus on epidemiological data and public health research, which falls under a scientific context.
"
7,msm,"the hiv epidemic in malaysia remains volatile. with over 100,000 cumulative hiv cases, malaysia's rapidly expanding hiv epidemic is the fifth largest in the asia-pacific region and concentrated within the most-at-risk populations, including people who inject drugs (pwid), men who have sex with men (msm), and female sex workers (fsw). this is attributed to an inadequate scale up of ebis, including access to hiv testing, pre-exposure prophylaxis (prep), antiretroviral therapy, needle/syringe exchange programs (nseps) – to meet hiv prevention and treatment efforts. therefore, given the need to expan",Malaysian Implementation Science Training (MIST) Program in HIV,NIH,SCIENTIFIC,"The text is a scientific grant proposal focusing on HIV prevention and treatment among at-risk populations. 'MSM' is used to identify a specific group at higher risk for HIV infection, a common and technical usage in epidemiological and public health research.
"
8,msm,"n black men who have sex with men significance. use of stimulants is a growing problem in the us. this growing public health crisis requires expanded research to explore its reach, drivers and impact, including on marginalized groups, such as black gay, bisexual and other men who have sex with men (msm), a critical population that is disproportionately impacted by hiv. estimates of the incidence and persistence of stimulant use in black msm is needed, as well as research on how it co-occurs with other drug use (i.e. polysubstance use), its social-environmental drivers, and its impact on hiv trans",Social environmental drivers of stimulant use and its impact on HIV prevention and treatment in Black men who have sex with men,NIH,SCIENTIFIC,"The text is a scientific grant proposal focusing on public health research and uses ""msm"" to refer to a specific population group in the context of HIV research and stimulant use, aligning with scientific categorization.
"
9,msm,"goal to end the hiv epidemic by the year 2030, which can be achieved but only if targeted approaches are implemented with at-risk populations to address known barriers of engagement along the hiv prevention and care continua. populations of greatest concern include young men who have sex with men (ymsm), especially ymsm of color, who now account for the vast majority of new hiv infections each year. transgender and gender non-conforming/non-binary youth are also at high risk for hiv acquisition, accounting for an increasing proportion of new infections each year. in 2015, we were awarded a grant ",Using Longitudinal Research to Engage African American and Latinx Sexual- and Gender-Minority Youth in the HIV Prevention and Care Continua and Reduce HIV/AIDS-Related Disparities,NIH,SCIENTIFIC,"The term 'msm' (men who have sex with men) is used within a public health research grant proposal that focuses on HIV prevention and care. This is a technical and scientific context relating to epidemiology and disease transmission.
"
10,msm,"ion and mhealth to reduce health disparities in appalachia appalachia is a socially and economically disadvantaged part of the us, and growing evidence suggests that health disparities between appalachia and the rest of the country are widening. gay, bisexual, and other men who have sex with men (gbmsm) and transgender women in rural appalachia are at increased risk for hiv, sexually transmitted infections (stis), and hepatitis c virus (hcv). there remains a dearth of effective approaches to address these emerging and intersecting epidemics among gbmsm and transgender women living in rural settin",Harnessing the power of peer navigation and mHealth to reduce health disparities in Appalachia,NIH,SCIENTIFIC,"The term ""msm"" (men who have sex with men) is used in a health-related context to identify a specific population group at increased risk for certain diseases (HIV, STIs, HCV). This usage is common in scientific and public health research.
"
