id,term,context,title,agency,classification,explanation
1,multicultural," interventions to reduce structural racism, there is an urgent public health need to capture the complex nature and impacts of structural racism in a multicultural and multiracial society. our overall objective is to develop an intersectional, comprehensive, multilevel, and multidimensional structural racism mea",NA,NIH,POLITICAL,"The term ""multicultural and multiracial society"" is used in the context of addressing structural racism, which is a socio-political issue concerning inequality and power dynamics within a society.
"
2,multicultural," interventions to reduce structural racism, there is an urgent public health need to capture the complex nature and impacts of structural racism in a multicultural and multiracial society. our overall objective is to develop an intersectional, comprehensive, multilevel, and multidimensional structural racism mea",NA,NIH,POLITICAL,"The term ""multicultural and multiracial society"" refers to the social and political composition of a society characterized by the presence of multiple cultures and races, which aligns with the concept of structural racism being addressed.
"
3,multicultural,reducing disparities in dementia and vcid outcomes in a multicultural rural population abstract alzheimer's disease and related dementias (adrd) affect millions of americans. persons living in rural areas face increased,NA,NIH,POLITICAL,"The term ""multicultural"" is used to describe a population, implying a diversity of cultural backgrounds. This aligns with a social and identity context rather than a purely scientific one.
"
4,multicultural,reducing disparities in dementia and vcid outcomes in a multicultural rural population affect; ages; age; advanced age; elders; geriatric; late life; later life; older adult; older person; senior citizen; elderly; blood,Reducing Disparities In Dementia And Vcid Outcomes In A Multicultural Rural Population,NIH,POLITICAL,"The term ""multicultural"" is used to describe a population with diverse cultural backgrounds, which is inherently a social and often political characteristic, especially when discussing disparities and outcomes.
"
5,multicultural,"lections through coding, thematic analysis, and using mathematics with|in conocimientos to determine how the modules influenced prospective teachers’ multicultural mathematics dispositions, other emergent understandings related to cultural sensitivity, and how prospective teachers’ experiences with the modules c",NA,NSF,POLITICAL,"The term 'multicultural' is used in relation to dispositions and cultural sensitivity of teachers, indicating a focus on social and identity aspects within education, which falls under a political context.
"
6,multicultural,"lections through coding, thematic analysis, and using mathematics with|in conocimientos to determine how the modules influenced prospective teachers’ multicultural mathematics dispositions, other emergent understandings related to cultural sensitivity, and how prospective teachers’ experiences with the modules c",NA,NSF,POLITICAL,"The term 'multicultural' is used in relation to 'dispositions' and 'cultural sensitivity' in prospective teachers, indicating a focus on social and identity aspects within an educational context.
"
7,multicultural,"eties; (2) providing educational and training opportunities in diversity, equity, inclusion, and justice (deij) for a postdoctoral scholar and summer multicultural academic opportunities program undergraduate scholars; (3) disseminating findings of the project beyond academia; and (4) broadening the diversity of",NA,NSF,POLITICAL,"The term ""multicultural"" is used in conjunction with ""diversity, equity, inclusion, and justice (deij)"" and refers to broadening diversity within an academic program, indicating a social and political context.
"
8,multicultural,"eties; (2) providing educational and training opportunities in diversity, equity, inclusion, and justice (deij) for a postdoctoral scholar and summer multicultural academic opportunities program undergraduate scholars; (3) disseminating findings of the project beyond academia; and (4) broadening the diversity of",NA,NSF,POLITICAL,"The term ""multicultural"" is used in the context of educational opportunities related to diversity, equity, inclusion, and justice, which are inherently social and political concepts.
"
9,multicultural,"lections through coding, thematic analysis, and using mathematics with|in conocimientos to determine how the modules influenced prospective teachers’ multicultural mathematics dispositions, other emergent understandings related to cultural sensitivity, and how prospective teachers’ experiences with the modules c",NA,NSF,POLITICAL,"The phrase ""multicultural mathematics dispositions"" suggests a focus on social and cultural aspects related to mathematics education, aligning with a political and identity context.
"
10,multicultural,"ltiple ways of knowing and being] in isl; and (3) community-informed strategies, and design principles to encourage exploration of the affordances of multicultural stem knowledge, ways of knowing, and sense-making in isl. the project will contribute to the national science foundation's strategic goal of broadeni",NA,NSF,POLITICAL,"The term 'multicultural' is linked to 'ways of knowing and being', 'community-informed strategies', and 'broadening participation', indicating a focus on social and identity-related aspects within the STEM field.
"
