id,term,context,title,agency,classification,explanation
1,nonbinary,"mong sexual and gender minority youth project summary/abstract sexual and gender minority youth (sgmy; e.g., lesbian, gay, bisexual, transgender, and nonbinary people <18 years) experience substantial inequities in alcohol use, thus placing sgmy at greater risk for alcohol-related morbidity and mortality acr",NA,NIH,SCIENTIFIC,"The term 'nonbinary' is used within the context of a research grant proposal focused on health disparities among sexual and gender minority youth, indicating a technical and scientific usage.
"
2,nonbinary,"inority, gender minority group, gender minority health research, health disparity, informant, intersectionality, male, men, minority stress, neglect, nonbinary, novel, patient population, patient stratification, prevent, recruit, research study, satisfaction, sex, sexual minority, sexual minority group, sexu",NA,NIH,SCIENTIFIC,"The surrounding terms like ""gender minority group,"" ""gender minority health research,"" ""health disparity,"" ""minority stress,"" ""patient population,"" ""sex,"" and ""sexual minority"" indicate a scientific context related to health research and disparities affecting gender minorities.
"
3,nonbinary,"youth, health inequalities, high risk, improved, infection rate, infection risk, innovation, interest, men who have sex with men, mobile application, nonbinary, novel, pre-exposure prophylaxis, preventive intervention, psychologic, racial minority, randomized  clinical trials, recruit, response, retention ra",NA,NIH,POLITICAL,"The term ""nonbinary"" relates to gender identity, which is a sociopolitical construct, particularly when considered alongside terms like ""men who have sex with men"" and ""racial minority"" suggesting a focus on specific demographic groups.
"
4,nonbinary,"o 26 in the u.s. via social media marketing and impose sampling quotas based on sgm identity (lesbian, gay, bisexual women, bisexual men, transgender/nonbinary) and age (13-17yrs, 18-21yrs, 22- 26yrs). all participants will complete an online survey every 3 months over 18-months. for aim 1, we will perform s",NA,NIH,POLITICAL,"The term 'nonbinary' is used as part of 'sgm identity' (sexual and gender minority identity), which falls under social and political identity categories. It's used for sampling quotas, indicating an awareness of identity for research purposes related to social groups.
"
5,nonbinary,"n context, improved, informant, interest, male, marginalization, marginalized population, minority disparity, minority stress, national surveillance, nonbinary, novel, pansexual, patient engagement, population health, practice setting, queer, research study, same-sex partnership, sex, sex assigned, sex dispa",NA,NIH,POLITICAL,"The term 'nonbinary' is listed alongside terms like 'marginalization,' 'minority disparity,' 'queer,' and 'pansexual,' suggesting its use within a social, political, or identity context related to marginalized populations and sexual/gender identity.
"
6,nonbinary,", healing, health disparity, improved, interest, longitudinal design, minority health, minority health disparity, minority stress, minority stressor, nonbinary, novel, peer, people of color, promote resilience, prospective, protective factors, racial population, recruit, research study, resilience, resilienc",NA,NIH,POLITICAL,"The term 'nonbinary' appears alongside terms related to identity (people of color), health disparities (minority health disparity), and social stressors (minority stress). This suggests its usage relates to gender identity within a social and potentially political context of health equity.
"
7,nonbinary,"enetic analysis, genetic variant, genomic data, health care delivery, health disparity populations, health equity, health inequalities, male, member, nonbinary, people of color, physical conditioning, polygenic risk score, precision medicine, sex, sex assigned, social stigma, symposium, transgender, unethica",NA,NIH,POLITICAL,"The term ""nonbinary"" is listed alongside terms like ""health disparity populations,"" ""health equity,"" ""people of color,"" ""social stigma,"" and ""transgender,"" suggesting its usage relates to social identity and potential disparities in healthcare access or treatment, aligning with a political context.
"
8,nonbinary,"ifference, health disparity, individual variation, intersectionality, marginalization, meetings, microaggression, minority stress, minority stressor, nonbinary, outcome disparities, peer, physical conditioning, prospective, racial diversity, racial identity, recruit, resilience factor, sex assigned at birth,",NA,NIH,POLITICAL,"The term 'nonbinary' is used alongside terms like 'intersectionality', 'marginalization', 'minority stress', 'racial identity', and 'sex assigned at birth', indicating a focus on social identity, discrimination, and health disparities related to marginalized groups. This suggests a social and political context related to identity and healthcare access.
"
9,nonbinary,"stigma,romantic relationships, and alcohol use among transgender and nonbinary young adults project summary/abstract  for transgender and nonbinary (tnb) people, anti-tnb stigma is a risk factor for adverse alcohol outcomes, oft",NA,NIH,SCIENTIFIC,"The term 'nonbinary' is used within the context of a scientific grant proposal focusing on mental health and alcohol use among transgender and nonbinary young adults. It's being used as a demographic identifier for a specific population being studied.
"
10,nonbinary,a multidimensional investigation of social support for transgender and nonbinary people and its impacts on health and well-being: measurement development using community engagement project summary/abstract trans and nonbinary (tnb,NA,NIH,SCIENTIFIC,"The grant proposal outlines a scientific investigation into social support and its impacts on the health and well-being of transgender and nonbinary people, indicating a research context.
"
