id,term,context,title,agency,classification,explanation
1,oppression,"theory by positing that osmm face enduring unique stressors resulting from their marginalized identities that perpetuate psychological adversity. lastly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this study’s three aims center on investigating the relative severity and impact of age-related psychosocial factors and traditional syndemic conditions in explaining hiv and health disparities among hiv-negative osmm. ai",Exploring the Role of Novel Aging-Focused Syndemic Conditions on HIV Risk and Quality of Life among HIV-Negative Older Sexual Minority Men,NIH,POLITICAL,"The term ""oppression"" is used in the context of intersectionality theory, which addresses compounding systems of marginalization based on multiple minoritized identities. This usage aligns with the social, political, and identity-based implications of oppression.
"
2,oppression,"l and physical health outcomes abstract transgender, and gender diverse adults (tgdas) experience severe inequities rooted in and reflective of historical stigmatization due to their gender status and resulting in significant health disparities. in accordance with minority stress theory, systematic oppression, discrimination, and stigma are distal stressors that manifest through experiences of interpersonal violence and microaggressions. these experiences can lead to increased levels of stress and, in turn, alcohol abuse and drug use. consequently, tgdas experience high prevalence of adverse mental heal",An intersectional approach linking Minority Stressors Experienced by Transgender and Gender Diverse Adults to Alcohol and Drug Use and comorbid Mental and Physical Health Outcomes,NIH,POLITICAL,"The term ""oppression"" is used to describe the systematic disadvantage experienced by transgender and gender diverse adults due to historical stigmatization and discrimination related to their gender status. This clearly aligns with a social, political, and identity context where power structures and societal biases contribute to inequality. The phrase ""systematic oppression, discrimination, and stigma"" further supports this classification.
"
3,oppression,"rofound negative impact on population mental health in the united states, especially for marginalized populations such as sexual minorities (sms). emerging research suggests that this disparity is driven by minority stress processes (e.g., stigma) and structural vulnerabilities (e.g., institutional oppression) that systematically expose sms to more pandemic-related stressors and exacerbate their effects. however, critical knowledge gaps remain regarding the intersectional distribution and upstream (i.e., social and structural) determinants of covid-19-related disparities in mental health. to address the","Sexual Minority Mental Health During the COVID-19 Pandemic: An Intersectional, Social Epidemiologic Investigation",NIH,POLITICAL,"The term ""oppression"" is used in the context of ""institutional oppression"" as a ""structural vulnerability"" experienced by sexual minorities. This refers to systematic and societal disadvantages faced by the group, placing it firmly in a political/social context regarding power dynamics and inequality.
"
4,oppression,"ng policy impact for reproductive health equity (enpirhe) project summary/abstract- 30 lines the world health organization affirms that sexual and reproductive health (srh) services are integral to the wellbeing and flourishing of individuals and communities. however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), ",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The text uses ""oppression"" to describe societal power dynamics creating barriers to reproductive health services for specific identity groups (BIPOC, LGBTQ+, etc.), indicating a social, political, and identity context.
"
5,oppression,"understanding the role of structural oppression for suicide risk among black sexual and gender minority adolescents and young adults project summary/abstract black sexual and gender minority (sgm) adolescents and young adults (aya) face profound and increasing suicide inequities. evidence indicates differences in individual risk factors (e.g., m",Understanding the Role of Structural Oppression for Suicide Risk among Black Sexual and Gender Minority Adolescents and Young Adults,NIH,POLITICAL,"The term 'oppression' in this context refers to 'structural oppression,' which speaks to systemic disadvantages and power imbalances faced by Black SGM adolescents and young adults, aligning with a social and political understanding of the term.
"
6,oppression,"ctionality refers to ways in which power and privilege are structured based on interrelated social positions (e.g. due to race/ethnicity, immigrant status, native language) and how individual experiences reflect processes that confer privilege and disadvantage. mutually constitutive forms of social oppression (e.g., stigma simultaneously based on race/ethnicity, gender, and sexual orientation) may differentially affect the health of sgm people with multiple marginalized social positions. living within these intersecting social positions may give rise to unique challenges as well as strengths that promot","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,POLITICAL,"The term ""oppression"" is used in the context of social power dynamics, privilege, disadvantage, stigma, and marginalized social positions related to race/ethnicity, gender, and sexual orientation. These are all clearly social and political concepts.
"
7,oppression,"long-term and daily associations among intersectional minority stress, structural oppression, and alcohol use and misuse among sexual minority adolescents of color project summary/abstract disparities in alcohol and other substance (aod) use and misuse are well documented between sexual minority adolescents (sma) and their heterosexual peers. sma of color also have higher rates of aod use ","Long-term and Daily Associations among Intersectional Minority Stress, Structural Oppression, and Alcohol Use and Misuse among Sexual Minority Adolescents of Color",NIH,POLITICAL,"The term 'oppression' is used in the context of ""structural oppression"" affecting sexual minority adolescents of color. This aligns with the understanding of oppression as a systemic form of social injustice and power imbalance, making it a political usage.
"
8,oppression,"long-term and daily associations among intersectional minority stress, structural oppression, and alcohol use and misuse among sexual minority adolescents of color project summary/abstract disparities in alcohol and other substance (aod) use and misuse are well documented between sexual minority adolescents (sma) and their heterosexual peers. sma of color also have higher rates of aod use ","Long-term and Daily Associations among Intersectional Minority Stress, Structural Oppression, and Alcohol Use and Misuse among Sexual Minority Adolescents of Color",NIH,POLITICAL,"The term 'structural oppression' is used in the context of intersectional minority stress, disparities, and the experiences of sexual minority adolescents of color, indicating a focus on systemic power imbalances and social inequalities, which aligns with a political context.
"
9,oppression," and economic policy originated from limited perspectives of older and aging black men. dr. w.e.b. du bois said in the souls of black folk that for black people, “discouragement is an unwritten word”. this study draws on that inspiration as it ultimately seeks to fundamentally overturn the economic oppression and brutality that has defined the black experience for generations. accounting, address, affect, african american, aging, area, black populations, black race, breathing, capital, caring, chronic, chronic disease, chronically ill, communities, community health, complex, correctional institutions, d",Universal basic income and structural racism in the US South: Differences in health service utilization between older African American men with and without experiences of recent incarceration,NIH,POLITICAL,"The term 'oppression' is used in the context of the historical and ongoing experience of Black people, specifically referring to economic oppression and brutality, which falls under a social and political context.
"
10,oppression,"ent and annually thereafter for three years and an ecological momentary assessment (ema) for six weeks after enrollment. concordant with study enrollment, we will develop novel metrics to quantify socio-structural factors (state-level policy and social climate indicators) that create intersectional oppression for blm sgmsm, specifically structural racism, anti-lgbtq stigma, and restrictive hiv-related healthcare (aim 1a). we will subsequently utilize the newly developed metrics from aim 1a along with local socio-structural factors (local-level hiv prevalence and socioeconomic indicators) and baseline an",Multilevel strategies to understand and modify the role of structural and environmental context on HIV inequities for sexual and gender minorities of color,NIH,POLITICAL,"The term ""oppression"" is used in the context of ""intersectional oppression for blm sgmsm [Black men and gender and sexual minority men]"", referring to social structures (structural racism, anti-lgbtq stigma) that create systemic disadvantage and marginalization, which falls under a political context dealing with power dynamics and social justice.
"
