id,term,context,title,agency,classification,explanation
1,oppression,"ly, intersectionality theory5 posits that osmm experience worse health outcomes compared to their younger smm peers due to the compounding systems of oppression they face due to their multiple minoritized identities. objectives & methods. this study’s three aims center on investigating the relative severity a",NA,NIH,POLITICAL,"The term ""oppression"" is used in the context of intersectionality theory, which examines how multiple minoritized identities lead to compounding systems of disadvantage and worse health outcomes. This aligns with a social, political, and identity-focused usage.
"
2,oppression,"ical stigmatization due to their gender status and resulting in significant health disparities. in accordance with minority stress theory, systematic oppression, discrimination, and stigma are distal stressors that manifest through experiences of interpersonal violence and microaggressions. these experiences ",NA,NIH,POLITICAL,"The term ""oppression"" is used in the context of minority stress theory and its connection to discrimination, stigma, interpersonal violence, and microaggressions, which are all social and political concepts related to identity and power dynamics.
"
3,oppression,"rging research suggests that this disparity is driven by minority stress processes (e.g., stigma) and structural vulnerabilities (e.g., institutional oppression) that systematically expose sms to more pandemic-related stressors and exacerbate their effects. however, critical knowledge gaps remain regarding th",NA,NIH,POLITICAL,"The term ""oppression"" is used in the phrase ""institutional oppression,"" which refers to systematic and structural disadvantages faced by certain groups, a concept rooted in social and political inequalities.
"
4,oppression,"roductive health (srh) services are integral to the wellbeing and flourishing of individuals and communities. however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people o",NA,NIH,POLITICAL,"The term 'oppression' is used to describe societal power dynamics impacting access to reproductive health services for specific social groups, aligning with a social and political context.
"
5,oppression,understanding the role of structural oppression for suicide risk among black sexual and gender minority adolescents and young adults project summary/abstract black sexual and gender minority (sgm) ,NA,NIH,POLITICAL,"The term ""oppression"" is used in the context of social and identity factors related to Black sexual and gender minority individuals, indicating a focus on systemic power imbalances and social injustice.
"
6,oppression,"atus, native language) and how individual experiences reflect processes that confer privilege and disadvantage. mutually constitutive forms of social oppression (e.g., stigma simultaneously based on race/ethnicity, gender, and sexual orientation) may differentially affect the health of sgm people with multipl",NA,NIH,POLITICAL,"The term 'oppression' is used in the context of social identities (race/ethnicity, gender, sexual orientation) and their impact on privilege, disadvantage, and health, which falls under the domain of social and political analysis.
"
7,oppression,"long-term and daily associations among intersectional minority stress, structural oppression, and alcohol use and misuse among sexual minority adolescents of color project summary/abstract disparities in alcohol and other substance (aod) use ",NA,NIH,POLITICAL,"The term ""oppression"" is used in the context of ""structural oppression"" and ""intersectional minority stress,"" which are concepts related to social inequalities and power dynamics experienced by marginalized groups. This leans towards a social and political context.
"
8,oppression,"long-term and daily associations among intersectional minority stress, structural oppression, and alcohol use and misuse among sexual minority adolescents of color project summary/abstract disparities in alcohol and other substance (aod) use ",NA,NIH,POLITICAL,"The term ""oppression"" in the context of ""structural oppression"" and ""intersectional minority stress"" clearly points to a discussion of power dynamics and systemic disadvantages experienced by marginalized groups, which aligns with a political context.
"
9,oppression,"ack people, “discouragement is an unwritten word”. this study draws on that inspiration as it ultimately seeks to fundamentally overturn the economic oppression and brutality that has defined the black experience for generations. accounting, address, affect, african american, aging, area, black populations, b",NA,NIH,POLITICAL,"The term ""oppression"" is used in the context of the ""black experience"" and ""economic oppression and brutality,"" which are inherently social and political issues related to identity and power structures.
"
10,oppression,"ent, we will develop novel metrics to quantify socio-structural factors (state-level policy and social climate indicators) that create intersectional oppression for blm sgmsm, specifically structural racism, anti-lgbtq stigma, and restrictive hiv-related healthcare (aim 1a). we will subsequently utilize the n",NA,NIH,POLITICAL,"The term 'oppression' is used in the context of socio-structural factors like racism and anti-LGBTQ stigma, which are inherently political and social issues.
"
11,oppression,"pounded when intersectional (relating to other marginalized backgrounds such as gender, nativity status etc.) and thus creates overlapping systems of oppression. in order to create a culture conducive to change within a range of biomedical research environments, trainees and their supervisors need to better u",NA,NIH,POLITICAL,"The term 'oppression' is used in the context of marginalized backgrounds and overlapping systems, indicating a discussion of social and political power dynamics.
"
12,oppression,"s surrounding poor sexual health outcomes of young black msm (ybmsm), ages 18-29 years. ybmsm are often impacted by multiple, intersecting systems of oppression, resulting in intersectional discrimination and a variety of experiences that can adversely impact their sexual health. the goal of the proposed rese",NA,NIH,POLITICAL,"The term 'oppression' is used in the context of describing social and systemic disadvantages faced by a specific group (young Black MSM) due to intersecting identities, aligning with a political understanding of power structures and discrimination.
"
