id,term,context,title,agency,classification,explanation
1,orientation,"sexual orientation-related disparities in obstetrical and perinatal health project summary/abstract  compared to heterosexual women, sexual minority women (i.e., those with same-sex attractions, same-sex behavior, and/or a lesbian/gay/bisexual identity) are vulnerable to poor gynecological health; for ex- ample, they",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term ""sexual orientation"" is used to define and categorize groups based on sexual identity and attraction, which falls under social and political contexts related to identity and inequality.
"
2,orientation," groups.  in the context of parent trial r01ca275494, we propose understanding the unique factors that contribute to smoking behavior and cessation among sgm individuals in dscs. using quantitative methodology, we aim to evaluate the heterogeneity of sgm dscs regarding relationship dynamics, sexual orientation and gender identity (sogi) stressors and strengths, broader social environmental factors, and cessation-related impulsivity in relation to smoking and cessation-related behaviors. using qualitative methodology, we aim to understand the unique smoking and cessation-related stressors, motives, and re","Randomized Controlled Trial of Dyadic Financial Incentive Treatment for Dual Smoker Couples: Evaluation of Efficacy, Mechanisms, and Cost Effectiveness",NIH,POLITICAL,"The term ""sexual orientation"" is being used to describe a social identity characteristic, which aligns with a political/social context rather than a purely scientific one.
"
3,orientation," of 362 nursing homes and 362 assisted living facilities in minnesota to assess the number and proportion of agencies that have explicit sgm affirmative policies in human resources, marketing, training, governance; anti-discrimination policies guiding culturally responsive care, and resident sexual orientation and gender identity (sogi) data collection. these findings will inform aim 2 curriculum. in aim 2, to make training to serve more scalable nationally and with high fidelity, we will design and develop an asynchronous online version and pilot it with 30 ltss management and 30 staff. in aim 3, to ass",Training the Long-Term Services and Supports Dementia Care Workforce in Provision of Care to Sexual and Gender Minority Residents,NIH,POLITICAL,"The phrase ""resident sexual orientation and gender identity (sogi)"" clearly places the term within a social, political, and identity context, referring to the characteristics of residents related to their sexual and gender identities.
"
4,orientation," health disparities in sgm cancer patients. first, online recruitment has yielded large sgm samples in other areas of research (e.g., hiv primary prevention), but using online methods to recruit sgm cancer patients has not been rigorously studied. second, cancer clinics have begun to include sexual orientation and gender identity (sogi) data in the electronic medical record, but we need to test protocols on how to recruit sgm cancer patients using this data source. this application is based upon our recent success in overcoming challenges to recruit over 400 gay and bisexual prostate cancer patients into",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term ""sexual orientation"" is used in the context of identifying and categorizing individuals within the LGBTQ+ community for the purpose of addressing health disparities. This clearly relates to social identity and the political implications of categorizing and addressing the needs of specific minority groups.
"
5,orientation,"mental depression, minority groups, national institute of mental health, organizational models, outcome, parents, participant, patients, population, prevalence, privatization, psychiatry, quality of care, reporting, research, risk, role, sample size, sampling, self-injurious behavior, services, sex orientation, sexual and gender minorities, suicide, surveys, telephone, thinking, vulnerable populations, youth, access disparities, accountable care organization, adverse childhood events, behavior influence, behavioral health, beneficiary, care coordination, community based service, ethnic minority populatio",Effect of Medicaid Accountable Care Organizations on Behavioral Health Care Quality and Outcomes for Children,NIH,POLITICAL,"The phrase ""sex orientation"" and ""sexual and gender minorities"" within the context of healthcare access and disparities clearly places the term in a social, political, and identity context.
"
6,orientation,"sexual orientation, gender identity, and alcohol use: a multi-method analysis of developmental differences and key mechanisms project abstract: over 95,000 people will die this year in the united states from excessive alcohol use and misuse (au/m). although alcohol is the substance most commonly used by teens, sexual","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The phrase ""sexual orientation"" is used in the context of a research project investigating alcohol use, developmental differences, and key mechanisms related to this identity. This usage aligns with the social and identity aspects of sexual orientation, making it a political classification.
"
7,orientation,"sexual orientation, gender identity, and alcohol use: a multi-method analysis of developmental differences and key mechanisms project abstract: over 95,000 people will die this year in the united states from excessive alcohol use and misuse (au/m). although alcohol is the substance most commonly used by teens, sexual","Sexual orientation, gender identity, and alcohol use: A multi-method analysis of developmental differences and key mechanisms",NIH,POLITICAL,"The term ""sexual orientation"" is used in a context related to social identity and demographic categories, which falls under the umbrella of political considerations.
"
8,orientation,"ental health, methods, modeling, outcome, participant, pathway interactions, pattern, population, populations at risk, prevention program, primary prevention, process, psychosocial factor, public health, qualitative research, random allocation, reporting, research, risk factors, role, sampling, sex orientation, sexual harassment, social perception, students, substance abuse problem, surveys, time, united states national institutes of health, victimization, vulnerable populations, youth, adverse outcome, alcohol and other drug, alcohol use initiation, assault, bullying, coping, cyberbullying, design, diar",Peer Victimization and Risky Alcohol Use among Sexual Minority Youth: Understanding Mechanisms and Contexts,NIH,POLITICAL,"The term ""sex orientation"" is used in the context of ""sexual minority youth"" and ""victimization,"" indicating a focus on identity and social issues, which aligns with a political classification.
"
9,orientation,"isproportionately affected by mental health problems such as depression and suicidality relative to their heterosexual peers. these disparities are greatest during adolescence and persist into adulthood, and are generally attributed to the unique interpersonal stressors that they face (e.g., sexual orientation-related rejection). given that rejection is a robust risk factor for mental health problems, especially during adolescence, it has historically been the focus of research on sm individuals' mental health. however, in addition to experiences of rejection, expectations of rejection and the emotions t",A longitudinal and experience sampling investigation of rejection sensitivity and its role in sexual minority adolescents' mental health,NIH,POLITICAL,"The phrase ""sexual orientation-related rejection"" clearly places the term within the realm of social identity and related experiences of discrimination/rejection, indicating a political context.
"
10,orientation,"erns of substance use, the majority of research among sexual minorities to date has focused on college-aged populations. this gap in research with smy is critical to rectify, particularly for smy who experience multiple, intersecting forms of marginalization based on sex, race/ethnicity, and sexual orientation. building on our team’s prior work in this area, we propose to use pooled data from the local youth risk behavior survey (yrbs), a national biennial survey of high school students that assesses sexual identity and behavior, as well as health behaviors including alcohol use, hiv vulnerability, and m",Intersectional Approaches to Population-Level Health Research: Role of HIV Risk and Mental Health in Alcohol Use Disparities among Diverse Sexual Minority Youth,NIH,POLITICAL,"The term ""sexual orientation"" is used to describe a facet of identity and a basis for marginalization, aligning with its social and political significance.
"
