id,term,context,title,agency,classification,explanation
1,political,"es abstract vaccination of adults is central to control of sars-cov-2/covid-19 and multiple other infectious diseases. failure to engage in vaccine uptake is a complex, multilevel systems problem--individual factors such as fatalism, lack of factual information, medical and government mistrust, and political affiliation are all known inhibitors to vaccine uptake, as are community factors such as lack of access, limited delivery mechanisms, and messages from untrusted communicators. thus, addressing vaccine hesitancy requires a multilevel intervention that aligns and addresses individual, relational, an",K-VAC: Kentucky Vaccinating Appalachian Communities,NIH,POLITICAL,"The text mentions ""political affiliation"" as an inhibitor to vaccine uptake, linking it to a person's social or political identity and beliefs.
"
2,political,"ically-needed intersectional lens to these questions by testing the relationship of anti-black climates to rates of recovery in prospectively-assaulted black smw. combining these self-report and population-level datasets over multiple years provides an unprecedented opportunity to evaluate how sociopolitical environments influence health disparities while the disparities are emerging. given persistent health disparities among smw, identifying contributing factors across varying levels of causation is important for public health, both for smw, and also for other minoritized groups. we will draw upon our","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""sociopolitical environments"" refers to the interaction of social and political factors, influencing health disparities.
"
3,political,"amily, peers, and community2,3; media sources4; and federal, state, and local policy5,6. many of these factors stem from a historical evolution and regional idiosyncrasies, including regional differences in vaccination exemptions, levels of state funding, public health communications, religious and political sentiments, and, often, longstanding reluctance to vaccinate. although there is evidence that these factors contribute to vaccination in several domains, no past research has examined the ecology of this evolution for any vaccine. as a result, if a new hiv vaccine were introduced in the near future",Understanding the Regional Ecology of a Future HIV Vaccine,NIH,POLITICAL,"The term ""political sentiments"" relates to public opinion and attitudes towards vaccination, which are influenced by political ideologies and viewpoints.
"
4,political,"ties persist over time across age groups and groups with higher levels of education. there is no evidence to suggest that genetic or other inherent differences by race/ethnicity explain these disparities; race/ethnicity instead are suggested to represent an amalgam of individuals' social, cultural, political, and economic experiences throughout the life course. given that pregnancy is also a critical period in the life course, the psychosocial environment during pregnancy is suggested to impact physiologic pathways involved in obstetric and perinatal health. however, the pathways by which the psychosoc",Does self-reported psychosocial stress in pregnancy mediate the association between maternal race/ethnicity and hypertensive disorders of pregnancy?,NIH,POLITICAL,"The term 'political' is used as one of the axes of social stratification (social, cultural, political, and economic) that defines a person's experience of race/ethnicity. This highlights the social and power structures associated with race/ethnicity, rather than a technical or scientific meaning.
"
5,political,"regional hub for implementation science by providing advanced training for faculty (who are not yet expert in implementation science), doctoral level training and capacity development of students at a renowned public health university that is at the forefront of dynamic sociocultural, religious and political shifts. building on over 13 years of successful collaborations and partnerships in medical and public health research for key populations, with or at risk for hiv, we are poised to focus implementation science to overcome health disparities for pwid, msm, fsw, transgender populations and prisoners,",Malaysian Implementation Science Training (MIST) Program in HIV,NIH,POLITICAL,"The text refers to ""sociocultural, religious and political shifts,"" indicating that 'political' is used in a broader societal and governance context.
"
6,political,"rajectories while receiving gaht leaves providers with little guidance on how to individualize care. more broadly, research is limited by poor measurement of gender dysphoria and lack of inclusion of minority stress and resilience (msr) factors, which are particularly pronounced in the current sociopolitical climate. the functioning of parents of youth receiving gaht has also been overlooked despite the critical role parents play in the mental health of tgd youth. the proposed project leverages the longest-running study of tgd youth receiving gaht in the united states to address each of these critical ",Long-term trajectories of psychosocial functioning among transgender youth and their parents.,NIH,POLITICAL,"The phrase ""sociopolitical climate"" refers to the intersection of social and political factors that influence the experiences of transgender youth, including minority stress. This directly relates to social and political identities and power structures.
"
7,political," measures, medical, methodology, methods, minority, modeling, national institute of mental health, national institute on minority health and health disparities, neighborhoods, outcome, participant, pathway interactions, patient self-report, perception, pharmaceutical preparations, phase, phenotype, political factor, population, prevention strategy, public health, race, religiosity, research, risk behaviors, role, sampling, sexual health, sexually transmitted diseases, site, social adjustment, social support, southeastern united states, spirituality, stress, stressful event, structural racism, surveys, ",Multilevel Racism & Discrimination and PrEP Outcomes Among Black SMM in the Southeastern U.S.,NIH,POLITICAL,"""Political factor"" in this context likely refers to the influence of political policies, ideologies, or power structures on the health outcomes of Black SMM, aligning with a social/political context.
"
8,political,"ssociated with sars-cov-2 vaccine hesitancy. 2) distinguish homophily and dyadic characteristics and dynamics associated with misinformation and ct messages shared with family members, co-workers and health service providers. 3) identify latinx affiliations with community, celebrity, public health, political influencer and communication channels that spread ct and anti-ct messages. in all aims, we will also study the underlying social and structural factors associated with latinx health decision-making (e.g., discrimination, stigma, intimate partner violence) and beliefs and behaviors tied to misinform","LatiNET, a Multilevel Social Network Model to Examine and Address SARS-CoV-2 Misinformation in Low-Income Latinx Communities.",NIH,POLITICAL,"The text mentions ""political influencer"" which falls under the social and political sphere of influence and information dissemination.
"
9,political,"ed. as the most accessible healthcare professional in rural areas4,5 and one of the most trusted sources of medication information16, community pharmacists are well-positioned to address vaccine hesitancy with underserved, rural populations. because vaccination conversations are sensitive and often politically charged, pharmacists need implementation support, including training and ongoing guidance to deliver evidence-based vaccine hesitancy counseling interventions18. implementation facilitation, in which trained facilitators coach and troubleshoot problems with professionals as they implement new pra",Addressing COVID 19 Vaccine Hesitancy in Rural Community Pharmacies Reducing Disparities Through an Implementation Science Approach,NIH,POLITICAL,"The passage states that vaccination conversations are ""often politically charged,"" indicating the term is used in a social and political context.
"
10,political,"itution, interview, laboratories, lead, lesbian, link, literature, marriage, measures, mentors, mentorship, methodology, methods, minority, monitor, motivation, national institute on alcohol abuse and alcoholism, national research service awards, new york city, outcome, pathway interactions, phase, political factor, populations at risk, positioning attribute, postdoctoral fellow, psychologist, recording of previous events, research, research activity, research personnel, resources, risk, role, same-sex, sampling, scientist, secure, sex orientation, source, stress, surveys, testing, theoretical model, t",A mixed-methods approach to understanding stress and hazardous drinking among same-sex female couples,NIH,POLITICAL,"The term ""political factor"" in the context of ""populations at risk"" and related terms (lesbian, same-sex, sex orientation) suggests it refers to the social and political environment impacting this specific population.
"
