id,term,context,title,agency,classification,explanation
1,political,"holarship within engineering education suggests a need for (1) a modern, reparatory framework for helping engineering faculty and students understand political implications of engineering knowledge; and (2) an equity-focused resource to foster constructive evaluation of teaching. this project will provide ra",NA,NSF,POLITICAL,"The text discusses the ""political implications of engineering knowledge"" and implies a need to address equity, suggesting a focus on social and political dimensions.
"
2,political," to create a professional development program to help engineering faculty develop the skills to critically question social, cultural, historical, and political effects of this privilege in engineering. engineering education is built on a system that historically privileges and normalizes the values, beliefs,",NA,NSF,POLITICAL,"The grant text discusses the ""political effects"" of privilege within engineering, indicating a focus on power dynamics and societal structures, aligning with a social and political context.
"
3,political,"sparities, neighborhoods, outcome, participant, pathway interactions, patient self-report, perception, pharmaceutical preparations, phase, phenotype, political factor, population, prevention strategy, public health, race, religiosity, research, risk behaviors, role, sampling, sexual health, sexually transmit",NA,NIH,POLITICAL,"The term ""political factor"" suggests influence from or relevance to political systems, ideologies, or power dynamics, aligning with a social/political context within the research scope.
"
4,political,"d reshape democracy, as well as institutional reforms such as open government and participatory design of institutions even as they are also sites of political conflict and deep inequalities. this project (par-city) will examine how and why cities are responding to the democratic challenges by better underst",NA,NSF,POLITICAL,"The term 'political' is used in the context of democracy, institutional reforms, conflict, and inequalities, all of which relate to social and political structures and processes.
"
5,political,"flicting agendas, and social fragmentation that hinder collective efforts to tackle global challenges, including climate change, distrust in science, political instability, and economic inequality.    the project is structured around three interconnected themes.  the first theme focuses on developing a theor",NA,NSF,POLITICAL,"The term ""political"" is used in the context of ""political instability,"" which clearly falls under a social and political context rather than a scientific one.
"
6,political," it focuses on how people manage their social and psychological lives when covid-19 deaths are variously mourned, dismissed, or blamed on others in a politically fractious environment. the study contributes to understanding the social impact of misinformation and informs public policy responses to both the c",NA,NSF,POLITICAL,"The phrase ""politically fractious environment"" refers to a context of political disagreement and division.
"
7,political,"ey are ""missing out,"" while expressions of negative emotions (e.g., disgust, fear, and anger) can increase the spread of misinformation and intensify political polarization. combating these potential costs requires understanding the unique cultural and emotion-content signatures of social media use. in the u",NA,NSF,POLITICAL,"The phrase ""political polarization"" clearly indicates the term 'political' is being used within a social and political context.
"
8,political,"titute of drug abuse, nicotine, outcome, participant, pathway interactions, patient self-report, pattern, pharmaceutical preparations, phase, police, political factor, population, positioning attribute, process, psyche structure, public health, race, reporting, research, research design, research support, ri",NA,NIH,POLITICAL,"The term ""political factor"" suggests an external influence or consideration related to politics affecting the research or its outcomes.
"
9,political,"pulations. these disparities often stem from racial and socioeconomic discrimination that are deeply intertwined in historical, social, economic, and political processes, and overtime have limited access to quality education, job opportunities and wealth accumulation for minoritized communities. therefore, t",NA,NIH,POLITICAL,"The term 'political' refers to political processes that contribute to racial and socioeconomic disparities.
"
10,political,"s of c4. qualitative interviews will explore the factors affecting implementation at scale. lastly, we will develop a policy brief accounting for the political economy and non-economic welfare effects of 3mv+c4. this study advances hiv prevention science by generating evidence for an intervention that will c",NA,NIH,POLITICAL,"The text mentions ""political economy,"" indicating the term is used in a social and political context related to policy implementation.
"
11,political,"cists are well-positioned to address vaccine hesitancy with underserved, rural populations. because vaccination conversations are sensitive and often politically charged, pharmacists need implementation support, including training and ongoing guidance to deliver evidence-based vaccine hesitancy counseling in",NA,NIH,POLITICAL,"The text refers to vaccination conversations being ""politically charged,"" indicating a usage related to social and political viewpoints.
"
12,political,"indigenous scholars program, immersing students in land-based learning to deepen a relationship with their homeland while understanding how legal and political conflicts impact environmental and community health. students will explore ways of knowing in language, mathematics, science, arts, and society and c",NA,NSF,POLITICAL,"The term ""political"" refers to conflicts impacting environmental and community health, indicating a social and power-related context rather than a technical or scientific one.
"
13,political,social and political dynamics of lab-community relations this project aims to enhance the effectiveness of national scientific facilities. such facilities are essential t,NA,NSF,POLITICAL,"The phrase ""social and political dynamics"" suggests the term is being used in a social or political context related to interactions between a lab and the community.
"
14,political,"able, and effective for different communities and hazard types.    flooding dynamics are complex and uncertain, decision-making is limited by social, political, and institutional constraints, and participatory processes are very time-consuming. this project brings together experts in civil engineering, adapt",NA,NSF,POLITICAL,"The term 'political' is used in conjunction with 'social' and 'institutional constraints,' indicating its usage refers to governance, power structures, and policy-making processes rather than a purely scientific or technical definition.
"
