id,term,context,title,agency,classification,explanation
1,pollution," redlining, a 1930s government sponsored policy in which neighborhoods were classified by investment risk based largely on the presence of black residents, 2) residential racial and economic segregation and neighborhood socioeconomic status, and 3) residential environmental exposures (including air pollution, green space, and environmental noise). finally, we will explore how redlining grades are associated with patterns of neighborhood disadvantage and environmental pollution and how mixtures of social and environmental exposures are related to fertility. exposures will be derived from linkage between",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,AMBIGUOUS,". The text discusses ""environmental exposures"" including ""air pollution,"" ""green space,"" and ""environmental noise,"" indicating a focus on measurable environmental factors with potential health impacts, which falls under a scientific context.
"
2,pollution,"me of the award. building on cehjnm’s record of success, we propose through this application a renewed organizational structure, enhanced services, and strategic future directions to continue to respond to the most urgent local and global public health challenges of our times. academy, address, air pollution, articulation, award, awareness, biological, biometry, chemicals, collaborations, communication, communities, core facility, data, data science, dedications, development, doctor of philosophy, environmental exposure, environmental health, environmental risk factor, exclusion, fostering, funding, fu",Center for Environmental Health and Justice in Northern Manhattan,NIH,SCIENTIFIC,"The term ""air pollution"" appears alongside other terms directly related to environmental health and scientific research, such as ""environmental exposure,"" ""environmental risk factor,"" ""biological,"" ""chemicals,"" and ""data science."" This strongly indicates a scientific context.
"
3,pollution,"tice project summary we seek to develop the bronx environmental health summer training for justice (bestjustice) program for high school students in environmental justice communities in the bronx and manhattan in new york city. these communities not only experience some of the highest air and noise pollution levels in new york city but are also less likely to have members of their community pursue higher education, which in turn contributes to their continued marginalization and disinvestment. the bestjustice program expands the scope of an existing science technology engineering and math (stem) initia",Bronx Environmental Health Summer Training for Justice,NIH,SCIENTIFIC,"The text mentions air and noise pollution levels, which are measurable environmental factors studied in a scientific context.
"
4,pollution,"watts rising: a vision for a healthier watts abstract watts is a community in southeast los angeles that has faced systematic disinvestment, discrimination, and resource deprivation, resulting in health disparities across multiple domains including high rates of diabetes and obesity, high pollution burdens and limited employment opportunities. watts residents, almost exclusively people of color, (73% latinx and 25% black/african american), have a life expectancy twelve years lower than other parts of los angeles, largely due to decades of neglect the community has faced. this proposal builds ",Watts Rising: A Vision for a Healthier Watts,NIH,POLITICAL,"The term ""pollution"" is used in conjunction with ""systematic disinvestment, discrimination, and resource deprivation"" and linked to health disparities and lower life expectancy in a predominantly minority community. This frames pollution as a consequence of social and political factors rather than solely a scientific or technical issue.
"
5,pollution,"g, hypertension, individual, intervention, interview, kidney, kidney diseases, kidney failure, legal, link, lived experience, longitudinal studies, measures, mentors, mentorship, methods, outcome, participant, patient outcomes assessments, patients, penetrance, persons, pharmacy facility, policies, pollution, poverty, prevalence, race, research, research personnel, resources, risk, risk factors, science, social environment, structural racism, structure, system, techniques, testing, training, waiting lists, black patient, career, clinical risk, cohort, comorbidity, design, disorder risk, experience, fea","Structural Racism as a ""Third hit"" on kidney outcomes of Black individuals with APOL1 risk alleles",NIH,POLITICAL,"The presence of terms like ""structural racism,"" ""poverty,"" ""race,"" and ""social environment"" alongside ""pollution"" suggests it's being used in the context of environmental racism or disproportionate exposure to pollution due to systemic inequalities.
"
6,pollution,"itical to the health and prosperity of marine ecosystems. this project will be important in helping predict how this combination of stressors will increase the presence of certain seaweeds that affect the ecosystems they inhabit, like coral reefs and seagrass beds. the effects of climate change and pollution conditions on seaweeds will be studied with field and experimental approaches, thus advancing our understanding of these impacts. additionally, this project will provide direct educational and research opportunities to florida international university students, thus promoting science, technology, e",Postdoctoral Fellowship: CREST-PRP: Exploring the Impact of Heat-Waves and Nutrients on Bloom-Forming and Habitat-Building Seaweeds Along the South Florida Coast,NSF,SCIENTIFIC,"The text discusses the effects of ""climate change and pollution conditions on seaweeds,"" clearly referring to the impact of pollutants on marine ecosystems, which is a scientific context.
"
7,pollution,"d other scientific fields and through community-based civic science, the problem of cumulative exposure has posed special challenges to the environmental protection agency (epa), the premier environmental regulator in the united states. this project will study how epa’s science-based and data-based pollution control has contended with and adapted to the growing knowledge of cumulative exposures in environmental justice communities. it aims to boost the nation’s collective capacity to achieve greater environmental justice both intellectually, by looking for science-related epa practices that may require","Data, Science, and Environmental Justice",NSF,SCIENTIFIC,"The term 'pollution' is used in the context of EPA's ""science-based and data-based pollution control,"" indicating a technical and scientific application related to environmental regulation and monitoring.
"
8,pollution,"ss to food, energy, and water in indigenous communities; and limited educational and career pathways available to indigenous populations to address these needs. the disproportionate number of indigenous people who have being negatively impacted by climate change, the on-going covid-19 pandemic, and pollution on tribal lands demonstrate the urgent need for effective solutions. currently, there are limited institutional pathways for native americans and other underrepresented students to pursue environmental careers. the university of california at berkeley, university of arizona and american indian high","Collaborative Research: NSF INCLUDES Alliance: Broadening Career Pathways in Food, Energy, and Water Systems with and within Native American Communities (Native FEWS Alliance)",NSF,POLITICAL,"The term ""pollution"" is used in the context of its negative impact on tribal lands and indigenous communities, highlighting a social and political issue related to environmental justice.
"
9,pollution,"ss to food, energy, and water in indigenous communities; and limited educational and career pathways available to indigenous populations to address these needs. the disproportionate number of indigenous people who have being negatively impacted by climate change, the on-going covid-19 pandemic, and pollution on tribal lands demonstrate the urgent need for effective solutions. currently, there are limited institutional pathways for native americans and other underrepresented students to pursue environmental careers. the university of california at berkeley, university of arizona and american indian high","NSF INCLUDES Alliance: Broadening Career Pathways in Food, Energy, and Water Systems with and within Native American Communities (Native FEWS Alliance)",NSF,POLITICAL,"The term ""pollution"" is used in the context of its impact on tribal lands and indigenous people, highlighting social and environmental justice issues. This connects the concept of pollution to a specific population and its well-being, making it a political issue.
"
10,pollution,"cally analyzing data-based claims. this project investigates how youth can use low-cost sensors to collect data from their communities and engage in data science practices to explore and tell stories about community-relevant phenomena (e.g., climate change, urban segregation, public transportation, pollution). these museum-based camps are week-long, immersive experiences that focus on question formulation, data collection, analysis, visualization, and interpretation. the informal camp setting offers a mix of both high-contact instructional time (i.e., working with other students and facilitators during",Integrating Research and Practice: Reimagining Youth Community Science through Make-and-Take Data Sensing Kits,NSF,SCIENTIFIC,"The term ""pollution"" is used as an example of a community-relevant phenomenon that can be explored using data science practices and low-cost sensors. This suggests a scientific investigation and measurement of pollution levels, aligning with a technical context.
"
