id,term,context,title,agency,classification,explanation
1,prejudice,"depression, mental health, methodology, methods, modeling, nigerian, outcome, pathway interactions, performance, population, population intervention, prejudice, preparation, prevalence, provider, qualitative research, research, role, same-sex, sexual and gender minorities, sexuality, shapes, social workers, ",NA,NIH,POLITICAL,"The term ""prejudice"" is listed alongside terms like ""same-sex,"" ""sexual and gender minorities,"" and ""sexuality,"" suggesting it refers to bias or discrimination against these groups, which is a political and social issue.
"
2,prejudice,"lopment, nulliparity, outcome, pathway interactions, patient self-report, persons, physiological, politics, pre-eclampsia, pregnancy, pregnancy rate, prejudice, proxy, psychosocial stress, public health, race, reporting, reproductive health, risk, social support, stress, time, united states, white women, wom",NA,NIH,POLITICAL,"The term ""prejudice"" is listed alongside terms like ""race,"" ""politics,"" ""social support,"" and ""public health,"" suggesting its usage relates to social inequalities and biases, which falls under a political context.
"
3,prejudice,"lus (hp+) ‘total’ facility hiv stigma-reduction intervention and contact theory, which have demonstrated efficacy in reducing race-related intergroup prejudice. transcends targets the clinics’ organizational (e.g., anti-racist and diversity, equity and inclusion [dei] policies) and systems (e.g., staff attit",NA,NIH,POLITICAL,"The term 'prejudice' is used in relation to ""race-related intergroup prejudice"" and anti-racist policies, indicating a social, political, and identity context.
"
4,prejudice,"gender identity is different than their genetic sex (as opposed to cisgender men and women; cm and cw). as a result, tm and tw may experience stigma, prejudice and depression, putting them at greater risk for negative health outcomes and impacted quality of life. thus, this understudied community provides a ",NA,NIH,POLITICAL,"The term 'prejudice' is used in the context of gender identity and the experiences of transgender men and women, indicating a social and identity-based usage.
"
5,prejudice,"gender identity is different than their genetic sex (as opposed to cisgender men and women; cm and cw). as a result, tm and tw may experience stigma, prejudice and depression, putting them at greater risk for negative health outcomes and impacted quality of life. thus, this understudied community provides a ",NA,NIH,POLITICAL,"The term 'prejudice' is used in the context of gender identity and its impact on health outcomes, which directly relates to social and political issues surrounding transgender individuals.
"
6,prejudice,"oups and communities. specifically, macroaggressions necessitate that individuals, especially those in positions of power and leadership change their prejudices and actions. thus, interventions for macroaggressions and structural racism must recognize and address racial and ethnic prejudices and discriminati",NA,NIH,POLITICAL,"The text discusses prejudice in the context of macroaggressions, structural racism, and power dynamics within groups and communities, indicating a social and political context.
"
7,prejudice,"n health coalition of the greater houston area dba hope clinic and our partners share the mission of health and wellbeing equity for everyone without prejudice. in our proposal, “texas hope: together dissolving food insecurity structural barriers,” we declare our commitment to ending food insecurity, an intr",NA,NIH,POLITICAL,"The term ""prejudice"" is used in the context of health equity and wellbeing ""for everyone without prejudice,"" indicating a social and political dimension related to fairness and equal treatment.
"
8,prejudice,"ship, methods, minority, minority groups, mission, national institute of nursing research, outcome, parents, participant, pattern, phase, population, prejudice, race, research, research personnel, risk, sampling, school nursing, sex orientation, sexual health, sexual and gender minorities, sexually transmitt",NA,NIH,POLITICAL,"The term 'prejudice' is listed alongside terms like 'minority groups', 'race', 'sex orientation', and 'sexual and gender minorities', indicating its usage in a social, political, or identity-related context within the research grant.
"
9,prejudice,"h, tgd people live long and complex lives beyond gender-affirming surgery; this intervention does not alleviate the deeply-rooted systemic stigma and prejudice towards tgd people that leads to chronic minority stress and negatively affects their health outcomes. furthermore, most previous literature focuses ",NA,NIH,POLITICAL,"The term 'prejudice' is used in the context of systemic stigma towards transgender and gender diverse (tgd) people, indicating a social and political issue related to identity and discrimination.
"
10,prejudice,"alth, nonprofit organizations, outcome, participant, personal satisfaction, persons, policies, policy research, population, population heterogeneity, prejudice, process, public health schools, reporting, research, research design, research personnel, research priority, resources, rights, rural, rural health,",NA,NIH,POLITICAL,"The term 'prejudice' in this context likely refers to social inequalities and biases that impact health outcomes and access to resources, aligning with a political or social justice context.
"
