id,term,context,title,agency,classification,explanation
1,privilege,"he united states. black women experience infertility at approximately two times the rate of white women, yet are less likely to seek medical care and have poorer fertility treatment outcomes. despite this disparity, epidemiologic research on infertility has largely been conducted among economically privileged white couples seeking treatment at fertility clinics. studies of fertility that enroll women during preconception or early pregnancy have likewise had limited success in recruiting black women. thus, there has been virtually no study of causes of infertility in black women. racial residential segr",An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,NIH,POLITICAL,"The term 'privileged' refers to the economic status of white couples and highlights the disparity in research focus based on race and socioeconomic factors.
"
2,privilege,"nate risk of poor health behaviors, experiences and outcomes compared to their straight, cisgender peers. sgm youth, however, are not a homogenous population; each has multiple social identities that affect the risk and protection they experience. intersectionality refers to ways in which power and privilege are structured based on interrelated social positions (e.g. due to race/ethnicity, immigrant status, native language) and how individual experiences reflect processes that confer privilege and disadvantage. mutually constitutive forms of social oppression (e.g., stigma simultaneously based on race/","Adolescent health at the intersections of sexual, gender, racial/ethnic, immigrant identities and native language",NIH,POLITICAL,"The term 'privilege' is used in the context of intersectionality and social power structures, relating to social identities and experiences of advantage and disadvantage, indicating a social and political usage.
"
3,privilege,"st economic and social inequality for children and youth in the us. our main challenge is to reduce child poverty, increase mobility opportunities that foster equity, wellness, and healthy development. intervening in the social context providing additional resources for children and youth from less privileged socioeconomic status to attain their full health potential is paramount. collective impact provides pr-caribe’s hera tools to launch structural changes through policies, practices, and programs impacting selected health outcomes. pr is on the threshold of structural change. at the policy and pract","Puerto Rico Collaborative Advancement of Research, Innovations, Best Practices and Equity for Children, Youth and Families (PR-CARIBE)",NIH,POLITICAL,"The term ""less privileged socioeconomic status"" refers to a social and economic disadvantage, aligning with political and social equity concerns.
"
4,privilege,"their transportation budget and support using new modes of transportation. the aim of the project is to show that by providing access to transportation and support in navigating resources, riders will experience improvements in health and well-being. this project will focus on individuals with less privileged socioeconomic status and racial and ethnic minority groups in communities of persistent poverty and justice40-identified disadvantaged communities. advocate, budgets, caring, communities, electronics, health, health resources, individual, intervention, justice, michigan, personal satisfaction, pov",Reducing Health Disparities through Enhanced Mobility Support and Access,NIH,POLITICAL,"The term ""less privileged socioeconomic status"" refers to a social and economic hierarchy, indicating disadvantage and inequality, which aligns with a political context.
"
5,privilege,"ning in authentic science practice over the next five years, and we will continue to assess and report on the long-term outcomes of a successful summer research program designed to increase diversity in the scientific workforce. the program provides a diverse group of high school students from underprivileged communities with the necessary support to develop their sense of identity and self-efficacy in science, technology, engineering, and math (stem). we propose to continue recruiting students through partnerships with current youth-serving programs in the communities via an inclusive application proc",Brain Research Apprenticeships in New York at Columbia (BRAINYAC),NIH,POLITICAL,"The term ""privilege"" (implied in ""underprivileged"") relates to socio-economic status and access to opportunities, indicating a focus on social equity and diversity in the scientific workforce.
"
6,privilege,"m the moment-to-moment learning interactions that perpetuate racial inequalities across a myriad of stem contexts. the project therefore aims to achieve two primary outcomes. first, to deepen educators' capacity to mediate the moment-to-moment tensions that arise between stem concepts and practices privileged in schools, and those that attend to students' cultural and intellectual lives; and second, to generate knowledge on how to systematically support educators as they wrestle with the conceptual and ethical complexities of unjust stem teaching and learning.    this three-year study is structured aro",Collaborative Research: Reimagining Educator Learning Pathways Through Storywork for Racial Equity in STEM,NSF,POLITICAL,"The term 'privileged' refers to STEM concepts and practices that are favored or prioritized in schools, often in a way that disadvantages students from different cultural and intellectual backgrounds. This relates to issues of racial equity and social justice, making it a political usage.
"
7,privilege,"school courses that award students both high school and college credit, providing students with experience with rigorous college-level coursework, a sense of purpose and readiness for college, and reduced college tuition costs. traditionally, dual enrollment courses have functioned as a “program of privilege,” providing advanced opportunities for college-track students. yet, when designed and implemented to meet the needs and interests of all students, dual enrollment courses are a promising approach for making college and career opportunities more available to underrepresented groups. centering the ne",Milwaukee Mathematics Dual Enrollment Equity Pathways,NSF,POLITICAL,"The term ""privilege"" is used to describe how dual enrollment courses have historically benefited a specific group (""college-track students"") at the expense of others, highlighting issues of equity and access. This aligns with a social and political understanding of privilege.
"
8,privilege," capabilities of minoritized youth in particular as they engage in engineering design. the project has three objectives. first, it will refine curricular resources in alignment with socially transformative engineering pedagogy and offer professional development with a sociocultural perspective that privileges students’ cultural knowledge and discourse patterns. second, it will promote futures reasoning and social justice by advancing the capabilities of educational technologies for sustainable infrastructure design using computer-aided design, including but not limited to ai applications such as genera",Socially Transformative Engineering Pedagogy for a Sustainable Future,NSF,POLITICAL,"The term 'privileges' is used in relation to students' cultural knowledge and discourse patterns, indicating a focus on social justice and equity within the educational setting. This aligns with a political context emphasizing the recognition and valuing of diverse cultural backgrounds.
"
9,privilege,"n careers in computer science (cs) related areas represent many of the best-paid jobs in the nation. however, black women comprise less than 1% of the workforce at the most popular u.s. software companies. low participation of black students in cs areas is often attributed to a lack of “preparatory privilege,” encompassing the unavailability of resources and experiences that build content knowledge and associated skills, and few role models. this scaling, expanding, and iterating innovations project will scale up a successful project that engaged black young women in high schools throughout the state o",Collaborative Research: SEI: Creating a Lasting LEGACY - Scaling a Peer-learning Community Model to Provide AP CS Preparation and Career Awareness for Black Young Women,NSF,POLITICAL,"The term ""preparatory privilege"" refers to the systemic advantages and disadvantages related to race and access to resources, which is a social and political issue.
"
10,privilege,"hood economic decisions and outcomes. in addition, the study will also collect oral histories from those who have lived in polluted neighborhoods to document their experiences.  the results of this study will inform public policy and suggest a way out of the low environmental quality trap that underprivileged communities face.  the results of this research project will also provide important inputs into environmental policy generally, thus improving the health of u.s. citizens, especially those at the lower end of the socio-economic ladder.    this project extends the canonical spatial sorting model to",Multigenerational Persistence of Environmental Exposure,NSF,POLITICAL,"The text discusses ""underprivileged communities"" and the ""socio-economic ladder,"" indicating a usage related to social and economic inequality, which falls under a political context. The focus on informing public policy further reinforces this classification.
"
