id,term,context,title,agency,classification,explanation
1,promoting diversity,"nership is to create systemic and sustainable culture change to further support inclusive excellence in research at both institutions. within our theme of health disparities, we will build a community of scientists committed to inclusive excellence by recruiting 12 early-career faculty committed to promoting diversity and inclusion and interested in addressing health disparities. these faculty will be hired across 3-4 clusters representing areas of research strength and opportunity across our institutions: cancer, obesity and diabetes, cardiovascular disease, and neuroscience. program hires will be designated as",UAB/Tuskegee Faculty Institutional Recruitment for Sustainable Transformation (UAB/TU FIRST) Partnership (NIH U54),NIH,POLITICAL,"The term ""promoting diversity and inclusion"" is used in the context of recruiting faculty and building a community of scientists committed to inclusive excellence, which points to a social and political agenda within the research environment.
"
2,promoting diversity,"nership is to create systemic and sustainable culture change to further support inclusive excellence in research at both institutions. within our theme of health disparities, we will build a community of scientists committed to inclusive excellence by recruiting 12 early-career faculty committed to promoting diversity and inclusion and interested in addressing health disparities. these faculty will be hired across 3-4 clusters representing areas of research strength and opportunity across our institutions: cancer, obesity and diabetes, cardiovascular disease, and neuroscience. program hires will be designated as",UAB/Tuskegee Faculty Institutional Recruitment for Sustainable Transformation (UAB/TU FIRST) Partnership (NIH U54),NIH,POLITICAL,"The phrase ""promoting diversity and inclusion"" in this context relates to broader societal goals of representation and equity, specifically within the academic and research environment. While it impacts scientific research, the core of the phrase aligns with social and political aims of inclusion and representation.
"
3,promoting diversity,"ence and diversity at the macro (institutional), meso (hiring unit/center/department), and micro (faculty) levels.  aim 2. recruit, hire, and retain 6 new urm faculty within the clusters of chronic disease prevention and management or mental health to form the first cohort as a replicable model for promoting diversity, equity, and inclusive excellence in health-science research at fsu.  aim 3. develop and implement a systems-levels approach (macro, meso, micro) to establish individual research and career development plans and mentorship plans for each member of the first cohort.  by recalibrating the standard in",Fostering Institutional Resources for Science Transformation: The FLORIDA-FIRST Health-Science Brigade,NIH,POLITICAL,"The term is used in the context of hiring and retaining URM (underrepresented minority) faculty to increase diversity, equity, and inclusion, which are inherently social and political goals within an institutional setting.
"
4,promoting diversity,"experience to stem ur/ug students, supporting them to complete their baccalaureate degree, gain biomedical related research training and career development, and enter and complete biomedical, research-focused graduate program. our goal and mission is aligned with nsu’s and nih’s missions related to promoting diversity and research and careers in the biomedical sciences. nsu ug will be the source of trainees and has a significant number of ur/ug students enrolled in stem related degree programs. the new program will enroll seven new ur/ug trainees per year. they will work with any one of 27 faculty mentors that c",U-RISE at Nova Southeastern University,NIH,POLITICAL,"The phrase ""promoting diversity"" is used in alignment with the missions of NSU and NIH, which often have diversity mandates reflecting broader social and political goals related to representation and inclusion of underrepresented groups in STEM.
"
5,promoting diversity,"experience to stem ur/ug students, supporting them to complete their baccalaureate degree, gain biomedical related research training and career development, and enter and complete biomedical, research-focused graduate program. our goal and mission is aligned with nsu’s and nih’s missions related to promoting diversity and research and careers in the biomedical sciences. nsu ug will be the source of trainees and has a significant number of ur/ug students enrolled in stem related degree programs. the new program will enroll seven new ur/ug trainees per year. they will work with any one of 27 faculty mentors that c",U-RISE at Nova Southeastern University,NIH,POLITICAL,"The phrase ""promoting diversity"" in this context refers to addressing underrepresentation in STEM fields, which is a social and political goal. It aligns with broader institutional missions focused on equity and inclusion.
"
6,promoting diversity,"experience to stem ur/ug students, supporting them to complete their baccalaureate degree, gain biomedical related research training and career development, and enter and complete biomedical, research-focused graduate program. our goal and mission is aligned with nsu’s and nih’s missions related to promoting diversity and research and careers in the biomedical sciences. nsu ug will be the source of trainees and has a significant number of ur/ug students enrolled in stem related degree programs. the new program will enroll seven new ur/ug trainees per year. they will work with any one of 27 faculty mentors that c",U-RISE at Nova Southeastern University,NIH,POLITICAL,"The phrase ""promoting diversity"" in the context of a grant proposal focusing on UR/UG students in STEM and aligning with NSU's and NIH's missions clearly refers to addressing underrepresentation and promoting equity, which is a politically charged social issue. While it relates to science, the specific usage here aligns with broader diversity, equity, and inclusion initiatives, which are inherently political.
"
7,promoting diversity," through the activation of social science research broadens participation.    the alliances' knowledge-generating research project will promote research, development of scientific skills, and communication while activating the power of the social science construct of multicontext theory and further promoting diversity in stem and longer-term success for each student and faculty participant. this framework will enable expanded collaborative opportunities for students, faculty, and partner universities while aiding the waeso aisle project in further institutionalizing the proposed efforts in a way that could be re",Louis Stokes Renewal STEM Pathways and Research Alliance:Western Alliance to Expand Student Opportunities Advancing Institutionalization for STEM Leadership Expansion (WAESO-AISLE),NSF,POLITICAL,"The phrase ""promoting diversity in STEM"" within the context of a grant focused on expanding opportunities for underrepresented groups suggests a social and political aim to address inequalities within the scientific field. The grant's focus on ""broadens participation"" and ""longer-term success for each student and faculty participant"" further reinforces the political nature of the usage.
"
8,promoting diversity,"ith strong research programs and holding a minority serving status. composed of researchers and leaders from two hispanic serving r2 institutions: texas a&m university – corpus christi (tamu-cc) and new mexico state university (nmsu), this nsf agep catalyst alliance team is using their expertise in promoting diversity to expand knowledge about the shared and specific challenges facing doctoral students and early career faculty in stem field and building best practices to catalyze equitable and inclusive institutional transformation.    the specific goals of the 2-year project are to identify the inequities in th",Collaborative Research: AGEP ACA: An HSI R2 Strategic Collaboration to Improve Advancement of Hispanic Students Into the Professoriate,NSF,POLITICAL,"The phrase 'promoting diversity' is used in the context of addressing inequities and fostering equitable and inclusive institutional transformation, which are inherently social and political goals related to representation and fairness within STEM fields.
"
9,promoting diversity,"measure of black and latina/o student mathematics engagement. it is anticipated that that the measure and results will have broader impact as they may transfer to other contexts, particularly other urban schools. additionally, the critical participatory action research design has a direct impact on promoting diversity in the field of stem research as black and latina/o students gain experience conducting research and practitioners grow in their capacity to authentically listen to and uplift black and latina/o voices. by prioritizing and uplifting the voices of black and latina/o students through collaborative me",Collaborative Research: Adapted Measure of Math Engagement: Designing self-report measures of mathematics engagement for Black and Latina/o middle school students,NSF,POLITICAL,"The term ""promoting diversity"" refers to increasing the representation and inclusion of Black and Latina/o students in STEM research, which is a social and political goal related to equity and representation.
"
10,promoting diversity," through immersive and educational experiences through two key events: the essence festival and black in marine science (bims) week. at the essence festival, the “bims ocean to essence” exhibit showcases marine science through interactive displays and activities with focus on inspiring interest and promoting diversity in the geosciences. bims week, a professional wellness retreat supports and develops a diverse body of marine scientists with expert-led workshops, cultural excursions, and networking opportunities. these initiatives aim to foster a sense of community, enhance professional growth, and promote inclu",Planning: Bringing the Ocean to the Streets: Strategic Approaches for Engaging Historically Excluded Communities in Geosciences,NSF,POLITICAL,"The term 'promoting diversity' is used in the context of engaging historically excluded communities and fostering a sense of community within a specific identity group (Black marine scientists), aligning with social and political goals of inclusion and representation.
"
