id,term,context,title,agency,classification,explanation
1,pronoun,"sault recovery among sexual minority women: a longitudinal, multi-level study project summary/abstract sexual minority women (smw) experience disproportionately high risk of sexual assault (sa) and resulting mental health sequelae (e.g., depression, ptsd), and these sequelae appear to be especially pronounced among black smw. the main theoretical model of sexual minority mental health disparities (i.e., the minority stress model) attributes this elevated risk to climate-level factors (e.g., laws, policies, and other conditions that afford risk or protection to minoritized groups) that vary across mun","Sexual Assault Recovery Among Sexual Minority Women: A Longitudinal, Multi-Level Study",NIH,POLITICAL,"The term ""sexual minority women"" and the discussion of minority stress model points to the use of ""pronoun"" in a social, political, or identity context. While the overall grant is scientific, the specific context around ""sexual minority"" relates to a political or identity-based group.
"
2,pronoun,"dc. these inequities are largely attributable to transgender adolescents’ exposure to discrimination in multiple places, including at school. gender-affirming school practices, which supportively address the needs and experiences of transgender students (e.g., teachers using students’ affirmed name/pronouns), have been shown to mitigate mental health problems (e.g., depression, anxiety) for transgender adolescents. despite calls from the us department of education to increase gender-affirming practice implementation in schools, few if any evidence-based resources exist to support practice adoption. t",Development of a School-Based Prevention Intervention to Promote Adolescent Mental Health Equity,NIH,POLITICAL,"The term ""pronouns"" is used in the context of gender-affirming practices and addressing the needs and experiences of transgender students, which is a social and political issue.
"
3,pronoun,"s in tgd youth’s psychosocial trajectories while receiving gaht leaves providers with little guidance on how to individualize care. more broadly, research is limited by poor measurement of gender dysphoria and lack of inclusion of minority stress and resilience (msr) factors, which are particularly pronounced in the current sociopolitical climate. the functioning of parents of youth receiving gaht has also been overlooked despite the critical role parents play in the mental health of tgd youth. the proposed project leverages the longest-running study of tgd youth receiving gaht in the united states t",Long-term trajectories of psychosocial functioning among transgender youth and their parents.,NIH,SCIENTIFIC,"The term ""pronoun"" is implicitly referenced within the context of ""tgd youth"" (transgender youth) and the study of their psychosocial trajectories. The grant is focused on a scientific study of mental health and well-being, where gender identity is a key variable, but the discussion centers around research methodologies and the lack of guidance for individualizing care for transgender youth. The context implies an understanding of gender identity as a scientific or psychological factor being studied.
"
4,pronoun,"sitively related to increased polysubstance use through ptsd symptoms. second, the association between present-day racial discrimination and ptsd symptoms will be moderated by levels of historical trauma. ultimately, it is hypothesized that the subjective response to racism-based events may be more pronounced among participants who endorse greater experiences of historical trauma. the psychometric evaluation will be conducted using confirmatory factor analysis and testing the associations between historical trauma and psychological symptoms (complex trauma symptoms, ptsd symptoms, rumination, grief, ","Exploring Historical Trauma, Racial Discrimination, PTSD, and Substance Use Among Black Young Adults",NIH,SCIENTIFIC,"The passage describes a study using confirmatory factor analysis and testing associations between psychological constructs, indicating a technical, scientific context. While racial discrimination and historical trauma are involved, the usage within this excerpt is focused on the methodological and analytical aspects of psychological research.
"
5,pronoun,"ed outcomes of this project also include decreased attrition, increased research participation, and higher graduation rates of students who participate as peer-leaders, compared to other psychology majors. finally, consistent with peer learning implementation in other stem-focused courses, the most pronounced improvements are expected to be among black and hispanic students. the project aims to develop a ""pebble in a box"" solution that can be easily adapted by other disciplines and other institutions. the hsi program aims to enhance undergraduate stem education and build capacity at hsis. projects su",HSI Implementation and Evaluation Project: Using Peer-Enhanced Blockchain-Based Learning Environments to Promote Student Engagement and Retention,NSF,POLITICAL,"The passage refers to ""black and hispanic students,"" which is a discussion tied to demographics and potentially issues of equity and access within STEM education, making it a political context.
"
6,pronoun,"s now nearly equal to men, women account for less than a third of stem faculty positions in american universities-- and even fewer faculty with intersectional identities. the university of denver (du) will address this problem with an interdivisional coalition and initiative called the du-meristem (pronounced “mer-ə-stem”).  “meristem” is a scientific term that refers to plant tissues with rapidly reproducing cells responsible for growth, development, and healing. similarly, the du programs will aim to promote the growth of the stem leadership to be able to guide cultural change and hiring, develop m",Adaptation: DU MERISTEM - Mobilizing Equity to Raise Inclusivity in STEM,NSF,SCIENTIFIC,"The text discusses STEM faculty positions and uses ""meristem,"" a scientific term related to plant biology, as the basis for the program's name. Therefore, STEM refers to the scientific field encompassing science, technology, engineering, and mathematics.
"
7,pronoun,"p:in:fostering stem education and career opportunities in a diverse wisconsin community this award is funded in whole or in part under the american rescue plan act of 2021 (public law 117-2).    like many school districts in the united states, the school district of beloit, wisconsin struggles with pronounced racial and ethnic inequities and achievement gaps, particularly notable in science, technology, engineering, and mathematics (stem).  in order to confront these academic and societal challenges, the pis propose to develop an informal network known as the wisconsin educational leadership for comm",GP:IN:Fostering STEM Education and Career Opportunities in a Diverse Wisconsin Community,NSF,AMBIGUOUS,"The context is unclear and incomplete. The text snippet mentions ""pis propose,"" which could potentially be related to Principal Investigators, but without more context, it's impossible to definitively classify the usage of ""pronoun"" (or any term starting with ""p"") in this abbreviated text. It could be an acronym, a typo, or part of a longer word cut off mid-sentence.
"
8,pronoun,er a two-year period and models how culturally responsive and affective instruction can occur in the stem classroom to engage students. the project participants include 48 secondary science and mathematics teachers who work with about 5300 students in a district with some of the most persistent and pronounced educational equity issues in the state of florida. the associated research will have implications for theory and practice that can be extended to improve stem educator development in schools and districts throughout the country. this aligns with nsf’s commitment to advancing k-12 student and tea,"Culturally Responsive, Affective-Focused Teaching of Science and Mathematics",NSF,AMBIGUOUS,"The provided text is incomplete (""tea"" at the end). It's impossible to determine if the word 'pronoun' would be used later in the context of social identity (political) or grammatical structure (scientific).
"
9,pronoun,"national data show that engineering students experiencing mental health distress are significantly less likely than their peers to seek professional mental health help. while treatment gaps exist for cisgender men, persons of color, and first-generation students, these group disparities are further pronounced among engineering students. in this study, we aim to address these concerns about mental health treatment underutilization in engineering through a theoretically grounded, multi-institution study of the beliefs influencing professional help seeking in diverse engineering student populations. thi",Research: Identifying intervention targets to increase mental health help seeking in undergraduate engineers,NSF,POLITICAL,"The context refers to ""cisgender men, persons of color, and first-generation students,"" which are terms relating to social identity and group disparities, placing the usage of ""pronoun"" in a political context.
"
10,pronoun,"track 1: conference - two means to an end, broadening participation research and practice - career panel and workshop for deia leaders the vision of the conecd (pronounced, “connected”) conference is to provide a forum for exploring current research and practices to enhance diversity and inclusion of all underrepresented populations in the engineering and computing professions including gender identity and expression, race and ethnicity, disability, veterans, lgbt","Track 1: Conference - Two Means to an End, Broadening participation research and practice - CAREER panel and workshop for DEIA leaders",NSF,POLITICAL,"The term ""gender identity and expression"" clearly places the context within social, political, and identity-related discussions surrounding diversity, equity, and inclusion. Pronouns are intrinsically linked to gender identity and expression.
"
