id,term,context,title,agency,classification,explanation
1,race," misinformation exposure towards covid- 19 vaccination, model predictors of highly engaging and persuasive messages (including sources, linguistic choices, and content); and to use pragmatic qualitative methods to understand individual response to social media misinformation with a specific lens on race (black and white individuals) and location (rural and urban). while we focus our message development process on covid-19 vaccination as a timely and critical behavior, and compare targeting across four specific audiences (black rural residents, white rural residents, black urban residents, and whit",Investigating and identifying the heterogeneity in COVID-19 misinformation exposure on social media among Black and Rural communities to inform precision public health messaging,NIH,POLITICAL,"The term 'race' is used to define specific populations (Black and White individuals) within a social context, related to health disparities and targeted messaging. This usage aligns with how race is often employed in discussions of social groups and identity, particularly in relation to healthcare and public health interventions.
"
2,race,"bust evidence on early use and outcomes of lai prep is needed to design implementation strategies to minimize hiv infections, inequities in use, and drug resistance. large-scale oral prep studies have historically relied on prescription data, with limited ability to evaluate key determinants (e.g., race), barriers to use, or clinical outcomes. research in healthcare systems can combine the breadth of electronic health record (ehr) data with the depth of qualitative studies to guide efficient and equitable implementation of prep. our study, cabotegravir prep: actionable robust evidence for translat",Cabotegravir PrEP: Actionable Robust Evidence for Translation into Practice (CABARET),NIH,POLITICAL,"The term ""race"" is used in the context of inequities in healthcare access and outcomes, suggesting a focus on social and political determinants of health.
"
3,race,"ian gay bisexual, longevity, low birth weight infant, maternal and child health, mediator, mental depression, modeling, mothers, nurses, nurses',  health study, obesity, outcome, parents, participant, pattern, perinatal, policies, politics, populations at risk, pregnancy, public health, publishing, race, reporting, research, resources, rights, riots, risk, risk factors, same-sex, sampling, sex orientation, sexual health, sociology, spontaneous abortion, stress, subgroup, testing, united states national institutes of health, vulnerable populations, woman, work, aged, barrier to care, child bearing,",Sexual orientation-related disparities in obstetrical and perinatal health,NIH,POLITICAL,"The term 'race' appears in a list of terms related to health disparities, vulnerable populations, and social issues, suggesting it is being considered as a factor contributing to inequalities in obstetrical and perinatal health outcomes. This aligns with a political context where race is acknowledged as a social construct influencing health outcomes.
"
4,race,"nih's improve initiative. ultimately, ny-champ will alter the underlying structural drivers of smm/mm in nyc and nys and shift the scientific paradigm for excellence in maternal health research. accounting, address, affect, artificial intelligence, asian, biological, birth, black populations, black race, cardiovascular system, caribbean region, caring, centers of research excellence, cities, clinical decision support systems, cognitive therapy, collaborations, communities, community healthcare, community hospitals, data, disparity, ecosystem, electronic health record, ensure, equity, evaluation, g",NY Community-Hospital-Academic Maternal Health Equity Partnerships (NY-CHAMP),NIH,POLITICAL,"The terms ""black populations"" and ""black race"" appear in a list related to health equity and addressing disparities, indicating a focus on social and demographic categories relevant to health outcomes, aligning with a political context.
"
5,race," to inform efforts to reduce disparities; three research projects that improve the identification and early treatment of psychopathology, suicidality, and traumatic experiences among rel-diverse youth. acceleration, address, adolescent, adolescent and young adult, age, age years, area, asian, black race, boston, budgets, covid-19 impact, covid-19 pandemic, caring, cause of death, child, child welfare, clinic, clinical, communities, community health, community healthcare, community participation, data, dedications, discrimination, disparity, distress, early diagnosis, early intervention, early trea",ALACRITY for Early Screening and Treatment of High Risk Youth (eSToRY),NIH,POLITICAL,"The term ""black race"" is used in a way that suggests it's a demographic or social category relevant to disparities and identification of at-risk youth, which aligns with a political context.
"
6,race,"ignated health disparities population. tgd young adults suffer higher rates of suicide than their cisgender counterparts; over half contemplate suicide in their lifetime. these and other health disparities are compounded for tgd young adults who are black or hispanic and experience both gender- and racebased stigma and minority stress. black young adults are also at an increased risk of suicide; attempts increased 73% from 1991 to 2017. interventions are needed urgently to improve the mental health of tgd young adults, particularly tgd young adults who are also racial minorities. we propose a tran",TransHealthGUIDE: Transforming Health for Gender-Diverse Young Adults Using Interventions to Drive Equity,NIH,POLITICAL,"The term 'race' is used in the context of discussing health disparities and stigma experienced by specific racial groups (Black, Hispanic) and their intersection with gender identity (transgender young adults). This falls under a social, political, or identity context due to the recognition of systemic inequalities and discrimination affecting particular groups.
"
7,race,"ngagement in a non-randomized non- incentivized sgmy subsample (n=60) to elucidate intervention implementation under real world conditions. in aim 2, we will quantitatively explore if rct participants’ baseline minority stressors (across multiple distal and proximal domains) and demographics (e.g., race/ethnicity) interact with the intervention to predict changes in binge drinking and other outcomes (i.e., how intervention efficacy differs by subgroups). in aim 3, we will qualitatively explore (via post-rct interviews) the interplay between intervention participants’ binge drinking, minority stres",A Randomized Controlled Trial of a Game-Based Intervention to Reduce Alcohol Use among Sexual and Gender Minority Youth,NIH,POLITICAL,"The phrase ""race/ethnicity"" is used as a demographic factor, suggesting a social and political classification of individuals, rather than a biological or scientific one.
"
8,race," to participation in nih cancer research. to advance measures, we will assess performance of each group on five validated cancer scales to compare cancer care experience, discrimination in treatment, and outcomes. finally, we will integrate and triangulate findings and assess intersectionality with race/ethnicity. this study will establish what recruitment strategies are effective across sgm populations, and which may be specific to each subgroup. acceleration, accounting, address, advertising, affect, alcohol abuse, area, attitude, belief, bisexual, cancer burden, cancer patient, cancer survivor,",Testing Effective Methods to Recruit Sexual and Gender Minority Cancer Patients for Cancer Studies,NIH,POLITICAL,"The term ""race/ethnicity"" is used in the context of intersectionality and understanding differences in experiences and outcomes, which aligns with social and political considerations of identity and systemic factors.
"
9,race,"s for hiv prevention in at-risk populations in high hiv incidence geographic hotspots and will advance the 2021-2025 national strategic plan to end the hiv epidemic. aids prevention, address, adult, american, area, behavior, behavior therapy, behavioral, biological, biological markers, birth, black race, blood, chlamydia, clinical, communities, computerized medical record, data, decision making, digital libraries, diphosphates, dryness, ensure, epidemic, female, future, gender, gender identity, geography, goals, gonorrhea, hiv, hiv seronegativity, hiv risk, health, healthcare, incidence, individua",Strategies to Prevent HIV Acquisition Among Transgender MSM in the US,NIH,POLITICAL,"The term ""black race"" is used in the context of identifying a specific population group within a broader discussion of HIV prevention strategies, indicating a social and demographic category rather than a purely biological or scientific one.
"
10,race,"to the nih priorities to reduce hiv incidence as well as cross-cutting areas of using implementation science to contribute to our understanding of structural and psychosocial barriers to care and reduction of healthcare disparities. aids prevention, address, adherence, area, biological assay, black race, case management, client, clinic, clinical, collaborations, communities, data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health person",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""Black race"" is used in the context of healthcare disparities and addressing HIV incidence within a specific population group. This framing aligns with the political and social dimensions of race as it relates to health equity and access to care.
"
11,race,"to the nih priorities to reduce hiv incidence as well as cross-cutting areas of using implementation science to contribute to our understanding of structural and psychosocial barriers to care and reduction of healthcare disparities. aids prevention, address, adherence, area, biological assay, black race, case management, client, clinic, clinical, collaborations, communities, data, data collection, district of columbia, dose, elements, enrollment, epidemic, evaluation, exposure to, frequencies, funding, gays, goals, hiv, hiv infections, hiv prevention trials network, health insurance, health person",A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,NIH,POLITICAL,"The term ""Black race"" is used to identify a specific population group disproportionately affected by HIV, highlighting health disparities, which is a social and political issue.
"
12,race,"the most vulnerable populations in the us in order to identify the most effective, expeditious and scalable strategies to address this ongoing public health crisis. aids prevention, address, adherence, adolescent and young adult, age, area, articulation, award, behavior, biological, bisexual, black race, caring, clinic, clinical trials, cognitive, cohort studies, communities, development, devices, diagnostic, discrimination, electronics, enrollment, epidemic, epidemiology, exclusion, friends, gays, geography, hiv, hiv infections, hiv seronegativity, hiv seropositivity, hiv risk, hiv/aids, hiv/std,",Keeping it LITE 2: Exploring HIV Risk in Vulnerable Youth with Limited Interaction and Digital Health Intervention (LITE-2),NIH,POLITICAL,"The term ""black race"" appears alongside terms related to social determinants of health (discrimination, exclusion), sexual orientation (gays, bisexual), and vulnerable populations, suggesting its use in a social and demographic context related to health disparities. This aligns with a political usage.
"
13,race," determinants of doxypep service delivery. the proposed research will result in implementation strategies to guide equitable use of doxycycline post-exposure prophylaxis among populations most impacted by syphilis. address, adoption, affect, antibiotics, attitude, behavior, black populations, black race, characteristics, chicago, clinic, communities, community health, consolidated framework for implementation research, contact tracing, data, development, doxycycline, early identification, education, eligibility determination, ensure, epidemic, equity, evidence based intervention, face, future, hiv",Identifying Community-Informed DoxyPEP Implementation Strategies to Guide Equitable Delivery of Syphilis Prevention,NIH,POLITICAL,"The term ""black race"" is used in the context of addressing health equity and identifying populations most impacted by syphilis, which aligns with a social and political understanding of race as a determinant of health disparities.
"
14,race,"search will help address social injustices that characterize mental health disparities among black sgm youth by identifying modifiable black sgm-specific protective factors that will inform future tailored strengths-based interventions. address, affect, age, area, bisexual, black populations, black race, communities, data, development, discrimination, ensure, feeling suicidal, future, gender identity, glean, heterosexuals, individual, inequity, intervention, interview, laws, lesbian gay bisexual, lesbian gay bisexual transgender queer, longitudinal studies, marketing, mediation, mental health, met","A Strengths-Based, Intersectional Approach to Suicide Prevention Among Black Sexual and Gender Minority Youth",NIH,POLITICAL,"The term ""black race"" is used in the context of addressing social injustices, mental health disparities, discrimination, and inequity, which are all inherently political and social concepts related to identity and power structures.
"
15,race," trajectory of bea during their transition to adulthood and independence; and provides urgent experimental data with findings that could inform service provision and policy to advance health equity. accidental injury, acute, address, adult, affect, age, anxiety, behavior, behavioral research, black race, california, cause of death, cellular phone, chlamydia, cities, communities, coupled, cross-over trials, crossover design, data, development, discrimination, economics, education, effectiveness, emotional, employment, enrollment, ensure, evaluation, exposure to, family, family planning, female, fut",Increasing financial and health equity among low income black youth and young adults,NIH,POLITICAL,"The grant focuses on health equity among a specific racial group (""black youth and young adults""). The mention of ""discrimination"" further suggests a focus on social and political factors related to race.
"
16,race,"elessness, individual, integrated health care systems, intervention, intervention trial, latino, mentors, methods, minority-serving institution, monitor, national institute on minority health and health disparities, native americans, pacific islander, persons, phenx toolkit, population, prevention, race, records, research, research design, research personnel, resource sharing, resources, san francisco, secure, sexual and gender minorities, site, standardization, statistical data interpretation, underserved population, united states national institutes of health, universities, vulnerable population",Research Coordinating Center to Reduce Disparities in Multiple Chronic Diseases (RCC RD-MCD),NIH,POLITICAL,"The term 'race' appears alongside terms like ""minority health and health disparities,"" ""Latino,"" ""Native Americans,"" ""Pacific Islander,"" and ""underserved population,"" indicating its use in the context of social groups and health disparities, which is a political and social framing.
"
17,race,"hough the body of evidence linking the prenatal social environment, particularly maternal stress, and epigenome is growing, little work has yet explored the life course antecedents to the prenatal social environment and the impact on epigenetic methylation or telomere length. based on our widely embraced framework for perinatal health that marries a multiple determinants model with a life course approach, we will investigate maternal social environmental influences on maternal methylation and telomere length. change as well as critical periods will be assessed as the maternal social environment ov","Looking Back to Look Forward: Social Environment Across the Life Course, Epigenetics, and Birth Outcomes in Black Families",NIH,POLITICAL,"The grant title specifies ""Black Families,"" which is a racial category used in a social and political context, rather than a technical biological classification.
"
18,race,"ative and career enhancement (which includes pilot research projects). our multidisciplinary group of seasoned regulatory science researchers will provide actionable information to inform fda regulations and communication campaigns. address, adult, asian, attitude, behavior, belief, bisexual, black race, cigar, cigarette, communication, disadvantaged, disparity, electronic cigarette, epidemic, funding, gays, goals, high prevalence, hispanic, income, individual, lesbian, lesbian gay bisexual, low income, marketing, menthol, mentorship, pattern, policies, population, population heterogeneity, postdo",Advancing Tobacco Regulatory Science to Reduce Health Disparities,NIH,POLITICAL,"The context involves health disparities, disadvantaged populations, and mentions specific racial and ethnic groups (Black, Hispanic, Asian). This indicates a focus on social and political aspects of race related to health outcomes, rather than a biological or scientific definition of race.
"
