id,term,context,title,agency,classification,explanation
1,race,"ork, outcome, performance, phase, policies, prefrontal cortex, prevalence, prevention, prevention approach, public health, puerto rican, puerto rico, race, recording of previous events, rewards, risk, sampling, shapes, social psychology, structural racism, structure, substance use disorder, symptoms, sy",NA,NIH,POLITICAL,"The presence of ""structural racism"" and terms like ""public health,"" ""policies,"" and ""prevalence"" alongside ""race"" strongly suggests a focus on social determinants of health and disparities, indicating a political context related to racial inequalities.
"
2,race,"e provision and policy to advance health equity. accidental injury, acute, address, adult, affect, age, anxiety, behavior, behavioral research, black race, california, cause of death, cellular phone, chlamydia, cities, communities, coupled, cross-over trials, crossover design, data, development, discrim",NA,NIH,POLITICAL,"The term ""black race"" is used as a demographic descriptor likely related to health equity, which falls under social and political considerations.
"
3,race,"deling, outcome, outcome and process assessment, policies, positioning attribute, procedures, process, productivity, program development, publishing, race, records, research, research institute, research personnel, resources, scholarship, schools, science, services, sex orientation, structure, surveys, ",NA,NIH,POLITICAL,"The term ""race"" appears in a list alongside ""sex orientation,"" which suggests it is being considered as a demographic or social category, rather than in a purely scientific or biological context.
"
4,race," the specific forms social support that promote health and mitigate risk across tnb communities. data from a total of 1299 tnb individuals diverse in race and ethnicity will be collected across several studies using multiple methods (e.g., qualitative interviews and focus groups; ecological momentary as",NA,NIH,POLITICAL,"The term 'race' is used to describe the diversity of individuals within 'tnb' communities, indicating a social and identity-related context rather than a technical scientific definition.
"
5,race,"inority groups, modeling, nature, outcome, patient self-report, pattern, persons, policies, process, psyche structure, psychometrics, questionnaires, race, research, research activity, risk, risk assessment, risk factors, sampling, scientist, societies, subgroup, testing, united states national institut",NA,NIH,POLITICAL,"The grant keywords include ""minority groups,"" ""policies,"" and ""risk factors,"" suggesting the term 'race' is likely used in a social or demographic context related to disparities or inequalities, indicating a political usage.
"
6,race,ollaborations. this project is designed to expand prior literature about discipline-based education research to include substantial considerations of race or racism. the research design guiding this study will leverage and foster authentic partnerships among black scholars engaged in dber. this study de,NA,NSF,POLITICAL,"The terms ""race"" and ""racism"" are used in the context of social issues, specifically within discipline-based education research and partnerships among Black scholars.
"
7,race,"ints, measurement, measures, methods, morbidity - disease rate, parents, policies, population, predictive factor, prevention, process, public health, race, recommendation, reporting, research, risk reduction, sars-cov-2 b.1.617.2, sars-cov-2 transmission, schools, surveys, teenagers, testing, us state, ",NA,NIH,POLITICAL,"The presence of terms like ""policies,"" ""public health,"" and ""population"" alongside ""race"" suggests the term is being used in a sociopolitical context, likely related to health disparities or demographic factors.
"
8,race,"areness to action. the project goals are to expand intercultural awareness, transform practices, and encourage and inspire microbiology leaders to embrace and promote ideaa. the project will use a training-of-leaders (tol) model to provide a structure for long-term sustainability and engagement in ideaa",NA,NSF,AMBIGUOUS,"The abbreviation ""ideaa"" is undefined, so the usage of ""race"" cannot be determined from the given context.
"
9,race,"follow-up questionnaire include attitudes, normative beliefs, and behaviors related to sexual health and media. the sample is diverse with respect to race-ethnicity, gender identity, and sexual orientation. as part of the proposed project, we will leverage this existing sample to conduct a rigorous long",NA,NIH,POLITICAL,"The term 'race' is used in conjunction with 'ethnicity, gender identity, and sexual orientation' to describe the diversity of the sample, indicating a social and demographic categorization.
"
10,race,"he health of latine and/or sgm populations. aids prevention, address, american, attitude, behavioral risk factor surveillance system, bisexual, black race, caring, communities, consensus, criminal law, data, data set, delphi study, diagnosis, dimensions, discrimination, disparity, distress, ensure, epid",NA,NIH,POLITICAL,"The term ""black race"" appears alongside terms like ""discrimination,"" ""disparity,"" and references to specific populations (Latine, SGM), indicating a focus on social and health inequities related to race as a social construct.
"
